Date,Open,High,Low,Close,Volume,OpenInt
20090203,22.947,23.15,22.853,23.133,14360,0
20090204,23.094,23.094,22.956,23.067,2009,0
20090205,23.094,23.274,22.965,23.274,12433,0
20090206,23.264,23.509,23.104,23.114,3482,0
20090209,23.292,23.292,23.16,23.208,13735,0
20090210,23.208,23.208,23.16,23.16,23091,0
20090211,23.179,23.216,23.143,23.16,24948,0
20090212,23.15,23.236,23.094,23.16,65462,0
20090213,23.15,23.169,23.094,23.15,22279,0
20090217,23.179,23.179,23.133,23.133,44577,0
20090218,23.104,23.16,23.049,23.114,94479,0
20090219,23.114,23.169,23.114,23.133,6710,0
20090220,23.114,23.133,23.003,23.085,34396,0
20090223,23.02,23.075,22.862,23.049,84081,0
20090224,23.057,23.085,23.039,23.039,63824,0
20090225,23.067,23.067,23.003,23.029,21752,0
20090226,22.956,22.965,22.835,22.937,31972,0
20090227,22.853,22.956,22.853,22.928,11057,0
20090302,22.937,22.937,22.881,22.91,30540,0
20090303,22.89,22.89,22.862,22.871,7819,0
20090304,22.835,22.853,22.772,22.817,14867,0
20090305,22.817,22.817,22.416,22.799,17564,0
20090306,22.817,22.826,22.772,22.826,29542,0
20090309,22.772,22.835,22.725,22.808,23371,0
20090310,22.835,22.835,22.817,22.817,14429,0
20090311,22.853,22.89,22.817,22.89,14171,0
20090312,22.844,22.862,22.817,22.835,6636,0
20090313,22.725,22.881,22.725,22.853,17518,0
20090316,22.862,22.862,22.772,22.844,11653,0
20090317,22.853,22.853,22.725,22.817,10778,0
20090318,22.753,22.817,22.669,22.781,51645,0
20090319,22.631,23.902,22.631,22.881,14968,0
20090320,22.928,22.993,22.799,22.956,16947,0
20090323,22.947,22.975,22.745,22.975,5170,0
20090324,22.947,22.947,22.745,22.853,9930,0
20090325,22.947,22.947,22.862,22.862,2785,0
20090326,22.881,22.947,22.781,22.79,47613,0
20090327,22.79,22.993,22.79,22.984,20415,0
20090330,22.9,22.993,22.799,22.947,6243,0
20090331,22.937,22.937,22.937,22.937,2148,0
20090401,22.975,22.975,22.975,22.975,2472,0
20090402,23.011,23.011,22.835,22.91,8100,0
20090403,23.049,23.049,22.844,22.91,5358,0
20090406,22.975,22.975,22.975,22.975,100,0
20090407,22.91,22.91,22.862,22.91,5357,0
20090408,22.835,22.91,22.835,22.871,1171,0
20090409,22.91,22.91,22.9,22.91,6968,0
20090413,22.91,23.039,22.91,23.039,5000,0
20090414,23.114,23.188,23.067,23.067,5990,0
20090415,23.169,23.169,22.956,22.956,6159,0
20090416,22.956,23.208,22.956,23.179,5101,0
20090417,23.236,23.236,23.226,23.226,1842,0
20090420,23.246,23.246,23.16,23.246,4507,0
20090421,23.255,23.274,23.255,23.274,3920,0
20090422,23.301,23.301,23.179,23.179,15649,0
20090423,23.274,23.274,23.188,23.226,13502,0
20090424,23.198,23.208,23.143,23.208,11469,0
20090427,23.179,23.462,23.104,23.16,5139,0
20090428,23.16,23.179,23.16,23.16,2892,0
20090429,23.143,23.15,23.143,23.15,5584,0
20090430,23.123,23.143,23.039,23.114,10853,0
20090501,23.029,23.067,22.984,23.029,7766,0
20090504,23.188,23.188,22.956,23.085,6907,0
20090505,23.085,23.094,22.956,23.067,16836,0
20090506,23.085,23.094,22.956,22.956,15366,0
20090507,22.91,23.02,22.89,22.956,21622,0
20090508,23.085,23.104,22.928,23.085,5507,0
20090511,23.094,23.094,22.965,23.075,9716,0
20090512,22.984,23.114,22.984,23.104,36101,0
20090513,23.114,23.143,23.049,23.114,33576,0
20090514,23.114,23.143,23.003,23.067,30616,0
20090515,23.143,23.143,23.003,23.085,9054,0
20090518,23.143,23.143,23.029,23.143,16980,0
20090519,23.143,23.198,23.039,23.15,31393,0
20090520,23.15,23.169,23.15,23.16,16739,0
20090521,23.169,23.169,23.143,23.169,20683,0
20090522,23.16,23.16,23.049,23.143,13178,0
