Date,Open,High,Low,Close,Volume,OpenInt
20060621,259.72,259.72,259.72,259.72,50,0
20060622,261.64,264.44,261.64,264.16,3650,0
20060623,265.68,265.68,262.88,264.12,4175,0
20060626,264.2,265.36,263.76,264.16,4050,0
20060627,264.16,269.48,264.16,269.28,15675,0
20060628,269.28,270.4,266.64,267.56,38075,0
20060629,265.32,266.2,261.12,262.28,17225,0
20060630,262.28,264.72,259.84,261.04,14625,0
20060703,260.2,260.68,259.32,259.72,4575,0
20060705,262.64,265.48,262.48,265.12,19575,0
20060706,264.16,265.96,263.48,265.12,16550,0
20060707,267.08,268.52,265.44,267.56,23025,0
20060710,268.16,271.92,267.68,271.28,29825,0
20060711,271.92,273.24,268.52,269.08,61775,0
20060712,269.84,275.2,269.72,274.8,31925,0
20060713,277.04,278.76,273.8,278,111850,0
20060714,279.68,282.52,278.72,281.08,72850,0
20060717,280.08,282.2,279.2,280.44,38625,0
20060718,278.96,284.32,278.6,278.68,53775,0
20060719,279.32,280.12,274,276.48,98825,0
20060720,275.48,281.16,274.56,281.16,42150,0
20060721,283.64,283.88,281.56,283.48,42725,0
20060724,282.72,282.72,277.48,277.48,39150,0
20060725,278.12,279.52,275.52,277.12,49450,0
20060726,278.56,279.56,274.76,276.96,16075,0
20060727,273.76,279.6,273.56,278.84,22450,0
20060728,277.28,277.52,272.76,273.44,28900,0
20060731,274.2,274.4,271.72,273.44,14425,0
20060801,276.48,279.56,276.48,278.24,17400,0
20060802,276.16,276.6,273.08,275.52,34100,0
20060803,278.16,278.16,272,273.64,30925,0
20060804,270.24,277.4,269.28,274.96,62500,0
20060807,276.48,278.12,274.64,276.8,17775,0
20060808,276.44,280.32,275.52,278.56,22975,0
20060809,275.32,279.4,273.08,278.84,26100,0
20060810,281,281,274.72,276.68,19925,0
20060811,277.52,279.64,276.88,278.64,11475,0
20060814,276.08,277.24,272.72,276.96,23600,0
20060815,273.48,274.36,268.72,268.92,35950,0
