Date,Open,High,Low,Close,Volume,OpenInt
20070504,93.649,93.649,93.356,93.488,3759,0
20070507,93.602,93.912,93.471,93.471,6012,0
20070508,92.913,93.134,92.421,93.134,4080,0
20070509,93.574,93.799,93.395,93.686,5959,0
20070510,93.752,93.752,92.538,92.613,11006,0
20070511,93.075,93.284,93.075,93.284,6711,0
20070514,93.508,93.752,92.421,92.462,12294,0
20070515,92.016,92.421,90.8,90.863,12456,0
20070516,90.842,91.082,90.842,90.842,2792,0
20070517,90.413,90.777,90.12,90.12,5691,0
20070518,90.342,90.342,89.726,90.101,2792,0
20070521,90.165,91.329,90.154,91.291,19166,0
20070522,91.85,92.913,91.7,92.816,3221,0
20070523,93.977,94.08,93.097,93.112,4671,0
20070524,93.508,93.508,91.043,91.532,25233,0
20070525,92.185,92.421,92.016,92.016,6282,0
20070529,93.003,93.003,92.984,92.984,376,0
20070531,93.865,94.061,93.865,94.061,1987,0
20070601,94.606,94.606,94.287,94.287,429,0
20070604,94.643,95.113,94.643,94.906,1342,0
20070606,92.593,92.593,92.593,92.593,537,0
20070607,91.7,91.7,90.973,91.168,6495,0
20070612,89.726,89.872,89.298,89.351,1450,0
20070613,89.219,89.888,89.219,89.888,751,0
20070614,90.342,90.342,90.342,90.342,161,0
20070615,92.016,92.016,92.016,92.016,107,0
20070618,91.739,91.739,91.739,91.739,376,0
20070620,91.87,91.87,91.87,91.87,107,0
20070621,90.342,90.342,89.742,90.165,1934,0
20070622,89.595,89.595,89.37,89.37,484,0
20070625,88.762,88.776,87.899,88.029,1503,0
20070626,88.199,88.199,86.84,86.93,4403,0
20070627,85.864,86.393,85.665,86.352,1719,0
20070628,87.47,87.771,87.079,87.73,1879,0
20070629,85.012,85.012,84.382,84.509,429,0
20070702,84.865,84.865,84.566,84.566,644,0
20070703,85.477,85.665,85.422,85.533,4348,0
20070706,85.195,85.369,84.434,85.369,537,0
20070710,84.059,84.212,82.985,82.985,19811,0
20070711,83.079,83.079,81.063,81.063,14120,0
20070712,81.341,81.492,80.913,81.086,14657,0
20070713,81.604,81.604,81.176,81.378,644,0
20070716,81.753,81.753,80.602,80.602,3114,0
20070717,81.307,81.307,80.501,80.786,16803,0
20070718,80.193,80.193,77.842,78.215,9664,0
20070719,79.648,79.648,79.171,79.171,590,0
20070720,79.303,79.303,78.233,78.331,18306,0
20070723,78.939,78.939,76.694,76.776,5637,0
