Date,Open,High,Low,Close,Volume,OpenInt
20100805,47.94,48.009,47.913,47.969,4805,0
20100806,48.106,48.134,48.039,48.076,10281,0
20100809,48.115,48.115,47.949,48.049,24273,0
20100810,48.039,48.345,48.019,48.325,22883,0
20100811,48.385,48.412,48.306,48.325,23393,0
20100812,48.345,48.345,47.979,48.029,108636,0
20100813,48.086,48.257,48.039,48.189,135509,0
20100816,48.469,48.469,48.306,48.345,62919,0
20100817,48.286,48.306,48.161,48.208,84890,0
20100818,48.316,48.316,48.153,48.153,29228,0
20100819,48.153,48.286,48.134,48.208,17596,0
20100820,48.228,48.228,48.106,48.106,20602,0
20100823,48.066,48.189,47.979,48.189,16274,0
20100824,48.393,49.924,48.218,48.325,27406,0
20100825,48.45,48.45,48.247,48.316,36039,0
20100826,48.431,48.609,48.393,48.609,15926,0
20100827,48.609,48.609,48.267,48.267,50418,0
20100830,48.488,48.534,48.393,48.488,26510,0
20100831,48.659,48.659,48.544,48.592,21780,0
20100901,48.45,48.45,48.153,48.412,37053,0
20100902,48.365,48.385,48.247,48.325,12881,0
20100903,48.189,48.286,48.169,48.238,12095,0
20100907,48.479,48.564,48.402,48.564,18490,0
20100908,48.516,48.516,48.355,48.421,18110,0
20100909,48.365,48.365,48.198,48.257,24490,0
20100910,48.306,48.402,48.286,48.296,12885,0
20100913,48.325,48.6,48.325,48.564,10656,0
20100914,48.709,48.709,48.629,48.659,27856,0
20100915,48.564,48.619,48.44,48.469,22614,0
20100916,48.393,48.393,48.208,48.306,27974,0
20100917,48.345,48.402,48.257,48.276,9895,0
20100920,48.375,48.497,48.335,48.45,25106,0
20100921,48.609,49.089,48.554,49.06,49386,0
20100922,49.331,49.379,49.186,49.196,15712,0
20100923,49.263,49.263,49.023,49.137,15361,0
20100924,49.003,49.069,48.909,48.909,22872,0
20100927,48.948,49.079,48.919,49.052,17251,0
20100928,49.186,49.465,49.157,49.351,17831,0
20100929,49.351,49.351,49.118,49.167,20321,0
20100930,49.118,49.254,48.824,49.079,26469,0
20101001,49.033,49.147,48.993,49.118,16505,0
20101004,49.186,49.186,49.108,49.157,41372,0
20101005,49.263,49.445,49.234,49.405,22492,0
20101006,49.953,50.248,49.896,49.896,46195,0
20101007,49.953,49.953,49.731,49.809,25514,0
20101008,50.01,50.067,49.953,50.039,15502,0
20101011,50.135,50.135,50.001,50.029,11839,0
20101012,50.029,50.067,49.846,49.876,59737,0
20101013,49.906,50.183,49.906,50.155,24785,0
20101014,50.277,50.498,50.257,50.333,29378,0
20101015,50.257,50.257,49.972,50.039,31674,0
20101018,50.095,50.192,50.076,50.105,18559,0
20101019,49.924,50.229,49.924,50.219,17915,0
20101020,50.155,50.219,50.115,50.192,11308,0
20101021,50.211,50.277,50.164,50.192,12874,0
20101022,50.115,50.219,50.095,50.183,26917,0
20101025,50.353,50.41,50.305,50.353,37661,0
20101026,50.239,50.239,50.076,50.086,16417,0
20101027,49.915,49.944,49.78,49.818,20339,0
20101028,49.896,50.01,49.876,49.953,7790,0
20101029,50.105,50.145,50.049,50.135,57330,0
20101101,50.239,50.239,50.039,50.125,33776,0
20101102,50.257,50.353,50.211,50.257,19467,0
20101103,50.449,50.498,50.086,50.257,33424,0
20101104,50.498,50.557,50.211,50.239,29042,0
20101105,50.183,50.219,50.086,50.115,50775,0
20101108,50.219,50.219,50.049,50.105,27075,0
20101109,50.105,50.174,49.672,49.692,49845,0
20101110,49.712,49.837,49.396,49.809,49662,0
20101111,49.866,49.924,49.828,49.915,25783,0
20101112,49.76,49.856,49.425,49.425,75225,0
20101115,49.244,49.302,48.824,48.852,42231,0
20101116,48.967,49.033,48.564,48.879,59926,0
20101117,48.909,49.023,48.87,48.929,9459,0
20101118,48.967,48.986,48.805,48.986,15649,0
20101119,48.993,49.137,48.967,49.137,35924,0
20101122,49.283,49.361,49.196,49.351,25785,0
20101123,49.522,49.522,49.341,49.371,33744,0
20101124,49.234,49.234,48.993,49.003,25691,0
20101126,49.186,49.234,49.127,49.225,8829,0
20101129,49.396,49.396,49.244,49.311,20953,0
20101130,49.495,49.495,49.205,49.234,29199,0
20101201,48.929,48.993,48.795,48.834,44801,0
20101202,48.775,48.976,48.746,48.814,18298,0
20101203,48.919,48.919,48.756,48.785,25904,0
20101206,48.939,49.033,48.909,49.033,29030,0
20101207,48.852,48.909,48.497,48.583,72395,0
20101208,48.355,48.375,48.049,48.134,39920,0
20101209,48.161,48.161,47.94,48.049,30774,0
20101210,47.94,47.989,47.817,47.884,23851,0
20101213,47.798,48.125,47.771,48.009,37902,0
20101214,47.884,47.922,47.491,47.664,37009,0
20101215,47.808,47.903,47.704,47.742,20267,0
20101216,47.808,48.029,47.732,48.029,25417,0
20101217,48.076,48.345,48.066,48.267,12786,0
20101220,48.306,48.402,48.153,48.208,19327,0
20101221,48.335,48.355,48.161,48.296,97943,0
20101222,48.306,48.316,48.169,48.286,29897,0
20101223,48.257,48.257,48.153,48.247,12408,0
20101227,48.143,48.276,48.057,48.276,24767,0
20101228,48.169,48.169,47.846,47.875,20160,0
20101229,47.817,48.208,47.771,48.125,34408,0
20101230,48.106,48.106,47.959,48.096,23999,0
20101231,48.208,48.345,48.198,48.345,23700,0
20110103,48.189,48.355,48.106,48.228,32209,0
20110104,48.238,48.393,48.208,48.365,32288,0
20110105,48.267,48.345,48.009,48.161,18193,0
20110106,48.179,48.306,48.096,48.247,56244,0
20110107,48.402,48.583,48.345,48.44,26719,0
20110110,48.574,48.609,48.488,48.564,27181,0
20110111,48.6,48.639,48.469,48.609,16079,0
20110112,48.459,48.609,48.412,48.554,29844,0
20110113,48.479,48.689,48.469,48.659,36979,0
20110114,48.756,48.756,48.516,48.544,30152,0
20110118,48.412,48.554,48.306,48.544,59871,0
20110119,48.544,48.619,48.516,48.574,32005,0
20110120,48.385,48.385,48.076,48.115,31475,0
20110121,48.057,48.189,48.039,48.161,15879,0
20110124,48.218,48.257,48.134,48.134,40851,0
20110125,48.218,48.393,48.125,48.306,39064,0
20110126,48.247,48.267,48.106,48.161,36868,0
20110127,48.198,48.208,48.066,48.169,33205,0
20110128,48.076,48.375,48.057,48.335,30050,0
20110131,48.345,48.393,48.257,48.345,39119,0
20110201,48.208,48.316,48.153,48.247,21086,0
20110202,48.412,48.412,48.096,48.143,68287,0
20110203,48.019,48.066,47.922,47.931,34284,0
20110204,47.836,47.865,47.646,47.714,34263,0
20110207,47.606,47.714,47.538,47.694,51063,0
20110208,47.684,47.684,47.414,47.434,39357,0
20110209,47.472,47.626,47.387,47.548,34652,0
20110210,47.472,47.491,47.311,47.321,43883,0
20110211,47.482,47.528,47.35,47.472,29865,0
20110214,47.443,47.567,47.434,47.5,51608,0
20110215,47.548,47.616,47.52,47.606,28116,0
20110216,47.548,47.656,47.472,47.548,51444,0
20110218,47.723,47.922,47.694,47.903,30068,0
20110222,48.267,48.393,48.179,48.365,81131,0
20110223,48.385,48.574,48.385,48.506,33479,0
20110224,48.649,48.814,48.629,48.659,41742,0
20110225,48.699,48.795,48.669,48.785,269092,0
20110228,48.834,48.834,48.709,48.709,95918,0
20110301,48.592,48.861,48.534,48.861,24140,0
20110302,48.766,48.967,48.766,48.775,95543,0
20110303,48.639,48.699,48.583,48.609,28449,0
20110304,48.719,48.948,48.679,48.919,37831,0
20110307,48.795,49.023,48.736,48.909,69904,0
20110308,48.986,48.986,48.879,48.939,45753,0
20110309,48.976,49.098,48.899,49.042,40046,0
20110310,49.127,49.351,49.052,49.341,40958,0
20110311,49.351,49.351,49.118,49.186,69737,0
20110314,49.234,49.321,49.215,49.244,75005,0
20110315,49.388,49.425,49.283,49.311,108414,0
20110316,49.54,49.828,49.475,49.606,95991,0
20110317,49.606,49.731,49.54,49.702,27211,0
20110318,49.569,49.682,49.505,49.645,66872,0
20110321,49.588,49.635,49.415,49.513,350812,0
20110322,49.331,49.405,49.292,49.351,61534,0
20110323,49.475,49.475,49.234,49.263,57443,0
20110324,49.205,49.321,49.127,49.302,52921,0
20110325,49.388,49.396,49.06,49.098,53455,0
20110328,49.023,49.176,49.023,49.089,37215,0
20110329,49.147,49.147,48.967,49.013,23932,0
20110330,49.042,49.176,49.003,49.167,37017,0
20110331,49.331,49.351,49.147,49.167,31284,0
20110401,48.909,49.283,48.909,49.225,34992,0
20110404,49.302,49.455,49.302,49.405,43190,0
20110405,49.388,49.396,49.302,49.331,64202,0
20110406,49.244,49.244,49.023,49.023,50582,0
20110407,49.079,49.176,49.033,49.157,31103,0
20110408,49.098,49.273,49.079,49.215,36575,0
20110411,49.302,49.331,49.225,49.234,25709,0
20110412,49.351,49.522,49.292,49.465,32545,0
20110413,49.425,49.606,49.379,49.588,46624,0
20110414,49.635,49.702,49.505,49.54,24585,0
20110415,49.712,49.915,49.692,49.846,49336,0
20110418,52.843,52.843,49.74,49.924,91839,0
20110419,49.856,50.125,49.856,50.095,65786,0
20110420,50.164,50.164,49.886,49.896,61477,0
20110421,49.828,49.906,49.75,49.789,63285,0
20110425,49.856,49.981,49.837,49.934,58537,0
20110426,50.02,50.105,49.972,50.086,51384,0
20110427,50.02,50.02,49.886,49.944,42979,0
20110428,50.115,50.248,50.057,50.135,40158,0
20110429,50.145,50.314,50.105,50.257,78912,0
20110502,50.125,50.219,50.067,50.155,61637,0
20110503,50.211,50.239,50.135,50.219,38840,0
20110504,50.333,50.43,50.287,50.314,37235,0
20110505,50.296,50.314,50.164,50.267,35152,0
20110506,50.001,50.296,50.001,50.202,42692,0
20110509,50.257,50.343,50.248,50.333,51094,0
20110510,50.277,50.305,50.145,50.202,141955,0
20110511,50.192,50.211,50.057,50.086,22465,0
20110512,50.135,50.135,49.924,49.991,79947,0
20110513,49.953,50.01,49.856,49.991,29259,0
20110516,50.086,50.086,49.944,50.02,29708,0
20110517,49.906,50.039,49.876,50.039,17124,0
20110518,50.105,50.125,49.962,50.01,14205,0
20110519,49.866,49.972,49.799,49.896,24955,0
20110520,49.828,49.896,49.74,49.896,32872,0
20110523,49.896,49.962,49.886,49.906,60004,0
20110524,50.029,50.135,50.02,50.135,16315,0
20110525,50.155,50.183,50.057,50.135,23796,0
20110526,50.164,50.305,50.164,50.267,28497,0
20110527,50.239,50.353,50.174,50.305,77441,0
20110531,50.296,50.314,50.239,50.267,83581,0
20110601,50.086,50.277,50.086,50.277,33290,0
20110602,50.115,50.192,50.067,50.125,49353,0
20110603,50.373,50.373,50.067,50.219,32685,0
20110606,50.095,50.248,50.086,50.229,25734,0
20110607,50.192,50.287,50.086,50.287,48977,0
20110608,50.333,50.478,50.287,50.305,61947,0
20110609,50.373,50.478,50.202,50.219,29863,0
20110610,50.382,50.382,50.183,50.239,44119,0
20110613,50.202,50.314,50.135,50.211,45498,0
20110614,50.155,50.155,50.02,50.057,30546,0
20110615,50.333,50.44,50.164,50.373,16990,0
20110616,50.363,50.44,50.343,50.343,67225,0
20110617,50.401,50.401,50.115,50.267,36193,0
20110620,50.43,50.43,50.095,50.192,56931,0
20110621,50.155,50.257,50.145,50.239,34742,0
20110622,50.305,50.305,50.086,50.145,34347,0
20110623,50.248,50.567,50.248,50.488,61856,0
20110624,50.557,50.842,50.557,50.67,39219,0
20110627,50.775,50.775,50.527,50.605,78359,0
20110628,50.567,50.605,50.333,50.401,27667,0
20110629,50.469,50.498,50.333,50.44,41404,0
20110630,50.517,50.517,50.115,50.353,50639,0
20110701,50.145,50.287,49.953,50.125,58072,0
20110705,50.248,50.277,50.105,50.202,63058,0
20110706,50.296,50.353,50.202,50.277,35758,0
20110707,50.239,50.323,50.155,50.296,32619,0
20110708,50.498,50.605,50.459,50.537,36238,0
20110711,50.795,50.939,50.614,50.832,57586,0
20110712,51.024,51.024,50.851,50.976,33514,0
20110713,50.948,51.159,50.86,51.159,30538,0
20110714,50.976,51.062,50.765,50.785,41660,0
20110715,50.68,50.958,50.652,50.958,63811,0
20110718,51.139,51.169,50.87,50.976,63135,0
20110719,51.129,51.283,51.014,51.236,58828,0
20110720,51.081,51.1,50.939,50.985,36839,0
20110721,50.86,50.929,50.736,50.87,28290,0
20110722,51.129,51.129,50.89,51.053,36357,0
20110725,50.851,51.139,50.822,51.119,47031,0
20110726,51.207,51.254,51.139,51.159,110003,0
20110727,51.1,51.254,51.1,51.246,24254,0
20110728,51.37,51.521,51.274,51.425,29256,0
20110729,51.629,52.115,51.54,52.021,52588,0
20110801,51.78,52.125,51.724,51.972,28707,0
20110802,52.03,52.355,51.953,52.336,95640,0
20110803,52.3,52.624,51.913,51.981,60100,0
20110804,52.021,52.43,51.857,52.384,60223,0
20110805,52.29,52.384,51.847,51.847,66165,0
20110808,51.963,52.468,51.894,52.346,70248,0
20110809,52.614,53.466,52.393,52.863,46789,0
20110810,53.456,54.031,53.341,53.867,100495,0
20110811,53.571,53.571,52.604,52.747,82264,0
20110812,52.987,53.157,52.93,53.092,35403,0
20110815,52.891,52.96,52.672,52.691,63390,0
20110816,52.719,52.95,52.691,52.786,116969,0
20110817,52.93,53.074,52.757,53.074,22894,0
20110818,53.341,53.6,52.701,52.747,62009,0
20110819,52.824,53.11,52.815,52.997,51102,0
20110822,52.969,53.119,52.881,53.025,39671,0
20110823,52.805,53.016,52.527,52.652,37537,0
20110824,52.527,52.527,51.933,51.953,64555,0
20110825,52.048,52.411,52.048,52.374,25075,0
