Date,Open,High,Low,Close,Volume,OpenInt
20081125,71.075,71.075,70.625,70.625,80,0
20081126,66.4,67.55,59.775,59.775,5000,0
20081128,64.7,67.925,64.7,66.85,4560,0
20081201,69.75,73.05,68,73.05,4826,0
20081202,70.35,79,70.275,78.275,3652,0
20081203,80.15,81.575,75.5,80,9056,0
20081204,83.6,92.175,80.125,91.8,21684,0
20081205,94.775,103.38,92.625,97.95,43530,0
20081208,89.525,92.35,84.125,85.45,34220,0
20081209,90.025,94.925,85.5,93.675,11006,0
20081210,87.1,94.8,79.075,87.975,50324,0
20081211,79.95,80.25,67.425,72.25,72030,0
20081212,80.275,80.75,71.325,72.375,25194,0
20081215,65.45,78.75,64.35,78.75,25790,0
20081216,74.55,83.425,72.75,79.575,50002,0
20081217,80.1,86.825,76.75,82.525,37228,0
20081218,88.525,95.72,88.475,95.665,30208,0
20081219,97.25,100.95,90.45,92.5,30478,0
20081222,93.8,104.3,91.275,104,54280,0
20081223,102.55,113.95,101.58,108.6,70574,0
20081224,115.98,118.4,113.62,115.62,34940,0
20081226,124.95,124.95,110.48,112.25,73608,0
20081229,102.42,111.78,97.85,98.25,77716,0
20081230,102.85,106.88,98.325,98.5,73704,0
20081231,103.75,103.75,75.75,79.15,402154,0
20090102,75.075,76.575,66.925,68,321008,0
20090105,67.7,68.65,59.975,61.675,333118,0
20090106,57.55,61.965,56.35,60.45,330422,0
20090107,61.875,73.275,61.85,73.275,482392,0
20090108,74.775,79.375,73,73.55,617188,0
20090109,78.125,82.25,75.825,77.575,354752,0
20090112,83.95,86.3,82.425,85.275,356348,0
20090113,84.4,85.825,76.9,79.35,458392,0
20090114,80.65,88.725,80.65,82.3,482052,0
20090115,83.9,94.8,83.9,87.775,446404,0
20090116,83.15,91.025,82.175,89.45,363092,0
20090120,94.75,98.2,84.375,96.75,464784,0
20090121,94.175,96.65,81.05,81.85,497214,0
20090122,89.225,95.475,82.6,86.65,379986,0
20090123,90,91.525,70.45,74.4,658390,0
20090126,73.7,75.425,66.025,74.915,472228,0
20090127,79.975,88.625,79,86.65,448214,0
20090128,87.5,92.25,79.7,85.175,789776,0
20090129,90.85,91.975,85.25,88.575,410358,0
20090130,83.55,89.95,82.3,87.875,456712,0
20090202,92.95,94.8,86.5,92.8,768144,0
20090203,95.15,95.15,89.4,89.925,385918,0
20090204,86.725,95.6,86.075,93.45,646562,0
20090205,93.675,96.875,88.875,90.525,708592,0
20090206,99.125,99.125,82.775,93.5,946558,0
20090209,88,96.325,84,94.425,861266,0
20090210,87.825,105.25,87.65,103.02,1063150,0
20090211,103.98,111.7,101.15,109.28,610614,0
20090212,112.52,115.85,108.05,110.7,713754,0
20090213,112.08,120.58,111.38,118.18,831664,0
20090217,131.28,139.57,130.38,139.15,513838,0
20090218,138.75,148.6,137.9,147.98,763610,0
20090219,137.7,149.39,125.95,129.88,898510,0
20090220,139.07,140.62,128.12,129.62,937380,0
20090223,121.92,138.1,121.48,135.57,993258,0
20090224,129.28,135.35,123.65,125.05,522356,0
20090225,122.05,127.05,112,114.15,838210,0
20090226,107.12,107.78,98.725,101.75,674692,0
20090227,106.8,109.59,100.72,103.52,524964,0
20090302,113.58,122.25,112.18,121.72,499708,0
20090303,112.7,123.92,111.7,113.22,491520,0
20090304,101.82,103.4,94.5,96.75,596992,0
20090305,98,104.85,96.85,101.88,535108,0
20090306,95.725,100.75,91.875,92.45,404076,0
20090309,93.6,93.745,85.425,91.35,391564,0
20090310,88,96.65,86.825,95.85,342342,0
20090311,99.425,108.35,95.5,105.05,628270,0
20090312,105.68,105.98,87.125,89.075,540080,0
20090313,87.875,93.225,84.65,92.8,610366,0
20090316,96.75,98.75,86.625,88.7,538424,0
20090317,86.075,87.175,78.35,81.175,609586,0
20090318,81.725,87.675,78.175,79.825,595098,0
20090319,73.1,77.075,71.9,74.95,539568,0
20090320,75.05,75.575,71.25,73,416762,0
20090323,73.725,74.075,67.7,68,420030,0
20090324,71.025,71.6,67.625,69.125,336810,0
20090325,71.5,72.975,67.25,70.45,533284,0
20090326,66.7,69.6,66.325,67.15,537056,0
20090327,71.025,73.05,70.625,72.075,438024,0
20090330,76.9,82.75,76.45,81.5,432922,0
20090331,81.675,84.17,77.05,79.6,301042,0
20090401,84.425,85.275,81.45,81.95,317424,0
20090402,69.675,71.8,66.85,68.375,828274,0
20090403,69.3,71.55,67.575,68.23,404228,0
20090406,72.55,74.7,69.225,71.575,274358,0
20090407,75.775,77.5,74.335,77.15,247308,0
20090408,79.875,80.8,70.425,74.9,451500,0
20090409,68.675,72.6,67.85,68.55,408184,0
20090413,75.45,75.9,69.325,72.875,530470,0
20090414,72.95,75.05,70.61,75.025,360152,0
20090415,75.45,77.275,73.9,74.65,259318,0
20090416,74.2,76.15,73.825,75.5,142386,0
20090417,73.3,75.875,73.275,74.875,179472,0
20090420,82.725,85.975,82.15,84.85,353066,0
20090421,90.35,90.425,83.25,85.25,326018,0
20090422,86.6,88.575,84.84,86,212460,0
20090423,84.45,87.3,83.825,84.075,152486,0
20090424,78.75,80.05,77.6,78.625,315492,0
20090427,86.875,87.125,79.5,82.2,477000,0
20090428,86.4,86.4,82.45,84.725,313068,0
20090429,81.575,82.1,79,80.275,326106,0
20090430,81.575,81.875,78.75,80.225,201896,0
20090501,77.275,77.7,72.1,73.925,425390,0
20090504,71.775,71.8,68.375,68.5,397480,0
20090505,69.025,70.75,68.175,70.375,208094,0
20090506,67.1,68.1,64.65,65.125,636756,0
20090507,60.65,66.6,60.25,64.8,529122,0
20090508,61.775,63.175,59.9,60.7,348316,0
20090511,61.8,62.775,60.44,61.425,364238,0
20090512,59.375,61.545,59.115,60.2,298396,0
20090513,60.625,62.825,58.4,61.925,667694,0
20090514,62.775,63.65,59.735,61.05,344690,0
20090515,62.625,66,60.925,65.125,299906,0
20090518,61.75,62.175,58.9,59.18,367026,0
20090519,58.85,60.85,57.975,58.925,253750,0
20090520,56.375,56.55,54.425,55.15,647910,0
20090521,57.3,58.5,55.85,56.65,265154,0
20090522,56.45,57.5,55.275,55.5,154336,0
20090526,58.675,58.875,53.95,54.375,529520,0
20090527,52.8,54.25,51.725,52.755,374394,0
20090528,51.575,51.9,49.05,50.35,695862,0
20090529,47.7,49.4,47.425,47.425,552102,0
20090601,45.85,46.4,44.35,44.725,491554,0
20090602,45.525,45.775,43.875,44.175,424476,0
20090603,45.275,49.025,45.1,47.4,921970,0
20090604,45.075,45.625,42.675,43.7,1103022,0
20090605,43.7,45.35,42.925,44.225,641382,0
20090608,44.525,45,43.6,43.95,517806,0
20090609,42.75,43.67,42.125,42.5,462316,0
20090610,41.15,41.75,40.375,40.9,866212,0
20090611,39.975,40.175,38.775,39.475,852880,0
20090612,40.4,40.565,39.55,39.875,484094,0
20090615,40.6,42.575,40.6,41.625,613422,0
20090616,39.725,42.425,39.575,41.6,652874,0
20090617,42.325,43.25,40.875,41.225,808246,0
20090618,41.65,42.05,40.495,40.95,362188,0
20090619,40.525,43.5,40.2,42.7,488912,0
20090622,44.9,46.85,44.8,46.6,1021580,0
20090623,45.625,46.75,43.05,43.825,872112,0
20090624,44,44.725,42.95,44.45,787704,0
20090625,43.325,43.8,41.55,42.2,930218,0
20090626,42.5,44,42.45,43.3,554518,0
20090629,41.95,42.05,40.175,40.75,979080,0
20090630,41.1,43.5,40.5,42,952936,0
20090701,40.475,44,40.15,43.275,1560784,0
20090702,45.725,46.4,45.575,46.2,1127584,0
20090706,49.9,50.25,48.775,49.625,1546900,0
20090707,50.125,52.475,49.975,52.425,1188188,0
20090708,52.975,56.125,52.75,55.85,1343592,0
20090709,54.875,57.475,54.65,55.4,1166996,0
20090710,57.375,58.25,55.975,56.625,745516,0
20090713,57.575,59.375,56.325,56.725,940122,0
20090714,54.725,57.975,54.475,57.475,699332,0
20090715,54.625,55.75,52.325,52.65,1318958,0
20090716,54.55,54.65,52.125,52.4,640826,0
20090717,51.475,51.5,49.125,50.2,1068320,0
20090720,48.8,50.225,48.2,48.525,724592,0
20090721,47.175,49.675,46.95,48.25,617644,0
20090722,50.675,50.95,48.05,48.625,825748,0
20090723,49.925,49.95,45.55,45.875,747198,0
20090724,46.15,46.7,44.6,44.785,407534,0
20090727,44.55,45.325,44.1,44.475,454626,0
20090728,45.8,46.8,45.125,45.8,481248,0
20090729,47.975,52.075,47.83,51.65,925662,0
20090730,49.125,50,44.905,45.625,1471360,0
20090731,46.475,46.65,41.55,42.3,1427296,0
20090803,39.675,39.975,38.575,39.8,1134228,0
20090804,40.05,40.475,38.975,39.625,730668,0
20090805,39.525,41.325,38.75,39.125,1131124,0
20090806,39.3,40.775,38.575,39.025,1039688,0
20090807,39.075,40.475,38.45,40.075,1146076,0
20090810,39.65,40.675,39.25,40.025,641588,0
20090811,40.975,42.35,40.8,41.725,803142,0
20090812,41.575,41.6,40.075,40.875,838272,0
20090813,40.125,41.1,39.5,39.775,632010,0
20090814,40.1,43.7,40.1,43.275,884574,0
20090817,44.7,45.975,44.275,44.475,744622,0
20090818,45.225,45.25,41.25,41.9,652162,0
20090819,42.85,42.975,38.5,39.375,1428036,0
20090820,39.475,40.325,39.125,40.1,654818,0
20090821,39,39.7,38.175,38.95,812964,0
20090824,38.375,39,38.15,38.95,678420,0
20090825,38.725,41.875,38.075,41.15,1026678,0
20090826,42.125,42.45,41.35,41.6,779718,0
20090827,42.5,43.35,39.975,39.975,833262,0
20090828,39.55,41.225,39.375,40.05,600022,0
20090831,42.45,44.05,42.375,43.45,789072,0
20090901,43.375,45.625,41.575,45.325,1095780,0
20090902,46,46.85,44.775,45.775,702440,0
20090903,45,46.15,44.575,45.375,513806,0
20090904,46.325,46.775,45.3,46.075,506476,0
20090908,42.5,43.445,40.9,41.525,914458,0
20090909,41.1,41.75,40.125,41.475,675666,0
20090910,41.525,42.05,40.3,40.65,683816,0
20090911,40.25,44.45,40.12,43.775,743986,0
20090914,44.6,44.725,43.55,44.075,681358,0
20090915,43.55,44.725,41.5,41.825,567466,0
20090916,41.725,42.23,39.925,40.075,615308,0
20090917,40.425,40.445,39.175,39.9,400552,0
20090918,39.95,40.875,39.775,40.625,415498,0
20090921,42.85,43.875,42.725,43.375,752752,0
20090922,41.075,41.9,40.625,40.85,644928,0
20090923,41.25,45,41.2,44.9,900152,0
20090924,45.5,48.4,45.325,47.675,999572,0
20090925,48.075,48.6,46.275,47.735,624316,0
20090928,47.7,47.875,45.675,46.35,369970,0
20090929,47.175,47.975,46.025,46.825,352662,0
20090930,46.075,47.5,41.25,41.675,1321412,0
20091001,41.5,43.125,40.875,41.7,1031866,0
20091002,43.325,43.475,41.825,42.375,772858,0
20091005,43.35,44.4,40.95,41.8,877894,0
20091006,40.9,41.475,39.825,40.9,844420,0
20091007,40.775,43.3,40.25,42.075,983114,0
20091008,42.7,42.85,39,40.375,1142186,0
20091009,39.975,40.775,39.3,39.425,1001182,0
20091012,38,38.5,37.65,38.25,733036,0
20091013,37.575,38.325,37.075,37.35,1260216,0
20091014,36.6,37.025,36.15,36.33,1078746,0
20091015,36,36.45,33.625,34.05,1596868,0
20091016,34.05,34.575,33.025,33.225,863292,0
20091019,33.45,33.575,32.325,32.625,701202,0
20091020,32.475,33.65,32.45,33.05,753124,0
20091021,33.55,33.6,30.625,31.425,1627462,0
20091022,31.6,32.225,31.125,31.25,738438,0
20091023,31.1,32.15,31.075,32.075,760930,0
20091026,31.475,33.575,30.85,33.1,827884,0
20091027,33.05,33.8,32.275,32.6,997150,0
20091028,33,34.375,32.825,34.3,814170,0
20091029,33.125,33.275,31.55,32.05,870636,0
20091030,32.6,34.425,32.35,34.375,1350548,0
20091102,34.35,34.525,32.8,33.25,1030914,0
20091103,34.225,34.35,31.95,32.15,1011904,0
20091104,31.575,32.15,30.9,31.645,1070314,0
20091105,31.725,32.225,31.35,31.875,449424,0
20091106,33.3,34.275,32.525,33.525,716540,0
20091109,32.4,32.5,31.375,32.075,714668,0
20091110,31.825,33.25,31.225,32.25,652644,0
20091111,31.75,32.725,31.525,32.175,377738,0
20091112,32.825,34.275,32.575,34.2,712156,0
20091113,34.525,35.125,33.8,34.425,761672,0
20091116,34,34.075,31.8,32.35,790796,0
20091117,32.65,32.775,31.65,32.025,710052,0
20091118,31.575,32.5,31.2,31.76,923586,0
20091119,32.05,33.775,31.975,33.275,695974,0
20091120,34.25,34.45,33.525,33.725,473952,0
20091123,32.325,34.175,31.8,33.725,526346,0
20091124,34.075,35.55,34.075,35.1,617624,0
20091125,35.175,35.65,33.3,33.425,720600,0
20091127,37.025,37.175,34.775,35.05,624900,0
20091130,35.775,35.785,33.2,33.95,539488,0
20091201,32.7,33.2,32.35,33.125,646316,0
20091202,33.3,34.725,33.225,34.375,754704,0
20091203,34.75,35.375,33.95,34.9,503016,0
20091204,33.525,35.975,33.35,35.275,924172,0
20091207,36.575,37,35.75,36.83,766846,0
20091208,37.575,38.25,37.375,38.05,449196,0
20091209,37.95,40.775,37.35,40.15,1412530,0
20091210,39.95,41.3,39.6,40.525,839700,0
20091211,40.65,41.575,40.575,40.8,582716,0
20091214,40.625,40.9,40.175,40.7,809634,0
20091215,40.325,40.45,39.625,40.275,418988,0
20091216,39.95,39.95,38.205,38.625,535624,0
20091217,39.15,40.45,38.825,39.75,801738,0
20091218,38.175,39.825,37.9,39.05,507914,0
20091221,38.475,40.15,38.125,40.075,498722,0
20091222,39.925,40.675,38.5,39.425,414422,0
20091223,38.2,38.25,36.475,36.975,614470,0
20091224,36.7,36.7,35.9,36.125,232600,0
20091228,34.675,35,34.475,34.875,350692,0
20091229,34.3,35.325,34.3,34.8,246400,0
20091230,34.55,34.925,33.825,34.275,607720,0
20091231,33.825,34.315,33.625,34.125,747582,0
20100104,32.825,33.025,32.35,32.425,562510,0
20100105,32.375,32.825,32.05,32.075,585348,0
20100106,32.275,32.925,30.95,31.25,1495236,0
20100107,31.45,31.7,31.175,31.6,569254,0
20100108,31.8,32.05,30.98,31.325,883758,0
20100111,31.075,32,30.925,31.825,1379350,0
20100112,32.6,33.45,32.175,33.25,731702,0
20100113,33.75,34.975,33.225,34.075,1306578,0
20100114,33.9,34.6,33.675,34.25,745900,0
20100115,34.425,35.65,34.375,35.425,760846,0
20100119,36.1,36.125,34.455,34.55,717400,0
20100120,35.725,36.375,35.57,36.275,510062,0
20100121,35.75,37.85,35.375,37.575,749286,0
20100122,37.925,39.405,37.9,39.4,1426302,0
20100125,39.025,39.225,38.1,38.425,666026,0
20100126,39.325,39.53,38.425,39.075,388798,0
20100127,38.9,40.95,38.55,39.875,1228870,0
20100128,39.4,40.65,39.375,39.775,627266,0
20100129,39.3,41.225,39,40.875,736526,0
20100201,40.1,40.57,38.475,38.5,477138,0
20100202,38.2,38.375,35.925,35.975,765586,0
20100203,36.1,36.725,35.475,36.375,1006210,0
20100204,37.45,40.6,37.4,40.05,820464,0
20100205,39.65,43.855,39.475,41.225,1704010,0
20100208,41.6,42.5,40.9,41.525,306710,0
20100209,40.475,40.95,38.675,38.975,573530,0
20100210,39.25,40.325,37.95,38.4,606986,0
20100211,38.125,39.425,37.1,37.65,665086,0
20100212,39,39.975,38.425,38.55,900450,0
20100216,36.675,36.925,35.4,35.6,1131092,0
20100217,35.675,36.1,35.2,35.2,781570,0
20100218,34.35,35.175,33.87,33.925,958868,0
20100219,33.975,34.35,33.25,33.25,1058890,0
20100222,33.15,33.65,32.975,33.375,1118192,0
20100223,33.95,34.825,33.825,34.5,1017886,0
20100224,34.3,34.775,33.3,33.375,1244080,0
20100225,35.3,35.825,34.75,34.775,1655432,0
20100226,34.425,34.55,33.325,33.545,1040276,0
20100301,33.175,34.9,33,34.325,876590,0
