Date,Open,High,Low,Close,Volume,OpenInt
20090909,99.91,100.24,98.76,98.98,296638,0
20090910,98.95,99.85,98.78,99.59,134044,0
20090911,100.89,101.15,100.17,100.6,134849,0
20090914,100.11,100.33,99.7,99.87,125150,0
20090915,99.66,101.02,99.51,100.77,172089,0
20090916,101.97,101.97,101.44,101.85,163258,0
20090917,101.58,102,101.07,101.4,134648,0
20090918,101.74,101.76,100.66,100.66,158676,0
20090921,99.93,100.5,99.7,100.32,80132,0
20090922,101.8,101.8,101.36,101.55,90666,0
20090923,101.09,101.84,100.61,100.75,124945,0
20090924,101.34,101.36,99.05,99.41,188001,0
20090925,99,99.35,98.67,98.95,127880,0
20090928,99.41,99.71,98.95,98.97,83412,0
20090929,99.08,99.59,98.9,99.29,61515,0
20090930,100.25,100.94,99.47,100.77,197901,0
20091001,100.78,100.78,99.79,99.84,134973,0
20091002,99.71,100.72,99.68,100.22,163569,0
20091005,100.42,101.75,100.3,101.69,126704,0
20091006,103.3,104.36,103.17,104.19,153818,0
20091007,104.27,104.46,103.8,104.34,108156,0
20091008,104.62,106.1,104.27,105.66,142250,0
20091009,105.04,105.21,104.46,104.81,110422,0
20091012,105.37,105.9,105.34,105.57,60345,0
20091013,105.75,106.48,105.48,106.23,101836,0
20091014,106.31,106.56,105.92,106.13,54553,0
20091015,105.27,105.93,104.57,104.84,70043,0
20091016,104.71,105.63,104.55,105.21,58758,0
20091019,105.19,106.26,104.85,106.25,66657,0
20091020,106.36,106.36,105.2,105.44,69682,0
20091021,105.38,106.41,105.34,105.73,46957,0
20091022,105.46,106.07,105.12,105.93,57719,0
20091023,106.54,106.56,105,105.47,80759,0
20091026,105.43,105.89,103.76,103.88,73655,0
20091027,103.91,103.95,103.1,103.85,22609,0
20091028,103.5,103.93,102.67,102.72,53909,0
20091029,103.69,104.73,103.51,104.68,71351,0
20091030,104.34,104.66,103.51,104.55,42223,0
20091102,105.53,106.28,105.37,105.96,43396,0
20091103,105.79,108.76,105.78,108.55,139669,0
20091104,109.23,109.7,108.65,109.16,107563,0
20091105,108.92,109.29,108.71,109.08,79698,0
20091106,109.5,110.04,109.17,109.7,92741,0
20091109,110.85,110.9,110.06,110.3,77522,0
20091110,110.16,110.88,109.83,110.52,78457,0
20091111,111.64,111.84,111.19,111.75,69549,0
20091112,111.3,111.65,110.24,110.38,155093,0
20091113,110.45,111.92,110.28,111.9,66274,0
