Date,Open,High,Low,Close,Volume,OpenInt
20100211,1283.84,1284.32,1283.84,1284.32,13,0
20100212,1270.4,1270.4,1270.4,1270.4,19,0
20100216,1153.28,1153.28,1142.08,1142.08,25,0
20100217,1129.12,1136.64,1118.4,1126.56,531,0
20100218,1108.8,1116.16,1100.64,1100.64,257,0
20100219,1098.88,1108.16,1076.8,1082.24,594,0
20100222,1067.68,1089.28,1066.4,1075.36,594,0
20100223,1087.04,1126.4,1083.2,1126.4,1450,0
20100224,1114.08,1118.72,1087.68,1091.52,1775,0
20100225,1134.4,1146.72,1084.96,1087.68,1450,0
20100226,1085.12,1110.24,1081.6,1087.84,2244,0
20100301,1074.88,1074.88,1031.36,1031.36,1169,0
20100302,1017.92,1020.32,997.6,1007.2,694,0
20100303,996.16,1004.64,978.88,997.6,1803,0
20100304,990.08,1003.04,983.52,994.08,238,0
20100305,977.92,980.96,950.72,952.16,338,0
20100308,951.84,951.84,941.76,946.08,756,0
20100309,954.24,954.24,929.6,943.36,336,0
20100310,943.36,943.68,922.08,922.08,295,0
20100311,933.28,936.16,907.2,908.16,644,0
20100312,902.08,915.84,902.08,902.88,288,0
20100315,902.88,925.28,902.56,916,413,0
20100316,896.16,897.76,877.76,877.76,1198,0
20100317,866.72,866.72,848.96,858.56,288,0
20100318,857.44,870.88,852.8,869.44,344,0
20100319,862.08,897.6,861.44,896.96,792,0
20100322,913.92,913.92,862.72,866.08,1321,0
20100323,863.52,873.76,843.2,843.68,219,0
20100324,852,865.12,851.04,865.12,861,0
20100325,845.92,883.84,842.72,882.56,419,0
20100326,870.72,896.64,866.4,885.44,1150,0
20100329,873.92,876.32,865.44,865.44,460,0
20100330,860.96,871.36,852.16,861.44,169,0
20100331,868.64,877.44,853.44,877.44,476,0
20100401,858.24,868,843.68,850.88,477,0
20100405,838.72,843.68,809.76,809.76,335,0
20100406,818.72,818.72,796.96,797.44,366,0
20100407,801.12,822.72,800.8,813.76,114,0
20100408,824,838.4,815.04,816.16,438,0
20100409,815.04,823.04,795.52,795.52,375,0
20100412,793.76,795.36,789.44,792.48,206,0
20100413,796,796.96,781.6,781.6,100,0
20100414,768.32,773.44,746.56,746.72,462,0
20100415,749.28,751.2,739.36,746.24,256,0
20100416,756.8,788.16,756.8,775.36,422,0
20100419,784.64,808,769.12,780.16,1110,0
20100420,769.44,771.36,751.04,751.04,938,0
20100421,747.68,753.92,741.12,742.56,194,0
20100422,767.36,768.96,716.64,716.64,288,0
20100423,714.24,722.88,695.2,695.84,412,0
20100426,699.68,704.8,695.68,704.8,75,0
20100427,706.4,758.4,701.6,754.08,1758,0
20100428,742.24,760.8,739.2,750.08,1207,0
20100429,735.36,738.08,712.32,716.64,991,0
20100430,709.12,759.2,709.12,759.2,674,0
20100503,748.16,748.16,721.76,724,750,0
20100504,754.24,793.28,754.24,785.92,1092,0
20100505,805.28,820.64,778.24,810.88,977,0
20100506,819.36,1001.76,801.12,890.88,2400,0
20100507,905.6,977.28,888.8,957.28,1789,0
20100510,837.44,850.4,808.96,808.96,2716,0
20100511,834.24,836.96,774.4,801.6,671,0
20100512,792.48,792.48,746.24,747.2,835,0
20100513,753.12,775.2,741.28,768.96,1350,0
20100514,782.88,838.72,782.88,822.88,2558,0
20100517,810.08,879.84,796.16,818.56,2109,0
20100518,789.76,863.68,787.04,855.36,1660,0
20100519,869.12,912.8,844.16,878.72,1538,0
20100520,945.44,992.64,936.16,992.32,1696,0
20100521,1042.24,1052.16,932.8,946.56,3986,0
20100524,963.84,975.52,928.96,974.08,1490,0
20100525,1042.4,1084,977.44,977.44,2642,0
20100526,962.56,974.24,880.16,971.68,1253,0
20100527,903.36,922.72,860.96,861.6,1877,0
20100528,863.84,899.2,863.84,887.2,994,0
20100601,916.16,958.08,883.2,957.92,1138,0
20100602,935.84,941.6,883.68,884.16,884,0
20100603,867.04,893.12,859.2,862.88,1738,0
20100604,921.6,975.68,898.08,968.32,2445,0
20100607,960,1030.24,952.96,1030.08,2350,0
20100608,1028,1075.2,1008.64,1009.76,4495,0
20100609,990.72,1010.88,936.16,1001.92,3506,0
20100610,945.76,952.96,905.12,906.72,2456,0
20100611,933.12,933.12,875.84,876.32,2028,0
20100614,846.08,868.48,829.28,864.32,996,0
20100615,846.72,848,800,804.96,1268,0
20100616,816.64,819.68,799.84,812.96,1034,0
20100617,801.28,839.04,800.48,817.44,678,0
20100618,821.6,830.72,808,821.6,556,0
20100621,792.16,848.64,788.48,839.04,1051,0
20100622,835.04,894.4,816.8,892.8,766,0
20100623,896.64,926.56,872,897.76,2100,0
20100624,932.96,945.92,907.36,945.6,1254,0
20100625,951.04,956.64,902.56,913.44,1486,0
20100628,908.96,931.52,905.44,920,1216,0
20100629,964.64,1030.56,964,1014.24,2402,0
20100630,1027.2,1045.6,977.12,1040.8,1142,0
20100701,1044.96,1125.92,1032.32,1060.96,4624,0
20100702,1045.76,1095.84,1037.6,1082.24,2590,0
20100706,1034.08,1116.64,1004.96,1094.4,9018,0
20100707,1088.48,1088.48,976.48,977.6,2900,0
20100708,951.2,978.56,943.84,948.96,1118,0
20100709,952.48,952.48,916.64,916.64,443,0
20100712,915.84,951.2,904.64,930.24,796,0
20100713,893.76,893.76,853.76,864.16,695,0
20100714,869.12,880,855.84,867.68,747,0
20100715,888,898.88,865.76,865.76,521,0
20100716,886.4,957.76,886.4,954.4,3194,0
20100719,944.8,972,931.52,937.92,880,0
20100720,978.56,978.56,893.12,895.36,940,0
20100721,876.8,940.8,876.8,935.52,8172,0
20100722,901.12,901.12,849.6,855.36,2476,0
20100723,862.08,869.44,815.36,817.6,2124,0
20100726,811.52,815.36,771.52,771.52,675,0
20100727,756.16,789.28,755.2,787.2,3080,0
20100728,790.08,827.36,788.96,819.84,3063,0
20100729,801.6,850.08,801.6,829.76,733,0
20100730,866.24,867.2,816.32,822.24,1823,0
20100802,777.92,797.92,772.96,775.36,693,0
20100803,780.32,805.76,775.04,791.2,6228,0
20100804,780,788.8,765.76,767.04,629,0
20100805,782.56,788.48,773.6,778.72,197,0
20100806,806.88,813.76,778.08,782.56,735,0
20100809,769.76,775.04,757.6,759.52,348,0
20100810,794.08,800.64,774.4,788.16,737,0
20100811,833.76,872,832,868.8,1432,0
20100812,921.44,921.44,874.24,884.16,2491,0
20100813,892.96,897.76,877.28,896.96,1874,0
20100816,916,923.04,883.36,895.04,382,0
20100817,869.76,875.2,829.6,847.84,1437,0
20100818,856.8,869.76,827.52,842.24,2861,0
20100819,858.24,893.6,845.92,884.48,3505,0
20100820,893.28,917.28,885.76,887.52,1444,0
20100823,871.2,910.72,862.24,909.6,1005,0
20100824,952.8,976,927.84,954.88,1891,0
20100825,978.88,992,923.84,934.24,1773,0
20100826,925.44,950.08,913.6,949.6,610,0
20100827,940.16,974.4,889.28,890.24,1435,0
20100830,899.52,936.32,888.48,936.32,316,0
20100831,942.72,960.48,915.84,935.2,1640,0
20100901,889.76,895.2,840.8,842.88,3278,0
20100902,842.88,843.84,805.6,808,1038,0
20100903,773.6,786.56,765.92,773.92,1431,0
20100907,782.08,808.96,780.16,806.08,431,0
20100908,795.84,797.12,779.04,792.32,846,0
20100909,761.92,794.72,761.92,779.84,1056,0
20100910,784.64,787.52,769.44,778.4,7288,0
20100913,752,753.28,733.92,736.64,924,0
20100914,742.72,748.64,722.88,736.64,1817,0
20100915,740.8,751.36,722.4,727.2,2260,0
20100916,731.2,740.8,724.16,732.32,736,0
20100917,721.44,740.16,721.44,725.12,1518,0
20100920,720,725.12,688,691.52,2516,0
20100921,690.72,705.92,686.08,703.04,2026,0
20100922,706.4,722.88,692.96,719.04,574,0
20100923,734.72,740,705.76,734.56,825,0
20100924,706.56,706.72,680.48,681.76,491,0
20100927,683.2,690.24,674.24,682.08,938,0
20100928,677.6,704,666.24,668,494,0
20100929,673.76,676.16,660.64,667.84,658,0
20100930,654.72,673.76,639.2,664.48,3210,0
20101001,650.24,672.8,646.08,660.32,812,0
20101004,664.64,689.28,657.28,680.64,958,0
20101005,658.56,663.2,634.24,638.4,849,0
20101006,641.6,659.36,637.12,650.88,7678,0
20101007,643.2,665.28,643.2,653.12,803,0
20101008,652.96,659.04,633.6,639.84,1003,0
20101011,637.76,639.2,628,635.68,353,0
