Date,Open,High,Low,Close,Volume,OpenInt
20110420,37.308,37.345,37.223,37.29,21899,0
20110421,37.355,37.56,37.336,37.56,12668,0
20110425,37.56,37.597,37.419,37.419,32847,0
20110426,37.578,37.578,37.484,37.484,6334,0
20110427,37.606,37.606,37.606,37.606,215,0
20110428,37.672,37.728,37.615,37.624,24584,0
20110502,37.858,37.858,37.858,37.858,1609,0
20110503,37.821,37.821,37.821,37.821,1609,0
20110504,37.849,37.849,37.849,37.849,1343,0
20110506,37.867,37.867,37.867,37.867,1073,0
20110509,37.885,37.941,37.885,37.941,2363,0
20110510,38.053,38.053,38.025,38.025,4831,0
20110511,38.473,38.473,38.091,38.091,2574,0
20110512,37.998,38.007,37.932,37.951,8803,0
20110513,37.961,37.961,37.961,37.961,646,0
20110516,37.877,37.877,37.841,37.841,11404,0
20110517,37.754,37.97,37.662,37.97,20825,0
20110518,37.998,37.998,37.961,37.961,7086,0
20110519,37.932,37.951,37.932,37.951,5045,0
20110525,37.522,37.522,37.522,37.522,109,0
20110601,37.449,37.449,37.449,37.449,2148,0
20110602,37.318,37.318,37.318,37.318,646,0
20110603,37.261,37.261,37.261,37.261,375,0
20110610,36.433,36.433,35.948,36.087,5154,0
20110614,36.209,36.348,36.209,36.348,6962,0
20110615,36.124,37.261,36.124,36.124,667,0
20110617,35.491,35.491,34.988,35.39,1127,0
20110621,33.917,36.246,33.917,36.246,646,0
20110627,36.116,36.116,35.948,35.948,646,0
20110629,36.478,36.683,36.478,36.683,429,0
20110630,37.466,37.522,37.466,37.522,2791,0
20110701,37.54,37.615,37.392,37.615,19324,0
20110705,37.588,37.773,37.588,37.71,600,0
20110707,38.063,38.174,38.044,38.174,1470,0
20110708,37.998,37.998,37.941,37.941,1288,0
20110711,37.382,37.449,37.261,37.261,10737,0
20110712,37.241,37.241,37.241,37.241,109,0
20110714,37.634,37.634,37.634,37.634,1073,0
20110722,37.988,38.229,37.988,38.229,538,0
20110725,38.156,38.156,38.091,38.091,1609,0
20110726,38.025,38.034,37.988,38.034,391,0
20110727,37.764,37.764,37.662,37.662,1073,0
20110728,37.634,37.634,37.484,37.513,2520,0
20110729,37.439,37.439,37.439,37.439,1073,0
20110803,36.786,36.786,36.329,36.329,619,0
20110804,36.191,36.191,35.426,35.509,9283,0
20110808,31.216,31.216,30.396,30.396,321,0
20110809,32.789,32.789,32.789,32.789,135,0
20110810,32.789,32.799,32.745,32.745,321,0
20110815,34.245,34.485,34.245,34.316,5366,0
20110816,31.301,34.038,31.301,33.925,6138,0
20110817,34.457,34.457,34.457,34.457,857,0
20110818,34.839,34.839,33.733,33.733,1719,0
20110822,34.093,34.093,33.35,33.35,646,0
20110823,33.34,33.638,33.34,33.638,966,0
20110824,34.336,34.336,33.249,33.433,2471,0
20110825,33.191,33.191,33.152,33.152,1073,0
20110829,33.88,34.345,33.88,34.345,1329,0
20110831,35.156,35.463,35.156,35.463,2039,0
20110901,35.203,35.361,35.203,35.341,1180,0
20110902,34.95,34.95,34.839,34.839,2471,0
20110906,32.604,34.077,32.604,34.077,1019,0
20110909,34.001,34.001,34.001,34.001,109,0
20110912,33.181,33.181,33.181,33.181,751,0
