Date,Open,High,Low,Close,Volume,OpenInt
20121101,50.538,50.554,50.538,50.554,421,0
20121102,50.081,50.081,50.081,50.081,120,0
20121107,49.958,49.958,49.392,49.392,543,0
20121112,48.872,48.872,48.872,48.872,120,0
20121115,47.969,47.969,47.867,47.867,953,0
20121121,48.98,48.98,48.98,48.98,240,0
20121123,49.318,49.318,49.318,49.318,240,0
20121204,49.75,49.75,49.75,49.75,1809,0
20121211,50.91,50.91,50.91,50.91,120,0
20121231,50.677,50.677,50.677,50.677,120,0
20130115,52.453,52.453,52.453,52.453,421,0
20130118,52.67,52.67,52.67,52.67,1361,0
20130130,53.654,53.654,53.654,53.654,245,0
20130208,54.311,54.311,54.311,54.311,120,0
20130222,54.127,54.127,54.127,54.127,120,0
20130308,55.689,55.696,55.689,55.696,484,0
20130319,55.696,55.696,55.696,55.696,120,0
20130327,56.121,56.121,56.121,56.121,120,0
20130405,56.564,56.564,55.696,55.764,733,0
20130408,55.906,56.19,55.896,56.174,4657,0
20130503,58.411,58.411,58.411,58.411,120,0
20130508,59.301,59.301,58.96,59.109,360,0
20130523,60.057,60.075,59.992,60.075,840,0
20130524,59.542,59.542,59.542,59.542,120,0
20130530,60.366,60.366,60.366,60.366,120,0
20130531,60.401,60.401,60.401,60.401,120,0
20130604,59.954,59.954,59.762,59.762,410,0
20130605,58.824,58.824,58.824,58.824,120,0
20130607,59.619,59.619,59.619,59.619,120,0
20130610,59.953,59.953,59.953,59.953,190,0
20130614,59.568,59.568,59.568,59.568,120,0
20130624,58.605,58.605,57.295,57.295,956,0
20130626,58.413,58.413,58.413,58.413,237,0
20130628,58.906,58.906,58.906,58.906,120,0
20130701,59.082,59.186,59.082,59.186,718,0
20130702,59.376,59.376,59.376,59.376,479,0
20130705,59.476,59.476,59.476,59.476,120,0
20130709,60.746,60.746,60.746,60.746,171,0
20130716,61.674,61.674,61.416,61.416,820,0
20130722,62.503,62.503,62.503,62.503,596,0
20130724,62.162,62.162,62.003,62.084,1736,0
20130725,61.977,61.977,61.977,61.977,237,0
20130729,62.387,62.387,61.883,62.036,536,0
20130730,61.995,61.995,61.977,61.977,299,0
20130802,62.753,62.839,62.679,62.839,3126,0
20130805,62.679,62.78,62.679,62.78,636,0
20130806,62.444,62.444,62.444,62.444,1195,0
20130807,62.027,62.144,62.027,62.144,237,0
20130815,61.716,61.716,61.716,61.716,120,0
20130820,60.489,60.489,60.489,60.489,120,0
20130829,60.421,60.421,60.421,60.421,237,0
20130903,60.327,60.327,60.135,60.135,14229,0
20130904,60.639,60.639,60.611,60.611,420,0
20130905,60.956,60.956,60.715,60.715,12434,0
20130906,60.939,60.989,60.939,60.989,3110,0
20130909,61.241,61.241,61.241,61.241,1195,0
20130912,62.094,62.094,62.036,62.042,1436,0
20130916,63.08,63.08,62.57,62.57,2153,0
20130918,62.881,62.897,62.762,62.771,9089,0
20130920,63.25,63.25,63.202,63.202,563,0
20130925,62.226,62.226,62.226,62.226,1190,0
20130927,62.402,62.402,62.09,62.099,915,0
20131004,62.335,62.335,62.292,62.292,236,0
20131011,62.704,62.704,62.704,62.704,1190,0
20131014,63.115,63.115,63.115,63.115,381,0
20131015,62.939,62.939,62.939,62.939,3572,0
20131017,63.56,63.56,63.326,63.326,715,0
20131022,64.618,64.618,64.618,64.618,3829,0
20131023,64.352,64.352,64.352,64.352,158,0
20131024,64.52,64.52,64.52,64.52,120,0
20131025,64.812,64.812,64.812,64.812,156,0
20131031,64.855,64.855,64.855,64.855,120,0
20131105,64.688,64.688,64.688,64.688,3572,0
20131106,65.249,65.249,65.249,65.249,120,0
20131118,66.392,66.392,66.368,66.368,389,0
20131119,66.232,66.232,66.232,66.232,376,0
20131126,66.938,66.938,66.713,66.713,2039,0
20131129,66.786,66.786,66.786,66.786,369,0
20131204,66.493,66.493,66.183,66.208,1072,0
20131205,66.098,66.098,66.098,66.098,1785,0
20131209,66.837,66.882,66.837,66.882,492,0
20131210,66.669,66.669,66.669,66.669,157,0
20131212,65.72,65.72,65.653,65.653,478,0
20131216,66.19,66.19,66.19,66.19,599,0
20131218,65.812,65.821,65.812,65.821,714,0
20131223,67.371,67.686,67.371,67.686,466,0
20131226,68.108,68.135,68.108,68.135,620,0
20131227,67.971,68.108,67.971,68.072,2575,0
20131230,67.954,67.954,67.954,67.954,292,0
20131231,68.22,68.22,68.22,68.22,339,0
20140102,68.004,68.004,67.669,67.669,434,0
20140109,67.963,68.152,67.937,68.152,1478,0
20140110,68.039,68.039,68.022,68.022,13310,0
20140113,67.996,67.996,67.473,67.473,557,0
20140115,68.59,68.59,68.59,68.59,117,0
20140116,68.409,68.409,68.246,68.246,1130,0
20140121,67.946,67.946,67.946,67.946,137,0
20140122,67.833,68.365,67.833,68.365,580,0
20140123,67.402,67.402,67.402,67.402,285,0
20140124,66.191,66.191,66.191,66.191,180,0
20140127,66.183,66.183,65.66,65.66,738,0
