Date,Open,High,Low,Close,Volume,OpenInt
20130604,49.815,49.815,49.815,49.815,120,0
20130605,49.009,49.025,49.009,49.025,296,0
20130606,49.101,49.361,49.101,49.303,1692,0
20130607,50.622,50.622,49.506,49.506,236,0
20130610,49.616,49.908,49.616,49.807,3517,0
20130611,49.304,49.506,49.221,49.347,3693,0
20130612,49.524,49.524,48.983,48.983,2146,0
20130613,49.078,49.842,49.078,49.834,1058,0
20130614,49.697,49.741,49.697,49.741,356,0
20130617,49.983,49.983,49.866,49.916,594,0
20130618,49.949,50.303,49.949,50.303,834,0
20130619,50.235,50.235,49.724,49.903,2146,0
20130620,49.372,49.372,48.215,48.465,5190,0
20130621,48.404,48.908,47.923,48.275,4421,0
20130624,47.141,47.621,47.141,47.594,2620,0
20130626,48.16,48.537,48.16,48.469,1452,0
20130627,48.892,49.68,48.892,49.067,3739,0
20130701,49.192,49.236,49.117,49.117,477,0
20130702,49.185,49.192,48.764,48.865,2429,0
20130703,48.632,49.514,48.462,48.865,4036,0
20130708,49.328,49.471,49.2,49.335,1666,0
20130709,49.68,49.689,49.596,49.689,356,0
20130710,49.521,49.664,49.521,49.664,712,0
20130711,50.47,50.622,50.396,50.622,1675,0
20130712,50.454,50.454,50.296,50.404,772,0
20130716,50.63,50.748,50.572,50.705,16589,0
20130717,50.924,50.924,50.916,50.916,477,0
20130718,51.069,51.446,51.069,51.352,4672,0
20130719,51.28,51.369,51.28,51.369,832,0
20130722,51.404,51.664,51.404,51.664,4299,0
20130723,51.79,51.89,51.757,51.865,20744,0
20130724,51.976,51.976,51.53,51.53,4524,0
20130725,51.488,51.84,51.454,51.84,1311,0
20130726,51.706,51.798,51.404,51.798,1263,0
20130729,52.069,52.069,51.554,51.674,2959,0
20130730,51.741,51.741,51.352,51.572,2744,0
20130731,51.337,51.722,50.766,51.674,3518,0
20130801,51.941,51.941,51.9,51.91,356,0
20130802,51.933,52.009,51.79,52.009,593,0
20130805,51.941,53.153,51.91,51.918,1666,0
20130806,51.831,51.883,51.715,51.883,1236,0
20130807,51.858,51.858,51.741,51.831,1070,0
20130808,52.128,52.404,52.128,52.404,899,0
20130812,52.186,52.31,52.078,52.109,3647,0
20130813,52.1,52.319,52.1,52.319,430,0
20130814,52.177,52.246,52.168,52.246,671,0
20130815,51.806,51.858,51.446,51.858,3689,0
20130819,51.597,51.63,51.597,51.63,252,0
20130820,51.337,51.654,51.337,51.538,953,0
20130821,51.404,51.404,50.748,51.194,4696,0
20130822,51.352,51.597,51.352,51.446,5308,0
20130823,51.615,51.766,51.446,51.766,23153,0
20130826,51.564,51.564,51.471,51.547,3147,0
20130827,50.982,50.982,50.672,50.705,2261,0
20130828,50.799,50.842,50.705,50.79,2083,0
20130829,50.873,50.873,50.733,50.784,832,0
20130830,50.672,50.723,50.396,50.396,4818,0
20130903,51.22,51.22,50.764,50.822,904,0
20130904,51.12,51.364,51.12,51.364,1536,0
20130905,51.416,51.416,51.416,51.416,120,0
20130906,51.83,51.941,51.313,51.941,4288,0
20130909,52.025,52.286,51.983,52.254,2400,0
20130910,52.273,52.577,52.273,52.577,1119,0
20130911,52.614,52.867,52.614,52.824,2987,0
20130912,52.751,52.791,52.624,52.733,25695,0
20130913,52.594,52.805,52.585,52.749,3833,0
20130916,53.453,53.453,53.26,53.26,2478,0
20130917,53.409,53.418,53.376,53.418,506,0
20130918,53.306,54.425,53.204,54.425,1666,0
20130919,54.551,54.551,54.223,54.223,715,0
20130920,54.061,54.095,53.909,54.069,2867,0
20130924,54.178,54.178,53.958,53.958,19938,0
20130925,53.876,54.077,53.823,53.999,40553,0
20130926,54.138,54.307,53.798,53.798,3129,0
