Date,Open,High,Low,Close,Volume,OpenInt
20130215,14.889,14.889,14.713,14.713,25409,0
20130219,14.758,14.764,14.752,14.758,7787,0
20130220,14.809,14.831,14.752,14.752,11817,0
20130221,14.752,14.752,14.496,14.538,23503,0
20130222,14.7,14.7,14.547,14.547,14280,0
20130225,14.655,14.671,14.443,14.508,29051,0
20130226,14.457,14.457,14.363,14.457,8779,0
20130227,14.488,14.685,14.488,14.671,11406,0
20130228,14.662,14.685,14.662,14.671,4698,0
20130301,14.611,14.662,14.611,14.662,4898,0
20130304,14.671,14.795,14.662,14.795,8744,0
20130305,14.752,14.803,14.752,14.803,2870,0
20130306,14.758,14.758,14.627,14.713,8385,0
20130307,14.744,14.824,14.744,14.816,13366,0
20130308,14.949,14.949,14.854,14.906,57791,0
20130311,14.97,14.97,14.86,14.919,22675,0
20130312,14.94,14.963,14.874,14.919,21105,0
20130313,15.051,15.051,14.839,14.868,13117,0
20130314,15.005,15.005,14.84,14.861,24053,0
20130315,15.005,15.005,14.833,14.84,22134,0
20130318,14.892,14.892,14.772,14.833,16677,0
20130319,14.847,14.876,14.84,14.876,10739,0
20130320,15.033,15.033,14.861,14.98,15423,0
20130321,15.017,15.131,14.989,15.108,15299,0
20130322,15.144,15.219,15.144,15.173,18708,0
20130325,15.108,15.267,15.108,15.182,19133,0
20130326,15.309,15.309,15.173,15.277,22030,0
20130327,15.294,15.294,15.219,15.233,18969,0
20130328,15.301,15.323,15.301,15.301,7172,0
20130401,15.331,15.373,15.318,15.318,3684,0
20130402,15.337,15.383,15.323,15.323,11389,0
20130403,15.257,15.257,15.115,15.168,15941,0
20130404,15.144,15.168,15.138,15.152,12357,0
20130405,15.078,15.168,15.04,15.152,15028,0
20130408,15.267,15.337,15.257,15.331,3539,0
20130409,15.391,15.473,15.391,15.435,11281,0
20130410,15.444,15.538,15.391,15.419,5841,0
20130411,15.531,15.531,15.354,15.368,12663,0
20130412,15.354,15.368,15.309,15.368,10542,0
20130415,15.257,15.257,15.168,15.189,2081,0
20130416,15.391,15.391,15.272,15.368,8695,0
20130417,15.337,15.368,15.233,15.277,18184,0
20130418,15.277,15.301,15.249,15.267,24484,0
