Date,Open,High,Low,Close,Volume,OpenInt
20100823,14.612,14.78,14.559,14.705,88599,0
20100824,14.601,14.825,14.601,14.765,121057,0
20100825,14.66,14.865,14.646,14.846,65596,0
20100826,14.833,14.865,14.653,14.751,107458,0
20100827,14.732,14.944,14.673,14.944,137643,0
20100830,14.786,14.786,14.432,14.619,113994,0
20100831,14.577,14.677,14.365,14.677,132872,0
20100901,14.705,14.773,14.627,14.712,113089,0
20100902,14.773,14.798,14.673,14.765,83717,0
20100903,14.884,14.884,14.673,14.705,72567,0
20100907,14.679,14.805,14.593,14.78,70112,0
20100908,14.792,14.925,14.792,14.818,101348,0
20100909,14.865,15.183,14.846,15.163,144500,0
20100910,15.149,15.288,15.103,15.236,270014,0
20100913,15.268,15.268,15.156,15.167,308443,0
20100914,15.216,15.268,15.167,15.255,348887,0
20100915,15.268,15.328,15.216,15.328,311780,0
20100916,15.301,15.633,15.301,15.599,243958,0
20100917,15.599,15.938,15.574,15.77,438134,0
20100920,15.746,15.905,15.734,15.806,355374,0
20100921,15.858,15.858,15.36,15.427,129717,0
20100922,15.414,15.539,15.268,15.301,170881,0
20100923,15.301,15.467,15.19,15.414,71356,0
20100924,15.427,15.592,15.427,15.434,86266,0
20100927,15.434,15.486,15.336,15.408,105141,0
20100928,15.374,15.568,15.342,15.374,82062,0
20100929,15.408,15.462,15.255,15.408,77474,0
20100930,15.455,15.586,15.396,15.447,81116,0
20101001,15.473,15.479,15.262,15.275,98102,0
20101004,15.275,15.447,15.236,15.36,77047,0
20101005,15.368,15.467,15.36,15.442,71655,0
20101006,15.414,15.447,15.283,15.434,79036,0
20101007,15.42,15.479,15.368,15.442,41903,0
20101008,15.401,15.408,15.336,15.374,57800,0
20101011,15.401,15.401,15.255,15.374,119619,0
20101012,15.388,15.479,15.336,15.414,43107,0
20101013,15.414,15.447,15.354,15.382,189368,0
20101014,15.408,15.414,15.301,15.374,171680,0
20101015,15.348,15.348,14.97,15.024,126530,0
20101018,15.003,15.13,14.957,15.036,59158,0
20101019,15.017,15.13,14.936,15.003,141735,0
20101020,14.97,15.009,14.78,14.911,148249,0
20101021,14.931,14.978,14.78,14.825,161937,0
20101022,14.825,15.003,14.825,14.925,108562,0
20101025,14.97,14.984,14.745,14.78,102434,0
20101026,14.818,15.063,14.745,14.997,325727,0
20101027,14.997,15.103,14.964,15.063,83878,0
20101028,15.103,15.137,14.97,15.115,507241,0
20101029,15.09,15.199,15.068,15.144,93789,0
20101101,15.167,15.301,15.163,15.301,164161,0
20101102,15.315,15.401,15.255,15.255,159684,0
20101103,15.295,15.301,15.043,15.236,111019,0
20101104,15.295,15.368,15.196,15.301,137171,0
20101105,15.321,15.434,15.283,15.396,169666,0
20101108,15.354,15.467,15.308,15.455,87324,0
20101109,15.486,15.486,15.374,15.434,300567,0
20101110,15.42,15.467,15.336,15.382,102484,0
20101111,15.396,15.396,15.255,15.308,91829,0
20101112,15.236,15.275,15.149,15.196,201963,0
