Date,Open,High,Low,Close,Volume,OpenInt
20100823,16.643,16.756,16.59,16.704,132631,0
20100824,16.671,16.838,16.59,16.764,93268,0
20100825,16.771,16.86,16.651,16.771,90474,0
20100826,16.764,16.877,16.626,16.778,123270,0
20100827,16.817,16.945,16.671,16.945,101211,0
20100830,16.832,16.832,16.423,16.68,120265,0
20100831,16.582,16.694,16.394,16.664,136126,0
20100901,16.731,16.808,16.694,16.778,82237,0
20100902,16.8,16.869,16.756,16.771,93096,0
20100903,16.817,16.817,16.687,16.717,75852,0
20100907,16.704,16.832,16.536,16.808,111372,0
20100908,16.817,16.945,16.817,16.913,142123,0
20100909,16.945,17.261,16.905,17.23,154839,0
20100910,17.209,17.411,17.11,17.329,195881,0
20100913,17.343,17.382,17.283,17.355,179337,0
20100914,17.296,17.416,17.296,17.382,141304,0
20100915,17.382,17.531,17.343,17.517,607639,0
20100916,17.531,17.864,17.494,17.832,525085,0
20100917,17.812,18.308,17.812,18.054,636444,0
20100920,18.054,18.149,17.984,18.054,368010,0
20100921,18.036,18.06,17.578,17.682,488299,0
20100922,17.646,17.796,17.456,17.57,408125,0
20100923,17.57,17.719,17.416,17.667,275654,0
20100924,17.719,17.902,17.705,17.705,145416,0
20100927,17.691,17.771,17.606,17.652,99638,0
20100928,17.667,17.886,17.545,17.599,196551,0
20100929,17.554,17.719,17.456,17.638,259230,0
20100930,17.622,17.856,17.606,17.631,247174,0
20101001,17.66,17.675,17.465,17.517,93664,0
20101004,17.525,17.667,17.478,17.585,130032,0
20101005,17.554,17.667,17.554,17.638,127738,0
20101006,17.614,17.66,17.486,17.592,115424,0
20101007,17.599,17.719,17.563,17.691,77802,0
20101008,17.614,17.614,17.503,17.592,86721,0
20101011,17.554,17.631,17.456,17.614,103955,0
20101012,17.622,17.719,17.554,17.631,1287406,0
20101013,17.699,17.699,17.563,17.622,127120,0
20101014,17.622,17.622,17.465,17.503,274277,0
20101015,17.525,17.563,17.064,17.164,235189,0
20101018,17.086,17.23,17.058,17.164,51667,0
20101019,17.072,17.261,16.974,17.072,241141,0
20101020,16.998,17.08,16.838,16.966,212730,0
20101021,16.928,17.011,16.869,16.905,156995,0
20101022,16.921,17.123,16.913,17.042,119964,0
20101025,17.064,17.104,16.877,16.913,177910,0
20101026,16.756,17.23,16.756,17.164,299917,0
20101027,17.164,17.261,17.123,17.216,96929,0
20101028,17.216,17.304,17.14,17.276,53830,0
20101029,17.261,17.355,17.191,17.276,107541,0
20101101,17.283,17.416,17.276,17.404,90461,0
20101102,17.397,17.531,17.304,17.365,306521,0
20101103,17.276,17.397,17.191,17.29,171099,0
20101104,17.337,17.517,17.313,17.411,170112,0
20101105,17.397,17.531,17.374,17.442,144730,0
20101108,17.411,17.606,17.389,17.539,149425,0
20101109,17.478,17.578,17.456,17.539,113410,0
20101110,17.471,17.554,17.389,17.456,100972,0
20101111,17.411,17.451,17.304,17.322,94775,0
20101112,17.237,17.322,17.223,17.252,66736,0
20101115,17.23,17.313,17.23,17.252,104954,0
20101116,17.191,17.216,16.89,17.094,163877,0
20101117,16.966,17.191,16.869,17.08,74848,0
20101118,17.164,17.329,17.117,17.313,62283,0
20101119,17.29,17.304,17.201,17.223,61308,0
20101122,17.201,17.223,16.981,17.155,155833,0
20101123,17.117,17.117,16.853,16.981,197802,0
20101124,16.981,17.27,16.981,17.025,139453,0
20101126,17.004,17.011,16.877,16.974,94486,0
20101129,16.764,16.784,16.416,16.664,93588,0
20101130,16.574,16.582,16.213,16.506,158295,0
20101201,16.634,16.886,16.59,16.59,119217,0
20101202,16.529,16.59,16.302,16.356,131787,0
20101203,16.309,16.362,16.228,16.273,90633,0
20101206,16.213,16.409,16.017,16.362,161988,0
20101207,16.325,16.446,16.175,16.281,83147,0
20101208,16.213,16.281,16.114,16.16,60336,0
20101209,16.16,16.334,16.084,16.249,96879,0
20101210,16.144,16.409,16.076,16.4,116503,0
20101213,16.325,16.394,16.213,16.341,80465,0
20101214,16.249,16.317,15.993,15.993,83948,0
20101215,15.941,16.123,15.649,15.722,161007,0
20101216,15.82,15.82,15.17,15.488,301511,0
20101217,15.511,15.835,15.45,15.728,67632,0
20101220,15.783,15.813,15.253,15.286,96805,0
20101221,15.253,15.547,15.157,15.46,116114,0
20101222,15.338,15.661,15.338,15.563,88724,0
20101223,15.535,15.661,15.419,15.488,133008,0
20101227,15.488,15.641,15.381,15.595,72056,0
20101228,15.606,15.761,15.535,15.761,103221,0
20101229,15.857,15.957,15.761,15.851,71169,0
20101230,15.911,16.062,15.797,16.009,56151,0
20101231,16.123,16.348,16.07,16.317,44984,0
20110103,16.362,16.416,16.241,16.334,127912,0
20110104,16.302,16.438,16.166,16.438,161603,0
20110105,16.438,16.597,16.394,16.522,112704,0
20110106,16.483,16.612,16.483,16.552,157587,0
20110107,16.59,16.59,16.348,16.362,63295,0
20110110,16.409,16.409,16.221,16.341,81465,0
20110111,16.325,16.416,16.295,16.302,100854,0
20110112,16.334,16.664,16.302,16.492,119224,0
20110113,16.476,16.582,16.378,16.4,125962,0
20110114,16.37,16.582,16.356,16.356,82855,0
20110118,16.341,16.453,16.256,16.309,47467,0
20110119,16.265,16.317,16.19,16.249,74063,0
20110120,16.221,16.295,16.221,16.273,86283,0
20110121,16.273,16.289,16.144,16.182,63075,0
20110124,16.228,16.295,16.182,16.196,39897,0
20110125,16.235,16.235,16.123,16.144,88371,0
20110126,16.062,16.228,16.054,16.13,724989,0
20110127,16.182,16.249,16.136,16.241,135131,0
20110128,16.235,16.249,16.084,16.084,74857,0
20110131,16.076,16.249,16.046,16.241,555406,0
20110201,16.213,16.483,16.196,16.453,118730,0
20110202,16.362,16.651,16.362,16.643,49368,0
20110203,16.559,16.957,16.552,16.86,102189,0
20110204,16.913,17.133,16.832,16.951,117753,0
20110207,16.966,17.058,16.731,16.778,56801,0
20110208,16.717,16.957,16.717,16.957,112114,0
20110209,16.974,17.14,16.877,17.004,88544,0
20110210,16.913,17.223,16.877,17.177,88580,0
20110211,17.058,17.27,17.034,17.27,61572,0
20110214,17.209,17.237,17.072,17.104,111433,0
20110215,17.018,17.29,17.018,17.148,68472,0
20110216,17.133,17.343,17.133,17.304,121837,0
20110218,17.201,17.435,17.201,17.426,68798,0
20110222,17.252,17.329,17.17,17.209,80142,0
20110223,17.283,17.304,17.104,17.244,93805,0
