Date,Open,High,Low,Close,Volume,OpenInt
19700102,1.5581,1.6047,1.5581,1.5891,13289,0
19700105,1.5891,1.6047,1.566,1.6047,22704,0
19700106,1.6047,1.62,1.597,1.597,18059,0
19700107,1.597,1.6047,1.5812,1.6047,9932,0
19700108,1.597,1.597,1.5812,1.5812,21025,0
19700109,1.5812,1.6047,1.5736,1.597,21673,0
19700112,1.5891,1.5891,1.566,1.5812,15093,0
19700113,1.5812,1.5812,1.5349,1.5349,20512,0
19700114,1.5349,1.5426,1.5116,1.5349,48762,0
19700115,1.5349,1.5349,1.5192,1.5269,30314,0
19700116,1.5269,1.5581,1.5192,1.5192,30057,0
19700119,1.5269,1.5581,1.5269,1.5502,16255,0
19700120,1.5502,1.5502,1.5192,1.5192,25545,0
19700121,1.5192,1.5581,1.5192,1.5349,28898,0
19700122,1.5426,1.5891,1.5426,1.5812,32636,0
19700123,1.5812,1.5812,1.5192,1.5192,15349,0
19700126,1.5192,1.5349,1.5116,1.5116,15480,0
19700127,1.504,1.504,1.4805,1.4961,16383,0
19700128,1.4961,1.4961,1.4573,1.4729,34446,0
19700129,1.4729,1.4729,1.434,1.4573,33672,0
19700130,1.4573,1.465,1.4421,1.4421,19607,0
19700202,1.4573,1.4961,1.4573,1.465,35090,0
19700203,1.465,1.4805,1.434,1.4729,30444,0
19700204,1.4961,1.504,1.465,1.4882,27477,0
19700205,1.4882,1.4882,1.465,1.4729,16898,0
19700206,1.4805,1.5116,1.4805,1.4882,19607,0
19700209,1.4882,1.5269,1.4805,1.4805,19737,0
19700210,1.4805,1.4805,1.4498,1.4573,46957,0
19700211,1.4573,1.465,1.434,1.465,31476,0
19700212,1.465,1.465,1.4498,1.465,22573,0
19700213,1.465,1.4729,1.4498,1.4729,35734,0
19700216,1.4729,1.4961,1.434,1.434,29284,0
19700217,1.434,1.465,1.4262,1.4421,29154,0
19700218,1.4498,1.4882,1.4498,1.4882,21673,0
19700219,1.4882,1.4961,1.4729,1.4729,23094,0
19700220,1.4729,1.4882,1.4573,1.4882,16770,0
19700224,1.4882,1.504,1.4729,1.4729,23222,0
19700225,1.4961,1.5812,1.4961,1.5736,27995,0
19700226,1.5736,1.5812,1.5426,1.566,36380,0
19700227,1.5812,1.6047,1.5812,1.5812,28509,0
19700302,1.5812,1.6587,1.5812,1.6514,34315,0
19700303,1.6514,1.6663,1.6279,1.6356,23610,0
19700304,1.6356,1.6663,1.6279,1.6514,30705,0
19700305,1.6514,1.6663,1.6279,1.6279,58954,0
19700306,1.6279,1.6434,1.5891,1.5891,28380,0
19700309,1.5891,1.6123,1.5891,1.5891,18315,0
19700310,1.5891,1.6123,1.5812,1.5812,17932,0
19700311,1.5812,1.5891,1.5812,1.5812,15995,0
19700312,1.5812,1.5812,1.566,1.5812,26316,0
19700313,1.5812,1.597,1.5581,1.5891,17674,0
19700316,1.5891,1.6123,1.5812,1.5891,13545,0
19700317,1.5891,1.597,1.5581,1.5812,18447,0
19700318,1.5812,1.5891,1.5736,1.5812,22446,0
19700319,1.5812,1.5812,1.566,1.566,23864,0
19700320,1.5736,1.5891,1.5736,1.5891,19737,0
19700323,1.5891,1.5891,1.566,1.5812,11226,0
19700324,1.5812,1.6123,1.5812,1.5891,18962,0
19700325,1.5891,1.6663,1.5812,1.6587,112619,0
19700326,1.6587,1.6587,1.62,1.6279,39606,0
19700330,1.6279,1.6514,1.6279,1.6356,47344,0
19700331,1.6356,1.6514,1.62,1.6356,38573,0
19700401,1.6356,1.6514,1.6279,1.6514,25415,0
19700402,1.6514,1.6514,1.6279,1.6279,27221,0
19700403,1.6356,1.6744,1.6356,1.6744,22317,0
19700406,1.6744,1.6822,1.6663,1.6744,19352,0
19700407,1.6663,1.6663,1.6434,1.6587,17028,0
19700408,1.6587,1.6663,1.6434,1.6514,14706,0
19700409,1.6514,1.6744,1.6514,1.6663,16641,0
19700410,1.6663,1.6663,1.6434,1.6587,13676,0
19700413,1.6587,1.6663,1.6434,1.6587,19867,0
19700414,1.6587,1.6587,1.6356,1.6514,31606,0
19700415,1.6514,1.6514,1.6279,1.6434,22059,0
19700416,1.6434,1.6514,1.6047,1.6279,15480,0
19700417,1.6123,1.6123,1.5891,1.5891,14190,0
19700420,1.5891,1.6047,1.5812,1.5891,15868,0
19700421,1.5891,1.597,1.5812,1.5812,19221,0
19700422,1.5812,1.5891,1.566,1.5891,26316,0
19700423,1.566,1.566,1.5192,1.5349,24770,0
19700424,1.5349,1.5426,1.4882,1.4882,28380,0
19700427,1.4882,1.4882,1.4498,1.4498,52245,0
19700428,1.4498,1.4729,1.4421,1.4498,27477,0
19700429,1.4498,1.4729,1.4498,1.4729,26186,0
19700430,1.4729,1.4882,1.4498,1.4805,24508,0
19700501,1.4573,1.4573,1.4186,1.4498,69534,0
19700504,1.4498,1.4498,1.4031,1.4108,38057,0
19700505,1.4186,1.4186,1.3954,1.4108,29025,0
19700506,1.4108,1.4421,1.3954,1.4108,42828,0
19700507,1.4108,1.4108,1.372,1.4108,31220,0
19700508,1.4108,1.4108,1.372,1.3954,24508,0
19700511,1.3874,1.3874,1.3488,1.3641,27477,0
19700512,1.3641,1.3798,1.3641,1.3798,24256,0
19700513,1.372,1.372,1.3332,1.3488,26443,0
19700514,1.3488,1.3565,1.3099,1.3488,41282,0
19700515,1.3488,1.3565,1.3256,1.3565,34446,0
19700518,1.3565,1.3798,1.3409,1.3409,47344,0
19700519,1.3409,1.3565,1.3179,1.3179,27477,0
19700520,1.3179,1.3256,1.287,1.287,35734,0
19700521,1.287,1.2945,1.2636,1.2945,33410,0
19700522,1.2945,1.3256,1.2792,1.3023,49281,0
19700525,1.3023,1.3256,1.287,1.3179,21673,0
19700526,1.3179,1.3256,1.2945,1.3023,31476,0
19700527,1.3099,1.3641,1.3099,1.3409,45540,0
19700528,1.3409,1.4108,1.3332,1.4108,47604,0
19700529,1.4108,1.4262,1.4031,1.4186,57151,0
19700601,1.4186,1.4262,1.4108,1.4262,27477,0
19700602,1.4262,1.434,1.3874,1.4031,53020,0
19700603,1.4031,1.4031,1.372,1.4031,30575,0
19700604,1.4031,1.4108,1.372,1.3874,26443,0
