Date,Open,High,Low,Close,Volume,OpenInt
20130213,14.293,14.312,14.017,14.026,15540,0
20130214,14.158,14.312,13.741,13.826,26935,0
20130215,13.731,13.731,13.084,13.282,21259,0
20130219,13.348,13.348,12.871,13.34,12648,0
20130220,13.168,13.33,12.481,12.586,11582,0
20130221,12.776,12.929,12.644,12.776,23564,0
20130222,13.111,13.634,12.968,13.483,19947,0
20130225,13.817,13.96,13.664,13.846,25907,0
20130226,13.846,13.846,13.387,13.558,21238,0
20130227,13.348,13.893,13.348,13.751,20104,0
20130228,13.41,13.515,13.189,13.303,29959,0
20130301,13.207,13.568,12.997,13.064,16750,0
20130304,13.235,13.933,13.007,13.245,20229,0
20130305,13.292,13.433,12.767,12.767,31743,0
20130306,12.7,12.948,12.51,12.938,15014,0
20130307,13.149,13.615,13.149,13.615,5785,0
20130308,13.586,13.586,13.139,13.34,33126,0
20130311,13.377,13.55,13.377,13.501,29734,0
20130312,13.664,13.836,13.501,13.654,48345,0
20130313,13.701,13.711,13.168,13.396,8706,0
20130314,13.245,13.453,12.901,12.901,18353,0
20130315,13.255,13.396,13.159,13.396,109702,0
20130318,13.836,13.836,13.358,13.377,10645,0
20130319,13.301,13.96,13.282,13.951,10964,0
20130320,14.331,14.416,13.443,13.443,19647,0
20130321,13.634,13.817,13.483,13.778,15582,0
20130322,13.721,13.788,13.615,13.634,19097,0
20130325,13.674,13.691,13.187,13.255,9755,0
20130326,13.159,13.255,12.948,13.255,21290,0
20130327,13.406,13.416,13.129,13.282,8207,0
20130328,13.301,13.31,13.016,13.074,25722,0
20130401,13.301,13.301,13.044,13.197,16361,0
20130402,13.084,13.111,12.501,12.51,22513,0
20130403,12.586,12.615,11.376,11.9,52465,0
20130404,12.013,12.224,11.174,12.053,130056,0
20130405,12.234,12.358,11.88,11.88,28648,0
20130408,11.796,12.194,11.766,11.986,13005,0
20130409,12.023,12.3,11.956,12.204,48315,0
20130410,12.186,12.271,11.746,11.776,64809,0
20130411,11.816,11.938,11.679,11.766,33354,0
20130412,11.383,11.401,10.787,11.103,42074,0
20130415,10.564,10.911,9.873,9.941,57711,0
20130416,10.458,10.787,10.219,10.392,71476,0
20130417,10.363,10.429,9.727,9.833,57888,0
20130418,9.708,10.902,9.708,10.429,38327,0
20130419,10.449,11.218,10.449,11.093,48122,0
20130422,11.679,11.796,11.045,11.478,40736,0
20130423,11.468,11.776,11.103,11.325,27130,0
20130424,11.698,12.142,11.468,12.113,29544,0
20130425,12.834,13.391,12.651,12.968,67986,0
20130426,13.17,13.258,12.698,12.87,51408,0
20130429,12.997,13.065,12.851,12.89,17341,0
20130430,12.814,13.437,12.737,13.381,37600,0
20130501,13.113,13.679,13.055,13.63,31110,0
20130502,13.815,14.149,13.179,13.506,50046,0
20130503,13.535,14.13,13.535,13.844,33542,0
20130506,14.035,14.035,13.564,13.582,19184,0
20130507,13.381,13.4,12.814,13.248,62796,0
20130508,13.248,13.737,13.248,13.679,32251,0
20130509,13.573,14.091,13.41,13.795,21335,0
20130510,13.477,14.063,13.199,14.035,45261,0
20130513,13.969,13.997,13.698,13.911,24187,0
20130514,13.911,13.94,13.6,13.61,24300,0
20130515,13.496,13.496,13.14,13.258,46027,0
20130516,13.035,13.95,12.861,13.266,88700,0
20130517,13.131,13.131,12.497,12.592,46769,0
20130520,12.641,12.968,11.537,12.506,86544,0
20130521,12.487,13.266,12.459,13.16,67444,0
20130522,13.333,13.815,13.199,13.199,105008,0
20130523,13.313,13.506,13.238,13.323,33070,0
20130524,13.228,13.323,12.938,13.035,17881,0
20130528,13.065,13.218,12.756,12.756,18208,0
20130529,12.785,13.199,12.785,13.189,26694,0
20130530,13.361,14.256,13.351,14.081,58141,0
20130531,14.081,14.11,13.795,13.862,63021,0
20130603,14.139,14.168,13.834,13.94,47383,0
20130604,13.844,13.891,13.535,13.727,34926,0
20130605,13.698,14.12,13.535,13.718,27476,0
20130606,13.805,14.447,13.767,14.071,68647,0
20130607,14.053,14.053,13.447,13.62,56747,0
20130610,13.477,14.071,13.477,14.007,18791,0
20130611,13.891,13.891,13.573,13.573,31728,0
20130612,13.63,13.718,13.323,13.391,30235,0
20130613,13.381,13.525,12.978,13.094,39356,0
20130614,13.238,13.238,12.851,12.92,40274,0
20130617,12.978,13.085,12.824,12.929,15040,0
20130618,12.929,12.929,12.573,12.679,46377,0
20130619,12.689,12.785,12.142,12.17,25568,0
20130620,11.344,11.66,10.883,10.959,106465,0
20130621,10.986,11.383,10.834,11.256,116767,0
20130624,10.93,10.968,10.324,10.334,90833,0
20130625,10.718,11.468,10.718,10.939,67463,0
20130626,10.458,10.834,9.987,10.737,143314,0
20130627,10.787,11.025,10.603,10.737,113543,0
20130628,10.661,11.652,10.544,11.613,66228,0
20130701,11.841,12.401,11.825,12.122,54397,0
20130702,12.497,12.497,11.121,11.488,97786,0
20130703,11.642,12.257,11.623,12.189,44208,0
20130705,11.325,11.766,11.179,11.545,59866,0
20130708,11.718,11.841,11.527,11.583,24900,0
20130709,11.806,11.871,11.401,11.642,27350,0
20130710,11.679,11.987,11.373,11.766,38495,0
20130711,12.391,12.88,12.363,12.842,43878,0
20130712,12.842,12.842,12.179,12.449,63991,0
20130715,12.631,12.978,12.401,12.89,48412,0
20130716,13.025,13.17,12.698,13.14,111289,0
20130717,13.104,13.228,12.516,12.727,86302,0
20130718,12.698,12.756,12.382,12.573,50619,0
20130719,12.698,13.17,12.459,13.15,43435,0
20130722,13.323,13.911,13.16,13.67,153105,0
20130723,13.969,14.785,13.467,13.94,128132,0
20130724,13.997,14.045,13.303,13.437,71396,0
20130725,13.41,14.467,13.41,14.313,142996,0
20130726,14.236,14.727,14.101,14.439,108879,0
20130729,14.295,14.717,14.197,14.602,47185,0
20130730,14.457,14.457,14.11,14.13,41640,0
20130731,14.11,14.419,13.698,14.149,173300,0
20130801,14.381,14.516,13.718,13.891,104514,0
20130802,13.747,13.901,13.564,13.65,59890,0
20130805,14.081,14.081,13.515,13.805,32725,0
20130806,13.535,13.545,12.978,13.007,78400,0
20130807,12.978,13.323,12.948,13.055,50275,0
20130808,13.313,13.844,13.104,13.767,47222,0
20130809,13.727,14.323,13.65,14.178,43444,0
20130812,14.631,14.976,14.554,14.707,61826,0
20130813,14.574,15.189,14.487,14.671,74866,0
20130814,14.736,15.699,14.621,15.322,92122,0
20130815,15.248,15.899,14.918,15.852,79093,0
20130816,15.891,16.159,15.515,15.987,80837,0
20130819,16.043,16.043,15.774,15.977,39003,0
20130820,15.957,16.38,15.803,16.216,37063,0
20130821,15.938,15.987,15.448,15.65,58271,0
20130822,15.66,15.822,15.257,15.515,66236,0
20130823,15.267,15.603,15.053,15.603,113565,0
20130826,15.679,15.774,15.332,15.699,174341,0
20130827,15.764,16.342,15.707,15.812,569829,0
20130828,15.995,16.131,15.496,15.67,147039,0
20130829,15.707,15.822,15.284,15.746,85165,0
20130830,15.506,15.948,15.496,15.679,37033,0
20130903,15.995,16.073,15.612,15.871,100648,0
20130904,15.736,16.015,15.679,15.995,54293,0
20130905,15.909,15.948,15.238,15.457,50823,0
20130906,15.746,16.159,15.746,16.149,75782,0
20130909,16.226,16.226,15.612,15.67,82403,0
20130910,15.41,15.41,14.275,14.698,165370,0
20130911,14.803,14.996,14.661,14.776,106992,0
20130912,14.304,14.419,13.931,14.227,91589,0
20130913,14.071,14.727,14.045,14.698,55307,0
20130916,15.257,15.506,14.803,14.898,379606,0
20130917,14.967,15.131,14.584,15.063,293087,0
20130918,14.947,16.342,14.439,16.235,537842,0
20130919,16.505,16.708,15.899,16.332,1068068,0
