Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.086,29.138,28.784,29.059,137446,0
20050228,28.898,29.164,28.416,28.416,275791,0
20050301,28.505,29.129,28.505,29.077,187609,0
20050302,29.077,29.386,28.916,29.199,106117,0
20050303,29.251,29.481,29.102,29.199,132450,0
20050304,29.096,29.914,29.031,29.517,86821,0
20050307,29.517,29.649,29.226,29.455,443312,0
20050308,29.455,29.64,29.111,29.377,102829,0
20050309,29.297,29.429,29.05,29.077,85801,0
20050310,28.898,29.031,28.343,28.371,85236,0
20050311,28.416,28.723,28.371,28.698,76154,0
20050314,28.688,28.849,28.477,28.591,35411,0
20050315,28.679,29.242,28.636,28.733,99083,0
20050316,28.733,28.954,28.398,28.477,85573,0
20050317,28.547,28.733,28.274,28.477,59020,0
20050318,28.495,28.532,28.151,28.434,202249,0
20050321,28.458,28.458,27.939,28.416,65148,0
20050322,28.416,28.723,27.833,27.887,94200,0
20050323,27.851,28.336,27.727,27.842,87619,0
20050324,27.976,28.343,27.755,28.011,66051,0
20050328,28.055,28.336,27.727,27.816,115312,0
20050329,27.816,27.816,25.86,26.257,433667,0
20050330,26.478,27.957,26.478,27.446,204517,0
20050331,27.401,27.595,26.979,27.207,167402,0
20050401,27.357,27.641,26.944,26.963,139599,0
20050404,27.05,27.418,27.05,27.261,529456,0
20050405,27.235,27.719,27.235,27.473,154127,0
20050406,27.482,28.055,27.482,27.683,163661,0
20050407,27.833,28.196,27.667,28.151,162184,0
20050408,28.326,28.326,27.534,27.693,89093,0
20050411,27.755,28.011,27.27,27.798,134491,0
20050412,27.798,28.16,27.137,28.037,97379,0
20050413,27.904,27.904,27.05,27.315,133698,0
20050414,27.315,27.315,26.786,27.032,131317,0
20050415,26.935,27.094,26.292,26.433,272502,0
20050418,26.478,26.741,26.257,26.601,108841,0
20050419,26.696,27.217,26.679,27.12,77405,0
20050420,27.111,27.418,26.468,26.52,123936,0
20050421,26.741,27.534,26.741,27.155,133698,0
20050422,27.357,28.318,27.325,28.019,291001,0
20050425,28.019,28.532,27.993,28.284,204517,0
20050426,28.196,28.452,27.755,27.93,178302,0
20050427,27.93,27.93,27.499,27.755,257633,0
20050428,27.764,27.861,27.491,27.499,189536,0
20050429,27.562,27.746,27.401,27.632,262624,0
20050502,27.641,28.213,27.641,28.213,165590,0
20050503,28.205,28.547,28.019,28.318,198616,0
20050504,28.452,28.84,28.416,28.84,94768,0
20050505,28.821,28.944,28.505,28.698,86030,0
20050506,28.858,28.988,28.564,28.76,55952,0
20050509,28.679,29.332,28.388,29.314,67869,0
20050510,29.164,29.164,28.019,28.274,180456,0
20050511,28.284,28.467,27.755,28.196,91249,0
20050512,28.284,28.458,27.41,27.491,91592,0
20050513,27.446,27.709,26.593,27.014,87619,0
20050516,27.086,27.755,27.086,27.427,122686,0
20050517,27.297,27.401,27.217,27.244,114856,0
20050518,27.357,27.976,27.357,27.833,194872,0
20050519,27.833,28.097,27.755,28.089,180001,0
20050520,28.105,28.105,27.534,27.667,145839,0
20050523,27.755,28.055,27.667,27.783,123708,0
20050524,27.667,27.746,27.349,27.667,79332,0
20050525,27.667,27.667,27.094,27.401,61856,0
20050526,27.401,27.709,27.315,27.683,126776,0
20050527,27.683,27.877,27.579,27.808,33822,0
20050531,27.808,27.833,27.553,27.553,101465,0
20050601,27.553,28.416,27.553,28.045,171607,0
20050602,27.984,28.124,27.887,28.019,47330,0
20050603,27.93,28.037,27.755,27.764,114743,0
20050606,27.842,28.124,27.667,27.976,167402,0
20050607,28.055,28.654,28.019,28.371,159005,0
20050608,28.458,28.514,27.887,27.984,67869,0
20050609,27.984,28.554,27.667,28.187,166386,0
20050610,28.231,28.416,28.019,28.079,26332,0
20050613,27.93,28.416,27.887,28.205,45625,0
20050614,28.151,28.707,28.105,28.707,106003,0
20050615,28.793,28.793,28.079,28.645,98173,0
20050616,28.564,28.812,28.16,28.371,123596,0
20050617,28.371,28.618,27.93,27.984,224264,0
20050620,27.798,28.187,27.401,27.93,153787,0
20050621,27.868,27.877,27.517,27.622,116788,0
20050622,27.755,27.861,27.27,27.544,139032,0
20050623,27.491,27.622,27.104,27.104,110432,0
20050624,27.05,27.418,26.662,27.05,291001,0
20050627,27.006,27.315,26.953,27.05,151742,0
20050628,27.226,27.949,27.182,27.877,131541,0
20050629,27.877,28.239,27.525,28.231,122803,0
20050630,28.326,28.581,28.239,28.293,143686,0
20050701,28.458,28.458,28.274,28.416,113154,0
20050705,27.842,29.111,27.816,28.802,165363,0
20050706,28.715,29.102,28.679,28.898,129727,0
20050707,28.636,29.199,28.591,29.156,113383,0
20050708,29.148,29.703,28.907,29.676,95221,0
20050711,29.815,30.539,29.815,30.309,151968,0
20050712,30.263,30.696,30.052,30.425,73545,0
20050713,30.353,30.433,29.771,29.788,53794,0
20050714,30.002,30.263,29.499,29.649,46081,0
20050715,29.64,30.01,28.591,29.297,135854,0
20050718,29.156,29.367,28.889,29.031,62309,0
20050719,29.119,29.738,29.119,29.568,69912,0
20050720,29.358,29.596,29.077,29.481,109637,0
20050721,29.411,30.152,29.138,29.631,124731,0
20050722,29.605,32.618,29.605,32.202,321304,0
20050725,31.235,31.853,30.328,30.511,136080,0
20050726,30.53,31.262,30.443,30.951,118262,0
20050727,30.951,30.998,30.273,30.459,125183,0
20050728,30.574,30.988,30.346,30.884,164341,0
20050729,30.751,31.059,30.53,30.875,106003,0
20050801,30.803,31.702,30.803,31.348,146065,0
20050802,31.438,31.455,31.218,31.367,162866,0
20050803,31.279,31.853,31.279,31.693,344113,0
20050804,31.455,31.773,31.146,31.579,235274,0
20050805,31.589,31.589,30.875,31.172,166267,0
20050808,31.235,31.367,30.696,31.136,59470,0
20050809,31.19,31.473,30.866,31.042,95450,0
20050810,31.103,31.473,30.574,31.076,228123,0
20050811,31.015,31.948,31.015,31.895,125072,0
20050812,31.765,31.765,31.235,31.473,143345,0
20050815,31.509,32.132,31.491,31.755,96583,0
20050816,31.631,31.675,31.103,31.227,157530,0
20050817,31.136,31.279,30.829,31.19,110772,0
20050818,31.103,31.111,30.751,31.059,97379,0
20050819,31.059,31.136,30.574,30.942,60379,0
20050822,31.103,31.279,30.671,31.181,86143,0
20050823,31.288,31.509,30.927,31.068,78313,0
20050824,31.076,32.075,31.076,31.323,152650,0
20050825,31.367,31.499,31.209,31.384,60265,0
20050826,31.41,31.41,30.484,30.671,112249,0
20050829,30.671,31.155,30.53,31.085,97946,0
20050830,31.095,31.095,30.511,30.76,62083,0
20050831,30.76,31.853,30.372,31.737,115765,0
20050901,31.826,31.965,31.367,31.781,59811,0
20050902,31.808,31.853,31.033,31.323,78880,0
20050906,31.419,32.194,31.227,32.158,76950,0
20050907,32.158,32.166,31.71,32.125,59699,0
20050908,32.028,32.125,31.597,32.056,74908,0
20050909,32.194,32.602,31.992,32.576,79559,0
20050912,32.422,33.412,32.158,33.173,79106,0
20050913,32.602,32.618,31.737,31.974,180001,0
20050914,31.983,32.118,31.57,31.799,119283,0
20050915,31.799,32.267,31.746,32.239,81263,0
20050916,32.422,32.935,32.267,32.864,283965,0
20050919,32.779,32.779,31.719,32.091,173533,0
20050920,32.248,32.652,32.1,32.337,148000,0
20050921,32.294,32.294,31.693,31.781,140620,0
20050922,31.702,31.702,30.723,30.803,365910,0
20050923,30.751,31.103,30.484,31.068,205880,0
20050926,31.235,31.737,31.155,31.518,112359,0
20050927,31.429,31.455,30.662,31.297,155148,0
20050928,31.297,31.693,31.068,31.552,110318,0
20050929,31.544,32.576,31.288,32.356,88300,0
20050930,32.512,32.512,31.719,32.485,128024,0
20051003,32.688,34.126,32.688,33.659,284986,0
20051004,33.703,34.469,33.358,33.614,132337,0
20051005,33.614,33.623,32.602,32.821,496653,0
20051006,32.821,33.358,32.779,33.155,343777,0
20051007,33.129,34.381,33.129,34.143,194872,0
20051010,33.49,33.852,33.306,33.499,263535,0
20051011,33.483,33.879,33.483,33.659,223584,0
20051012,33.632,34.08,33.438,33.614,273181,0
20051013,33.262,33.923,33.173,33.483,187609,0
20051014,33.524,33.852,33.201,33.483,211327,0
20051017,33.04,33.623,32.883,33.623,143345,0
20051018,33.438,33.642,33.031,33.244,152195,0
20051019,33.129,33.843,32.44,33.843,176143,0
20051020,33.843,34.205,33.04,33.279,150492,0
20051021,33.279,33.87,33.219,33.262,162752,0
20051024,33.244,33.87,32.302,33.745,183862,0
20051025,33.789,33.789,32.864,33.279,221543,0
20051026,33.129,33.596,33.111,33.394,188289,0
20051027,33.306,33.306,32.723,32.9,166267,0
20051028,33.008,34.381,33.008,34.17,219044,0
20051031,34.187,34.582,33.825,34.035,168767,0
20051101,33.905,34.09,33.348,33.729,119625,0
20051102,33.789,34.072,33.366,33.852,295431,0
20051103,34.009,34.099,33.695,33.781,223926,0
20051104,33.879,33.923,33.321,33.483,252752,0
20051107,33.49,33.659,33.27,33.483,243106,0
20051108,33.306,33.992,33.173,33.992,211327,0
20051109,34.126,34.881,33.888,34.363,200205,0
20051110,34.381,34.697,33.719,34.381,362164,0
20051111,35.069,35.587,34.529,34.547,494386,0
20051114,34.381,34.803,34.099,34.372,209285,0
20051115,34.257,34.363,33.366,33.789,239021,0
20051116,33.789,34.099,33.075,33.587,307686,0
20051117,33.71,34.628,33.71,34.309,256611,0
20051118,34.309,34.61,33.905,34.309,147429,0
20051121,34.337,34.39,34.107,34.309,203836,0
20051122,34.327,34.353,33.975,34.072,136422,0
20051123,34.009,34.337,33.975,34.162,135854,0
20051125,34.143,34.179,33.623,34.143,91929,0
20051128,34.053,34.053,33.394,33.483,180912,0
20051129,33.483,33.614,33.173,33.314,210420,0
20051130,33.394,33.932,33.394,33.596,173533,0
20051201,33.703,34.363,33.668,34.274,264104,0
20051202,34.143,34.143,33.438,33.86,178072,0
20051205,33.834,33.984,32.855,33.155,234595,0
20051206,33.227,33.483,33.084,33.287,311429,0
20051207,33.321,33.506,32.972,33.227,208719,0
20051208,33.306,33.483,32.963,33.21,271594,0
20051209,33.227,33.348,33.102,33.129,255478,0
20051212,33.219,33.431,32.999,33.244,223815,0
20051213,33.244,33.348,32.953,33.279,256273,0
20051214,33.236,33.422,33.129,33.219,223926,0
20051215,33.219,33.219,32.723,32.945,266031,0
20051216,32.855,32.91,32.158,32.337,391668,0
20051219,32.202,32.202,31.499,31.765,326980,0
20051220,31.799,31.983,31.631,31.729,337190,0
20051221,31.868,32.337,31.826,32.118,266147,0
20051222,32.158,32.294,32.019,32.1,236184,0
20051223,32.185,32.476,32.1,32.166,109865,0
20051227,32.166,32.627,31.746,31.983,120418,0
20051228,32.075,32.741,32.075,32.661,95221,0
20051229,32.688,33.04,32.346,32.44,95334,0
20051230,32.38,32.38,31.826,31.861,89545,0
20060103,31.904,32.945,31.614,32.787,230169,0
20060104,32.751,33.394,32.44,32.811,186813,0
20060105,32.864,33.066,32.688,32.751,93974,0
20060106,32.91,33.474,32.91,33.394,118715,0
20060109,33.394,34.229,33.27,33.915,116106,0
20060110,33.745,34.099,33.695,33.959,224156,0
20060111,33.959,34.001,33.165,33.465,140734,0
20060112,33.465,33.577,33.102,33.102,113835,0
20060113,33.093,33.306,32.67,32.751,122123,0
20060117,31.719,31.729,29.676,29.686,1155041,0
20060118,29.694,31.172,29.686,30.9,785612,0
20060119,30.9,31.93,30.847,31.631,480649,0
20060120,31.639,32.158,31.41,31.509,398477,0
20060123,31.535,31.773,31.323,31.499,363524,0
20060124,31.482,31.853,31.279,31.579,407899,0
20060125,31.579,31.693,31.19,31.473,262061,0
20060126,31.473,31.868,31.394,31.818,221200,0
20060127,31.693,32.602,31.499,31.818,298945,0
20060130,31.781,32.697,31.675,32.54,301104,0
20060131,32.449,32.989,32.185,32.602,181139,0
20060201,32.557,33.182,32.476,32.855,112249,0
20060202,32.838,32.864,31.974,32.285,154465,0
20060203,32.202,32.779,32.009,32.337,136534,0
20060206,32.337,32.609,31.853,32.075,162074,0
20060207,32.118,32.821,31.499,31.755,232894,0
20060208,31.719,32.311,31.579,31.895,162525,0
20060209,31.895,32.056,31.375,31.464,125755,0
20060210,31.499,32.22,31.279,32.065,119851,0
20060213,32.065,32.141,31.218,31.719,126999,0
20060214,31.808,32.075,31.288,31.885,130861,0
20060215,31.808,32.019,31.455,31.853,157530,0
20060216,31.818,31.956,31.455,31.746,158667,0
20060217,31.818,31.974,31.455,31.656,140168,0
20060221,31.656,31.656,31.033,31.605,207015,0
20060222,31.719,32.602,31.719,32.476,126207,0
20060223,32.388,32.838,32.125,32.302,228238,0
20060224,32.22,32.285,31.719,32.202,273751,0
20060227,32.166,33.227,32.158,32.864,239928,0
20060228,32.864,32.864,32.422,32.751,134943,0
20060301,32.821,33.12,32.644,33.075,127909,0
20060302,33.075,33.139,32.627,32.873,139032,0
20060303,32.732,33.438,32.688,32.999,150492,0
20060306,32.158,32.972,32.158,32.706,157645,0
20060307,32.602,32.688,32,32.688,370109,0
20060308,32.732,33.569,32.732,33.456,3825803,0
20060309,33.456,33.642,33.057,33.375,730683,0
20060310,33.348,33.745,33.182,33.49,295312,0
20060313,33.49,33.745,33.306,33.474,196346,0
20060314,33.465,33.551,33.219,33.448,254457,0
20060315,33.403,33.551,33.182,33.394,238000,0
20060316,33.448,34.044,33.448,33.879,151287,0
20060317,33.966,33.966,33.587,33.87,419590,0
20060320,33.87,34.309,33.719,33.879,240952,0
20060321,33.879,34.009,33.306,33.348,462379,0
20060322,33.339,33.781,33.227,33.729,119399,0
20060323,33.719,33.755,33.129,33.348,645222,0
20060324,33.483,33.685,33.21,33.668,146862,0
20060327,33.577,33.834,33.569,33.729,175234,0
20060328,33.745,33.789,33.129,33.306,182045,0
20060329,33.306,33.834,33.262,33.737,133019,0
20060330,33.825,33.834,33.191,33.422,243674,0
20060331,33.506,33.71,33.366,33.56,168653,0
20060403,33.65,33.685,33.236,33.236,171947,0
20060404,33.236,33.314,32.449,33.173,245488,0
20060405,33.219,33.456,33.102,33.244,85008,0
20060406,33.21,33.287,32.697,32.829,351948,0
20060407,32.953,33.321,32.845,33.173,523328,0
20060410,33.253,33.358,32.891,33.075,568154,0
20060411,33.111,33.182,32.602,32.779,265692,0
20060412,32.787,32.855,32.185,32.321,263535,0
20060413,32.321,32.364,31.818,31.992,249009,0
20060417,32.037,32.432,31.719,31.853,281583,0
20060418,31.765,32.715,31.765,32.679,364432,0
20060419,32.688,33.173,32.602,33.093,286801,0
20060420,33.182,33.456,32.98,33.456,173533,0
20060421,34.229,34.319,33.614,33.932,394169,0
20060424,33.975,34.063,33.21,33.56,204065,0
20060425,33.737,34.345,33.642,34.179,313700,0
20060426,34.266,34.803,34.266,34.469,273069,0
20060427,34.381,34.863,34.009,34.187,324599,0
20060428,34.099,34.628,33.915,34.452,458180,0
20060501,34.582,35.244,34.452,34.963,313700,0
20060502,35.006,35.728,34.803,35.659,270233,0
20060503,35.606,35.747,35.244,35.536,196346,0
20060504,35.419,36.345,35.376,36.247,285667,0
20060505,36.125,36.698,36.055,36.565,371697,0
20060508,36.565,36.565,36.063,36.266,149700,0
20060509,36.266,36.591,36.171,36.574,160708,0
20060510,36.3,36.689,36.257,36.549,203723,0
20060511,36.698,36.786,36.389,36.549,369538,0
20060512,36.451,36.46,35.491,35.596,187835,0
20060515,35.419,35.798,35.253,35.578,240724,0
20060516,35.587,36.089,35.536,35.949,137217,0
20060517,35.949,35.949,35.102,35.253,201112,0
20060518,35.156,35.419,35.015,35.156,195437,0
20060519,35.156,35.568,34.803,35.385,405744,0
20060522,34.98,35.578,34.953,35.051,615940,0
20060523,35.226,35.244,34.636,34.636,748724,0
20060524,34.628,34.863,34.195,34.52,556467,0
20060525,34.743,35.032,34.539,35.032,176143,0
20060526,35.146,35.376,35.069,35.137,156624,0
20060530,35.146,35.146,34.662,34.671,185222,0
20060531,34.681,35.323,34.681,35.209,487577,0
20060601,35.244,36.161,35.244,36.161,269550,0
20060602,36.171,36.689,36.08,36.152,329703,0
20060605,36.063,36.23,35.905,35.905,450688,0
20060606,35.861,36.037,35.209,35.465,312679,0
20060607,35.5,35.852,35.244,35.279,233915,0
20060608,35.192,35.649,35.069,35.641,428896,0
20060609,35.649,35.877,35.244,35.35,262290,0
20060612,35.728,35.825,35.332,35.341,352744,0
20060613,35.341,35.991,35.332,35.737,374649,0
20060614,35.772,35.967,35.491,35.877,222336,0
20060615,36.009,36.152,35.807,36.08,334017,0
20060616,36.089,36.247,35.641,35.772,847011,0
20060619,36.213,36.213,35.119,35.288,332087,0
20060620,35.288,35.5,35.069,35.244,346501,0
20060621,35.199,36.009,35.192,35.949,190104,0
20060622,35.991,36.071,35.509,35.941,161730,0
20060623,35.852,36.125,35.684,36.037,255138,0
20060626,36.171,36.31,35.949,36.247,163434,0
20060627,36.247,36.54,35.659,35.737,176370,0
20060628,35.87,35.931,35.244,35.509,169221,0
20060629,35.684,37.043,35.641,37.043,302463,0
20060630,37.199,37.614,36.952,37.351,493705,0
20060703,37.315,37.368,37.086,37.172,71500,0
20060705,37.172,37.208,36.646,37.139,133926,0
20060706,37.913,37.913,37.13,37.368,200999,0
20060707,37.402,37.437,36.574,36.6,225629,0
20060710,36.627,36.749,36.291,36.468,169902,0
20060711,36.3,36.407,35.737,35.949,271253,0
20060712,35.861,35.905,34.715,35.024,466352,0
20060713,34.935,35.244,34.644,35.119,493589,0
20060714,35.078,35.085,33.95,34.044,286916,0
20060717,34.044,34.229,33.412,33.587,275791,0
20060718,33.703,33.781,32.873,33.474,218932,0
20060719,33.403,34.734,33.403,34.479,206677,0
20060720,34.565,34.601,33.569,33.668,168425,0
20060721,33.306,33.306,31.79,32.504,775624,0
20060724,32.602,32.732,32.38,32.449,483375,0
20060725,32.38,32.388,31.656,31.885,631373,0
20060726,31.719,31.853,31.271,31.579,316540,0
20060727,31.648,31.844,31.059,31.218,248895,0
20060728,31.315,31.844,31.315,31.765,222109,0
20060731,31.639,31.781,31.367,31.656,703215,0
20060801,31.544,31.639,31.146,31.306,562480,0
20060802,31.339,31.544,31.015,31.095,462607,0
20060803,30.988,31.445,30.751,31.306,279425,0
20060804,31.526,31.737,30.654,31.076,408017,0
20060807,30.942,31.076,30.671,31.015,333901,0
20060808,31.015,31.429,30.619,30.768,307229,0
20060809,30.9,31.015,30.088,30.273,394848,0
20060810,30.179,30.584,30.002,30.205,325390,0
20060811,30.116,30.196,29.905,30.08,253663,0
20060814,30.255,30.688,29.815,29.942,169107,0
20060815,30.353,30.741,30.152,30.6,167857,0
20060816,30.654,30.803,30.399,30.76,221428,0
20060817,30.786,31.103,30.751,31.007,240952,0
20060818,31.007,31.007,30.662,30.951,103281,0
20060821,30.662,30.838,30.223,30.484,223472,0
20060822,30.574,30.812,30.399,30.566,101693,0
20060823,30.619,30.866,30.088,30.407,160141,0
20060824,30.511,30.557,29.517,29.897,240495,0
20060825,29.78,30.282,29.491,29.713,105778,0
20060828,29.533,30.08,29.533,29.95,61515,0
20060829,30.036,30.214,29.686,30.196,120080,0
20060830,30.255,30.768,30.223,30.443,161504,0
20060831,30.476,30.803,30.399,30.768,204177,0
20060901,30.812,31.181,30.732,31.015,414145,0
20060905,31.146,31.702,31.076,31.535,277951,0
20060906,31.323,31.518,31.059,31.227,570201,0
20060907,31.103,31.271,30.838,30.951,271594,0
20060908,30.942,31.095,30.778,30.988,106459,0
20060911,30.884,30.96,29.974,30.39,258994,0
20060912,30.399,31.007,30.399,30.918,171035,0
20060913,31.007,31.146,30.847,30.979,104073,0
20060914,30.866,30.875,30.088,30.494,544663,0
20060915,30.713,30.723,30.02,30.07,434914,0
20060918,30.07,30.088,29.562,29.64,320055,0
20060919,29.613,29.613,28.916,29.111,491207,0
20060920,29.218,29.568,29.077,29.332,363863,0
20060921,29.34,29.395,28.523,28.849,346162,0
20060922,28.812,29.077,28.388,28.751,328002,0
20060925,28.707,28.76,27.842,28.105,398596,0
20060926,28.105,28.564,28.105,28.54,256273,0
20060927,28.54,28.547,28.284,28.434,295312,0
20060928,28.434,28.636,27.895,28.089,324708,0
20060929,28.151,28.362,28.011,28.037,480422,0
20061002,27.949,28.407,27.727,27.904,306095,0
20061003,27.904,27.966,27.553,27.553,259222,0
20061004,27.508,28.151,27.508,28.011,163889,0
20061005,28.011,28.301,27.93,28.257,178185,0
20061006,28.213,28.554,28.105,28.458,282490,0
20061009,28.458,28.812,28.362,28.707,200659,0
20061010,28.84,29.005,28.733,28.988,323004,0
20061011,28.944,29.251,28.944,29.096,568836,0
20061012,29.235,29.568,29.19,29.499,461359,0
20061013,29.543,29.659,29.429,29.613,183067,0
20061016,30.088,30.557,29.959,30.02,292360,0
20061017,29.869,29.879,29.473,29.649,190785,0
20061018,29.694,29.959,29.314,29.525,189874,0
20061019,29.568,29.905,29.395,29.659,177055,0
20061020,29.825,29.86,29.156,29.26,212689,0
20061023,29.26,29.721,29.218,29.297,104530,0
20061024,29.288,29.806,29.156,29.288,177509,0
20061025,29.386,29.543,29.068,29.358,185565,0
20061026,29.386,29.517,29.235,29.386,170810,0
20061027,29.005,29.788,28.858,29.754,555443,0
20061030,29.713,30.143,29.649,30.044,784705,0
20061031,30.044,30.044,29.429,29.613,629785,0
20061101,29.676,29.832,29.077,29.156,644082,0
20061102,29.129,29.164,28.505,28.6,467487,0
20061103,28.688,28.916,28.213,28.434,283282,0
20061106,28.434,28.662,28.205,28.523,317219,0
20061107,28.523,28.751,28.223,28.326,282827,0
20061108,28.239,28.547,28.239,28.477,208491,0
20061109,28.514,28.564,28.16,28.196,233117,0
20061110,28.187,28.31,28.097,28.196,197821,0
20061113,28.239,28.591,28.151,28.239,240269,0
20061114,28.293,28.425,28.16,28.326,160255,0
20061115,28.326,28.442,28.16,28.336,219499,0
20061116,28.416,28.6,28.196,28.326,255252,0
20061117,28.326,28.452,28.196,28.416,320282,0
20061120,28.458,28.591,28.343,28.467,153222,0
20061121,28.467,28.54,28.115,28.187,163545,0
20061122,28.213,28.274,28.063,28.105,185222,0
20061124,28.019,28.089,27.895,27.976,76836,0
20061127,27.774,27.842,27.595,27.595,295201,0
20061128,27.57,27.683,27.27,27.603,320171,0
20061129,27.649,28.079,27.482,27.595,152541,0
20061130,27.603,27.727,27.343,27.491,226650,0
20061201,27.482,27.579,27.357,27.491,539669,0
20061204,27.562,28.248,27.562,28.097,356034,0
20061205,28.097,28.572,28.045,28.407,401659,0
20061206,28.326,28.775,28.293,28.547,736923,0
20061207,28.523,28.645,28.388,28.458,291681,0
20061208,28.458,28.636,28.205,28.442,585745,0
20061211,28.458,30.088,28.458,28.978,851212,0
20061212,28.996,29.332,28.54,28.733,293497,0
20061213,28.875,28.925,28.554,28.679,161619,0
20061214,28.76,29.077,28.76,28.898,165933,0
20061215,29.077,29.251,29.05,29.164,411989,0
20061218,29.119,29.297,29.031,29.251,931456,0
20061219,29.26,29.34,28.944,29.332,422769,0
20061220,29.367,29.552,29.119,29.173,537854,0
20061221,29.251,29.411,29.077,29.242,275566,0
20061222,29.251,29.297,28.662,28.812,285442,0
20061226,28.83,29.077,28.768,28.988,131427,0
20061227,29.102,29.586,29.102,29.438,149247,0
20061228,29.455,29.517,29.209,29.209,181025,0
20061229,29.164,29.164,28.907,28.996,160936,0
20070103,29.119,29.297,28.768,28.935,315858,0
20070104,28.935,29.077,28.723,28.907,450462,0
20070105,28.239,28.907,28.142,28.67,221655,0
20070108,28.636,28.654,28.379,28.505,178302,0
20070109,28.458,28.523,28.223,28.326,235390,0
20070110,28.284,28.486,28.196,28.284,238567,0
20070111,28.213,28.849,28.213,28.784,187835,0
20070112,28.858,28.988,28.645,28.898,125410,0
20070116,29.031,29.173,28.978,29.119,183067,0
20070117,29.119,29.278,28.858,28.858,152992,0
20070118,28.858,28.954,28.636,28.802,227895,0
20070119,28.84,28.963,28.742,28.858,273181,0
20070122,28.812,28.935,28.591,28.662,214393,0
20070123,28.636,29.068,28.467,28.925,141753,0
20070124,28.944,29.543,28.858,29.235,298491,0
20070125,29.242,29.455,29.077,29.332,343663,0
20070126,29.332,29.552,29.19,29.491,125867,0
20070129,29.517,29.703,29.251,29.568,183973,0
20070130,29.586,29.825,29.473,29.815,179325,0
20070131,29.815,30.07,29.429,29.905,141303,0
20070201,29.905,30.214,29.825,30.214,133583,0
20070202,30.795,31.939,30.741,31.499,615483,0
20070205,31.499,31.499,29.533,29.64,480649,0
20070206,29.841,29.905,29.621,29.694,156624,0
20070207,29.788,30.08,29.403,30.08,263650,0
20070208,30.088,30.17,29.762,29.905,225741,0
20070209,29.959,30.02,29.517,29.613,229487,0
20070212,29.605,29.686,29.403,29.64,185793,0
20070213,29.668,29.95,29.533,29.825,174390,0
20070214,29.914,30.107,29.703,30.061,219612,0
20070215,30.08,30.39,29.568,30.263,304278,0
20070216,30.39,30.829,30.002,30.768,397912,0
20070220,30.803,31.007,30.425,30.866,221655,0
20070221,30.856,31.402,30.627,31.164,257861,0
20070222,31.164,31.402,31.059,31.367,296562,0
20070223,31.367,31.773,31.059,31.702,1287599,0
20070226,31.684,31.853,31.262,31.419,227895,0
20070227,30.927,30.927,30.205,30.205,588926,0
20070228,30.205,30.309,29.517,30.143,280899,0
20070301,29.621,30.036,29.34,29.905,271707,0
20070302,29.797,29.905,29.288,29.525,254457,0
20070305,29.235,29.507,28.636,28.875,445809,0
20070306,29.077,29.251,28.858,29.111,201340,0
20070307,29.05,29.297,28.898,28.971,139032,0
20070308,29.278,29.473,28.907,29.297,214165,0
20070309,29.473,29.507,28.963,29.446,399276,0
20070312,29.386,29.499,29.129,29.455,171378,0
20070313,29.251,29.586,28.875,28.925,200774,0
20070314,28.935,29.721,28.935,29.455,318809,0
20070315,29.455,29.754,29.411,29.754,180001,0
20070316,29.815,30.282,29.543,30.273,551813,0
20070319,30.407,30.433,30.088,30.29,213144,0
20070320,29.543,30.231,29.543,30.124,92610,0
20070321,30.116,30.875,29.993,30.627,165477,0
20070322,30.723,31.146,30.53,30.927,122349,0
20070323,30.927,31.076,30.768,31.015,87619,0
20070326,30.951,31.111,30.795,31.042,107368,0
20070327,30.998,31.297,30.645,31.244,292590,0
20070328,31.103,31.57,30.803,31.384,351834,0
