Date,Open,High,Low,Close,Volume,OpenInt
20130506,18.828,18.852,18.639,18.692,36451,0
20130507,18.594,18.639,18.487,18.56,48382,0
20130508,18.594,18.707,18.546,18.707,60533,0
20130509,18.707,18.982,18.707,18.828,173089,0
20130510,18.845,18.943,18.845,18.929,18604,0
20130513,19.012,19.012,18.883,18.89,15054,0
20130514,18.921,19.012,18.828,18.828,23996,0
20130515,18.912,18.912,18.791,18.791,4593,0
20130516,18.866,18.866,18.752,18.837,4340,0
20130517,18.897,18.982,18.828,18.837,17947,0
20130520,18.921,18.975,18.845,18.866,18796,0
20130521,18.905,19.012,18.866,18.95,27427,0
20130522,19.081,19.081,18.943,18.982,12372,0
20130523,18.982,19.081,18.982,19.081,7245,0
20130524,19.081,19.081,19.035,19.05,8969,0
20130528,19.035,19.081,19.021,19.057,5889,0
20130529,18.921,19.05,18.866,18.943,11168,0
20130530,19.021,19.05,18.943,19.05,22021,0
20130531,18.943,19.027,18.812,18.921,6154,0
20130603,18.943,18.943,18.921,18.921,13436,0
20130604,19.073,19.073,18.774,18.774,3846,0
20130605,18.791,18.807,18.791,18.807,696,0
20130607,18.812,19.021,18.812,19.021,4477,0
20130610,18.783,19.057,18.714,18.982,6140,0
20130611,18.937,18.937,18.937,18.937,447,0
20130612,18.552,19.021,18.371,18.371,2158,0
20130613,18.752,18.752,18.181,18.752,2300,0
20130614,18.752,18.959,18.698,18.937,13276,0
20130617,18.937,18.943,18.859,18.866,6670,0
20130618,18.828,18.828,18.721,18.721,2947,0
20130620,18.56,18.56,18.333,18.333,526,0
20130621,18.524,18.982,18.524,18.714,3585,0
20130624,18.378,18.378,17.622,18.226,1834,0
20130625,18.325,18.828,17.95,18.294,1573,0
20130626,18.639,18.905,18.599,18.613,2421,0
20130627,18.294,18.714,17.53,18.288,6937,0
20130628,18.741,19.206,18.741,19.206,1093,0
20130701,18.714,18.739,18.441,18.441,6937,0
20130702,18.487,18.487,18.487,18.487,210,0
20130703,18.288,18.294,16.482,18.288,7385,0
20130705,18.301,18.623,18.127,18.599,14624,0
20130709,18.487,18.487,18.333,18.333,2881,0
20130710,18.217,18.226,17.95,18.226,2750,0
20130711,18.227,18.919,18.126,18.126,2701,0
20130712,18.81,18.997,18.694,18.974,2572,0
20130715,18.857,19.028,18.857,18.974,4436,0
20130716,18.733,19.012,18.716,19.004,5531,0
20130717,18.896,19.035,18.624,18.654,4706,0
20130718,18.958,18.958,18.29,18.778,4430,0
20130719,18.312,18.85,18.312,18.85,1641,0
20130722,18.662,18.662,18.662,18.662,1287,0
20130725,18.312,18.328,18.282,18.312,1287,0
20130726,18.654,18.834,18.654,18.81,900,0
20130729,18.872,18.902,18.872,18.902,577,0
20130730,18.81,18.81,18.624,18.662,6816,0
20130801,19.058,19.058,19.051,19.051,1028,0
20130805,18.81,19.004,18.802,18.974,2443,0
20130806,18.816,18.816,18.802,18.816,770,0
20130808,18.81,18.81,18.064,18.164,4311,0
20130813,17.993,18.258,17.986,18.258,1159,0
20130814,18.467,18.506,18.148,18.157,1844,0
20130815,17.783,17.783,17.783,17.783,129,0
20130816,18.079,18.079,17.427,17.427,2534,0
20130821,17.09,17.76,17.09,17.76,1351,0
20130823,18.064,18.064,17.348,17.362,1703,0
20130826,17.342,17.342,17.342,17.342,258,0
20130827,17.108,17.108,17.108,17.108,1082,0
20130828,17.108,17.278,17.108,17.108,1287,0
20130829,17.108,17.223,17.108,17.223,1958,0
20130830,17.108,17.108,17.108,17.108,900,0
20130903,16.914,16.991,16.688,16.688,1028,0
20130906,16.794,16.914,16.794,16.914,1415,0
20130910,16.952,16.952,16.952,16.952,2572,0
20130911,17.029,17.099,17.029,17.09,3436,0
20130912,16.719,17.029,16.719,16.835,6236,0
20130913,16.928,16.928,16.688,16.688,1028,0
20130916,17.084,17.084,17.053,17.053,770,0
20130918,16.914,17.108,16.914,17.09,1415,0
20130919,17.084,17.114,17.084,17.108,3639,0
20130923,17.3,17.3,17.241,17.241,641,0
20130924,17.13,17.261,17.029,17.029,6844,0
20130925,16.765,16.765,16.765,16.765,389,0
20130926,16.952,17.3,16.952,17.3,952,0
20131001,17.434,17.441,17.434,17.441,687,0
20131003,17.418,17.418,17.418,17.418,515,0
20131004,17.434,17.434,17.434,17.434,129,0
20131007,17.38,17.38,17.38,17.38,770,0
20131008,17.434,17.434,17.288,17.295,805,0
20131010,17.638,18.453,17.638,18.216,4035,0
20131011,18.271,18.271,18.271,18.271,191,0
20131015,18.067,18.113,18.067,18.113,254,0
20131016,18.113,18.255,18.01,18.01,1545,0
20131017,18.01,18.067,18.01,18.067,757,0
20131018,18.349,18.349,18.349,18.349,126,0
20131021,18.359,18.375,18.326,18.375,1955,0
20131022,18.431,18.431,18.431,18.431,126,0
20131024,18.224,18.224,18.145,18.152,1262,0
20131028,17.828,17.828,17.464,17.464,1516,0
20131029,17.352,17.352,17.321,17.321,2122,0
20131030,17.67,17.67,17.329,17.329,567,0
20131101,17.251,17.251,17.251,17.251,630,0
20131104,17.566,17.566,17.042,17.06,2201,0
20131105,17.075,17.075,17.075,17.075,1011,0
20131106,17.114,17.163,17.114,17.163,254,0
20131107,17.217,17.217,17.178,17.178,254,0
20131108,17.155,17.155,17.027,17.027,1375,0
20131111,17.036,17.083,16.94,16.957,1500,0
20131112,16.957,16.957,16.641,16.766,9837,0
20131113,17.036,17.036,16.458,16.535,4702,0
20131114,16.608,16.608,16.562,16.608,1386,0
20131115,16.862,16.877,16.862,16.868,2145,0
20131118,16.742,16.749,16.728,16.749,981,0
20131119,16.757,16.757,16.757,16.757,254,0
20131120,16.838,16.838,16.568,16.838,6308,0
20131121,16.562,16.838,16.562,16.838,3480,0
20131122,16.831,16.838,16.679,16.838,1062,0
20131125,16.838,16.917,16.647,16.917,1868,0
20131126,17.06,17.155,17.036,17.155,5300,0
20131202,17.163,17.163,17.075,17.075,504,0
20131203,17.075,17.264,17.075,17.235,7345,0
20131204,17.114,17.114,17.114,17.114,254,0
20131205,17.036,17.036,17.036,17.036,1892,0
20131209,17.036,17.036,16.885,16.917,9048,0
20131210,16.924,16.924,16.369,16.749,23794,0
20131211,16.441,16.6,16.441,16.479,7219,0
20131212,16.322,16.458,16.322,16.402,4650,0
20131213,16.479,16.479,16.441,16.449,1596,0
20131216,16.33,16.393,16.243,16.3,15815,0
20131217,16.275,16.535,16.259,16.497,4339,0
20131219,16.544,16.544,16.544,16.544,126,0
20131220,16.521,16.521,16.521,16.521,254,0
20131223,16.584,16.591,16.584,16.591,2524,0
20131224,16.591,16.591,16.568,16.568,1990,0
20131226,16.591,16.641,16.591,16.641,10758,0
20131227,16.679,16.957,16.641,16.838,7806,0
20131230,16.917,16.949,16.838,16.949,2903,0
20131231,16.949,17.131,16.949,17.131,3044,0
20140102,17.13,17.13,17.13,17.13,1497,0
20140103,17.13,17.464,17.13,17.431,3254,0
20140106,17.662,17.662,17.575,17.575,641,0
20140107,17.678,17.7,17.678,17.7,4022,0
20140109,17.653,17.708,17.653,17.708,762,0
20140110,17.439,17.708,17.439,17.708,1892,0
20140113,17.882,17.882,17.882,17.882,371,0
20140114,17.882,17.882,17.882,17.882,124,0
20140115,17.704,17.704,17.704,17.704,620,0
20140116,17.72,17.72,17.294,17.655,4375,0
20140117,17.171,17.204,17.171,17.171,1821,0
20140121,17.356,17.567,17.356,17.437,4751,0
20140123,17.527,17.527,17.478,17.493,1938,0
20140124,17.397,17.413,17.397,17.413,2478,0
20140127,17.559,17.559,17.559,17.559,1610,0
20140128,17.397,17.519,17.397,17.519,960,0
20140129,17.559,17.582,17.559,17.582,620,0
20140130,17.704,17.704,17.704,17.704,807,0
20140131,17.413,17.646,17.413,17.646,2724,0
20140204,17.646,17.752,17.646,17.752,970,0
20140206,17.736,17.736,17.736,17.736,249,0
20140207,17.736,17.736,17.736,17.736,670,0
20140210,17.736,17.736,17.478,17.478,1459,0
20140212,17.527,17.527,17.437,17.437,620,0
20140214,17.599,17.681,17.478,17.478,1651,0
20140218,17.485,17.646,17.485,17.646,620,0
20140219,17.624,17.922,17.624,17.76,4343,0
20140220,17.922,17.922,17.922,17.922,1091,0
20140221,17.946,17.953,17.946,17.946,1130,0
20140224,17.946,17.946,17.681,17.681,698,0
20140226,17.76,17.946,17.72,17.769,4799,0
20140227,17.946,17.946,17.946,17.946,279,0
20140228,17.938,17.946,17.938,17.946,1364,0
20140303,18.133,18.133,18.133,18.133,124,0
20140304,18.133,18.358,17.784,18.358,4787,0
20140305,18.358,18.367,18.342,18.367,2947,0
20140306,18.367,18.367,18.367,18.367,990,0
20140307,18.083,18.396,18.001,18.396,4066,0
20140310,18.035,18.133,18.001,18.133,3252,0
20140311,18.293,18.293,18.287,18.287,368,0
20140313,18.334,18.334,18.287,18.325,1486,0
20140317,18.309,18.325,18.309,18.309,3377,0
20140318,18.325,18.325,18.309,18.309,1118,0
20140319,18.396,18.454,18.396,18.422,1364,0
20140320,18.415,18.415,18.124,18.124,1637,0
20140321,18.634,18.817,18.342,18.406,5968,0
20140324,18.189,18.729,18.189,18.729,2857,0
20140325,18.729,18.777,18.729,18.777,899,0
20140326,18.594,18.817,18.594,18.817,1857,0
20140327,18.754,18.817,18.729,18.817,3566,0
