Date,Open,High,Low,Close,Volume,OpenInt
20050915,32.706,32.777,31.828,31.837,1778367,0
20050916,31.828,31.828,31.485,31.485,72540,0
20050919,31.485,31.57,31.356,31.57,1351155,0
20050920,31.485,31.828,31.485,31.57,761314,0
20050921,31.485,31.485,30.97,31.312,493240,0
20050922,31.312,32.001,31.312,32.001,1005319,0
20050923,32.001,32.777,32.001,32.414,1452991,0
20050926,32.472,32.816,32.472,32.472,954865,0
20050927,32.472,32.603,31.949,32.044,1760003,0
20050928,32.035,32.173,31.655,31.828,1017985,0
20050929,31.75,31.75,31.183,31.485,3091279,0
20050930,31.485,31.485,30.627,30.797,4667141,0
20051003,30.365,30.879,29.395,29.85,11633677,0
20051004,29.248,29.507,28.602,29.162,9346721,0
20051005,29.248,29.335,28.664,28.946,7328766,0
20051006,28.731,28.946,28.569,28.705,8779315,0
20051007,28.627,28.904,28.5,28.904,8201562,0
20051010,28.904,28.904,28.389,28.412,3953377,0
20051011,28.42,28.723,28.37,28.389,4272594,0
20051012,28.302,28.646,28.148,28.188,4806405,0
20051013,27.983,28.131,27.94,28,3701468,0
20051014,27.975,28.174,27.854,27.864,2891681,0
20051017,27.819,28.188,27.528,27.94,2220812,0
20051018,27.786,28,27.657,27.897,2020282,0
20051019,27.769,28.525,27.707,28.525,2074336,0
20051020,28.525,29.297,28.474,28.886,3242867,0
20051021,29.057,29.678,28.929,29.248,3350047,0
20051024,30.322,31.381,30.047,31.217,4688763,0
20051025,30.4,32.231,30.347,31.983,3389109,0
20051026,31.7,32.448,31.57,31.828,2566766,0
20051027,31.784,31.828,30.797,31.209,2363331,0
20051028,31.397,32.001,31.149,31.913,1662585,0
20051031,32.008,32.344,31.794,32.017,1417767,0
20051101,31.742,31.794,31.364,31.449,1831149,0
20051102,31.157,31.742,31.122,31.655,1746166,0
20051103,31.588,32.361,31.588,32.192,2194655,0
20051104,32.11,32.192,31.846,31.976,2013305,0
20051107,31.913,31.976,31.673,31.846,1928211,0
20051108,31.528,32.001,31.528,31.794,2463536,0
20051109,31.794,32.842,31.742,32.585,2562001,0
20051110,32.472,33.807,32.472,33.48,2921555,0
20051111,33.121,33.514,33.093,33.471,1429622,0
20051114,33.375,33.893,33.129,33.842,1348482,0
20051115,33.548,33.893,33.093,33.728,2084334,0
20051116,33.851,34.408,33.626,34.261,2986188,0
20051117,34.495,35.424,34.219,34.408,3055126,0
20051118,34.796,35.158,34.099,34.341,1808826,0
20051121,34.557,36.13,34.557,35.768,3379225,0
20051122,35.614,36.466,35.518,36.258,2753576,0
20051123,36.301,37.644,36.301,37.394,2498292,0
20051125,37.935,38.065,36.947,37.377,544393,0
20051128,37.333,38.021,37.076,37.763,2763688,0
20051129,37.635,37.842,35.898,36.602,3443510,0
20051130,36.903,37.204,35.527,36.174,3209736,0
20051201,36.086,37.748,36.035,37.257,2130834,0
20051202,37.204,37.628,36.646,37.19,1229793,0
20051205,37.18,37.592,36.911,37.437,1212355,0
20051206,37.592,37.713,37.404,37.515,1342555,0
20051207,37.497,38.522,37.18,37.299,2399254,0
20051208,37.548,37.892,37.257,37.548,1427301,0
20051209,37.539,37.869,37.299,37.644,599144,0
20051212,37.635,37.644,36.887,37.1,1749421,0
20051213,36.903,37.308,36.569,36.845,1535989,0
20051214,36.845,37.015,35.718,35.727,1978085,0
20051215,35.637,36.044,35.347,35.432,1418927,0
20051216,35.646,36.484,35.62,36.354,1517738,0
20051219,36.397,36.672,35.374,35.536,786070,0
20051220,35.484,36.474,35.27,35.76,1303143,0
20051221,35.76,36.646,35.245,35.743,1526689,0
20051222,35.76,36.466,35.441,36.068,939638,0
20051223,33.91,36.611,33.91,36.068,669594,0
20051227,36.044,36.199,35.098,35.183,1094945,0
20051228,35.183,35.554,35.098,35.311,1003572,0
20051229,35.338,35.417,34.909,35.133,835013,0
20051230,34.846,35.338,34.805,35.27,594844,0
20060103,35.527,36.301,35.183,36.216,1571211,0
20060104,36.99,38.186,36.887,37.351,4059511,0
20060105,37.453,38.28,37.136,37.79,2065970,0
20060106,37.798,38.021,37.316,37.506,2633256,0
20060109,37.506,38.795,37.506,38.786,1523785,0
20060110,38.538,38.598,38.243,38.417,1457984,0
20060111,38.479,38.522,37.816,38.021,1064253,0
20060112,38.03,38.349,37.806,37.988,1350225,0
20060113,37.935,38.065,37.601,37.748,1054605,0
20060117,37.548,37.763,36.964,37.445,795601,0
20060118,37.249,37.763,36.363,36.405,1135281,0
20060119,36.518,36.911,36.155,36.646,1103315,0
20060120,36.559,36.602,36.028,36.301,1422416,0
20060123,36.51,37.763,36.491,37.422,1829982,0
20060124,36.216,37.592,35.861,37.404,2430175,0
20060125,37.412,37.412,36.937,37.171,1230604,0
20060126,37.806,38.107,36.998,37.249,1511928,0
20060127,36.887,37.583,35.924,36.474,2679524,0
20060130,36.474,36.518,35.699,35.743,2252082,0
20060131,35.614,35.655,34.846,35.002,2847390,0
20060201,35.047,37.091,34.667,35.484,1644799,0
20060202,35.527,36.723,35.527,36.569,1779648,0
20060203,36.258,37.034,35.76,36.646,2507129,0
20060206,36.646,37.377,36.466,37.273,1335114,0
20060207,37.144,37.678,37.052,37.462,899184,0
20060208,37.333,37.806,37.333,37.686,1073553,0
20060209,37.806,38.057,37.618,37.78,598330,0
20060210,37.592,37.798,37.231,37.479,766888,0
20060213,37.488,37.497,36.869,36.887,827804,0
20060214,36.836,37.945,36.585,37.798,1464962,0
20060215,37.506,37.515,36.782,37.222,1246648,0
20060216,37.24,37.404,36.791,37.36,837571,0
20060217,37.341,38.073,37.341,37.869,881744,0
20060221,37.109,38.151,37.109,37.78,506842,0
20060222,37.918,39.269,37.918,39.107,1727336,0
20060223,38.349,40.646,38.349,39.932,1354065,0
20060224,39.183,39.983,39.183,39.793,1010201,0
20060227,39.744,40.395,39.46,40.258,1090876,0
20060228,39.501,40.569,39.02,39.124,1239092,0
20060301,39.219,39.734,39.165,39.473,611232,0
20060302,39.372,39.398,38.28,38.34,1338947,0
20060303,38.125,38.531,37.565,37.851,1547847,0
20060306,37.763,37.798,36.689,36.791,1064951,0
20060307,36.755,37.651,36.715,37.548,1882759,0
20060308,37.548,37.806,37.152,37.282,1261643,0
20060309,37.369,37.73,37.034,37.273,1008107,0
20060310,37.204,37.308,36.869,37.249,1059606,0
20060313,37.29,37.756,37.273,37.678,877213,0
20060314,37.635,38.822,37.635,38.735,1498676,0
