Date,Open,High,Low,Close,Volume,OpenInt
20141105,20.062,20.062,19.563,19.563,15246,0
20141106,19.631,19.7,19.631,19.7,2045,0
20141107,19.68,19.709,19.641,19.68,1482,0
20141110,19.719,19.856,19.719,19.856,3957,0
20141111,19.797,20.238,19.788,19.846,2914,0
20141112,19.817,19.915,19.797,19.915,2351,0
20141113,19.954,19.973,19.856,19.895,12132,0
20141114,19.973,19.993,19.973,19.993,1343,0
20141117,20.032,20.14,19.915,19.964,3490,0
20141118,20.15,20.15,20.15,20.15,1022,0
20141119,19.846,19.846,19.846,19.846,1084,0
20141120,19.68,19.837,19.66,19.837,1278,0
20141121,19.925,19.925,19.915,19.915,1326,0
20141124,19.905,20.042,19.905,20.042,1997,0
20141125,20.071,20.071,20.071,20.071,610,0
20141126,20.081,20.11,20.081,20.11,920,0
20141128,20.091,20.198,20.081,20.14,1534,0
20141201,19.827,19.827,19.827,19.827,562,0
20141202,19.612,19.612,19.612,19.612,869,0
20141203,19.651,19.651,19.651,19.651,613,0
20141204,19.739,19.739,19.602,19.621,1946,0
20141205,19.749,19.749,19.66,19.67,7557,0
20141208,19.651,19.651,19.25,19.299,869,0
20141209,19.152,19.347,19.074,19.347,1380,0
20141210,19.602,19.602,19.299,19.299,919,0
20141211,19.416,19.416,19.338,19.338,944,0
20141212,19.181,19.387,19.181,19.181,839,0
20141215,19.211,19.211,18.858,18.858,1314,0
20141216,18.819,18.819,18.536,18.536,1495,0
20141217,18.702,18.741,18.702,18.741,767,0
20141218,19.465,19.465,19.406,19.445,1073,0
20141219,19.749,19.749,19.592,19.719,2131,0
20141222,19.905,19.905,19.807,19.885,1252,0
20141223,19.954,19.954,19.856,19.895,1836,0
20141224,20.198,20.198,19.925,19.925,3261,0
20141226,19.964,20.15,19.964,20.15,2425,0
20141229,20.022,20.022,19.973,19.983,1529,0
20141230,19.954,20.13,19.837,19.856,980,0
20141231,19.905,19.964,19.719,19.719,1334,0
20150102,19.905,20.541,19.524,19.729,5738,0
20150105,19.925,19.925,19.22,19.25,3294,0
20150106,19.357,19.357,18.937,19.181,3378,0
20150107,19.396,19.396,19.22,19.269,4014,0
20150108,19.504,19.7,19.504,19.7,669,0
20150109,19.66,19.66,19.504,19.533,1140,0
20150112,20.022,20.277,19.709,19.709,1503,0
20150113,19.817,19.817,19.543,19.553,458,0
20150114,19.494,19.494,19.396,19.494,3307,0
20150115,19.475,19.475,19.054,19.054,2967,0
20150116,19.553,19.553,19.162,19.181,923,0
20150120,19.367,19.465,19.259,19.455,1024,0
20150121,19.533,19.807,19.533,19.807,418,0
20150122,19.817,20.081,19.817,20.081,2952,0
20150123,20.257,20.277,20.179,20.179,5092,0
20150126,20.296,20.296,20.296,20.296,179,0
20150127,19.993,19.993,19.993,19.993,1182,0
20150128,19.993,19.993,19.905,19.905,347,0
