Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.1264,3.1264,3.018,3.0632,339418,0
20050228,3.1172,3.1533,2.982,2.9912,553194,0
20050301,2.9912,3.0362,2.8019,2.919,589045,0
20050302,2.883,3.018,2.865,2.982,547869,0
20050303,2.982,3.018,2.901,2.973,456406,0
20050304,3.0273,3.1443,3.0003,3.0632,767858,0
20050307,3.0632,3.2436,3.0362,3.2253,366281,0
20050308,3.2436,3.3153,3.1264,3.2253,852986,0
20050309,3.4055,3.4055,3.1083,3.2615,535102,0
20050310,3.2344,3.2524,3.0901,3.0901,375050,0
20050311,3.2793,3.2793,3.1443,3.1982,432876,0
20050314,3.1714,3.1805,3.0993,3.1714,370940,0
20050315,3.1893,3.1893,3.0723,3.1714,317221,0
20050316,3.1893,3.2436,3.1714,3.1714,426552,0
20050317,3.1714,3.1714,3.0901,3.1624,369835,0
20050318,3.1354,3.2524,3.0632,3.2436,231199,0
20050321,3.2436,3.2436,3.0813,3.1083,223875,0
20050322,3.1083,3.2436,3.1083,3.1172,357513,0
20050323,3.0723,3.1264,2.973,3.0632,569066,0
20050324,3.0003,3.0632,2.8922,3.018,771630,0
20050328,2.973,2.973,2.811,2.865,442312,0
20050329,2.901,2.901,2.7116,2.7927,409791,0
20050330,2.73,2.883,2.73,2.8198,325102,0
20050331,2.865,2.9912,2.8471,2.982,281479,0
20050401,2.973,2.982,2.8922,2.9552,188909,0
20050404,2.9281,2.9281,2.8471,2.8922,127423,0
20050405,2.9371,2.9463,2.8922,2.9463,223542,0
20050406,2.9643,2.982,2.9371,2.9463,153506,0
20050407,3.0092,3.0632,3.0092,3.0273,261833,0
20050408,2.9281,3.0273,2.865,2.9463,108107,0
20050411,2.982,3.0632,2.8381,2.919,215660,0
20050412,2.883,2.9281,2.7927,2.811,204341,0
20050413,2.8292,2.8381,2.7568,2.7661,277819,0
20050414,2.7478,2.7478,2.5766,2.6128,584607,0
20050415,2.5406,2.6487,2.5406,2.5587,356958,0
20050418,2.5587,2.5947,2.5406,2.5678,186471,0
20050419,2.5857,2.883,2.5857,2.8741,301794,0
20050420,2.8741,2.9371,2.7661,2.784,190245,0
20050421,2.73,2.8019,2.7209,2.7661,105999,0
20050422,2.8292,2.901,2.784,2.8922,115101,0
20050425,2.8741,2.9099,2.7478,2.9099,236749,0
20050426,2.9371,2.9371,2.883,2.8922,273711,0
20050427,2.8922,2.8922,2.6128,2.6309,604805,0
20050428,2.6309,2.6309,2.5587,2.5678,304676,0
20050429,2.5857,2.6579,2.5678,2.5947,180918,0
20050502,2.5857,2.5947,2.4145,2.4417,345078,0
20050503,2.4417,2.703,2.4417,2.6935,494145,0
20050504,2.7389,2.901,2.7389,2.901,422442,0
20050505,2.9463,2.9463,2.8198,2.883,213332,0
20050506,2.8381,2.8741,2.7661,2.8471,178477,0
20050509,2.7661,2.901,2.7661,2.8381,108884,0
20050510,2.8198,2.8198,2.703,2.7389,91901,0
