Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.756,14.142,13.648,14.089,305395,0
20050228,13.932,14.096,13.7,14.096,309665,0
20050301,14.064,14.142,13.879,13.979,233447,0
20050302,13.833,14.064,13.756,13.902,149980,0
20050303,13.91,13.997,13.733,13.871,215848,0
20050304,13.91,14.104,13.91,14.064,116980,0
20050307,13.988,14.196,13.988,14.096,158132,0
20050308,14.019,14.142,13.902,14.025,125262,0
20050309,13.949,13.949,13.692,13.808,203293,0
20050310,13.716,13.848,13.615,13.808,250008,0
20050311,13.756,13.84,13.5,13.641,284691,0
20050314,13.577,13.84,13.577,13.801,106115,0
20050315,13.879,14.096,13.749,13.756,236939,0
20050316,13.771,13.856,13.641,13.678,111288,0
20050317,13.716,13.817,13.624,13.749,113362,0
20050318,13.887,13.887,13.531,13.756,528233,0
20050321,13.756,13.817,13.584,13.615,184405,0
20050322,13.656,13.749,13.531,13.57,150496,0
20050323,13.57,13.57,13.354,13.383,278993,0
20050324,13.383,13.508,13.308,13.315,160206,0
20050328,13.338,13.549,13.315,13.492,142731,0
20050329,13.492,13.584,13.284,13.33,198895,0
20050330,13.462,13.648,13.462,13.607,202646,0
20050331,13.662,13.692,13.439,13.523,223873,0
20050401,13.308,13.315,12.843,13.138,857182,0
20050404,12.982,13.447,12.982,13.431,190744,0
20050405,13.369,13.369,13.066,13.229,288832,0
20050406,13.284,13.377,13.144,13.223,190224,0
20050407,13.215,13.377,13.144,13.308,107537,0
20050408,13.292,13.292,13.13,13.215,303841,0
20050411,13.215,13.276,13.06,13.167,176251,0
20050412,13.151,13.476,13.066,13.414,192164,0
20050413,13.485,13.485,13.268,13.369,183625,0
20050414,13.354,13.401,13.176,13.244,199027,0
20050415,13.252,13.292,13.014,13.037,156839,0
20050418,12.982,13.238,12.914,13.006,255055,0
20050419,13.066,13.2,13.037,13.083,213908,0
20050420,13.074,13.074,12.775,12.867,288187,0
20050421,12.982,13.138,12.851,13.037,282360,0
20050422,13.023,13.114,12.923,12.952,237072,0
20050425,12.99,13.06,12.943,13.051,127982,0
20050426,13.06,13.138,12.86,12.923,144026,0
20050427,12.843,13.074,12.605,12.827,237328,0
20050428,12.766,12.943,12.641,12.797,266576,0
20050429,12.766,12.982,12.712,12.974,219472,0
20050502,12.959,13.051,12.758,12.99,225683,0
20050503,12.914,12.998,12.821,12.914,179487,0
20050504,12.906,13.051,12.851,13.051,128629,0
20050505,12.974,13.083,12.928,12.982,154512,0
20050506,13.06,13.107,12.923,13.037,184405,0
20050509,12.952,13.138,12.936,13.13,131347,0
20050510,13.066,13.144,13.06,13.092,196179,0
20050511,13.092,13.33,13.092,13.238,182848,0
20050512,13.229,13.409,13.06,13.066,147912,0
20050513,13.114,13.238,12.766,12.821,138854,0
20050516,12.821,13.215,12.782,13.208,156839,0
20050517,13.122,13.369,12.982,13.276,153086,0
20050518,13.369,13.462,13.244,13.447,184789,0
20050519,13.485,13.592,13.401,13.431,219729,0
20050520,13.431,13.557,13.33,13.338,258032,0
20050523,13.292,13.592,13.284,13.57,234220,0
20050524,13.462,13.54,13.377,13.492,243411,0
20050525,13.447,13.508,13.308,13.377,187635,0
20050526,13.414,13.515,13.299,13.33,222191,0
20050527,13.338,13.592,13.268,13.54,200448,0
20050531,13.485,13.848,13.485,13.624,201743,0
20050601,13.678,13.864,13.561,13.624,274985,0
20050602,13.57,13.685,13.54,13.641,125262,0
20050603,13.6,13.808,13.6,13.749,145065,0
20050606,13.741,13.956,13.716,13.917,168616,0
20050607,13.949,14.272,13.879,13.997,214165,0
20050608,14.01,14.096,13.716,13.716,206529,0
20050609,13.716,13.724,13.584,13.692,93562,0
20050610,13.708,13.793,13.624,13.793,237844,0
20050613,13.708,13.749,13.592,13.678,197083,0
20050614,13.648,13.793,13.633,13.786,288058,0
20050615,13.786,13.808,13.607,13.763,328039,0
20050616,13.749,13.856,13.615,13.856,156839,0
20050617,13.887,13.956,13.779,13.817,386406,0
20050620,13.763,13.895,13.716,13.716,183239,0
