Date,Open,High,Low,Close,Volume,OpenInt
20080110,10.672,10.672,8.9019,9.2166,326950,0
20080111,9.2166,9.58,9.2166,9.4101,85547,0
20080114,9.4586,10.041,9.4586,9.725,36074,0
20080115,10.21,10.236,9.629,9.677,171926,0
20080116,9.668,9.775,9.58,9.605,427552,0
20080117,9.653,9.701,9.4586,9.653,182856,0
20080118,9.653,9.701,9.58,9.701,260364,0
20080122,9.3383,9.824,9.2262,9.532,187184,0
20080123,9.2166,10.067,9.2166,9.994,295610,0
20080124,9.895,9.944,9.653,9.944,250060,0
20080125,10.067,10.308,9.824,10.187,152135,0
20080128,10.187,10.382,10.067,10.26,78750,0
20080129,10.26,10.43,10.187,10.187,53391,0
20080130,10.187,10.356,10.117,10.236,117297,0
20080131,10.187,10.43,9.944,10.161,4628222,0
20080201,10.477,10.477,9.599,9.948,1476449,0
20080204,10.067,10.067,9.701,9.794,1425977,0
20080205,9.749,9.799,9.58,9.615,936469,0
20080206,9.677,9.701,9.3149,9.3628,818509,0
20080207,9.3628,9.4586,9.2166,9.3383,1586792,0
20080208,9.3217,9.4833,9.2696,9.4408,927872,0
20080211,9.3491,9.397,9.3149,9.3628,693762,0
20080212,9.2895,9.4349,9.2454,9.2658,1249576,0
20080213,9.2895,9.2895,9.1235,9.1924,532918,0
20080214,9.2166,9.891,9.1723,9.2514,1052799,0
20080215,9.3383,9.4695,9.2166,9.3267,311879,0
20080219,9.3383,9.4101,9.2166,9.2514,271884,0
20080220,9.2658,9.2934,9.0951,9.1673,598855,0
20080221,9.0706,9.2166,8.9787,9.1441,218600,0
20080222,9.1054,9.3149,8.9734,9.2735,487749,0
20080225,9.3217,9.507,9.2166,9.3383,223461,0
20080226,9.3628,9.3706,9.1197,9.3383,514334,0
20080227,9.2895,9.3325,9.2454,9.2454,495089,0
20080228,9.2895,9.3149,9.0706,9.1673,526399,0
20080229,9.11,9.2561,9.0571,9.1197,372116,0
20080303,9.0951,9.1492,9.0088,9.0951,332246,0
20080304,9.0951,9.1441,8.9244,9.012,212952,0
20080305,9.0217,9.0217,8.5136,8.8234,554915,0
20080306,8.9019,9.3677,8.853,9.1197,300801,0
20080307,9.0217,9.1982,8.634,8.8388,352959,0
20080310,8.7801,8.8337,8.5368,8.5368,225316,0
20080311,8.5368,8.7319,8.4118,8.5039,234194,0
20080312,8.5664,8.6062,8.2561,8.343,400808,0
20080313,8.3816,8.3816,8.0518,8.1497,700072,0
20080314,8.1497,8.1497,7.6886,7.8349,328804,0
20080317,7.7626,7.8059,7.4458,7.4709,159689,0
20080318,7.4458,7.6654,7.3737,7.4709,248489,0
20080319,7.6397,7.6397,7.3597,7.3597,173275,0
20080320,7.3493,7.5302,7.0827,7.5302,255213,0
20080324,8.1001,8.7654,7.8921,8.4885,594704,0
20080325,8.4401,8.9734,8.4401,8.8768,272186,0
20080326,8.9734,9.2166,8.9734,9.0706,299522,0
20080327,9.1924,9.1924,8.5754,8.5805,192113,0
20080328,8.5754,8.8768,8.5368,8.571,271104,0
20080331,8.7319,8.741,8.1497,8.2225,190384,0
20080401,8.2225,8.7261,8.2225,8.6785,333137,0
20080402,8.7319,8.8626,8.7319,8.7319,134135,0
20080403,8.7319,8.853,8.7319,8.853,84051,0
20080404,8.853,8.853,8.7854,8.8047,82570,0
20080407,8.9683,9.0611,8.8285,9.012,142727,0
20080408,9.0217,9.0424,8.7319,8.8478,92149,0
20080409,9.0951,9.0951,8.6391,8.7222,117604,0
20080410,8.6591,8.8285,8.6102,8.8047,80877,0
20080411,8.8285,9.11,8.7074,8.7608,78344,0
20080414,8.853,8.853,8.4885,8.6102,102010,0
20080415,8.5633,8.7319,8.4885,8.5851,59330,0
20080416,8.8188,8.853,8.7074,8.7519,67560,0
20080417,8.7319,8.8047,8.634,8.703,51600,0
20080418,8.8047,8.853,8.7319,8.8388,68842,0
20080421,8.853,8.9734,8.7171,8.853,247802,0
20080422,8.8671,8.9683,8.683,8.7222,205095,0
20080423,8.7801,8.8285,8.5851,8.6977,65085,0
20080424,8.7699,8.7801,8.5368,8.5478,74267,0
20080425,8.6102,9.0217,8.5851,8.9844,161147,0
20080428,9.2166,9.503,9.1583,9.3862,434525,0
20080429,9.605,9.605,9.4349,9.557,251964,0
20080430,9.507,9.745,9.507,9.64,200794,0
20080501,9.712,10.067,9.712,9.846,293882,0
20080502,10.09,10.09,9.749,9.814,179640,0
20080505,9.749,10.046,9.653,9.741,306213,0
20080506,9.701,9.944,9.701,9.755,301304,0
20080507,9.712,9.842,9.712,9.725,547655,0
20080508,9.717,10.071,9.701,9.988,221499,0
20080509,9.944,10.187,9.846,9.944,190862,0
20080512,10.017,10.056,9.856,9.861,144656,0
20080513,9.872,10.056,9.861,9.881,351540,0
20080514,9.881,9.953,9.701,9.706,406150,0
20080515,9.759,9.944,9.721,9.749,141269,0
20080516,9.749,9.886,9.701,9.731,204656,0
20080519,9.824,10.138,9.706,9.749,231032,0
20080520,9.988,10.017,9.717,9.833,161589,0
20080521,9.92,9.939,9.799,9.92,94876,0
20080522,9.895,9.944,9.799,9.92,94775,0
20080523,9.939,9.944,9.779,9.802,160674,0
20080527,10.007,10.041,9.4833,9.542,289170,0
20080528,9.537,9.542,8.8916,9.1827,477815,0
20080529,9.1197,9.2078,8.9734,9.11,141705,0
20080530,9.1441,9.2609,9.0706,9.1492,385716,0
20080602,9.2166,9.2658,9.0217,9.1345,97220,0
20080603,9.0951,9.507,9.0951,9.3677,101115,0
20080604,9.4101,9.551,9.3628,9.532,52701,0
20080605,9.571,9.58,9.2561,9.2934,116090,0
20080606,9.11,9.397,9.11,9.2842,47866,0
20080609,9.3149,9.3491,9.0037,9.2166,103696,0
20080610,9.2407,9.309,9.2166,9.2793,68727,0
20080611,9.3041,9.354,9.2166,9.3149,50782,0
20080612,9.2561,9.3149,9.2262,9.2407,70944,0
20080613,9.3491,9.3491,9.2029,9.2793,53593,0
20080616,9.3383,9.354,9.1441,9.2561,206548,0
20080617,9.2658,9.354,9.1673,9.2658,101035,0
20080618,9.2895,9.354,9.2166,9.309,143223,0
20080619,9.696,9.696,9.2658,9.3628,32011,0
20080620,9.3628,9.4062,9.1673,9.2696,174545,0
20080623,9.2735,9.4062,9.2561,9.2992,76364,0
