Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.2417,3.2891,3.2322,3.2605,162047,0
20050228,3.2513,3.3175,3.2513,3.3175,134195,0
20050301,3.3175,3.3459,3.2796,3.3175,316499,0
20050302,3.3366,3.4312,3.308,3.3744,263328,0
20050303,3.4123,3.4217,3.3744,3.4123,78491,0
20050304,3.4597,3.4976,3.4217,3.4597,221550,0
20050307,3.4787,3.5166,3.4503,3.4787,286116,0
20050308,3.4408,3.4597,3.3934,3.4312,208890,0
20050309,3.4029,3.4408,3.384,3.4029,94950,0
20050310,3.3934,3.4123,3.3555,3.3934,258264,0
20050311,3.3934,3.3934,3.1944,3.2796,257000,0
20050314,3.2417,3.2891,3.2039,3.2891,225346,0
20050315,3.3175,3.3175,3.2701,3.2701,44311,0
20050316,3.2513,3.3175,3.2513,3.3175,56971,0
20050317,3.3271,3.4312,3.2891,3.4312,151922,0
20050318,3.4408,3.4692,3.3934,3.3934,134195,0
20050321,3.3555,3.4123,3.3175,3.3555,93684,0
20050322,3.3175,3.3175,3.2039,3.2039,136728,0
20050323,3.1563,3.1563,3.0426,3.0806,110141,0
20050324,3.0711,3.1754,3.0711,3.1468,82290,0
20050328,3.0994,3.0994,3.0047,3.0333,191164,0
20050329,3.0426,3.0616,2.9763,2.9951,251935,0
20050330,2.9669,3.0994,2.9669,3.0994,93684,0
20050331,3.1563,3.1563,2.9858,3.0238,63299,0
20050401,3.0806,3.0901,3.0426,3.0426,34181,0
20050404,2.9763,3.0047,2.9763,3.0047,2532,0
20050405,3.0806,3.1563,3.0426,3.0522,135463,0
20050406,3.0616,3.0901,2.9858,2.9858,91152,0
20050407,2.9763,3.1468,2.9763,3.1468,182303,0
20050408,3.1186,3.2228,3.1186,3.1563,259528,0
20050411,3.1563,3.1563,3.0711,3.1186,107610,0
20050412,3.0238,3.0711,2.9479,3.0616,239274,0
20050413,3.0426,3.0901,3.0426,3.0426,35450,0
20050414,3.0238,3.0426,2.9384,2.9384,63299,0
20050415,2.9005,2.9005,2.7583,2.7679,124068,0
20050418,2.7393,2.7488,2.6539,2.7015,234209,0
20050419,2.8056,2.9669,2.8056,2.9479,168379,0
20050420,2.9763,3.0806,2.9763,3.0522,145589,0
20050421,3.0806,3.0806,3.0806,3.0806,7595,0
20050422,3.0901,3.1754,3.0901,3.1754,59500,0
20050425,3.0994,3.1375,3.0522,3.109,629200,0
20050426,3.109,3.109,3.0616,3.0806,20257,0
20050427,3.0047,3.0426,3.0047,3.0426,7595,0
20050428,2.9951,3.0047,2.9195,2.9289,11395,0
20050429,2.8815,2.891,2.8815,2.891,30384,0
20050502,3.0047,3.0047,2.9195,2.9289,46842,0
20050503,2.9384,2.9858,2.9289,2.9858,13924,0
20050504,2.9195,2.9573,2.9195,2.9573,5064,0
20050505,3.0142,3.0426,2.9573,2.9669,74694,0
20050509,2.9479,2.9479,2.9195,2.9195,126599,0
20050510,2.8627,2.8627,2.7299,2.7393,881135,0
20050511,2.7393,2.7393,2.6067,2.711,151922,0
20050512,2.7299,2.7962,2.7204,2.7772,68363,0
20050513,2.7962,2.8435,2.7772,2.7962,20257,0
20050516,2.7868,2.8152,2.7772,2.8152,7595,0
20050517,2.8722,2.9099,2.853,2.9099,35450,0
20050518,2.9763,3.109,2.9763,3.0901,82290,0
20050519,3.1186,3.1563,3.1186,3.1563,29117,0
20050520,3.1279,3.1563,3.0994,3.1563,56971,0
20050523,3.109,3.1186,3.0806,3.109,29117,0
20050524,3.0522,3.1186,3.0522,3.1186,96215,0
20050525,3.1563,3.1563,3.109,3.1279,101280,0
20050526,3.109,3.109,3.0616,3.109,22788,0
20050527,3.2039,3.3366,3.1563,3.2891,345617,0
20050531,3.3271,3.3271,3.2417,3.2513,188634,0
20050601,3.2039,3.2985,3.2039,3.2985,134195,0
20050602,3.3459,3.5166,3.3175,3.4408,730481,0
20050603,3.4503,3.5356,3.4312,3.5071,77227,0
20050606,3.3934,3.5735,3.3271,3.5261,255731,0
20050607,3.5261,3.5261,3.4029,3.4029,11395,0
20050608,3.3744,3.3934,3.2891,3.3175,26587,0
20050609,3.1944,3.2513,3.1375,3.2513,82290,0
20050610,3.2322,3.3934,3.1944,3.3459,281052,0
20050613,3.4029,3.4597,3.4029,3.4503,53171,0
20050614,3.4123,3.5261,3.308,3.4312,126599,0
20050615,3.4312,3.4692,3.3459,3.3459,25319,0
20050616,3.4312,3.4882,3.4312,3.4692,98748,0
20050617,3.5071,3.6019,3.5071,3.545,79758,0
20050620,3.5546,3.5546,3.5166,3.5166,46842,0
20050621,3.5546,3.5923,3.5546,3.5923,37979,0
20050622,3.6209,3.6683,3.5923,3.6305,62034,0
20050623,3.6968,3.6968,3.6305,3.6305,31651,0
20050624,3.6398,3.6493,3.5546,3.5546,59500,0
20050627,3.4976,3.564,3.4787,3.5356,139259,0
20050628,3.5735,3.5735,3.5735,3.5735,13924,0
20050629,3.6305,3.6777,3.5923,3.6305,75960,0
20050630,3.6305,3.7157,3.6114,3.7157,144323,0
20050701,3.6493,3.8104,3.6493,3.8104,130398,0
20050705,3.6777,3.6777,3.6019,3.6305,177240,0
20050706,3.4976,3.5923,3.4976,3.5166,63299,0
20050707,3.5166,3.5735,3.4597,3.5546,27853,0
20050708,3.5546,3.6777,3.5546,3.6683,329160,0
20050711,3.7157,3.8104,3.6777,3.801,140527,0
20050712,3.82,3.8577,3.8104,3.8104,75960,0
20050713,3.7915,3.8577,3.7251,3.8104,103812,0
20050714,3.7915,3.8958,3.763,3.8958,296244,0
20050715,3.7915,3.8673,3.7915,3.8484,115207,0
20050718,3.744,3.7725,3.6683,3.6968,73427,0
20050719,3.6777,3.6777,3.6777,3.6777,1264,0
20050720,3.6777,3.763,3.6777,3.763,17723,0
20050721,3.7821,3.8295,3.7725,3.8104,53171,0
20050722,3.8104,3.82,3.7346,3.82,43043,0
20050725,3.6588,3.6588,3.4882,3.5166,59500,0
20050726,3.4692,3.5923,3.4692,3.5735,78491,0
20050727,3.5546,3.5735,3.5356,3.5735,29117,0
20050728,3.6305,3.6493,3.6209,3.6209,31651,0
20050801,3.6968,3.7251,3.6493,3.7251,24054,0
20050802,3.7915,3.8484,3.7915,3.8484,68363,0
20050803,3.8577,4.0093,3.8577,4.0093,139259,0
20050804,4.0093,4.0949,4.0001,4.0949,208890,0
20050805,4.0852,4.1043,4.0475,4.1043,15194,0
20050808,4.1518,4.1518,3.9905,3.9905,24054,0
20050809,4.0664,4.0852,4.0284,4.0757,77227,0
20050810,4.1895,4.2085,4.1518,4.2085,35450,0
20050811,4.2085,4.2085,4.0093,4.1043,21522,0
20050812,3.9526,3.9526,3.7725,3.8673,62034,0
20050815,3.9431,4.0001,3.8673,4.0001,72163,0
20050816,4.0569,4.0569,3.9905,3.9905,17723,0
20050817,4.0949,4.1043,4.0757,4.1043,107610,0
20050818,4.1043,4.1043,4.0475,4.0949,72163,0
20050819,4.0475,4.0475,3.8295,3.9147,51907,0
20050822,4.0475,4.1137,4.0284,4.1137,86088,0
20050823,4.0189,4.0475,4.0189,4.0284,98748,0
20050824,4.0284,4.0284,4.0284,4.0284,17723,0
20050825,4.038,4.038,4.0284,4.0284,92418,0
20050826,4.0189,4.1043,4.0189,4.1043,121537,0
20050830,4.1705,4.2274,4.1705,4.1895,40513,0
20050831,4.2465,4.2559,4.199,4.199,7595,0
20050901,4.1895,4.1895,4.1328,4.1328,5064,0
20050902,4.1895,4.2369,4.1895,4.2369,36714,0
20050906,4.2844,4.2844,4.2274,4.2655,140527,0
20050907,4.2655,4.2655,4.2274,4.2655,45576,0
20050908,4.2844,4.2844,4.2559,4.2844,192433,0
20050909,4.3034,4.3885,4.2559,4.3885,224082,0
20050912,4.3601,4.3697,4.2939,4.3034,36714,0
20050913,4.3034,4.3601,4.2939,4.3223,70895,0
20050914,4.3697,4.3697,4.3412,4.3412,11395,0
20050915,4.4171,4.4835,4.4171,4.474,131664,0
20050916,4.4928,4.5593,4.4835,4.5308,49374,0
20050919,4.5308,4.7677,4.3412,4.7204,127867,0
20050920,4.7488,4.7961,4.7395,4.7677,45576,0
20050921,4.8059,4.9195,4.7772,4.7772,146856,0
20050922,4.7108,4.7395,4.6634,4.7204,125334,0
20050923,4.7395,4.7584,4.6824,4.7014,127867,0
20050926,4.7395,4.7677,4.7204,4.7584,96215,0
20050927,4.7772,4.9288,4.7677,4.9195,246870,0
20050928,4.9764,5.346,4.9764,5.2607,120269,0
20050929,5.3175,5.346,5.2038,5.3272,30384,0
20050930,5.3366,5.5072,5.2984,5.5072,67098,0
20051003,5.5451,5.6872,5.5072,5.6872,83555,0
20051004,5.6494,5.7061,5.2891,5.3649,341819,0
20051005,5.2132,5.2132,4.9478,4.9951,274722,0
20051006,4.853,4.9005,4.7014,4.7772,372204,0
20051007,4.9288,4.9951,4.9288,4.9951,46842,0
20051010,5.1185,5.1279,4.9764,5.0521,58234,0
20051011,4.9101,4.9288,4.7868,4.853,134195,0
20051012,4.7772,4.8247,4.654,4.654,169643,0
20051013,4.654,4.654,4.4077,4.4835,150654,0
20051014,4.5023,4.7299,4.5023,4.7299,58234,0
20051017,4.7961,4.853,4.6256,4.7014,179771,0
20051018,4.4645,4.4645,4.3412,4.4171,267125,0
20051019,4.3601,4.3885,4.1895,4.2559,212688,0
20051020,4.4266,4.5403,4.3981,4.3981,137994,0
