Date,Open,High,Low,Close,Volume,OpenInt
20160722,25.98,26.09,25.9,25.9341,15149,0
20160725,25.9,25.95,25.8,25.95,11259,0
20160726,25.85,26.14,25.847,25.974,14422,0
20160727,25.994,26.06,25.994,26,3295,0
20160728,26.1,26.2,26.05,26.2,8700,0
20160729,26.2,26.2,26.11,26.15,7710,0
20160801,26.11,26.4,26.11,26.3172,8391,0
20160802,26.2,26.3135,26.1208,26.3135,5350,0
20160803,26.39,26.39,26.15,26.2,11379,0
20160804,26.1128,26.2999,26.11,26.2999,5130,0
20160805,26.25,26.25,25.99,26.19,21808,0
20160808,26.18,26.18,25.95,26.1384,9887,0
20160809,26.2,26.2683,26.1,26.1,14219,0
20160810,26.2,26.6,26.2,26.3,49447,0
20160811,26.4899,26.4899,26.3,26.3,3445,0
20160812,26.2524,26.479,26.2,26.45,6400,0
20160815,26.48,26.48,26.282,26.479,3800,0
20160816,26.28,26.49,26.09,26.49,4350,0
20160817,26.45,26.45,26.45,26.45,7600,0
20160818,26.29,26.39,26.188,26.35,4290,0
20160822,26.2954,26.2954,26.2954,26.2954,300,0
20160823,26.17,26.41,26.1636,26.2701,10174,0
20160824,26.38,26.48,26.3792,26.45,16510,0
20160825,26.45,26.88,26.43,26.74,17194,0
20160826,26.61,26.75,26.6,26.6,5456,0
20160829,26.52,26.7,26.52,26.6965,5657,0
20160830,26.8,26.8,26.55,26.58,7540,0
20160831,26.6,26.8,26.56,26.8,4722,0
20160902,26.58,26.8,26.58,26.7993,1955,0
20160906,26.65,26.65,26.55,26.6485,2890,0
20160907,26.44,26.65,26.44,26.65,4204,0
20160908,26.649,28.0636,26.649,26.8976,7522,0
20160909,27,27.042,26.25,26.51,4049,0
20160914,26.51,26.51,26.51,26.51,300,0
20160915,26.45,26.45,26.45,26.45,1002,0
20160916,26.4445,26.4445,26.4445,26.4445,1017,0
20160919,26.45,26.55,26.43,26.4488,3900,0
20160920,26.425,26.5,26.425,26.425,2200,0
20160921,26.4499,26.4499,26.15,26.1651,7528,0
20160922,26.2,26.3,26.2,26.3,5680,0
20160923,26.335,26.335,26.21,26.21,11650,0
20160926,26.3,26.3,26.1,26.11,2420,0
20160927,26.15,26.15,26.1,26.1,4510,0
20160929,26.1101,26.1693,26.1,26.1,3229,0
20160930,26.199,26.21,26.17,26.21,1788,0
20161003,26.31,26.5,26.308,26.4975,6420,0
20161004,26.5,26.503,26.32,26.503,2753,0
20161005,26.65,26.65,26.1,26.106,9782,0
20161006,26.1,26.2345,26,26.2,9997,0
20161007,25.75,26.1387,25.75,26.1387,7045,0
20161010,26.29,26.29,25.89,26.2826,10766,0
20161011,26.2852,26.3106,26.25,26.3106,2700,0
20161012,26.25,26.3011,26.25,26.2995,1800,0
20161013,26.25,26.25,26.05,26.15,19100,0
20161014,26.25,26.39,26.219,26.27,5500,0
20161017,26.2,26.39,25.75,26.38,17500,0
20161018,26.29,26.29,25.92,26.1096,2940,0
20161019,26.05,26.185,25.9,26,4139,0
20161020,25.93,25.96,25.91,25.92,1194,0
20161021,25.85,25.85,25.8101,25.84,2211,0
20161024,25.85,26.05,25.75,25.909,4036,0
20161025,25.867,25.8885,25.85,25.8885,660,0
20161026,25.92,25.944,25.75,25.885,4175,0
20161027,25.81,26,25.55,25.767,23570,0
20161028,25.7,25.7,25.53,25.66,11022,0
20161031,25.63,25.68,25.6,25.61,5938,0
20161101,25.71,25.81,25.6103,25.62,3438,0
20161102,25.6263,25.685,25.6263,25.6786,3000,0
20161103,25.72,25.91,25.669,25.67,9223,0
20161104,25.7928,25.7928,25.65,25.7201,2300,0
20161107,25.65,26.35,25.624,25.75,7258,0
20161108,25.7541,25.7541,25.7541,25.7541,150,0
20161109,25.75,25.75,25.55,25.55,3057,0
20161110,25.5,25.5,25.25,25.32,2476,0
20161111,25.25,25.3396,25,25.0453,6274,0
20161114,25.01,25.4,24.87,25.2,19940,0
20161115,25.4,25.4,24.05,24.95,8356,0
20161116,25.05,25.15,25.05,25.15,1150,0
20161117,25.205,25.205,25.2,25.2,450,0
20161118,25.1,25.1,25.0607,25.0919,4000,0
