Date,Open,High,Low,Close,Volume,OpenInt
20050225,22.56,22.987,22.56,22.98,682588,0
20050228,23.058,23.063,22.638,22.829,471236,0
20050301,22.829,23.103,22.814,22.987,323060,0
20050302,22.987,22.987,22.678,22.724,721995,0
20050303,22.762,22.902,22.718,22.802,568286,0
20050304,22.835,23.228,22.835,23.196,518459,0
20050307,23.273,23.561,23.07,23.423,416523,0
20050308,23.423,23.423,22.987,23.15,367675,0
20050309,23.07,23.07,22.455,22.489,528877,0
20050310,22.514,22.822,22.397,22.776,291468,0
20050311,22.776,22.776,22.509,22.627,461466,0
20050314,22.672,22.902,22.575,22.902,228943,0
20050315,22.98,23.216,22.835,22.902,535393,0
20050316,22.902,23.03,22.745,22.797,452350,0
20050317,22.79,23.15,22.79,23.038,439646,0
20050318,23.116,23.13,22.79,22.79,261832,0
20050321,22.913,22.948,22.514,22.79,332177,0
20050322,22.867,23.038,22.272,22.306,396986,0
20050323,22.214,22.318,21.861,22.019,479704,0
20050324,22.128,22.43,21.997,22.036,456906,0
20050328,22.096,22.201,21.833,21.952,916092,0
20050329,21.756,21.88,21.678,21.737,865295,0
20050330,21.768,21.88,21.684,21.737,695945,0
20050331,21.849,21.997,21.73,21.913,706364,0
20050401,22.058,22.214,21.833,21.965,779641,0
20050404,21.906,21.947,21.664,21.723,509661,0
20050405,21.664,21.901,21.646,21.789,500873,0
20050406,21.866,22.064,21.756,21.763,837282,0
20050407,21.763,22.143,21.763,22.036,522037,0
20050408,22.044,22.069,21.873,21.88,387213,0
20050411,21.926,22.135,21.901,22.135,335106,0
20050412,22.135,22.522,22.064,22.502,668263,0
20050413,22.489,22.784,22.469,22.738,807651,0
20050414,22.738,22.971,22.522,22.808,959735,0
20050415,22.808,22.867,22.581,22.75,677704,0
20050418,22.808,23.004,22.672,22.971,849658,0
20050419,23.004,23.221,22.98,23.13,425645,0
20050420,23.13,23.228,22.873,23.13,778336,0
20050421,23.208,23.24,22.993,23.228,617458,0
20050422,23.228,23.359,23.09,23.24,540278,0
20050425,23.24,23.568,23.24,23.455,485892,0
20050426,23.41,23.548,23.249,23.249,493052,0
20050427,23.254,23.509,23.13,23.502,441927,0
20050428,23.574,23.58,23.347,23.392,467981,0
20050429,23.41,23.703,23.228,23.703,828491,0
20050502,23.685,23.771,23.384,23.734,410009,0
20050503,23.726,23.783,23.548,23.593,298306,0
20050504,23.593,24.439,23.593,24.104,1069484,0
20050505,23.593,24.234,23.574,24.144,1812973,0
20050506,24.064,24.109,23.744,24.109,763682,0
20050509,23.954,24.256,23.836,24.224,927492,0
20050510,24.175,24.489,23.914,24.424,566655,0
20050511,24.51,24.668,24.154,24.498,546468,0
20050512,24.528,24.594,24.15,24.195,339672,0
20050513,24.195,24.34,23.645,23.821,549722,0
20050516,23.888,24.224,23.888,24.224,354653,0
20050517,24.224,24.52,24.051,24.504,626575,0
20050518,24.58,24.732,24.469,24.707,489796,0
20050519,24.765,25.078,24.724,25.078,403499,0
20050520,25.078,25.4,24.821,25.276,518135,0
20050523,25.32,25.484,25.195,25.301,422064,0
20050524,25.224,25.228,24.908,25.093,494357,0
20050525,24.908,24.94,24.51,24.613,495010,0
20050526,24.613,24.933,24.386,24.405,489796,0
20050527,24.439,24.783,24.439,24.652,452021,0
20050531,24.717,25.046,24.717,24.959,577076,0
20050601,24.993,25.544,24.993,25.535,584568,0
20050602,25.535,25.659,25.4,25.517,575126,0
20050603,25.606,25.98,25.535,25.646,583266,0
20050606,25.771,26.105,25.771,25.941,567959,0
20050607,26.017,26.505,25.941,26.235,565026,0
20050608,26.228,26.607,26.228,26.353,630810,0
20050609,26.294,26.55,26.235,26.347,465372,0
20050610,26.392,26.523,26.099,26.196,305148,0
20050613,26.048,26.381,25.995,26.196,589778,0
20050614,26.196,26.667,26.177,26.667,607041,0
20050615,26.725,26.725,26.314,26.485,535717,0
20050616,26.358,26.596,26.202,26.584,240668,0
20050617,26.732,26.903,26.485,26.896,654750,0
20050620,26.896,26.995,26.746,26.746,327295,0
20050621,26.837,26.922,26.536,26.636,314262,0
20050622,26.725,26.929,26.328,26.353,303189,0
20050623,26.381,26.693,26.374,26.544,306120,0
20050624,26.653,26.667,25.935,26.386,581474,0
20050627,26.347,26.778,26.294,26.636,561280,0
20050628,26.562,26.615,26.034,26.228,659469,0
20050629,26.164,26.478,26.112,26.196,477262,0
20050630,26.177,26.392,25.851,26.392,598734,0
20050701,26.544,26.674,26.228,26.674,452021,0
20050705,26.725,26.955,26.641,26.81,458045,0
20050706,26.746,26.929,26.562,26.607,363112,0
20050707,26.607,26.818,26.335,26.81,223569,0
20050708,26.686,27.545,26.628,27.453,344717,0
20050711,27.511,27.845,27.42,27.838,317521,0
20050712,27.76,28.021,27.517,27.817,548093,0
20050713,27.817,27.849,27.522,27.676,435898,0
20050714,27.798,27.974,26.511,26.903,1002725,0
20050715,27.019,27.145,26.72,26.929,450556,0
20050718,26.837,27.033,26.837,26.903,620391,0
20050719,26.903,27.145,26.877,27.079,318011,0
20050720,27.137,27.798,27.059,27.76,573008,0
20050721,27.765,27.792,27.275,27.506,786805,0
20050722,27.529,27.676,27.157,27.327,359369,0
20050725,27.269,27.552,27.257,27.458,493219,0
20050726,27.36,27.693,27.327,27.668,262811,0
20050727,27.699,27.995,27.478,27.838,457070,0
20050728,27.974,28.152,27.792,28.088,652306,0
20050729,28.088,28.393,27.974,28.112,492245,0
20050801,28.112,28.323,27.746,28.25,500545,0
20050802,28.165,28.66,28.088,28.642,416033,0
20050803,28.642,28.682,28.192,28.543,307263,0
20050804,28.192,28.198,27.654,27.66,772637,0
20050805,27.145,27.153,25.562,26.21,1069319,0
20050808,26.054,26.058,24.724,24.933,1111004,0
20050809,24.975,25.276,24.724,25.106,1771780,0
20050810,25.247,25.791,25.158,25.451,869848,0
20050811,25.451,25.817,25.325,25.706,523667,0
20050812,25.555,25.954,25.433,25.856,759452,0
20050815,25.888,26.256,25.817,26.048,458533,0
20050816,26.048,26.321,25.921,26.105,306777,0
20050817,25.98,26.026,25.602,25.738,393888,0
20050818,25.738,25.829,25.478,25.568,415220,0
20050819,25.692,25.692,25.247,25.341,740559,0
20050822,25.216,25.575,25.216,25.446,379400,0
20050823,25.341,25.614,25.325,25.535,218195,0
20050824,25.659,25.974,25.636,25.836,445507,0
20050825,25.921,26.065,25.636,25.974,281372,0
20050826,26.093,26.137,25.596,25.646,512761,0
20050829,25.659,25.659,25.162,25.346,568772,0
20050830,25.099,25.544,25.099,25.325,614693,0
20050831,25.241,26.054,25.241,25.995,598245,0
20050901,25.935,26.34,25.783,26.002,558187,0
20050902,26.002,26.058,25.783,25.915,431013,0
20050906,25.877,26.556,25.877,26.55,511294,0
