Date,Open,High,Low,Close,Volume,OpenInt
20100823,20.217,20.233,20.13,20.138,6377,0
20100824,20.242,20.311,19.983,20.114,15688,0
20100825,20.044,20.32,20.044,20.233,19656,0
20100826,20.363,20.363,19.837,19.914,18881,0
20100827,20.035,20.346,19.922,20.182,14681,0
20100830,20.242,20.449,20.217,20.269,24764,0
20100831,20.26,20.388,20.233,20.388,14869,0
20100901,20.354,20.475,20.242,20.415,8305,0
20100902,20.372,20.449,20.217,20.372,4706,0
20100903,20.302,20.51,20.285,20.406,14627,0
20100907,20.44,20.518,20.346,20.388,4872,0
20100908,20.544,20.691,20.518,20.561,9490,0
20100909,20.501,20.691,20.501,20.647,29429,0
20100910,20.63,20.829,20.518,20.829,19550,0
20100913,20.751,20.966,20.733,20.802,22682,0
20100914,20.518,20.655,20.269,20.346,11766,0
20100915,20.544,20.974,20.269,20.337,31732,0
20100916,20.251,20.647,20.251,20.536,34057,0
20100917,20.406,20.536,20.269,20.475,9621,0
20100920,20.388,20.622,20.388,20.588,8255,0
20100921,20.484,20.707,20.484,20.561,98119,0
20100922,20.552,20.647,20.44,20.536,39058,0
20100923,20.588,20.613,20.561,20.613,7869,0
20100924,20.751,20.751,20.613,20.613,11309,0
20100927,20.613,20.613,20.406,20.415,9839,0
20100928,20.518,20.518,20.388,20.501,10895,0
20100929,20.561,20.561,20.388,20.415,5698,0
20100930,21.552,21.552,20.433,20.552,9405,0
20101001,20.552,20.561,20.501,20.561,9605,0
20101004,20.466,20.561,20.466,20.561,2296,0
20101005,20.492,20.647,20.492,20.647,8277,0
20101006,20.768,20.768,20.475,20.604,12377,0
20101007,20.492,20.604,20.492,20.604,6418,0
20101008,20.51,20.699,20.51,20.527,6640,0
20101011,20.501,20.604,20.501,20.596,2417,0
20101012,20.725,20.725,20.233,20.337,59795,0
20101013,20.26,20.346,20.001,20.26,114913,0
20101014,20.346,20.346,20.138,20.277,23814,0
20101015,20.277,20.277,20.173,20.26,33860,0
20101018,20.285,20.285,20.01,20.173,19012,0
20101019,20.121,20.346,20.121,20.346,26144,0
20101020,20.302,20.372,20.208,20.363,34847,0
20101021,20.26,20.424,20.26,20.372,20083,0
20101022,20.372,20.51,20.242,20.329,26802,0
20101025,20.302,20.424,20.26,20.424,37088,0
20101026,20.501,20.501,20.217,20.346,21138,0
20101027,20.337,20.51,20.105,20.105,15080,0
20101028,20.26,20.466,20.26,20.433,23814,0
20101029,20.337,20.337,20.269,20.277,17268,0
20101101,20.372,20.372,20.242,20.346,17733,0
20101102,20.466,20.466,20.26,20.26,9144,0
20101103,20.13,20.492,20.105,20.381,33414,0
20101104,20.492,20.561,20.388,20.527,143325,0
20101105,20.449,20.639,20.449,20.639,22025,0
20101108,20.544,20.596,20.449,20.561,16644,0
20101109,20.561,20.682,20.26,20.604,387460,0
20101110,20.561,20.639,20.475,20.518,40135,0
20101111,20.492,20.518,20.424,20.433,16675,0
20101112,20.354,20.415,20.302,20.302,7789,0
20101115,20.346,20.475,20.346,20.458,8983,0
20101116,20.354,20.518,20.311,20.458,6542,0
20101117,20.475,20.484,20.26,20.26,14609,0
20101118,20.388,20.466,20.32,20.44,14208,0
20101119,20.397,20.397,20.346,20.388,14340,0
20101122,20.346,20.466,20.294,20.363,7884,0
20101123,20.26,20.433,20.26,20.388,5351,0
20101124,20.388,20.466,20.346,20.346,10470,0
20101126,20.466,20.655,20.466,20.588,7615,0
20101129,20.604,20.604,20.475,20.475,7742,0
20101130,20.561,20.561,20.44,20.44,12387,0
20101201,20.518,20.596,20.44,20.518,25770,0
20101202,20.561,20.725,20.484,20.613,28744,0
20101203,20.518,20.588,20.449,20.51,21011,0
20101206,20.596,20.596,20.466,20.518,15780,0
20101207,20.518,20.596,20.518,20.527,52461,0
20101208,20.552,20.682,20.527,20.536,63745,0
20101209,20.561,20.613,20.433,20.588,126630,0
20101210,20.588,20.588,20.501,20.552,74766,0
20101213,20.604,20.604,20.552,20.552,32537,0
20101214,20.182,20.458,20.173,20.346,17395,0
20101215,20.337,20.492,20.233,20.329,38965,0
20101216,20.269,20.433,20.217,20.26,7264,0
20101217,20.269,20.269,20.044,20.062,44351,0
20101220,20.233,20.337,19.966,20.105,7457,0
20101221,20.233,20.233,19.974,20.078,10010,0
20101222,20.165,20.199,19.966,20.138,18383,0
20101223,20.233,20.458,20.13,20.346,16538,0
20101227,20.26,20.26,20.138,20.138,31449,0
20101228,20.053,20.381,20.053,20.32,21710,0
20101229,20.32,20.388,20.233,20.26,8129,0
20101230,20.424,20.561,20.086,20.156,21870,0
20101231,20.277,20.433,20.277,20.363,6304,0
20110103,20.294,20.397,20.13,20.182,279914,0
20110104,20.114,20.388,20.114,20.302,10402,0
20110105,19.251,20.388,19.251,20.311,81647,0
20110106,20.208,20.725,20.208,20.561,25936,0
20110107,20.569,20.76,20.561,20.691,21751,0
20110110,20.699,20.733,20.475,20.665,117329,0
20110111,20.588,20.665,20.424,20.604,11089,0
20110112,20.674,20.777,20.501,20.76,46999,0
20110113,20.655,20.716,20.372,20.475,59898,0
20110114,20.484,20.484,20.269,20.466,7389,0
20110118,20.458,20.579,20.121,20.337,136871,0
20110119,20.433,20.44,20.285,20.346,36143,0
20110120,20.251,20.346,20.13,20.26,296163,0
20110121,20.13,20.415,20.13,20.242,48296,0
20110124,20.26,20.415,20.26,20.346,20343,0
20110125,20.346,20.518,20.302,20.424,46341,0
20110126,20.346,20.424,20.302,20.397,10519,0
20110127,20.51,20.51,20.397,20.397,23607,0
20110128,20.415,20.484,20.302,20.346,55692,0
20110131,20.682,20.682,20.346,20.458,23839,0
20110201,20.51,20.613,20.372,20.372,167914,0
20110202,19.828,20.725,19.828,20.682,328637,0
20110203,20.733,20.915,20.579,20.647,41530,0
20110204,20.639,20.655,20.518,20.639,62517,0
20110207,20.561,20.613,20.544,20.552,15914,0
20110208,20.527,20.613,20.492,20.604,14889,0
20110209,20.492,20.897,20.492,20.846,47971,0
20110210,20.716,20.923,20.682,20.897,46357,0
20110211,20.906,21.009,20.854,20.966,12374,0
20110214,20.88,21.035,20.622,21.009,26476,0
20110215,20.974,21.312,20.906,20.906,13352,0
20110216,20.923,21.294,20.923,21.216,21056,0
20110218,21.07,21.415,21.053,21.372,35238,0
20110222,21.26,21.312,21.148,21.148,24362,0
20110223,21.112,21.208,21.035,21.079,67977,0
20110224,21.121,21.121,20.639,20.786,16122,0
20110225,20.794,20.819,20.622,20.622,8630,0
20110228,20.76,21.027,20.751,20.941,52139,0
20110301,21.002,21.035,20.863,20.915,191305,0
20110302,20.957,21.199,20.863,20.983,88940,0
20110303,20.983,20.993,20.915,20.993,25399,0
20110304,20.871,21.105,20.871,20.993,28812,0
20110307,20.949,21.035,20.88,20.88,15262,0
20110308,20.993,20.993,20.863,20.941,61559,0
20110309,20.957,20.993,20.811,20.949,56975,0
20110310,20.993,21.079,20.923,20.949,32426,0
20110311,20.561,20.733,20.424,20.716,42482,0
20110314,20.786,20.786,20.604,20.777,133352,0
20110315,20.569,20.691,20.466,20.536,11109,0
20110316,20.501,20.751,20.484,20.596,5668,0
20110317,20.674,20.733,20.569,20.733,5047,0
20110318,20.613,20.777,20.527,20.743,13486,0
20110321,20.691,20.777,20.682,20.682,33437,0
20110322,20.846,20.846,20.733,20.794,4423,0
20110323,20.716,20.819,20.699,20.819,13621,0
20110324,20.743,20.863,20.743,20.819,49090,0
20110325,20.819,20.863,20.819,20.863,22979,0
20110328,20.897,20.915,20.863,20.906,81518,0
20110329,20.932,20.993,20.871,20.932,5915,0
20110330,21.337,21.406,20.863,20.863,19489,0
20110331,20.941,21.079,20.906,20.957,249103,0
20110401,20.829,20.966,20.829,20.966,12208,0
20110404,20.88,21.027,20.88,21.018,6589,0
20110405,21.002,21.018,20.949,20.966,23662,0
20110406,21.009,21.018,20.829,20.897,100932,0
20110407,20.829,20.88,20.733,20.794,14975,0
20110408,18.932,20.906,18.932,20.871,7023,0
20110411,20.819,20.906,20.682,20.682,19651,0
20110412,20.682,20.838,20.588,20.622,9346,0
20110413,20.613,20.725,20.613,20.716,3263,0
20110414,20.647,20.733,20.604,20.604,3225,0
