Date,Open,High,Low,Close,Volume,OpenInt
20050225,18.97,19.284,18.792,19.284,42423,0
20050228,19.252,19.348,18.689,18.857,90193,0
20050301,18.809,19.332,18.801,19.284,96168,0
20050302,19.388,19.427,18.93,19.041,83475,0
20050303,19.124,19.292,18.875,19.019,109350,0
20050304,19.002,19.588,18.963,19.502,100520,0
20050307,19.46,19.975,19.405,19.742,120177,0
20050308,19.774,19.797,19.259,19.38,108855,0
20050309,19.372,19.372,18.849,18.866,100646,0
20050310,18.826,18.963,18.633,18.649,90193,0
20050311,18.617,18.617,18.383,18.487,67926,0
20050314,18.496,18.77,18.496,18.77,44037,0
20050315,18.849,19.05,18.535,18.592,77130,0
20050316,18.633,18.689,18.487,18.625,55361,0
20050317,18.617,18.762,18.487,18.673,54866,0
20050318,18.77,18.834,18.487,18.729,179392,0
20050321,18.753,18.753,18.504,18.641,80241,0
20050322,18.608,18.746,18.407,18.415,61205,0
20050323,18.367,18.367,18.012,18.012,62206,0
20050324,18.079,18.375,18.053,18.15,43169,0
20050328,18.231,18.319,18.166,18.2,46776,0
20050329,18.088,18.415,18.046,18.111,109972,0
20050330,18.2,18.487,18.2,18.487,59839,0
20050331,18.448,18.552,18.344,18.415,94798,0
20050401,18.487,18.704,18.319,18.328,111096,0
20050404,18.448,18.535,18.223,18.487,74520,0
20050405,18.464,18.608,18.407,18.407,69790,0
20050406,18.552,18.792,18.552,18.649,81985,0
20050407,18.729,18.834,18.617,18.777,42796,0
20050408,18.849,18.849,18.383,18.481,71283,0
20050411,18.608,18.657,18.319,18.4,113334,0
20050412,18.487,18.897,18.24,18.889,128883,0
20050413,18.889,18.912,18.269,18.52,115945,0
20050414,18.535,18.633,17.983,18.126,122417,0
20050415,18.132,18.132,17.597,17.597,134480,0
20050418,17.644,17.998,17.636,17.764,143561,0
20050419,17.772,17.9,17.742,17.891,75888,0
20050420,17.891,17.891,17.219,17.219,80118,0
20050421,17.379,18.44,17.379,18.391,254283,0
20050422,18.4,18.448,17.983,18.231,194199,0
20050425,18.407,18.464,18.15,18.248,189219,0
20050426,18.207,18.215,17.614,17.659,145928,0
20050427,17.605,17.836,17.33,17.667,100646,0
20050428,17.667,17.675,17.339,17.388,65065,0
20050429,17.514,17.814,17.202,17.788,90564,0
20050502,17.883,18.207,17.836,18.207,66556,0
20050503,18.175,18.487,18.132,18.344,93801,0
20050504,18.464,18.849,18.344,18.849,87582,0
20050505,18.777,18.921,18.36,18.592,89324,0
20050506,18.729,18.809,18.4,18.487,63694,0
20050509,18.528,18.697,18.207,18.689,52749,0
20050510,18.567,18.576,18.132,18.141,98033,0
20050511,18.248,18.296,17.883,18.166,95547,0
20050512,18.248,18.431,17.845,17.862,115447,0
20050513,17.805,17.891,17.522,17.588,92309,0
20050516,17.675,18.207,17.675,18.207,50757,0
20050517,18.207,18.464,17.983,18.407,106366,0
20050518,18.567,19.05,18.535,18.897,148166,0
20050519,19.034,19.1,18.68,18.875,72405,0
20050520,18.93,18.93,18.608,18.77,26995,0
20050523,18.77,18.955,18.657,18.857,77005,0
20050524,18.93,18.947,18.649,18.834,71782,0
20050525,18.889,18.889,18.328,18.487,83850,0
20050526,18.649,18.801,18.6,18.649,45408,0
20050527,18.561,18.905,18.528,18.809,24631,0
20050531,18.809,18.947,18.721,18.729,61830,0
20050601,18.704,19.252,18.704,19.026,77254,0
20050602,18.97,19.066,18.737,19.034,50258,0
20050603,18.939,18.979,18.689,18.784,42672,0
20050606,18.801,18.955,18.567,18.955,47896,0
20050607,19.05,19.196,18.93,18.979,82975,0
20050608,19.01,19.01,18.68,18.712,68920,0
20050609,18.673,19.124,18.535,19.082,77501,0
20050610,19.082,19.082,18.801,19.05,65935,0
20050613,19.01,19.187,18.857,19.187,80241,0
20050614,19.155,19.476,19.155,19.468,106490,0
20050615,19.55,19.55,19.131,19.534,110345,0
20050616,19.518,19.588,19.364,19.588,110472,0
20050617,19.694,19.855,19.588,19.588,187231,0
20050620,19.51,19.814,19.372,19.42,115323,0
20050621,19.669,19.669,19.372,19.468,75265,0
20050622,19.526,19.887,19.526,19.863,79373,0
20050623,19.863,19.863,19.55,19.55,104375,0
20050624,19.534,19.646,19.01,19.414,288994,0
20050627,19.372,19.678,19.196,19.252,151649,0
20050628,19.292,19.806,19.292,19.806,152017,0
20050629,19.685,19.957,19.542,19.911,92556,0
20050630,19.942,19.991,19.588,19.604,83974,0
20050701,19.637,19.822,19.604,19.806,98904,0
20050705,19.766,20.096,19.766,20.096,83225,0
20050706,20.096,20.096,19.872,19.936,82607,0
20050707,19.694,20.049,19.534,19.928,64067,0
20050708,19.942,20.527,19.942,20.497,107983,0
20050711,20.579,20.996,20.579,20.836,150653,0
20050712,20.83,20.888,20.535,20.62,69542,0
