Date,Open,High,Low,Close,Volume,OpenInt
20070205,15.023,15.023,15.023,15.023,0,0
20070206,15.249,15.507,13.657,14.672,20219719,0
20070207,14.781,14.836,14.329,14.461,1906919,0
20070208,14.57,14.57,13.876,14.001,1766353,0
20070209,14.118,14.196,13.821,13.821,1081082,0
20070212,13.821,14.344,13.673,13.97,530484,0
20070213,14.009,14.407,14.009,14.204,328540,0
20070214,14.368,14.375,14.079,14.274,303427,0
20070215,14.274,14.648,14.274,14.61,519719,0
20070216,14.648,14.797,14.57,14.711,420030,0
20070220,14.758,14.789,14.399,14.422,118269,0
20070221,14.274,14.282,13.782,13.97,947051,0
20070222,13.97,14.047,13.821,13.962,253709,0
20070223,13.954,14.047,13.689,13.782,363010,0
20070226,13.72,13.821,13.689,13.774,144891,0
20070227,13.673,13.712,13.525,13.704,259602,0
20070228,13.704,13.891,13.595,13.821,45361,0
20070301,13.704,13.704,13.517,13.681,143895,0
20070302,13.876,13.946,13.587,13.595,170804,0
20070305,13.517,13.673,13.408,13.533,128904,0
20070306,13.782,13.852,13.142,13.478,363905,0
20070307,13.493,13.665,13.478,13.603,104815,0
20070308,13.673,13.821,13.595,13.689,181954,0
20070309,13.65,13.782,13.595,13.782,190154,0
20070312,13.821,14.219,13.821,14.094,441301,0
20070313,14.149,14.149,13.907,14.079,314316,0
20070314,14.118,14.133,13.938,14.009,221547,0
20070315,14.079,14.196,14.016,14.157,148894,0
20070316,14.258,14.258,14.079,14.18,112887,0
20070319,14.196,14.25,14.063,14.102,232310,0
20070320,14.102,14.102,13.891,13.931,97381,0
20070321,13.97,13.97,13.673,13.782,327516,0
20070322,13.673,13.899,13.673,13.767,106225,0
20070323,13.821,13.821,13.704,13.782,101228,0
20070326,13.86,13.876,13.595,13.681,85979,0
20070327,13.673,13.806,13.462,13.61,160041,0
20070328,13.665,13.806,13.595,13.673,360190,0
20070329,13.556,13.743,13.556,13.743,96102,0
20070330,13.821,13.962,13.595,13.696,176698,0
20070402,13.696,13.704,13.415,13.454,402219,0
20070403,13.454,13.704,13.376,13.548,109299,0
20070404,13.673,14.04,13.634,13.97,337126,0
20070405,13.993,14.266,13.946,14.25,54459,0
20070409,14.212,14.274,14.079,14.274,104303,0
20070410,14.274,14.391,14.126,14.25,252941,0
20070411,14.274,14.297,14.157,14.235,50356,0
20070412,14.196,14.407,14.118,14.344,400298,0
20070413,14.297,14.617,14.297,14.57,511133,0
20070416,14.719,14.93,14.648,14.844,294711,0
20070417,14.867,14.883,14.688,14.836,169141,0
20070418,14.836,14.875,14.75,14.836,86106,0
20070419,14.836,14.836,14.461,14.633,87644,0
20070420,14.719,15,14.61,14.82,55226,0
20070423,14.828,14.906,14.734,14.875,53945,0
20070424,14.875,14.937,14.773,14.914,70860,0
20070425,15.281,15.398,14.836,15.007,250890,0
20070426,15.023,15.171,14.984,15.023,352503,0
20070427,15.007,15.023,14.711,14.953,183492,0
20070430,14.797,15.078,14.797,15,316111,0
20070501,14.984,15.062,14.945,15.015,135312,0
20070502,15.023,15.32,14.984,15.32,424259,0
20070503,15.382,15.476,15.093,15.405,166962,0
