Date,Open,High,Low,Close,Volume,OpenInt
20140703,15.615,16.035,15.471,15.967,2576454,0
20140707,16.06,16.06,15.514,15.85,3234509,0
20140708,15.85,16.773,15.187,16.319,14300248,0
20140709,16.1,16.773,15.892,16.604,4341096,0
20140710,16.435,16.823,16.1,16.773,6865659,0
20140711,16.655,16.78,16.403,16.729,4275493,0
20140714,16.905,16.905,16.083,16.72,5029047,0
20140715,16.512,16.621,15.892,16.141,5363230,0
20140716,16.018,16.1,15.615,15.781,4292419,0
20140717,15.679,16.043,15.58,15.867,2544388,0
20140718,15.983,16.202,15.798,16.202,1673609,0
20140721,16.091,16.168,15.715,15.899,729161,0
20140722,15.789,16.051,15.765,15.842,1577884,0
20140723,15.933,15.933,15.733,15.867,782376,0
20140724,15.765,15.967,15.671,15.824,768513,0
20140725,15.789,15.933,15.462,15.833,916051,0
20140728,15.649,15.833,15.649,15.733,1215886,0
20140729,15.671,15.833,15.658,15.724,774569,0
20140730,15.724,15.798,15.439,15.462,1339957,0
20140731,15.302,15.347,14.986,15.02,2439788,0
20140801,14.968,15.372,14.893,14.912,1846987,0
20140804,15.011,15.068,14.778,14.859,1623032,0
20140805,15.815,15.892,15.12,15.145,11003756,0
20140806,15.058,15.169,14.885,15.028,2894026,0
20140807,15.077,15.548,15.035,15.262,2500488,0
20140808,15.203,15.388,15.178,15.372,2355020,0
20140811,15.372,15.806,15.289,15.772,2642569,0
20140812,15.772,15.874,15.448,15.479,943501,0
20140813,15.397,15.531,15.23,15.404,1567160,0
20140814,15.329,15.456,15.289,15.448,597575,0
20140815,15.203,15.565,15.203,15.471,903193,0
20140818,15.487,15.671,15.456,15.548,846905,0
20140819,15.479,15.565,15.354,15.397,1431631,0
20140820,15.302,15.479,15.178,15.448,1465057,0
20140821,15.558,15.724,15.448,15.689,1799515,0
20140822,15.679,15.715,15.487,15.598,1072223,0
20140825,15.598,15.715,15.522,15.679,572353,0
20140826,15.724,15.815,15.598,15.781,1132503,0
20140827,15.751,15.772,15.514,15.698,1289571,0
20140828,15.698,15.724,15.522,15.558,1035765,0
20140829,15.522,15.671,15.471,15.506,1178799,0
20140902,15.58,15.765,15.479,15.724,1549137,0
20140903,15.622,15.918,15.607,15.698,1775035,0
20140904,16.141,16.219,15.899,16.008,3013373,0
20140905,15.949,16.579,15.933,16.529,2256386,0
20140908,16.411,16.504,16.202,16.286,940737,0
20140909,16.177,16.595,16.151,16.487,2227901,0
20140910,16.569,16.64,16.226,16.278,1098518,0
20140911,16.141,16.311,16.091,16.286,1853783,0
20140912,16.226,16.286,15.941,16.06,2647905,0
20140915,16.069,16.133,15.733,15.892,1196435,0
20140916,15.892,15.899,15.54,15.833,1414889,0
20140917,15.941,16.043,15.824,15.883,861671,0
20140918,16.051,16.133,15.781,15.85,1761351,0
20140919,15.671,16,15.64,15.933,2883668,0
20140922,15.798,16.026,15.531,15.649,2069265,0
20140923,15.631,15.664,15.422,15.456,1837133,0
20140924,15.531,15.565,15.302,15.43,858112,0
20140925,15.43,15.548,15.28,15.497,1044366,0
20140926,15.506,15.707,15.404,15.649,758611,0
20140929,15.615,15.772,15.404,15.615,986782,0
20140930,15.598,15.615,15.354,15.448,1183594,0
20141001,15.43,15.43,15.137,15.23,1174206,0
20141002,15.203,15.294,14.918,15.28,1617697,0
20141003,15.397,15.724,15.388,15.649,3382524,0
20141006,15.664,15.933,15.622,15.874,1656734,0
20141007,15.833,15.833,15.698,15.781,1469444,0
20141008,15.806,15.933,15.531,15.867,1083485,0
20141009,15.892,15.892,15.338,15.338,1634623,0
20141010,15.329,15.448,14.566,14.575,4279385,0
20141013,14.548,14.566,13.77,13.802,3197790,0
20141014,13.433,14.03,13.425,14.005,5404036,0
20141015,13.753,14.432,13.467,14.087,2163297,0
20141016,14.046,14.297,13.903,14.071,1638104,0
20141017,14.164,14.812,14.164,14.524,1923659,0
20141020,14.44,14.785,14.366,14.759,676548,0
20141021,14.778,15.211,14.778,14.859,1715552,0
20141022,14.785,15.004,14.575,14.641,1313800,0
20141023,14.658,14.803,14.506,14.725,2170778,0
20141024,14.65,14.925,14.617,14.893,345291,0
20141027,14.819,14.925,14.633,14.803,461299,0
20141028,14.785,15.095,14.725,15.068,536664,0
20141029,14.986,15.011,14.457,14.617,2193346,0
20141030,14.641,14.819,14.548,14.675,1136184,0
20141031,14.925,15.253,14.826,15.196,2095613,0
20141103,15.196,15.262,14.902,14.925,2138104,0
20141104,14.826,15.246,14.793,14.925,2106944,0
20141105,14.977,15.22,14.902,15.095,4108041,0
20141106,15.23,16.823,14.986,16.479,6364093,0
20141107,16.551,17.051,16.276,16.984,2217706,0
20141110,16.95,17.211,16.832,17.093,2139858,0
20141111,17.017,17.58,16.95,17.473,2574820,0
20141112,17.683,17.827,17.338,17.565,1941430,0
20141113,17.49,17.539,17.067,17.362,1369389,0
20141114,17.362,17.904,17.362,17.692,1573442,0
20141117,17.768,17.928,17.674,17.7,1438434,0
20141118,17.751,18.138,17.71,18.062,1946137,0
20141119,18.062,18.13,17.608,17.7,891965,0
20141120,17.65,17.86,17.414,17.565,508080,0
20141121,17.608,17.793,17.557,17.58,517686,0
20141124,17.539,17.92,17.48,17.895,516913,0
20141125,17.851,17.987,17.539,17.86,578900,0
20141126,17.887,17.913,17.674,17.86,426549,0
20141128,17.834,17.834,17.625,17.666,248749,0
20141201,17.7,17.7,17.11,17.245,1265442,0
20141202,17.245,17.692,17.228,17.608,653592,0
20141203,17.633,17.809,17.346,17.499,1127609,0
20141204,17.726,18.123,17.674,18.03,1659474,0
20141205,18.045,18.18,17.879,18.148,902774,0
20141208,18.106,18.232,17.802,17.879,605155,0
20141209,17.71,18.155,17.48,18.13,861628,0
