Date,Open,High,Low,Close,Volume,OpenInt
20100823,13.75,13.79,13.71,13.72,3700,0
20100824,13.22,13.55,13.01,13.55,15740,0
20100825,13.33,13.41,13.03,13.33,37280,0
20100826,13.73,13.86,13.48,13.49,7150,0
20100827,13.45,14.07,13.25,13.98,4200,0
20100830,14.03,14.1,13.8,13.9,1700,0
20100831,13.7,14.03,13.7,13.95,11052,0
20100901,14.15,14.55,14.15,14.55,2552,0
20100902,14.75,14.82,14.66,14.82,3527,0
20100903,15.45,15.7,15.36,15.61,6300,0
20100907,15.37,15.37,14.47,14.47,26367,0
20100908,14.56,14.9,14.49,14.55,8800,0
20100909,15.02,15.1,14.56,14.75,12234,0
20100910,14.72,14.78,14.17,14.23,15011,0
20100913,14.67,15.12,14.58,14.59,22542,0
20100914,14.42,14.45,13.9,13.9,22102,0
20100915,13.77,14.25,13.7,14.15,23602,0
20100916,14.19,14.61,14.19,14.61,5950,0
20100917,14.63,14.63,14,14,4698,0
20100920,14.22,14.42,14.22,14.4,5419,0
20100921,14.31,14.31,13.69,13.69,3900,0
20100922,13.68,13.86,13.12,13.29,19300,0
20100923,13.07,13.54,13,13.15,25901,0
20100924,13.45,14.14,13.44,14.09,27517,0
20100927,13.99,14.02,13.8,13.8,5300,0
20100928,13.5,13.96,13.5,13.95,11277,0
20100929,13.9,13.93,13.57,13.75,18982,0
20100930,13.96,14.3,13.68,14.1,17982,0
20101001,14.29,14.29,13.81,13.97,4515,0
20101004,13.84,13.99,13.47,13.47,2277,0
20101005,13.97,14.81,13.97,14.62,7697,0
20101006,14.55,14.77,14.43,14.45,5834,0
20101007,14.63,14.63,14,14.18,6596,0
20101008,14.38,14.39,14,14.02,13625,0
20101011,14.1,14.34,14.1,14.19,8185,0
20101012,14.5,14.78,14.5,14.66,1700,0
20101013,15,15.09,14.58,14.68,2012,0
20101014,14.38,14.56,14,14.34,19087,0
20101015,14.04,14.04,12.52,12.67,56860,0
20101018,12.67,12.93,12.24,12.75,23529,0
20101019,13.05,14.53,13.05,13.64,52350,0
20101020,13.66,13.66,12.91,13.63,66410,0
20101021,13.68,14.1,13.65,13.72,147480,0
20101022,13.91,13.91,13.63,13.79,8731,0
20101025,14.05,14.16,13.19,13.32,16349,0
20101026,13.19,13.27,12.89,12.89,13200,0
20101027,12.86,13.3,12.76,13.03,12880,0
20101028,13.17,13.22,12.82,13.06,8847,0
20101029,12.93,12.93,12.63,12.64,13981,0
20101101,12.72,13.12,12.47,12.61,10069,0
20101102,12.85,12.85,12.78,12.78,2100,0
20101103,12.91,12.92,12.71,12.89,1410,0
20101104,13.06,13.89,13.06,13.86,15302,0
20101105,13.83,14.93,13.83,14.45,37856,0
20101108,14.29,14.62,14.27,14.45,14686,0
20101109,14.5,14.5,13.41,13.5,21545,0
20101110,13.7,14.18,13.5,14.11,18042,0
20101111,13.81,14.09,13.73,14.03,5343,0
20101112,13.89,14.05,13.77,13.97,18322,0
20101115,14.19,14.69,14.12,14.13,21525,0
20101116,13.93,13.97,13.48,13.52,22311,0
20101117,13.44,13.51,13.2,13.21,4943,0
20101118,13.56,13.61,12.99,12.99,20637,0
20101119,12.91,12.97,12.75,12.94,10301,0
20101122,12.81,12.81,12.36,12.46,16465,0
20101123,12.31,12.41,12.14,12.16,17513,0
20101124,12.4,12.99,12.3,12.96,10885,0
20101126,12.7,12.8,12.62,12.7,19267,0
20101129,12.5,13.01,12.33,13.01,5822,0
20101130,12.86,12.88,12.59,12.73,7900,0
20101201,13.04,13.36,13,13.26,41300,0
20101202,13.25,13.7,13.01,13.65,18378,0
20101203,13.44,13.53,13.32,13.52,5450,0
20101206,13.38,13.47,13.27,13.27,18033,0
20101207,13.62,13.77,13.36,13.42,5684,0
20101208,13.54,14.72,13.51,14.72,15483,0
20101209,14.85,15.28,14.8,15.28,14437,0
20101210,15.47,16.08,15.47,16,18475,0
20101213,16.25,16.44,15.86,15.94,11275,0
20101214,16.24,16.3,15.83,15.86,15200,0
20101215,15.52,15.66,15.36,15.6,27748,0
20101216,15.5,15.66,15.08,15.11,16566,0
20101217,15,15.07,14.46,14.72,24317,0
20101220,14.77,15.2,14.57,15.06,8100,0
20101221,15.25,15.97,15.25,15.81,23006,0
20101222,16.06,16.34,16.05,16.34,4125,0
20101223,16.14,16.25,16.14,16.14,6800,0
20101227,16.31,16.31,16.18,16.18,5057,0
20101228,16.15,16.46,16.15,16.36,24500,0
20101229,16.31,16.31,16.26,16.27,3300,0
20101230,16.12,16.12,15.69,16,14110,0
20101231,15.96,16.12,15.93,15.96,2529,0
20110103,16.42,17.07,16.42,16.81,27615,0
20110104,16.92,17.12,16.63,16.99,17900,0
20110105,17.25,18.13,17.25,18.1,69300,0
20110106,18.44,18.44,18,18.07,19161,0
20110107,18.1,18.1,17.19,17.95,27477,0
20110110,17.76,18.34,17.7,17.95,11742,0
20110111,18.21,18.69,18.21,18.59,9143,0
20110112,18.89,19.34,18.89,19.13,20542,0
20110113,18.96,19.07,18.56,18.56,14861,0
20110114,18.95,20.09,18.95,19.7,26800,0
20110118,20.3,20.3,19.25,19.65,8300,0
20110119,19.48,19.48,18.95,19.02,4935,0
20110120,18.94,19.18,18.37,18.97,18890,0
20110121,19.27,20.5,19.27,20.36,50277,0
20110124,20.22,20.22,19.62,19.62,19300,0
20110125,19.53,19.57,19.1,19.57,4100,0
20110126,19.8,20.08,19.7,19.8,24800,0
20110127,19.69,19.95,19.33,19.75,5950,0
20110128,19.88,20.04,19.47,19.65,20410,0
