Date,Open,High,Low,Close,Volume,OpenInt
19941116,4.6733,4.7101,4.6733,4.6733,3041133,0
19941117,4.6733,4.7465,4.6369,4.7465,1775716,0
19941118,4.7831,4.856,4.7465,4.8197,535341,0
19941121,4.856,4.856,4.7101,4.7101,127055,0
19941122,4.6733,4.7101,4.4905,4.4905,258701,0
19941123,4.4541,4.5269,4.4175,4.4541,330429,0
19941125,4.4541,4.5269,4.4541,4.5269,48328,0
19941128,4.5636,4.5636,4.4541,4.4541,102234,0
19941129,4.4541,4.4905,4.4541,4.4905,68340,0
19941130,4.4541,4.4905,4.4541,4.4541,47671,0
19941201,4.4905,4.4905,4.3075,4.3075,289537,0
19941202,4.3075,4.3075,4.2712,4.3075,19900,0
19941205,4.3075,4.3075,4.2712,4.3075,7216,0
19941206,4.3075,4.3075,4.2712,4.2712,33238,0
19941207,4.3075,4.3075,4.2344,4.2344,28321,0
19941208,4.2344,4.2712,4.1978,4.1978,61665,0
19941209,4.1613,4.1613,4.0515,4.088,99173,0
19941212,4.1613,4.2712,4.1247,4.1613,103656,0
19941213,4.1613,4.1613,4.1247,4.1247,53248,0
19941214,4.1613,4.2344,4.1613,4.1978,161170,0
19941215,4.1978,4.2712,4.1978,4.2344,99937,0
19941216,4.2712,4.4905,4.2712,4.4905,161279,0
19941219,4.4541,4.4541,4.3809,4.4175,17275,0
19941220,4.4175,4.4905,4.4175,4.4175,46800,0
19941221,4.4541,4.5269,4.4541,4.5269,35208,0
19941222,4.5269,4.5636,4.4541,4.5636,90537,0
19941223,4.6003,4.6733,4.6003,4.6733,69101,0
19941227,4.6733,4.7465,4.6369,4.7101,41438,0
19941228,4.6733,4.7101,4.6733,4.7101,22635,0
19941229,4.7101,4.7101,4.6733,4.6733,69541,0
19941230,4.6733,4.6733,4.6733,4.6733,5794,0
19950103,4.7101,4.7101,4.6003,4.6733,34006,0
19950104,4.6733,4.7101,4.6369,4.7101,16512,0
19950105,4.7101,4.7465,4.6369,4.7101,19790,0
19950106,4.6369,4.6369,4.5636,4.6003,107154,0
19950109,4.6369,4.6369,4.6003,4.6003,8750,0
19950110,4.6003,4.6369,4.6003,4.6369,6999,0
19950111,4.6003,4.6003,4.6003,4.6003,3936,0
19950112,4.6003,4.6003,4.6003,4.6003,27772,0
19950113,4.6003,4.6003,4.5269,4.6003,30836,0
19950116,4.6369,4.7101,4.6369,4.6733,304080,0
19950117,4.6733,4.6733,4.6733,4.6733,67900,0
19950118,4.6733,4.6733,4.5636,4.6003,22197,0
19950119,4.6003,4.6003,4.5636,4.5636,17714,0
19950120,4.5636,4.5636,4.5269,4.5269,15855,0
19950123,4.5636,4.5636,4.4905,4.5269,41989,0
19950124,4.5636,4.5636,4.5636,4.5636,12791,0
19950125,4.5636,4.7831,4.5636,4.7101,30287,0
19950126,4.7101,4.7465,4.6733,4.6733,33570,0
19950127,4.7101,4.7101,4.6733,4.7101,8856,0
19950130,4.7101,4.7101,4.6733,4.7101,25802,0
19950131,4.7101,4.7284,4.6733,4.7284,129023,0
19950201,4.7465,4.7831,4.7101,4.7831,48547,0
19950202,4.7831,4.9204,4.7831,4.893,111747,0
19950203,4.856,4.893,4.8197,4.893,101583,0
19950206,4.893,4.9204,4.856,4.893,82768,0
19950207,4.893,4.893,4.8197,4.856,131757,0
19950208,4.856,4.9933,4.8197,4.9569,180198,0
19950209,5.0301,5.1764,5.0301,5.0666,78072,0
19950210,5.1037,5.1037,4.9569,4.9933,50080,0
19950213,4.9933,4.9933,4.893,4.9204,188179,0
19950214,4.893,4.893,4.7465,4.7831,395381,0
19950215,4.7831,4.9933,4.7831,4.9933,317092,0
19950216,4.9933,4.9933,4.9204,4.9569,126730,0
19950217,4.9569,4.9569,4.9204,4.9569,56200,0
19950221,4.9569,4.9933,4.9204,4.9933,234868,0
19950222,4.9933,5.1037,4.9933,5.0666,318844,0
19950223,5.1037,5.1397,5.0666,5.0666,507238,0
19950224,5.0666,5.0666,4.9569,4.9933,302768,0
19950227,4.9569,4.9933,4.9204,4.9569,113171,0
19950228,5.0301,5.3227,5.0301,5.3227,1155198,0
19950301,5.3593,5.6886,5.3227,5.6521,1187893,0
19950302,5.6886,5.8349,5.6521,5.7984,857572,0
19950303,5.7984,5.7984,5.6521,5.6521,421621,0
19950306,5.5423,5.6154,5.4691,5.5057,513141,0
19950307,5.4691,5.5423,5.4691,5.5423,380184,0
19950308,5.5787,5.6521,5.5787,5.5787,282211,0
19950309,5.5787,5.5787,5.5423,5.5787,174948,0
19950310,5.5423,5.5787,5.4691,5.5057,280791,0
19950313,5.5423,5.5423,5.5057,5.5057,212562,0
19950314,5.5787,5.6521,5.5057,5.6521,428838,0
19950315,5.6521,5.7253,5.6154,5.6521,420856,0
19950316,5.6886,5.6886,5.3961,5.4691,388929,0
19950317,5.3961,5.5423,5.3961,5.4326,465249,0
19950320,5.4326,5.5787,5.3961,5.5787,267886,0
19950321,5.5787,5.6886,5.4691,5.4691,408612,0
19950322,5.5057,5.5423,5.4326,5.5423,164995,0
19950323,5.5057,5.5057,5.4326,5.4691,245148,0
19950324,5.4326,5.5787,5.4326,5.4691,574264,0
19950327,5.5057,5.6521,5.5057,5.6521,341694,0
19950328,5.6154,5.6886,5.5787,5.6154,270186,0
19950329,5.6154,5.6886,5.5423,5.5423,374277,0
19950330,5.5787,5.5787,5.5057,5.5787,255204,0
19950331,5.6521,5.6521,5.5057,5.5787,262531,0
19950403,5.5787,5.5787,5.5057,5.5787,168496,0
19950404,5.5787,5.6154,5.5057,5.5057,193099,0
19950405,5.4326,5.5787,5.4326,5.4326,404895,0
19950406,5.4691,5.5057,5.4691,5.4691,199001,0
19950407,5.5057,5.5057,5.3227,5.3227,499692,0
19950410,5.3593,5.5787,5.3593,5.5787,402925,0
19950411,5.5423,5.6886,5.5423,5.5787,226233,0
19950412,5.6886,5.8716,5.6886,5.7984,913880,0
19950413,5.7984,5.9815,5.7984,5.9447,500129,0
19950417,5.9815,6.0907,5.9447,5.9447,303535,0
19950418,5.9815,5.9815,5.8716,5.9079,794590,0
19950419,5.9079,6.0178,5.6521,5.7618,826624,0
19950420,5.7618,5.9447,5.7253,5.8349,793935,0
19950421,5.8349,5.8349,5.7618,5.7618,246020,0
19950424,5.7618,5.7984,5.6886,5.7984,167402,0
19950425,5.7618,5.8349,5.7618,5.7618,284836,0
19950426,5.7984,5.8716,5.7253,5.8349,482309,0
19950427,5.8349,5.8716,5.7984,5.8716,166199,0
19950428,5.8716,5.9447,5.7984,5.8716,410363,0
