Date,Open,High,Low,Close,Volume,OpenInt
20120823,21.607,21.607,21.511,21.572,621788,0
20120824,21.598,21.632,21.519,21.607,598214,0
20120827,21.607,21.65,21.563,21.623,392088,0
20120828,21.616,21.668,21.589,21.589,861046,0
20120829,21.623,21.685,21.623,21.65,573021,0
20120830,21.677,21.685,21.632,21.668,343532,0
20120831,21.685,21.693,21.65,21.693,181825,0
20120904,21.659,21.693,21.641,21.659,455817,0
20120905,21.677,21.693,21.598,21.616,1144159,0
20120906,21.641,21.677,21.598,21.668,1164084,0
20120907,21.668,21.693,21.632,21.693,590050,0
20120910,21.677,21.685,21.65,21.685,401355,0
20120911,21.685,21.693,21.659,21.693,575000,0
20120912,21.693,21.693,21.641,21.677,438540,0
20120913,21.693,21.693,21.659,21.685,335183,0
20120914,21.685,21.693,21.607,21.65,493344,0
20120917,21.65,21.668,21.598,21.616,307815,0
20120918,21.632,21.641,21.58,21.589,476740,0
20120919,21.607,21.641,21.519,21.546,417575,0
20120920,21.554,21.65,21.538,21.65,284734,0
20120921,21.632,21.632,21.554,21.572,231610,0
20120924,21.589,21.607,21.529,21.607,272495,0
20120925,21.607,21.623,21.546,21.563,379963,0
20120926,21.563,21.58,21.511,21.572,387464,0
20120927,21.589,21.693,21.58,21.693,293551,0
20120928,21.685,21.71,21.65,21.71,258295,0
20121001,22.56,22.56,21.65,21.668,340210,0
20121002,21.693,21.693,21.65,21.65,701121,0
20121003,21.693,21.693,21.65,21.677,411400,0
20121004,21.693,21.729,21.677,21.701,422690,0
20121005,21.737,21.78,21.737,21.754,295473,0
20121008,21.78,21.867,21.78,21.867,689127,0
20121009,21.859,21.953,21.85,21.927,1568871,0
20121010,21.911,22.023,21.911,21.962,617841,0
20121011,21.997,22.023,21.953,22.023,520083,0
20121012,22.023,22.058,21.971,22.023,323742,0
20121015,22.014,22.023,21.927,22.005,284742,0
20121016,22.041,22.041,21.962,22.041,960049,0
20121017,22.066,22.075,21.936,21.962,622149,0
20121018,21.971,21.997,21.936,21.936,1295776,0
20121019,21.971,22.023,21.867,21.953,3296465,0
20121022,21.911,21.936,21.876,21.892,658653,0
20121023,21.883,21.892,21.841,21.859,147169,0
20121024,21.883,21.92,21.79,21.798,508533,0
20121025,21.841,21.859,21.798,21.806,261407,0
20121026,21.841,21.841,21.754,21.78,277980,0
20121031,21.798,21.822,21.729,21.79,398594,0
20121101,21.798,21.85,21.771,21.771,652413,0
20121102,21.806,21.841,21.737,21.762,295124,0
20121105,21.815,21.822,21.78,21.798,239009,0
20121106,21.815,21.859,21.78,21.822,307654,0
20121107,21.85,21.859,21.754,21.806,334630,0
20121108,21.815,21.901,21.815,21.832,269177,0
20121109,21.867,21.981,21.85,21.936,269251,0
20121112,22.023,22.118,21.953,22.005,168581,0
20121113,21.745,21.754,21.659,21.685,304778,0
20121114,21.701,21.737,21.529,21.641,235382,0
20121115,21.641,21.641,21.381,21.563,325296,0
20121116,21.641,21.641,21.311,21.407,733984,0
20121119,21.485,21.598,21.468,21.598,305397,0
20121120,21.58,21.685,21.554,21.589,284435,0
20121121,21.641,21.677,21.572,21.572,154957,0
20121123,21.607,21.754,21.58,21.71,174911,0
20121126,21.71,21.737,21.572,21.668,130370,0
20121127,21.685,21.737,21.659,21.677,179634,0
20121128,21.685,21.693,21.607,21.668,301273,0
20121129,21.693,21.71,21.572,21.65,264171,0
20121130,21.65,21.668,21.616,21.65,187929,0
20121203,21.65,21.677,21.616,21.668,255733,0
20121204,21.632,21.685,21.607,21.65,153462,0
20121205,21.668,21.668,21.632,21.659,155742,0
20121206,21.677,21.685,21.65,21.677,209627,0
20121207,21.668,21.685,21.641,21.668,290060,0
20121210,21.668,21.668,21.623,21.632,160911,0
20121211,21.623,21.641,21.598,21.607,208031,0
20121212,21.623,21.623,21.563,21.589,148911,0
20121213,21.607,21.632,21.572,21.589,152465,0
20121214,21.563,21.616,21.546,21.607,1162903,0
20121217,21.623,21.623,21.58,21.607,136431,0
20121218,21.546,21.659,21.546,21.641,266320,0
20121219,21.616,21.677,21.607,21.677,332527,0
20121220,21.668,21.685,21.623,21.668,755327,0
20121221,21.65,21.668,21.572,21.607,210585,0
20121224,21.616,21.693,21.572,21.693,41692,0
20121226,21.693,21.693,21.563,21.563,121061,0
20121227,21.563,21.632,21.563,21.623,144085,0
20121228,21.563,21.677,21.563,21.616,151998,0
20121231,21.641,21.677,21.563,21.572,251380,0
20130102,21.65,21.806,21.632,21.762,548282,0
20130103,21.745,21.78,21.729,21.754,329784,0
20130104,21.762,21.892,21.745,21.841,390265,0
20130107,21.901,21.901,21.85,21.85,240713,0
20130108,21.841,21.901,21.822,21.859,297572,0
20130109,21.936,22.032,21.859,21.962,459799,0
20130110,22.066,22.066,21.936,21.953,745228,0
20130111,21.953,22.066,21.883,21.971,231192,0
20130114,21.962,21.962,21.867,21.911,88674,0
20130115,21.936,21.945,21.892,21.901,180995,0
20130116,21.962,21.988,21.867,21.883,200248,0
20130117,21.981,21.981,21.911,21.945,197357,0
20130118,21.911,21.945,21.85,21.945,356951,0
20130122,21.945,21.962,21.892,21.911,292383,0
20130123,21.911,21.997,21.883,21.971,273704,0
20130124,21.945,22.032,21.822,21.911,404748,0
20130125,21.876,21.945,21.85,21.85,220879,0
20130128,21.883,21.892,21.832,21.85,235262,0
20130129,21.841,21.859,21.798,21.798,191416,0
20130130,21.78,21.798,21.737,21.798,242941,0
20130131,21.806,21.806,21.737,21.79,194845,0
20130201,21.815,21.867,21.78,21.79,262769,0
20130204,21.806,21.841,21.79,21.832,333997,0
20130205,21.867,21.936,21.822,21.892,289493,0
20130206,21.92,21.953,21.892,21.892,125033,0
20130207,21.927,21.953,21.901,21.945,348962,0
20130208,21.945,21.997,21.945,21.997,97341,0
20130211,22.005,22.014,21.962,21.988,139736,0
20130212,22.059,22.105,22.015,22.105,205074,0
20130213,22.121,22.201,22.078,22.175,176334,0
20130214,22.157,22.201,22.121,22.157,119713,0
20130215,22.157,22.167,22.069,22.157,172322,0
20130219,22.201,22.201,22.121,22.182,171341,0
20130220,22.148,22.182,22.13,22.14,150497,0
20130221,22.113,22.14,22.105,22.113,143623,0
20130222,22.157,22.182,22.121,22.157,250207,0
20130225,22.14,22.182,22.14,22.157,224214,0
20130226,22.157,22.201,22.113,22.14,220317,0
20130227,22.14,22.148,22.113,22.14,208136,0
20130228,22.201,22.201,22.121,22.148,158575,0
20130301,22.192,22.192,22.14,22.182,277443,0
20130304,22.157,22.167,22.121,22.157,198211,0
20130305,22.192,22.201,22.157,22.175,183668,0
20130306,22.182,22.201,22.157,22.192,215219,0
20130307,22.201,22.201,22.148,22.157,280217,0
20130308,22.182,22.192,22.121,22.121,200531,0
20130311,22.13,22.157,22.113,22.148,95721,0
20130312,22.157,22.201,22.113,22.13,193431,0
20130313,22.14,22.192,22.13,22.167,144383,0
20130314,22.167,22.263,22.157,22.201,179308,0
20130315,22.253,22.368,22.228,22.368,92223,0
20130318,22.36,22.377,22.298,22.377,155292,0
20130319,22.36,22.377,22.306,22.351,160479,0
20130320,22.36,22.405,22.324,22.405,131183,0
20130321,22.395,22.421,22.351,22.351,93599,0
20130322,22.413,22.413,22.298,22.324,98751,0
20130325,22.405,22.413,22.28,22.334,147297,0
20130326,22.306,22.438,22.306,22.334,125873,0
20130327,22.368,22.368,22.263,22.306,180270,0
20130328,22.272,22.334,22.272,22.324,115274,0
20130401,22.368,22.377,22.334,22.343,143796,0
20130402,22.351,22.36,22.334,22.334,209241,0
20130403,22.351,22.36,22.324,22.343,158114,0
20130404,22.36,22.36,22.334,22.351,105093,0
20130405,22.351,22.36,22.306,22.36,115072,0
20130408,22.36,22.36,22.306,22.343,132479,0
20130409,22.36,22.438,22.324,22.377,327551,0
20130410,22.43,22.518,22.413,22.466,97221,0
20130411,22.483,22.528,22.466,22.483,56174,0
20130412,22.483,22.509,22.405,22.491,117383,0
20130415,22.5,22.5,22.447,22.476,111265,0
20130416,22.491,22.676,22.466,22.651,160242,0
20130417,22.668,22.694,22.623,22.642,90471,0
20130418,22.685,22.694,22.615,22.632,79386,0
20130419,22.623,22.784,22.466,22.694,186568,0
20130422,22.632,22.729,22.589,22.722,84518,0
20130423,22.747,22.791,22.676,22.774,143289,0
20130424,22.765,22.817,22.703,22.817,97044,0
20130425,22.817,22.852,22.784,22.836,63835,0
20130426,22.852,22.897,22.809,22.845,51267,0
20130429,22.888,22.888,22.809,22.826,96457,0
20130430,22.879,23.021,22.845,23.011,91470,0
20130501,22.95,23.011,22.888,23.004,126692,0
20130502,23.037,23.056,22.933,22.976,153477,0
20130503,22.994,23.047,22.959,23.004,116230,0
20130506,23.056,23.127,23.011,23.082,107560,0
20130507,23.073,23.25,23.03,23.25,157611,0
20130508,23.127,23.391,23.127,23.391,101489,0
20130509,23.345,23.478,23.284,23.453,96747,0
20130510,23.584,23.584,23.435,23.444,80188,0
20130513,23.506,23.558,23.435,23.523,124944,0
20130514,23.496,23.523,23.241,23.383,100030,0
20130515,23.393,23.393,23.214,23.312,82365,0
20130516,23.375,23.418,23.25,23.303,147041,0
20130517,23.293,23.365,23.151,23.196,84463,0
20130520,23.24,23.303,23.24,23.284,51893,0
20130521,23.338,23.346,23.303,23.346,93064,0
20130522,23.259,23.409,23.24,23.25,82446,0
20130523,23.178,23.196,23.033,23.088,154645,0
20130524,23.142,23.196,23.062,23.187,62188,0
20130528,23.312,23.375,23.026,23.115,83369,0
20130529,23.062,23.062,22.622,22.963,110065,0
20130530,22.954,22.954,22.848,22.901,137456,0
20130531,22.882,22.963,22.507,22.676,112367,0
20130603,22.748,22.748,22.302,22.417,210169,0
20130604,22.526,22.588,22.381,22.4,260161,0
20130605,22.381,22.434,22.168,22.309,320212,0
20130606,22.372,22.372,22.113,22.256,315904,0
20130607,22.284,22.454,22.284,22.302,120420,0
20130610,22.346,22.381,22.087,22.113,181275,0
20130611,22.078,22.131,21.631,21.873,458515,0
20130612,21.81,22.015,21.247,21.533,488164,0
20130613,21.542,22.113,21.166,21.944,268237,0
