Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.013,12.508,11.946,12.453,84403,0
20050228,12.471,12.613,12.226,12.291,156392,0
20050301,12.291,13.014,12.291,12.919,193514,0
20050302,12.919,13.181,12.73,12.73,224425,0
20050303,12.805,12.882,12.453,12.748,82477,0
20050304,12.805,12.911,12.621,12.777,67928,0
20050307,12.713,13.079,12.713,12.967,91890,0
20050308,12.882,13.097,12.667,12.667,115744,0
20050309,12.63,12.777,12.518,12.584,93281,0
20050310,12.424,12.882,12.395,12.518,88469,0
20050311,12.566,12.613,12.089,12.282,120668,0
20050314,12.328,12.64,12.263,12.518,68676,0
20050315,12.613,12.658,12.137,12.137,164951,0
20050316,12.2,12.337,12.051,12.173,273635,0
20050317,12.156,12.226,12.051,12.173,100448,0
20050318,12.108,12.156,11.787,12.108,313324,0
20050321,12.156,12.328,12.108,12.328,186239,0
20050322,12.328,12.547,12.272,12.357,109539,0
20050323,12.291,12.337,11.994,12.003,264758,0
20050324,12.06,12.395,12.051,12.263,104727,0
20050328,12.2,12.318,12.108,12.108,166235,0
20050329,12.118,12.291,12.013,12.06,158958,0
20050330,12.127,12.244,12.127,12.2,72739,0
20050331,12.208,12.226,12.051,12.156,115957,0
20050401,12.2,12.272,11.677,11.686,224213,0
20050404,11.742,12.022,11.565,12.003,140882,0
20050405,12.003,12.108,11.946,11.965,73490,0
20050406,11.89,12.3,11.89,11.965,101728,0
20050407,11.975,12.147,11.927,12.127,188166,0
20050408,11.975,12.137,11.946,12.013,112429,0
20050411,12.013,12.06,11.752,11.752,243792,0
20050412,11.725,11.927,11.46,11.927,138532,0
20050413,11.871,11.871,11.412,11.526,101302,0
20050414,11.584,11.715,11.133,11.133,114780,0
20050415,11.143,11.153,10.524,10.751,269678,0
20050418,10.751,10.918,10.686,10.789,232667,0
20050419,10.808,11.049,10.789,11.03,82691,0
20050420,11.078,11.096,10.761,10.799,103977,0
20050421,10.889,11.171,10.799,11.086,132004,0
20050422,11.096,11.124,10.837,10.993,142380,0
20050425,11.03,11.078,10.751,10.864,132431,0
20050426,10.864,10.908,10.591,10.62,158856,0
20050427,10.497,10.506,10.123,10.133,174471,0
20050428,10.142,10.2,9.771,9.8,183458,0
20050429,9.818,9.919,9.4716,9.862,198005,0
20050502,9.899,9.909,9.646,9.809,94134,0
20050503,9.899,9.974,9.809,9.974,175223,0
20050504,9.909,10.286,9.862,10.266,155646,0
20050505,10.171,10.229,9.909,10.047,76057,0
