Date,Open,High,Low,Close,Volume,OpenInt
20050225,19.705,19.951,19.576,19.798,458124,0
20050228,19.944,20.162,19.554,19.638,437496,0
20050301,19.902,20.353,19.902,20.181,431966,0
20050302,20.344,20.689,20.181,20.344,302564,0
20050303,20.262,20.518,20.105,20.391,205104,0
20050304,20.553,20.731,20.487,20.51,191272,0
20050307,20.588,20.96,20.495,20.561,208623,0
20050308,20.631,20.663,20.344,20.495,210637,0
20050309,20.487,20.487,19.687,19.687,270246,0
20050310,19.696,19.866,19.586,19.866,199949,0
20050311,19.866,19.935,19.363,19.457,296149,0
20050314,19.536,19.748,19.443,19.748,225224,0
20050315,19.902,20.054,19.56,19.748,325324,0
20050316,19.833,19.849,19.443,19.586,201837,0
20050317,19.586,20.012,19.576,19.815,196933,0
20050318,19.976,19.976,19.355,19.355,365191,0
20050321,19.254,19.409,18.984,19.206,173666,0
20050322,19.254,19.363,18.77,18.77,216801,0
20050323,18.77,18.923,18.297,18.787,402037,0
20050324,18.84,18.891,18.721,18.77,229878,0
20050328,18.748,18.891,18.66,18.822,373490,0
20050329,18.822,18.915,18.527,18.619,144868,0
20050330,18.669,18.907,18.619,18.822,217551,0
20050331,18.822,19,18.66,18.721,146880,0
20050401,18.865,19,18.448,18.678,289611,0
20050404,18.822,18.822,18.321,18.797,269995,0
20050405,18.797,18.882,18.669,18.831,248992,0
20050406,18.831,19.246,18.831,19.246,418382,0
20050407,19.246,19.687,19,19.61,472331,0
20050408,19.62,19.807,19.363,19.798,415867,0
20050411,19.774,19.909,19.492,19.713,388582,0
20050412,19.713,20.12,19.56,19.959,412220,0
20050413,20.012,20.207,19.748,19.798,417378,0
20050414,19.833,19.902,19.466,19.519,365191,0
20050415,19.536,19.833,19.219,19.466,255912,0
20050418,19.576,19.61,19.109,19.211,300679,0
20050419,19.324,19.436,19.254,19.436,423666,0
20050420,19.324,19.324,18.831,19.009,215168,0
20050421,19.179,19.315,18.856,19,421403,0
20050422,18.891,19.163,18.831,18.9,275651,0
20050425,19.044,19.254,18.958,19.179,253647,0
20050426,19.094,19.282,18.941,19.179,358146,0
20050427,19.036,19.306,18.915,19.292,197182,0
20050428,19.292,19.546,19.119,19.315,188377,0
20050429,19.315,19.546,19.211,19.546,246227,0
20050502,19.654,19.713,19.036,19.254,523516,0
20050503,19.147,19.34,18.966,19.068,403922,0
20050504,19.179,19.815,18.933,19.721,513204,0
20050505,19.721,19.815,19.554,19.654,243586,0
20050506,19.654,19.721,19.363,19.363,148768,0
20050509,19.466,19.951,19.373,19.815,246858,0
20050510,19.833,19.866,19.61,19.783,318033,0
20050511,19.687,19.687,18.915,19.409,262198,0
20050512,19.546,19.866,19.409,19.61,366955,0
20050513,19.687,19.696,19.324,19.419,380030,0
20050516,19.466,19.917,19.466,19.917,459882,0
20050517,19.917,20.07,19.61,20.054,196552,0
20050518,20.224,20.359,20.054,20.262,223338,0
20050519,20.299,20.527,20.234,20.391,207747,0
20050520,20.391,20.588,20.215,20.527,167252,0
20050523,20.553,20.92,20.518,20.648,198570,0
20050524,20.648,20.648,20.07,20.408,410211,0
20050525,20.408,20.435,20.171,20.262,233148,0
20050526,20.299,20.353,20.137,20.234,246102,0
20050527,20.299,20.299,20.027,20.234,189385,0
20050531,20.326,20.74,20.299,20.51,384053,0
20050601,20.631,20.841,20.47,20.648,364560,0
20050602,20.588,20.64,20.317,20.366,202213,0
20050603,20.391,20.631,20.271,20.553,303571,0
20050606,20.487,20.92,20.435,20.85,179830,0
20050607,20.911,21.376,20.833,20.894,290490,0
20050608,20.911,21.131,20.698,20.706,199949,0
20050609,20.775,20.911,20.631,20.867,120221,0
20050610,20.85,20.936,20.672,20.792,76583,0
20050613,20.833,21.063,20.74,20.894,165997,0
20050614,20.85,21.208,20.809,21.072,215417,0
20050615,21.173,21.173,20.714,20.986,186494,0
20050616,20.994,21.428,20.884,21.428,279549,0
20050617,21.607,21.751,21.2,21.208,510436,0
20050620,21.208,21.436,21.173,21.223,180207,0
20050621,21.656,21.743,21.471,21.52,440140,0
20050622,21.64,21.682,21.242,21.497,486798,0
20050623,21.497,21.818,21.376,21.471,423791,0
20050624,21.52,21.564,20.936,20.986,341046,0
20050627,20.986,21.25,20.986,21.063,109534,0
20050628,21.096,21.598,21.096,21.589,137321,0
20050629,21.616,21.616,21.283,21.572,215417,0
20050630,21.64,21.64,21.283,21.41,215541,0
20050701,21.326,21.572,21.232,21.572,105255,0
20050705,21.64,22.396,21.598,22.386,312121,0
20050706,22.362,22.362,21.818,21.955,254273,0
20050707,21.818,22.173,21.682,21.979,110915,0
20050708,21.927,22.793,21.894,22.609,499745,0
20050711,22.642,23.089,22.609,22.955,286843,0
20050712,22.922,23.116,22.609,23.051,164487,0
20050713,22.946,22.946,22.506,22.513,181083,0
20050714,22.617,22.853,22.088,22.165,199317,0
20050715,22.115,22.445,22.016,22.437,191898,0
20050718,22.378,22.472,22.081,22.268,114815,0
20050719,22.362,22.65,22.286,22.555,124996,0
20050720,22.464,22.946,22.31,22.913,152538,0
20050721,22.836,22.862,22.124,22.134,165743,0
20050722,22.216,22.77,22.207,22.762,152288,0
20050725,22.762,22.862,22.345,22.65,237678,0
20050726,22.727,23.033,22.609,22.913,105883,0
20050727,22.955,23.305,22.682,23.296,177187,0
20050728,23.414,23.973,23.251,23.881,162475,0
20050729,23.89,24.245,23.59,23.59,211017,0
20050801,23.653,23.811,23.277,23.296,152915,0
20050802,23.233,23.575,23.132,23.575,283196,0
20050803,23.745,24.016,23.346,24.016,156560,0
20050804,23.524,23.557,22.762,22.897,453972,0
20050805,22.709,22.709,21.352,21.759,380157,0
20050808,21.656,21.818,21.105,21.352,258425,0
20050809,21.063,21.528,20.85,20.884,316271,0
20050810,21.063,21.648,20.994,21.148,203973,0
20050811,21.114,21.664,21.105,21.572,136569,0
20050812,21.497,21.555,20.903,21.266,165743,0
20050815,21.223,21.718,20.986,21.41,196805,0
20050816,21.335,21.504,21.216,21.259,171403,0
20050817,21.173,21.242,20.876,20.884,213904,0
20050818,20.876,20.986,20.487,20.825,328090,0
20050819,20.784,21.079,20.706,21.003,149646,0
20050822,21.131,21.512,21.039,21.401,171277,0
20050823,21.352,21.572,21.266,21.428,165619,0
20050824,21.436,21.955,21.419,21.547,144742,0
20050825,21.58,21.919,21.242,21.718,108151,0
20050826,21.818,22.023,21.504,21.528,334004,0
20050829,21.41,21.783,21.393,21.572,193035,0
20050830,21.607,21.759,21.497,21.672,149522,0
20050831,21.71,22.071,21.648,21.937,228748,0
20050901,21.937,22.345,21.809,22.115,192278,0
20050902,22.071,22.268,21.775,21.894,194037,0
20050906,21.997,22.682,21.997,22.278,308603,0
20050907,22.234,22.268,21.903,22.046,447937,0
20050908,21.955,21.988,21.718,21.919,165366,0
20050909,21.91,22.046,21.837,22.023,118083,0
20050912,21.945,22.335,21.862,22.181,128771,0
20050913,22.071,22.2,21.927,22.007,167504,0
20050914,21.979,22.142,21.818,21.827,149900,0
20050915,21.837,21.945,21.564,21.672,193035,0
20050916,21.809,21.979,21.572,21.818,459503,0
20050919,21.751,21.91,21.41,21.528,118461,0
20050920,21.376,21.751,20.952,21.173,278293,0
20050921,21.223,21.223,20.64,20.64,186368,0
20050922,20.64,21.232,20.054,21.131,374117,0
20050923,21.03,21.345,20.74,21.259,219060,0
20050926,22.362,22.362,21.528,21.58,394113,0
20050927,21.751,21.791,21.352,21.471,221829,0
20050928,21.497,21.672,21.232,21.385,250500,0
20050929,21.462,21.837,21.208,21.827,210513,0
20050930,21.827,22.037,21.726,21.87,259810,0
20051003,22.007,22.26,21.91,22.056,387449,0
20051004,22.216,22.216,21.572,21.58,151908,0
20051005,21.718,21.726,20.986,20.986,253898,0
20051006,21.096,21.216,20.698,20.936,280056,0
20051007,20.936,21.047,20.631,20.689,210513,0
20051010,20.775,20.825,20.495,20.495,198444,0
20051011,20.553,20.876,20.353,20.366,209507,0
20051012,20.317,20.391,19.748,19.993,276030,0
20051013,19.866,20.129,19.569,19.893,314386,0
20051014,20.088,20.605,19.925,20.561,173918,0
20051017,20.656,20.656,20.344,20.588,133930,0
20051018,20.731,20.809,20.162,20.181,139335,0
20051019,19.976,20.85,19.849,20.841,204473,0
20051020,20.92,20.952,20.64,20.75,405178,0
20051021,20.8,21.19,20.698,20.986,288352,0
