Date,Open,High,Low,Close,Volume,OpenInt
20100823,79.899,82.581,79.665,80.601,11018,0
20100824,81.907,81.907,81.475,81.69,1694,0
20100825,81.061,81.925,80.574,81.034,3215,0
20100826,80.529,81.745,80.529,81.376,1443,0
20100827,81.312,81.925,81.312,81.656,4222,0
20100830,81.475,83.166,81.475,81.646,3816,0
20100831,83.051,83.051,80.682,81.178,23249,0
20100901,81.465,81.465,81.33,81.376,7109,0
20100902,81.789,81.789,81.295,81.295,888,0
20100903,81.817,81.916,81.231,81.475,3113,0
20100907,82.6,82.6,81.475,81.475,3555,0
20100908,81.097,82.825,81.097,81.845,8373,0
20100909,81.24,81.879,81.115,81.249,1777,0
20100910,81.835,81.879,81.025,81.727,57983,0
20100913,81.609,81.925,81.249,81.322,1500,0
20100914,81.249,81.475,81.025,81.258,1666,0
20100915,81.052,81.448,81.052,81.448,838,0
20100916,81.115,81.789,80.872,81.789,3277,0
20100917,81.115,83.14,81.115,82.735,2798,0
20100920,83.176,83.275,82.384,82.393,667,0
20100921,81.934,83.654,81.934,83.654,1760,0
20100922,83.915,83.95,82.689,82.825,2728,0
20100923,82.897,83.275,81.845,83.275,3134,0
20100924,82.834,83.275,82.825,83.275,777,0
20100927,82.825,83.033,82.032,83.033,889,0
20100928,82.24,83.041,82.24,82.825,2179,0
20100929,83.409,83.409,81.798,81.798,1633,0
20100930,82.825,82.825,82.221,82.825,889,0
20101001,82.977,82.977,82.6,82.977,549,0
20101004,83.051,83.051,83.051,83.051,694,0
20101005,83.051,83.051,82.825,83.004,1122,0
20101006,81.988,81.988,80.242,81.69,3555,0
20101007,81.916,81.916,80.844,80.844,4241,0
20101008,80.953,81.86,80.529,81.438,2833,0
20101011,81.393,82.581,81.393,81.656,635,0
20101012,82.744,82.744,81.475,81.475,3595,0
20101013,81.025,81.475,80.935,81.475,667,0
20101014,81.268,81.475,80.123,81.465,28048,0
20101015,81.025,81.448,80.799,81.357,4649,0
20101018,82.483,82.581,82.483,82.555,1578,0
20101019,82.51,82.51,80.591,81.025,26457,0
20101020,82.374,82.374,81.249,81.656,2290,0
20101021,82.285,82.285,81.025,81.034,16774,0
20101022,81.546,82.374,81.115,81.565,6385,0
20101025,82.448,82.744,82.374,82.555,1777,0
20101026,82.6,82.645,82.059,82.23,3731,0
20101027,81.988,82.87,81.988,82.6,1222,0
20101028,82.016,83.004,82.016,83.004,667,0
20101029,84.418,84.625,84.176,84.625,889,0
20101101,82.834,82.834,82.834,82.834,1110,0
20101102,82.149,82.5,82.149,82.5,222,0
20101103,82.374,82.374,82.194,82.194,294,0
20101104,82.374,83.716,82.374,83.716,1095,0
20101105,83.617,83.698,82.6,83.482,889,0
20101108,83.051,83.051,82.825,82.825,1815,0
20101109,82.464,82.834,82.464,82.825,1003,0
20101110,83.499,83.499,82.825,82.825,443,0
20101111,82.581,82.825,82.464,82.825,1001,0
20101112,83.447,83.499,82.825,82.825,667,0
20101115,82.374,83.023,82.374,82.825,889,0
20101117,82.123,82.204,82.123,82.149,917,0
20101118,82.311,82.311,82.267,82.294,667,0
20101119,82.825,82.825,82.825,82.825,222,0
20101122,83.266,83.266,82.149,82.221,859,0
20101123,83.257,83.257,82.374,82.374,555,0
20101124,83.221,83.221,83.221,83.221,109,0
20101126,83.275,83.275,83.051,83.266,754,0
20101129,82.186,82.194,81.979,81.979,1500,0
20101130,83.051,83.051,83.033,83.033,795,0
20101201,82.068,82.374,82.068,82.374,555,0
20101202,82.149,82.374,82.068,82.374,1251,0
20101203,82.105,82.105,82.068,82.105,1001,0
20101206,81.475,83.041,81.475,83.041,11951,0
20101207,81.988,82.374,81.988,82.023,3550,0
20101208,82.987,82.996,82.149,82.149,443,0
20101209,82.321,83.545,82.321,83.545,1217,0
20101210,82.492,82.492,81.268,81.7,2780,0
20101213,82.51,82.51,81.322,81.322,222,0
20101214,82.374,82.401,81.249,81.249,1834,0
20101215,81.276,81.276,81.276,81.276,332,0
20101216,81.665,81.69,81.475,81.475,1406,0
20101217,81.925,82.149,81.475,82.149,2183,0
20101220,81.376,81.376,81.303,81.303,712,0
20101221,81.925,81.925,81.438,81.438,708,0
20101223,81.51,82.097,81.448,82.097,686,0
20101227,82.168,82.194,82.168,82.194,523,0
20101228,82.51,82.51,82.149,82.149,1401,0
20101229,82.384,82.51,81.322,81.457,4709,0
20101230,82.366,82.807,81.718,82.717,1437,0
20101231,81.934,83.229,81.745,83.229,2830,0
20110103,83.752,83.752,82.825,82.825,838,0
20110104,81.493,82.825,81.493,81.934,1500,0
20110105,82.671,82.671,82.671,82.671,109,0
20110106,82.267,83.815,81.925,82.825,1842,0
20110107,82.6,82.825,82.528,82.6,1332,0
20110110,81.69,81.69,81.69,81.69,109,0
20110111,81.672,82.689,81.575,82.689,1007,0
20110112,81.357,82.59,81.025,81.925,4652,0
20110113,81.934,82.645,81.312,81.322,3765,0
20110114,81.15,81.249,81.052,81.068,902,0
20110118,81.087,81.681,80.672,80.672,1217,0
20110119,80.753,81.672,80.71,81.583,1816,0
20110120,82.374,82.374,81.286,82.339,711,0
20110121,82.366,82.681,82.366,82.681,555,0
20110124,82.78,82.816,81.493,81.565,6159,0
20110125,82.419,82.581,82.374,82.581,2104,0
20110126,82.581,82.6,81.925,81.925,451,0
20110127,81.925,81.925,81.925,81.925,2716,0
20110128,82.528,82.528,81.565,81.565,2139,0
20110131,81.078,82.464,80.872,80.872,1482,0
20110201,82.464,82.464,81.402,81.916,3013,0
20110202,81.025,82.366,80.953,82.097,2690,0
20110203,81.052,81.249,81.052,81.052,2223,0
20110204,81.068,81.068,81.068,81.068,1222,0
20110207,81.025,81.068,80.304,80.349,1439,0
20110208,81.061,81.59,80.574,81.025,1803,0
20110209,81.483,81.483,81.025,81.025,1448,0
20110210,80.682,81.475,80.682,81.025,3961,0
20110211,80.808,81.025,80.772,81.016,777,0
20110214,81.465,81.465,80.331,80.331,2278,0
20110215,80.313,81.025,80.304,80.493,1555,0
20110216,80.493,80.548,80.466,80.548,1800,0
20110218,80.313,80.961,80.242,80.242,777,0
20110222,80.304,80.89,80.169,80.196,1391,0
20110223,80.88,80.88,80.88,80.88,306,0
20110224,80.791,80.791,79.512,79.674,2131,0
20110225,79.45,80.107,79.044,79.242,12241,0
20110228,78.566,79.45,78.566,79.45,1379,0
20110301,79.98,79.989,79.225,79.225,448,0
20110302,79.674,79.846,79.225,79.846,634,0
20110303,78.892,79.674,78.892,79.225,777,0
20110304,79.674,79.674,79.45,79.45,1204,0
20110307,79.225,80.123,79.134,80.115,1633,0
20110308,79.125,79.125,79.125,79.125,109,0
20110309,79.144,79.909,79.144,79.909,443,0
20110310,79.918,79.918,79.918,79.918,109,0
20110311,80.123,80.123,80.123,80.123,168,0
20110314,80.123,80.511,79.899,80.107,833,0
20110315,80.323,80.323,79.259,80.115,741,0
20110316,80.123,80.313,79.313,79.313,1342,0
20110317,79.359,80.323,79.359,80.115,692,0
20110318,80.123,80.349,80.123,80.349,1116,0
20110321,80.483,80.483,79.782,79.782,334,0
20110322,80.493,81.025,79.961,79.961,1813,0
20110323,80.62,80.89,80.132,80.89,1583,0
20110324,80.98,81.6,80.799,80.89,2423,0
20110325,81.295,81.295,81.025,81.068,6665,0
20110328,81.718,81.718,81.025,81.565,1672,0
20110329,81.736,82.14,81.565,82.105,1332,0
20110330,81.941,82.374,81.565,82.032,1304,0
20110331,82.041,82.689,82.041,82.6,1071,0
20110401,82.555,82.555,82.149,82.311,1317,0
20110404,82.6,82.6,82.194,82.194,1110,0
20110405,83.041,83.041,82.221,82.825,1327,0
20110406,82.753,82.753,82.519,82.519,222,0
20110407,82.645,82.645,81.025,81.322,1583,0
20110408,82.149,82.149,81.068,81.7,1742,0
20110411,81.7,81.7,80.574,81.681,2511,0
20110412,81.681,81.681,81.349,81.349,443,0
20110413,81.068,81.7,81.068,81.7,784,0
20110414,81.7,81.7,81.042,81.249,2138,0
20110415,82.374,82.419,81.339,82.105,1666,0
20110418,82.645,83.744,80.672,81.6,7705,0
20110419,81.519,82.311,81.519,82.068,667,0
20110421,81.925,81.925,81.312,81.312,1416,0
20110425,80.89,81.898,80.89,81.475,1491,0
20110426,81.483,82.097,81.483,82.068,598,0
20110427,81.97,82.068,81.475,82.068,1224,0
20110428,81.708,82.068,81.483,82.068,1320,0
20110429,82.068,82.105,82.068,82.105,439,0
20110502,82.24,82.636,81.951,81.951,1337,0
20110503,82.645,82.735,81.97,82.051,1664,0
20110504,81.979,82.131,81.665,81.665,1777,0
20110505,81.6,83.635,79.728,82.825,10371,0
20110506,82.825,84.354,82.825,83.545,1741,0
20110509,83.437,83.437,83.437,83.437,109,0
20110510,83.499,83.762,82.285,82.618,3825,0
20110511,83.499,83.725,83.409,83.671,2371,0
20110512,83.456,83.896,82.474,83.491,1128,0
20110513,83.275,83.906,81.979,83.166,5292,0
20110516,83.491,83.491,83.491,83.491,277,0
20110517,83.437,83.725,82.213,83.275,5942,0
20110518,83.447,83.499,83.447,83.499,777,0
20110519,84.851,86.382,82.915,83.409,4942,0
20110520,83.635,83.725,83.635,83.725,608,0
20110523,83.996,84.607,82.825,84.607,1748,0
20110524,83.868,87.299,82.969,82.969,9394,0
20110525,83.482,84.13,82.977,84.13,1166,0
20110526,83.86,83.86,83.752,83.752,663,0
20110527,83.725,84.499,83.725,84.373,521,0
20110531,83.86,85.013,83.86,84.958,1100,0
20110601,83.941,83.941,83.941,83.941,222,0
20110602,83.401,83.762,82.87,83.725,3248,0
20110603,83.499,83.815,83.204,83.221,1667,0
20110606,83.294,83.456,82.168,82.33,4578,0
20110607,82.374,83.051,82.374,82.844,1058,0
20110608,82.996,83.608,82.924,83.608,879,0
20110609,83.275,83.499,83.275,83.499,222,0
20110613,83.671,83.671,82.834,82.915,1443,0
20110614,83.418,83.418,83.275,83.275,222,0
20110615,83.204,83.257,82.915,83.176,889,0
20110616,83.185,83.527,83.185,83.257,1294,0
20110617,83.635,83.796,83.347,83.68,2525,0
20110620,83.86,83.95,83.456,83.924,2151,0
20110621,83.95,83.95,83.95,83.95,109,0
20110622,83.725,83.977,83.328,83.977,599,0
