Date,Open,High,Low,Close,Volume,OpenInt
20050225,28.83,29.438,28.474,29.082,2490275,0
20050228,29.223,29.785,28.362,29.05,2257188,0
20050301,28.899,29.137,27.596,28.079,2558135,0
20050302,27.85,28.758,27.85,28.513,1786832,0
20050303,28.781,29.034,28.585,28.798,1898376,0
20050304,28.844,29.895,28.559,29.746,1786961,0
20050307,29.746,29.926,29.216,29.792,1727704,0
20050308,29.943,30.267,29.714,29.863,2346951,0
20050309,29.991,30.763,29.382,29.397,3676349,0
20050310,29.397,29.634,28.261,28.394,3040264,0
20050311,28.394,29.248,28.394,28.853,2419373,0
20050314,28.83,29.184,27.936,28.915,2062712,0
20050315,29.019,29.492,28.378,28.394,2156153,0
20050316,28.402,28.79,28.055,28.442,2036001,0
20050317,28.751,29.073,28.419,28.671,1815068,0
20050318,28.671,29.112,28.458,28.765,2113485,0
20050321,28.695,29.073,28.371,28.718,2012323,0
20050322,28.781,29.926,28.559,29.31,2855289,0
20050323,29.073,29.082,28.055,28.576,3123065,0
20050324,28.695,28.899,28.307,28.545,1634144,0
20050328,28.552,29.097,28.228,28.963,1889388,0
20050329,29.019,29.112,28.046,28.079,2367714,0
20050330,28.197,28.45,27.06,28.307,3328678,0
20050331,28.877,29.523,28.6,29.287,1910910,0
20050401,29.707,30.369,29.169,30.361,2791982,0
20050404,30.407,30.843,29.508,30.022,2548764,0
20050405,29.871,30.376,29.571,30.054,3953747,0
20050406,30.054,31.041,29.951,30.788,2693354,0
20050407,30.811,31.104,29.792,30.022,3869426,0
20050408,29.903,30.179,29.05,29.106,3046085,0
20050411,29.042,29.831,28.585,29.722,2160202,0
20050412,29.438,29.548,28.758,28.877,2261746,0
20050413,28.886,29.515,27.922,27.983,2820724,0
20050414,28.222,28.458,27.438,27.533,3405277,0
20050415,27.612,27.669,26.437,26.522,2461913,0
20050418,26.577,27.361,26.324,26.933,2069170,0
20050419,27.289,28.102,27.289,27.817,3133447,0
20050420,27.817,28.315,27.345,27.438,3022412,0
20050421,27.438,28.253,27.265,28.237,1661996,0
20050422,28.387,28.742,27.737,28.173,2186284,0
20050425,28.521,28.853,28.307,28.6,1227982,0
20050426,28.323,28.623,27.692,27.922,1918380,0
20050427,27.77,27.77,26.586,26.822,2614984,0
20050428,26.784,27.027,26.247,26.247,2690696,0
20050429,26.877,26.957,25.59,25.884,2747921,0
20050502,25.884,26.728,25.654,26.556,2315683,0
20050503,26.522,26.53,25.037,25.289,3638112,0
20050504,25.408,25.773,24.943,25.512,3652797,0
20050505,25.646,26.111,25.528,25.796,2525723,0
20050506,26.088,26.135,25.606,25.764,2235406,0
20050509,25.884,26.57,25.678,26.515,2389239,0
20050510,26.437,26.538,25.701,25.747,1478918,0
20050511,25.747,25.787,25.219,25.323,4763031,0
20050512,25.18,25.195,23.986,24.073,3557716,0
20050513,24.24,24.436,23.716,23.782,2248195,0
20050516,23.782,23.97,23.277,23.709,3915130,0
20050517,23.709,24.269,23.679,24.186,2189829,0
20050518,24.722,24.722,23.716,23.83,3317028,0
20050519,23.892,24.436,23.813,24.422,2359741,0
20050520,24.422,24.651,24.082,24.105,1461955,0
20050523,24.121,24.77,23.97,24.625,1574258,0
20050524,24.886,25.708,24.886,25.433,2864783,0
20050525,25.906,26.981,25.701,26.801,4785695,0
20050526,27.036,27.354,26.861,27.209,2849463,0
20050527,27.28,27.645,27.186,27.574,1651741,0
20050531,27.612,27.737,27.1,27.731,2808950,0
20050601,27.841,28.285,27.716,28.071,1655287,0
20050602,28.071,28.261,27.77,28.15,1995612,0
20050603,28.394,28.899,28.339,28.6,1702767,0
20050606,28.671,28.955,28.307,28.467,2418612,0
20050607,28.467,28.725,27.809,27.873,1877738,0
20050608,27.85,28.467,27.652,27.96,2367588,0
20050609,28.109,29.468,28.022,29.454,2209203,0
20050610,29.548,30.811,29.429,30.139,5398230,0
20050613,30.139,30.503,29.817,30.496,2898841,0
20050614,30.78,32.265,30.661,31.829,6067356,0
20050615,31.862,31.98,31.309,31.649,4224815,0
20050616,31.608,31.894,31.483,31.87,2063981,0
20050617,31.926,32.098,31.365,31.736,2703104,0
20050620,31.719,32.043,31.505,31.736,2116522,0
20050621,31.428,31.594,30.843,31.026,2042582,0
20050622,31.175,31.752,30.929,31.727,2773752,0
20050623,31.806,33.719,31.776,32.801,4552609,0
20050624,33.694,33.694,32.305,32.313,2495463,0
20050627,32.352,32.874,32.052,32.122,2194767,0
20050628,32.122,32.122,31.192,31.301,2099050,0
20050629,31.301,31.664,31.033,31.341,1921541,0
20050630,31.341,31.87,31.048,31.357,1798103,0
20050701,31.389,32.043,31.285,31.917,2326188,0
20050705,32.155,33.196,32.155,33.158,2025238,0
20050706,33.276,33.418,32.557,32.777,2027389,0
20050707,32.777,32.825,31.633,32.32,3156362,0
20050708,32.399,32.549,31.689,31.704,2156278,0
20050711,31.704,32.098,31.397,31.909,2791982,0
20050712,32.234,33.158,31.877,32.73,2022073,0
20050713,32.691,32.921,32.169,32.305,2721712,0
20050714,32.305,32.738,30.875,30.976,3578729,0
20050715,31.095,31.397,30.338,30.576,2219585,0
20050718,30.576,31.357,30.07,31.095,3580375,0
20050719,31.252,32.801,31.214,32.785,3459845,0
20050720,32.785,33.039,32.161,32.305,2912390,0
20050721,32.352,33.007,31.894,32.052,2170585,0
20050722,33.015,34.151,33.015,34.105,2595864,0
20050725,34.105,34.628,33.481,34.128,1965226,0
20050726,34.151,34.151,33.166,33.742,2376328,0
20050727,33.654,33.806,32.423,33.513,3252966,0
20050728,34.303,34.42,33.314,33.93,3500106,0
20050729,34.223,34.247,33.449,33.489,2422284,0
20050801,33.694,34.475,33.645,33.979,1876347,0
20050802,34.918,34.918,34.083,34.815,2403167,0
20050803,34.965,34.982,33.914,34.12,1871535,0
20050804,34.12,34.8,34.099,34.199,1808735,0
20050805,34.199,34.5,33.591,34.058,1831527,0
20050808,34.374,34.658,34.351,34.445,1257607,0
20050809,34.12,34.151,33.615,33.829,1740999,0
20050810,33.996,34.628,33.662,34.595,1988141,0
20050811,34.595,34.982,34.24,34.767,2533193,0
20050812,34.913,34.913,33.71,33.806,2325808,0
20050815,33.213,33.645,32.896,33.142,2257188,0
20050816,33.213,33.583,32.557,32.661,1795191,0
20050817,32.627,33.102,31.987,32.075,2433174,0
20050818,31.942,32.58,31.838,32.011,2103987,0
20050819,32.541,32.991,32.217,32.801,1394851,0
20050822,32.999,33.117,32.004,32.382,1571345,0
20050823,32.557,32.841,32.06,32.572,1747457,0
20050824,32.715,33.567,32.415,33.205,1939776,0
20050825,33.078,33.299,32.857,32.959,1131631,0
20050826,33.039,33.401,32.382,32.446,1268370,0
20050829,32.889,33.173,31.902,32.367,2204137,0
20050830,32.865,33.506,32.627,33.085,2151466,0
20050831,33.085,34.658,33.055,34.658,3281324,0
