Date,Open,High,Low,Close,Volume,OpenInt
20050628,7.7411,7.7411,7.7411,7.7411,0,0
20050629,9.778,9.984,9.4167,9.82,25932038,0
20050630,9.981,10.185,9.878,10.165,4399937,0
20050701,9.962,10.593,9.962,10.531,1418950,0
20050705,10.615,10.836,10.615,10.736,2396085,0
20050706,10.836,10.874,10.145,10.352,1498720,0
20050707,10.347,10.654,10.268,10.551,1124161,0
20050708,10.636,10.796,10.329,10.76,602829,0
20050711,10.796,10.976,10.768,10.857,819313,0
20050712,10.755,10.755,10.572,10.588,977874,0
20050713,10.531,10.531,10.288,10.329,1312174,0
20050714,10.185,10.752,10.145,10.441,1717415,0
20050715,10.4,10.4,10.043,10.145,480345,0
20050718,10.145,10.268,10.05,10.145,729475,0
20050719,10.225,10.343,10.068,10.288,804831,0
20050720,10.288,10.98,10.185,10.865,1323710,0
20050721,10.857,11.045,10.597,10.959,867175,0
20050722,10.919,10.959,10.8,10.919,688729,0
20050725,10.919,11.204,10.919,11.045,462182,0
20050726,11.06,11.06,10.715,10.861,332336,0
20050727,10.715,10.715,10.51,10.636,336761,0
20050728,10.654,10.681,10.481,10.669,396404,0
20050729,10.654,10.818,10.572,10.796,308528,0
20050801,10.693,11.06,10.597,11.02,538519,0
20050802,10.98,11.131,10.919,10.938,405732,0
20050803,10.93,10.93,10.76,10.878,415055,0
20050804,10.836,10.852,10.288,10.377,1218905,0
20050805,10.347,10.347,10.091,10.169,673022,0
20050808,10.209,10.288,9.907,10.018,447455,0
20050809,10.022,10.23,9.898,10.149,882148,0
20050810,10.185,10.334,10.185,10.319,810475,0
20050811,10.37,10.37,10.125,10.174,301905,0
20050812,10.165,10.165,10.027,10.096,223358,0
20050815,10.105,10.205,9.962,10.156,201273,0
20050816,10.161,10.161,9.943,9.993,93272,0
20050817,10.043,10.059,9.962,10.043,485011,0
20050818,10.027,10.222,9.921,10.174,287913,0
20050819,10.105,10.14,9.977,9.977,943023,0
20050822,9.962,10.001,9.912,9.984,164694,0
20050823,9.966,9.981,9.859,9.859,311967,0
20050824,9.843,9.926,9.634,9.664,541212,0
20050825,9.664,9.705,9.3323,9.3441,1036783,0
20050826,9.3088,9.4127,9.0244,9.2612,1120480,0
20050829,9.2061,9.3304,9.0037,9.1131,444015,0
20050830,9.1131,9.1131,8.9296,8.9419,994072,0
20050831,8.9419,9.1675,8.7958,9.1675,1959917,0
20050901,9.2061,9.2061,8.9223,9.049,1008307,0
20050902,9.049,9.1266,8.902,9.0722,693148,0
20050906,9.0856,9.4127,9.0856,9.2661,819313,0
20050907,9.2661,9.2699,8.8124,8.9636,1222096,0
20050908,8.9636,9.1675,8.829,9.0244,1684766,0
20050909,8.9841,9.717,8.9636,9.614,1116062,0
20050912,9.634,9.655,9.589,9.655,195380,0
20050913,9.655,9.655,9.567,9.58,396646,0
20050914,9.597,9.717,9.4928,9.717,603564,0
20050915,9.761,10.301,9.726,10.276,1139620,0
20050916,10.329,10.334,10.165,10.255,221642,0
20050919,10.305,10.305,10.072,10.082,476912,0
20050920,10.125,10.153,9.738,9.778,823240,0
20050921,9.696,9.738,9.1589,9.2699,631792,0
20050922,9.2699,9.2699,8.9636,9.0684,1509030,0
20050923,9.0722,9.2699,8.9588,9.1521,1403727,0
20050926,9.1675,9.4928,9.1675,9.476,878957,0
20050927,9.4928,9.528,9.3323,9.3323,841894,0
20050928,9.3833,9.4325,9.1217,9.1474,559627,0
20050929,9.1474,9.1637,8.4947,8.8409,1882355,0
20050930,8.8207,8.8373,8.5562,8.637,2414981,0
20051003,8.6572,8.9841,8.4622,8.4742,1289346,0
20051004,8.4947,8.6008,8.2299,8.2705,992111,0
20051005,8.2705,8.2747,7.9404,8.0627,903013,0
20051006,8.0059,8.2053,7.924,7.9649,1316843,0
20051007,7.9856,8.189,7.9856,8.189,823729,0
20051010,8.1687,8.1687,7.6351,7.6676,1350959,0
20051011,7.6798,7.7774,7.4558,7.4923,789859,0
20051012,7.5371,7.5697,7.1338,7.2152,2472418,0
20051013,7.2152,7.4637,7.1297,7.2194,1705387,0
20051014,7.2521,7.6432,7.1297,7.5251,1795711,0
20051017,7.5251,7.6432,7.4437,7.6432,942041,0
20051018,7.5615,7.586,7.4273,7.4395,186785,0
20051019,7.4395,7.6227,7.3578,7.5657,596937,0
20051020,7.5371,7.5371,7.3539,7.423,314666,0
20051021,7.423,7.6474,7.423,7.6186,582946,0
20051024,7.6798,8.0463,7.6798,8.0261,1548055,0
20051025,8.0261,8.3642,8.0222,8.189,1199516,0
20051026,8.189,8.4622,8.1687,8.3154,860544,0
20051027,8.2909,8.2909,7.8265,7.9282,965847,0
20051028,7.9447,8.0951,7.8225,8.0951,984743,0
20051031,8.1482,8.6206,8.1482,8.4823,918473,0
20051101,8.3764,8.5886,8.2705,8.4986,602092,0
20051102,8.503,8.7353,8.2909,8.5351,1113115,0
20051103,9.3695,9.597,9.0442,9.2699,3146913,0
20051104,9.2738,9.677,9.1045,9.606,709841,0
20051107,9.634,9.778,9.598,9.747,498510,0
20051108,9.717,9.717,9.3323,9.3578,374312,0
20051109,9.3167,9.4889,9.2186,9.2408,320561,0
20051110,9.2447,9.3999,9.118,9.3578,397878,0
20051111,9.3921,9.63,9.2738,9.623,226059,0
20051114,9.981,9.981,9.729,9.837,456538,0
20051115,9.959,9.959,9.2699,9.3088,905713,0
20051116,9.3695,9.541,9.1266,9.3441,282761,0
20051117,9.4286,9.717,9.1791,9.717,451878,0
20051118,9.82,9.882,9.642,9.878,689717,0
20051121,9.859,9.887,9.4513,9.677,763101,0
20051122,9.709,9.824,9.3871,9.738,726287,0
20051123,9.765,9.778,9.655,9.744,257725,0
20051125,9.747,9.761,9.575,9.734,106772,0
20051128,9.734,9.917,9.618,9.84,553732,0
20051129,9.898,10.246,9.898,10.096,714994,0
20051130,10.105,10.615,10.105,10.394,844840,0
20051201,11.204,11.204,10.551,10.551,1441280,0
20051202,10.551,10.706,10.37,10.669,296988,0
