Date,Open,High,Low,Close,Volume,OpenInt
19700102,0.9379,0.9696,0.9379,0.9696,8120,0
19700105,0.9696,1.0012,0.9696,0.9933,5077,0
19700106,0.9933,1.0092,0.9933,0.9933,14079,0
19700107,0.9933,1.0092,0.9933,0.9933,10909,0
19700108,0.9933,1.0092,0.9933,1.0092,7742,0
19700109,1.0092,1.0169,1.0012,1.0092,5077,0
19700112,1.0092,1.0169,0.9933,1.0092,7612,0
19700113,1.0092,1.0169,0.9933,1.0092,10021,0
19700114,1.0012,1.0012,0.9933,0.9933,4182,0
19700115,0.9933,1.0012,0.9854,0.9933,9514,0
19700116,0.9854,0.9854,0.9696,0.9696,6473,0
19700119,0.9696,0.9696,0.9618,0.9618,7105,0
19700120,0.9618,0.9696,0.946,0.9539,9135,0
19700121,0.9539,0.9696,0.9539,0.9618,5583,0
19700122,0.9618,0.9696,0.9618,0.9618,6850,0
19700123,0.9618,0.9696,0.9379,0.9539,6726,0
19700126,0.9539,0.9539,0.9379,0.9379,6600,0
19700127,0.9379,0.9618,0.9379,0.9379,7742,0
19700128,0.9379,0.9618,0.9379,0.946,7233,0
19700129,0.946,0.9539,0.9226,0.9302,14332,0
19700130,0.9302,0.9379,0.9226,0.9379,4690,0
19700202,0.9379,0.9539,0.9302,0.9379,8627,0
19700203,0.9379,0.9539,0.9379,0.9379,6600,0
19700204,0.9379,0.9618,0.9379,0.9539,7359,0
19700205,0.9539,0.9696,0.946,0.9539,5454,0
19700206,0.9539,0.9539,0.946,0.9539,6087,0
19700209,0.9539,0.9618,0.946,0.946,5709,0
19700210,0.946,0.9539,0.9379,0.9379,6726,0
19700211,0.9379,0.9539,0.9379,0.9539,5077,0
19700212,0.9539,0.9854,0.9379,0.9854,8627,0
19700213,0.9696,0.9696,0.946,0.9539,11669,0
19700216,0.9539,0.9618,0.946,0.9539,4438,0
19700217,0.9539,0.9696,0.9539,0.9618,3679,0
19700218,0.9696,0.9777,0.9696,0.9777,2158,0
19700219,0.9777,0.9854,0.9696,0.9696,3045,0
19700220,0.9696,0.9933,0.9696,0.9696,6726,0
19700224,0.9696,0.9777,0.9618,0.9696,5202,0
19700225,0.9696,0.9777,0.9618,0.9777,10147,0
19700226,0.9777,0.9777,0.9696,0.9696,7105,0
19700227,0.9696,0.9933,0.9696,0.9933,6850,0
19700302,0.9933,0.9933,0.9696,0.9777,9004,0
19700303,0.9854,1.0092,0.9854,1.0092,10272,0
19700304,1.0092,1.0248,0.9933,1.0092,9642,0
19700305,1.0092,1.0248,1.0092,1.0248,7484,0
19700306,1.0248,1.0248,1.0169,1.0248,4945,0
19700309,1.0248,1.0248,1.0012,1.0012,6215,0
19700310,1.0012,1.0169,1.0012,1.0092,5583,0
19700311,1.0092,1.0092,0.9618,0.9933,44778,0
19700312,0.9854,0.9854,0.9618,0.9696,3806,0
19700313,0.9696,0.9777,0.9539,0.9696,6850,0
19700316,0.9696,0.9777,0.9539,0.9777,5835,0
19700317,0.9777,0.9777,0.9696,0.9696,3932,0
19700318,0.9696,0.9933,0.9618,0.9854,9262,0
19700319,0.9777,0.9777,0.9696,0.9777,5583,0
19700320,0.9777,0.9777,0.9696,0.9696,3045,0
19700323,0.9696,0.9777,0.9696,0.9696,4308,0
19700324,0.9696,0.9854,0.9696,0.9854,5329,0
19700325,0.9854,1.0248,0.9777,1.0169,10272,0
19700326,1.0169,1.0248,1.0092,1.0169,5454,0
19700330,1.0169,1.0169,0.9854,0.9854,8120,0
19700331,0.9854,1.0092,0.9854,0.9854,6345,0
19700401,0.9854,1.0092,0.9854,0.9854,7867,0
19700402,0.9854,1.0012,0.9854,0.9854,4690,0
19700403,0.9854,1.0092,0.9854,0.9933,5454,0
19700406,0.9933,0.9933,0.9696,0.9854,15728,0
19700407,0.9854,0.9854,0.9696,0.9854,6215,0
19700408,0.9854,0.9933,0.9696,0.9933,6976,0
19700409,0.9933,1.0012,0.9854,0.9854,5329,0
19700410,0.9854,1.0092,0.9854,1.0092,3932,0
19700413,1.0092,1.0092,0.9854,0.9854,5835,0
19700414,0.9854,0.9933,0.9777,0.9777,8500,0
19700415,0.9777,1.0012,0.9777,0.9854,9514,0
19700416,0.9854,0.9933,0.9777,0.9777,5454,0
19700417,0.9777,0.9933,0.9696,0.9854,5835,0
19700420,0.9854,0.9854,0.9696,0.9854,5454,0
19700421,0.9854,0.9854,0.9696,0.9696,3552,0
19700422,0.9696,0.9696,0.9539,0.9696,9389,0
19700423,0.9539,0.9539,0.9302,0.946,13828,0
19700424,0.946,0.9539,0.8906,0.9146,43255,0
