Date,Open,High,Low,Close,Volume,OpenInt
20160818,23.843,23.91,23.785,23.852,903082,0
20160819,23.804,23.852,23.66,23.767,217146,0
20160822,23.843,23.9,23.814,23.814,302141,0
20160823,23.862,23.862,23.814,23.833,246585,0
20160824,23.843,23.862,23.823,23.843,274670,0
20160825,23.852,23.89,23.824,23.871,264424,0
20160826,23.881,23.891,23.833,23.891,216970,0
20160829,23.9,23.977,23.892,23.957,667069,0
20160830,23.967,23.997,23.929,23.957,235014,0
20160831,23.957,23.987,23.89,23.967,674874,0
20160901,23.939,23.939,23.89,23.929,126630,0
20160902,23.957,23.957,23.881,23.91,191383,0
20160906,23.9,23.947,23.881,23.91,194027,0
20160907,23.91,23.91,23.843,23.91,139076,0
20160908,23.9,23.9,23.862,23.871,304403,0
20160909,23.833,23.843,23.67,23.68,378427,0
20160912,23.737,23.737,23.488,23.565,230430,0
20160913,23.632,23.7,23.575,23.603,271426,0
20160914,23.69,23.766,23.632,23.757,181270,0
20160915,23.785,23.814,23.642,23.814,229788,0
20160916,23.89,23.967,23.775,23.957,227733,0
20160919,23.957,23.977,23.881,23.92,214885,0
20160920,23.977,23.977,23.91,23.92,285449,0
20160921,23.92,23.967,23.9,23.967,164491,0
20160922,23.977,23.997,23.947,23.957,183482,0
20160923,23.957,23.967,23.939,23.947,102410,0
20160926,23.957,23.987,23.92,23.987,173544,0
20160927,23.987,23.997,23.929,23.957,157320,0
20160928,23.967,23.977,23.929,23.929,126473,0
20160929,23.957,23.957,23.871,23.871,84157,0
20160930,23.987,23.997,23.9,23.9,118944,0
20161003,23.957,23.967,23.92,23.929,99327,0
20161004,23.967,23.967,23.785,23.795,93042,0
20161005,23.862,23.881,23.785,23.785,43765,0
20161006,23.833,23.852,23.718,23.795,135020,0
20161007,23.804,23.852,23.737,23.843,64410,0
20161010,23.852,23.852,23.718,23.737,72068,0
20161011,23.718,23.748,23.43,23.478,272244,0
20161012,23.498,23.66,23.402,23.607,239034,0
20161013,23.575,23.709,23.478,23.709,240225,0
20161014,23.709,23.785,23.66,23.67,117417,0
20161017,23.718,23.747,23.647,23.68,140706,0
20161018,23.747,23.767,23.67,23.767,129244,0
20161019,23.767,23.767,23.69,23.709,88945,0
20161020,23.757,23.804,23.718,23.718,69127,0
20161021,23.814,23.824,23.747,23.747,50653,0
20161024,23.871,23.871,23.68,23.709,47363,0
20161025,23.814,23.814,23.68,23.68,55912,0
20161026,23.727,23.804,23.718,23.795,97365,0
20161027,23.767,23.767,23.613,23.699,106400,0
20161028,23.642,23.775,23.632,23.642,41785,0
20161031,23.747,23.747,23.478,23.488,83710,0
20161101,23.555,23.555,23.402,23.402,56946,0
20161102,23.565,23.584,23.43,23.45,54786,0
20161103,23.603,23.603,23.43,23.43,47539,0
20161104,23.459,23.535,23.44,23.478,50218,0
20161107,23.67,23.67,23.45,23.507,46275,0
20161108,23.593,23.593,23.392,23.459,53286,0
20161109,23.297,23.478,23.095,23.177,115225,0
20161110,23.363,23.363,21.869,21.936,206978,0
20161111,21.993,22.204,21.083,21.466,156678,0
20161114,21.092,21.13,19.809,20.517,213065,0
20161115,20.728,21.562,20.719,20.977,148806,0
20161116,21.227,21.542,21.035,21.303,118402,0
20161117,21.342,21.418,20.766,20.766,151017,0
20161118,20.872,20.92,20.556,20.66,176665,0
20161121,20.67,20.86,20.556,20.623,87597,0
20161122,20.709,20.968,20.566,20.93,151354,0
20161123,20.7,20.87,20.613,20.804,106495,0
20161125,21.025,21.025,20.884,20.94,18073,0
20161128,21.159,21.313,20.701,20.749,99823,0
20161129,20.769,20.925,20.555,20.895,133752,0
20161130,20.837,20.847,20.593,20.701,137215,0
20161201,20.555,20.983,20.311,20.827,141172,0
20161202,21.285,21.285,20.711,20.799,71417,0
20161205,20.945,20.945,20.604,20.721,77283,0
20161206,20.721,20.945,20.653,20.945,159400,0
20161207,20.983,21.168,20.759,21.168,79844,0
20161208,20.973,21.129,20.779,21.1,109588,0
20161209,21.091,21.091,20.555,20.653,105647,0
20161212,20.487,20.623,19.96,20.316,194558,0
20161213,20.311,20.379,20.077,20.321,117801,0
20161214,20.321,20.661,20.282,20.428,197758,0
20161215,20.331,20.555,20.213,20.545,217860,0
20161216,20.545,20.583,20.282,20.545,64686,0
20161219,20.525,20.654,20.457,20.477,116405,0
20161220,20.457,20.633,20.409,20.633,142370,0
20161221,20.575,20.925,20.575,20.905,105853,0
20161222,20.905,21.12,20.876,21.11,70099,0
20161223,20.945,21.373,20.945,21.344,111800,0
20161227,21.237,21.383,20.973,21.246,102612,0
20161228,21.129,21.15,20.711,20.779,99359,0
20161229,20.749,20.876,20.701,20.749,92004,0
20161230,20.653,20.749,20.575,20.623,92292,0
20170103,20.721,20.847,20.681,20.799,46410,0
20170104,20.847,21.188,20.847,21.11,71904,0
20170105,21.207,21.422,21.022,21.129,59595,0
20170106,21.207,21.285,21.11,21.266,46043,0
20170109,21.314,21.675,21.314,21.646,182312,0
20170110,21.704,21.802,21.626,21.694,50063,0
20170111,21.694,21.968,21.694,21.918,68646,0
20170112,22.006,22.119,21.85,21.977,30674,0
20170113,21.977,22.016,21.762,22.006,66406,0
20170117,22.064,22.152,21.899,22.045,76815,0
20170118,22.064,22.201,21.938,21.996,73547,0
20170119,21.908,21.968,21.734,21.752,117255,0
20170120,21.772,21.996,21.626,21.958,146030,0
20170123,22.094,22.123,21.908,21.996,71482,0
20170124,21.996,22.08,21.996,22.036,46919,0
20170125,22.016,22.016,21.751,21.83,159652,0
20170126,21.83,21.899,21.744,21.802,29036,0
20170127,21.88,21.893,21.782,21.822,39671,0
20170130,21.948,21.968,21.802,21.938,26727,0
20170131,22.006,22.045,21.772,21.84,64316,0
20170201,21.812,21.927,21.734,21.89,35595,0
20170202,21.89,21.986,21.86,21.928,27032,0
20170203,22.006,22.23,21.977,21.977,31903,0
20170206,22.123,22.143,22.045,22.104,14000,0
20170207,22.055,22.231,22.055,22.142,39951,0
20170208,22.25,22.328,22.172,22.264,30695,0
20170209,22.357,22.464,22.289,22.415,44906,0
20170210,22.396,22.405,22.191,22.22,30168,0
20170213,22.298,22.342,22.142,22.152,95210,0
20170214,22.211,22.23,21.85,21.938,68016,0
20170215,21.84,21.986,21.829,21.938,48781,0
20170216,21.938,22.016,21.89,21.938,27182,0
20170217,22.036,22.142,21.968,22.094,338476,0
20170221,22.191,22.22,21.977,22.114,195377,0
20170222,22.172,22.269,22.129,22.269,37455,0
20170223,22.182,22.342,22.114,22.275,105619,0
20170224,22.284,22.58,22.284,22.54,101932,0
20170227,22.511,22.59,22.481,22.53,73930,0
20170228,22.56,22.56,22.323,22.521,57226,0
20170301,22.451,22.451,22.196,22.244,80248,0
20170302,22.402,22.402,22.135,22.175,32927,0
20170303,22.175,22.196,21.968,22.086,55763,0
20170306,22.037,22.086,21.938,22.057,34303,0
20170307,22.066,22.066,21.997,22.017,33352,0
20170308,21.958,21.968,21.79,21.839,39258,0
20170309,21.829,21.829,21.612,21.701,124371,0
20170310,21.642,21.899,21.642,21.82,70660,0
20170313,21.869,22.007,21.701,21.701,89142,0
20170314,21.899,21.899,21.654,21.849,68398,0
20170315,21.869,22.066,21.869,21.928,107329,0
20170316,21.987,22.096,21.987,22.076,37246,0
20170317,22.076,22.106,22.01,22.076,32620,0
