Date,Open,High,Low,Close,Volume,OpenInt
20161110,15.065,15.065,14.923,14.923,552,0
20161116,14.622,14.622,14.622,14.622,205,0
20161122,14.622,14.622,14.573,14.573,361,0
20161125,14.3,14.3,14.3,14.3,1016,0
20161201,14.483,14.483,14.483,14.483,289,0
20161207,14.376,14.484,14.376,14.484,609,0
20161214,14.916,14.916,14.916,14.916,1929,0
20161216,14.641,14.641,14.291,14.291,409,0
20161219,14.141,14.239,14.141,14.239,325,0
20161222,14.085,14.311,13.973,13.973,1963,0
20161229,14.424,14.424,14.424,14.424,556,0
20170105,14.531,14.531,14.531,14.531,444,0
20170106,14.681,14.884,14.681,14.884,1002,0
20170117,15.143,15.143,15.143,15.143,200,0
20170123,15.72,15.72,15.221,15.221,658,0
20170125,15.66,15.66,15.66,15.66,2001,0
20170127,15.56,15.584,15.491,15.491,959,0
20170130,15.491,15.57,15.491,15.56,3901,0
20170201,15.71,15.76,15.69,15.76,1434,0
20170206,15.594,15.94,15.594,15.94,243,0
20170208,15.73,15.73,15.73,15.73,148,0
20170213,15.699,15.788,15.66,15.788,2801,0
20170214,15.985,15.985,15.57,15.699,2256,0
20170301,15.74,15.74,15.74,15.74,300,0
20170320,15.74,15.74,15.74,15.74,0,0
20170404,16.73,16.73,16.62,16.7,3102,0
20170405,16.817,16.817,16.817,16.817,508,0
20170407,16.6,16.6,16.416,16.42,449,0
20170410,16.353,16.409,16.353,16.36,692,0
20170411,16.358,16.358,16.358,16.358,271,0
20170417,16.432,16.432,16.432,16.432,200,0
20170419,16.27,16.4,16.26,16.26,6317,0
20170420,16.35,16.48,16.35,16.35,905,0
20170426,16.9,16.91,16.9,16.9,1219,0
20170427,16.6,16.6,16.6,16.6,233,0
20170428,16.93,16.93,16.793,16.793,1501,0
20170501,17.13,17.239,17.03,17.179,15992159,0
20170502,17.389,17.389,17.194,17.229,80360,0
20170503,17.07,17.249,17.038,17.17,54978,0
20170504,16.959,16.959,16.809,16.809,39574,0
20170505,16.92,17.02,16.775,17.01,69074,0
20170508,17.053,17.17,16.93,17.06,41172,0
20170509,17.259,17.319,17.16,17.249,48292,0
20170510,17.629,17.629,17.14,17.16,58179,0
20170511,17.439,17.439,17.244,17.244,35522,0
20170512,17.462,17.494,17.349,17.399,63791,0
20170515,17.629,17.669,17.489,17.589,116655,0
20170516,17.729,17.729,17.599,17.599,58605,0
20170517,17.579,17.579,17.219,17.244,71693,0
20170518,17.16,17.236,16.48,16.72,67545,0
20170519,16.97,17.209,16.97,17.179,79175,0
20170522,17.239,17.259,17.1,17.249,99530,0
20170523,17.086,17.189,17.08,17.09,60006,0
20170524,17.06,17.239,17.06,17.151,44996,0
20170525,17.14,17.323,17.13,17.198,51807,0
20170526,17.03,17.389,17.03,17.379,28125,0
20170530,17.349,17.349,17.189,17.189,49553,0
20170531,17.299,17.429,17.02,17.03,33667,0
20170601,17.07,17.229,17.07,17.11,41934,0
20170602,17.389,17.389,17.189,17.239,123661,0
20170605,17.17,17.349,17.17,17.219,126478,0
20170606,17.16,17.379,17.16,17.289,59600,0
20170607,17.419,17.419,17.239,17.324,49651,0
20170608,17.479,17.559,17.479,17.559,50322,0
20170609,17.579,17.679,17.374,17.439,35981,0
20170612,17.449,17.449,17.239,17.269,14687,0
20170613,17.359,17.449,17.33,17.389,55263,0
20170614,17.539,17.589,17.32,17.359,65469,0
20170615,17.149,17.299,17.149,17.219,78325,0
20170616,17.25,17.325,17.2001,17.32,28402,0
20170619,17.531,17.59,17.4701,17.51,48898,0
20170620,17.37,17.4699,17.32,17.33,45652,0
20170621,17.5,17.5,17.34,17.36,23241,0
20170622,17.41,17.5599,17.362,17.495,53339,0
20170623,17.53,17.61,17.5201,17.5701,43613,0
20170626,17.78,17.87,17.72,17.73,46709,0
20170627,17.81,17.82,17.63,17.63,28784,0
20170628,17.67,17.879,17.67,17.8,33628,0
20170629,17.73,17.78,17.55,17.605,79592,0
20170630,17.7,17.85,17.65,17.82,42137,0
20170703,17.78,17.8663,17.77,17.79,17879,0
20170705,17.7,17.9,17.7,17.85,44423,0
20170706,17.7399,17.8,17.69,17.72,86384,0
20170707,17.72,17.83,17.69,17.74,32327,0
20170710,17.5,17.97,17.5,17.9427,86225,0
20170711,18.085,18.22,18.06,18.218,74651,0
20170712,18.4939,18.62,18.429,18.5956,33807,0
20170713,18.65,18.665,18.57,18.63,63876,0
20170714,18.7692,18.95,18.7692,18.9,37311,0
20170717,18.8508,18.8508,18.73,18.77,24191,0
20170718,18.904,18.9906,18.86,18.95,51627,0
20170719,19.14,19.1761,19.0501,19.17,37700,0
20170720,19.2113,19.2113,19.05,19.14,75800,0
20170721,19.03,19.05,18.9401,18.9685,43139,0
20170724,19.35,19.35,19.05,19.13,69270,0
20170725,19.11,19.15,19.048,19.1154,45667,0
20170726,19.12,19.2,19.01,19.19,46634,0
20170727,19.31,19.31,19,19.0567,57024,0
20170728,18.89,19.02,18.461,18.9803,39983,0
20170731,19.16,19.16,19.05,19.1065,35317,0
20170801,19.24,19.24,19.12,19.22,43328,0
