Date,Open,High,Low,Close,Volume,OpenInt
19800102,1.1695,1.1942,1.1695,1.1778,99826,0
19800103,1.1778,1.1778,1.1614,1.1695,291274,0
19800104,1.1695,1.2027,1.1695,1.1942,224243,0
19800107,1.1942,1.1942,1.1778,1.1862,90181,0
19800108,1.1862,1.1862,1.1695,1.1778,313938,0
19800109,1.1778,1.1942,1.1695,1.1695,848264,0
19800110,1.1695,1.1862,1.1695,1.1695,205917,0
19800111,1.1695,1.1778,1.1695,1.1695,156728,0
19800114,1.1695,1.1942,1.1695,1.1942,184215,0
19800115,1.1942,1.211,1.1942,1.1942,141779,0
19800116,1.1942,1.211,1.1778,1.1778,278252,0
19800117,1.1778,1.1942,1.1695,1.1778,186145,0
19800118,1.1778,1.1778,1.1279,1.1447,736383,0
19800121,1.1447,1.1447,1.1363,1.1447,221830,0
19800122,1.1447,1.1447,1.1199,1.1279,296095,0
19800123,1.1279,1.1778,1.1279,1.1447,305740,0
19800124,1.1363,1.1363,1.1279,1.1279,430158,0
19800125,1.1279,1.1279,1.1031,1.1031,661634,0
19800128,1.1031,1.1279,1.1031,1.1199,185664,0
19800129,1.1199,1.1199,1.1114,1.1199,258482,0
19800130,1.1199,1.1199,1.1114,1.1199,131169,0
19800131,1.1199,1.1279,1.1114,1.1199,303812,0
19800201,1.1199,1.1279,1.1031,1.1279,152389,0
19800204,1.1279,1.1279,1.1114,1.1114,97413,0
19800205,1.1114,1.1279,1.1114,1.1279,255589,0
19800206,1.1279,1.1279,1.1199,1.1199,957249,0
19800207,1.1199,1.1279,1.1199,1.1199,1250932,0
19800208,1.1199,1.1199,1.0783,1.1031,1222483,0
19800211,1.1031,1.1031,1.0783,1.0783,709377,0
19800212,1.0783,1.0783,1.0617,1.0783,565188,0
19800213,1.0783,1.0949,1.0783,1.0866,589781,0
19800214,1.0866,1.0866,1.0783,1.0783,1024281,0
19800215,1.0783,1.0783,1.07,1.0783,255107,0
19800219,1.0783,1.0783,1.07,1.0783,395922,0
19800220,1.0783,1.0783,1.0617,1.0783,330815,0
19800221,1.07,1.07,1.0534,1.0534,501049,0
19800222,1.0534,1.0617,1.0204,1.0534,388203,0
19800225,1.0534,1.0534,1.0204,1.0369,435465,0
19800226,1.0369,1.0451,1.0284,1.0369,494297,0
19800227,1.0369,1.0369,0.9953,1.012,4511848,0
19800228,1.012,1.012,0.9953,1.0037,523712,0
19800229,1.0037,1.0534,1.0037,1.0534,758084,0
19800303,1.0534,1.0534,1.0204,1.0451,1663248,0
19800304,1.0451,1.0451,1.0204,1.0204,322136,0
19800305,1.0204,1.0369,0.9872,0.9872,512139,0
19800306,0.9872,0.9953,0.9872,0.9872,452344,0
19800307,0.9872,1.012,0.9703,1.0037,440768,0
19800310,1.0037,1.0534,0.9953,1.0534,838615,0
19800311,1.0451,1.0451,1.0369,1.0451,245461,0
19800312,1.0451,1.0451,1.0284,1.0369,944710,0
19800313,1.0369,1.0451,1.0284,1.0369,470670,0
19800314,1.0369,1.0866,1.0369,1.0783,495744,0
19800317,1.0783,1.0866,1.0617,1.0783,608587,0
19800318,1.0783,1.0949,1.0783,1.0949,404119,0
19800319,1.0949,1.1031,1.0783,1.1031,787017,0
19800320,1.1031,1.1279,1.1031,1.1199,199166,0
19800321,1.1114,1.1114,1.1031,1.1114,195308,0
19800324,1.1031,1.1031,1.07,1.0783,146601,0
19800325,1.07,1.07,1.0369,1.0617,845370,0
19800326,1.0617,1.0783,1.0617,1.07,219901,0
19800327,1.07,1.07,1.0534,1.0617,462950,0
19800328,1.0783,1.0783,1.0284,1.07,315386,0
19800331,1.07,1.0949,1.07,1.07,953874,0
19800401,1.0949,1.1199,1.0949,1.1199,658260,0
19800402,1.1199,1.1614,1.0866,1.1529,596053,0
19800403,1.1529,1.1529,1.1279,1.1363,562773,0
19800407,1.1363,1.1447,1.1114,1.1363,314903,0
19800408,1.1363,1.1529,1.1363,1.1447,455236,0
19800409,1.1447,1.1695,1.1447,1.1695,446071,0
19800410,1.1695,1.2027,1.1695,1.2027,720950,0
19800411,1.2027,1.2193,1.2027,1.2027,499598,0
19800414,1.2027,1.2027,1.1778,1.1778,413283,0
19800415,1.1778,1.1862,1.1695,1.1862,148047,0
19800416,1.1942,1.2193,1.1942,1.2193,1815156,0
19800417,1.2193,1.2442,1.211,1.2193,457646,0
19800418,1.2193,1.2193,1.2027,1.2027,541071,0
19800421,1.2027,1.2193,1.1942,1.1942,278252,0
19800422,1.1942,1.2193,1.1695,1.2027,664048,0
19800423,1.2193,1.236,1.2193,1.236,1290478,0
19800424,1.236,1.2693,1.2027,1.2524,1676753,0
19800425,1.2524,1.2524,1.2442,1.2442,1006439,0
19800428,1.2442,1.2609,1.2442,1.2524,353966,0
19800429,1.2524,1.2609,1.2442,1.2442,305259,0
19800430,1.2442,1.2524,1.236,1.2442,294167,0
19800501,1.2442,1.2442,1.2277,1.2277,272470,0
19800502,1.2277,1.2442,1.2277,1.236,228100,0
19800505,1.2442,1.2524,1.2442,1.2524,574349,0
19800506,1.2524,1.2693,1.2524,1.2524,1016565,0
19800507,1.2524,1.2858,1.2524,1.2858,515033,0
19800508,1.2858,1.3021,1.2693,1.2773,541558,0
19800509,1.2773,1.294,1.2609,1.2693,646204,0
19800512,1.2693,1.2693,1.2693,1.2693,170232,0
19800513,1.2693,1.2693,1.2609,1.2693,403151,0
19800514,1.2693,1.2693,1.2524,1.2609,382419,0
19800515,1.2609,1.2693,1.2442,1.2693,1089383,0
19800516,1.2693,1.2693,1.2442,1.2524,586403,0
19800519,1.2524,1.2524,1.2442,1.2442,396400,0
19800520,1.2442,1.2524,1.236,1.2524,392062,0
19800521,1.2524,1.2693,1.2442,1.2524,451377,0
19800522,1.2609,1.2858,1.2609,1.2773,330815,0
19800523,1.2858,1.3105,1.2858,1.3021,370358,0
19800527,1.3021,1.3273,1.3021,1.3188,880091,0
19800528,1.3105,1.3105,1.2858,1.3021,324067,0
19800529,1.3021,1.3021,1.2858,1.3021,877198,0
19800530,1.3021,1.3021,1.2773,1.3021,489956,0
19800602,1.3021,1.3021,1.2773,1.294,171198,0
19800603,1.294,1.294,1.2609,1.2773,472594,0
19800604,1.2773,1.2858,1.2693,1.2773,237263,0
19800605,1.2773,1.2773,1.2609,1.2693,172161,0
19800606,1.2693,1.2773,1.2609,1.2609,191448,0
19800609,1.2609,1.2693,1.2609,1.2693,327443,0
19800610,1.2693,1.3021,1.2693,1.294,532877,0
19800611,1.294,1.3188,1.294,1.3105,341429,0
19800612,1.3105,1.3353,1.3105,1.3353,467773,0
19800613,1.3603,1.3933,1.3603,1.3687,563257,0
19800616,1.3687,1.377,1.352,1.377,509727,0
19800617,1.377,1.3933,1.3687,1.3851,475005,0
19800618,1.3851,1.3933,1.3438,1.3603,380969,0
19800619,1.3603,1.3687,1.3438,1.352,226172,0
19800620,1.352,1.3603,1.3353,1.352,301401,0
19800623,1.352,1.352,1.3438,1.352,565188,0
19800624,1.352,1.377,1.352,1.377,503460,0
19800625,1.377,1.3851,1.3603,1.3603,521781,0
19800626,1.3603,1.3687,1.352,1.352,974606,0
19800627,1.352,1.352,1.3273,1.3353,370358,0
19800630,1.3353,1.3353,1.3105,1.3188,205435,0
19800701,1.3188,1.3273,1.3021,1.3105,421479,0
19800702,1.3105,1.3353,1.3021,1.3105,294651,0
19800703,1.3105,1.3353,1.3105,1.3353,318282,0
19800707,1.3353,1.3353,1.3105,1.3188,505868,0
19800708,1.3188,1.3353,1.3105,1.3273,844887,0
19800709,1.3188,1.3188,1.3021,1.3188,475974,0
19800710,1.3188,1.3188,1.3021,1.3188,303812,0
19800711,1.3188,1.3188,1.3105,1.3188,231959,0
19800714,1.3188,1.3188,1.3021,1.3188,312493,0
19800715,1.3188,1.3188,1.3021,1.3021,302366,0
19800716,1.3105,1.3353,1.3105,1.3273,179391,0
19800717,1.3273,1.3353,1.3105,1.3273,342872,0
19800718,1.3273,1.3353,1.3021,1.3188,255589,0
19800721,1.3188,1.3188,1.3021,1.3188,341429,0
19800722,1.3188,1.3353,1.2193,1.3353,232921,0
19800723,1.3273,1.3273,1.3021,1.3188,813538,0
19800724,1.3188,1.3188,1.3021,1.3021,1009812,0
19800725,1.3021,1.3105,1.3021,1.3021,282592,0
19800728,1.3021,1.3105,1.294,1.3021,332748,0
19800729,1.3021,1.3021,1.294,1.3021,347214,0
19800730,1.3021,1.3021,1.294,1.294,240638,0
19800731,1.294,1.3021,1.294,1.3021,463918,0
19800801,1.3021,1.3021,1.2858,1.2858,270537,0
19800804,1.2858,1.2858,1.2609,1.2773,567115,0
19800805,1.2773,1.294,1.2773,1.2858,295132,0
19800806,1.2858,1.294,1.2773,1.2858,189519,0
19800807,1.2858,1.3021,1.2773,1.3021,2149346,0
19800808,1.3021,1.3021,1.2858,1.3021,676582,0
19800811,1.3021,1.3021,1.2858,1.2858,206881,0
19800812,1.2858,1.294,1.2773,1.2858,922528,0
19800813,1.2858,1.294,1.2773,1.2773,203990,0
19800814,1.2773,1.2858,1.2773,1.2858,217973,0
19800815,1.2858,1.2858,1.2693,1.2773,199166,0
