Date,Open,High,Low,Close,Volume,OpenInt
20050225,12.723,13.061,12.723,13.051,322861,0
20050228,13.006,13.024,12.841,12.996,512179,0
20050301,12.966,13.166,12.919,13.137,382558,0
20050302,13.006,13.099,12.88,13.006,921900,0
20050303,13.024,13.109,12.831,12.996,763670,0
20050304,13.08,13.196,12.938,13.196,492866,0
20050307,13.216,13.828,13.206,13.75,1478491,0
20050308,13.75,13.779,13.351,13.467,724013,0
20050309,13.467,13.603,13.303,13.447,768627,0
20050310,13.544,13.642,13.361,13.506,367066,0
20050311,13.506,13.623,13.418,13.554,403732,0
20050314,13.574,13.692,13.457,13.544,331536,0
20050315,13.574,13.574,13.293,13.408,479952,0
20050316,13.361,13.516,13.224,13.264,311809,0
20050317,13.273,13.351,13.006,13.224,397432,0
20050318,13.234,13.234,12.841,12.841,785464,0
20050321,12.88,12.909,12.655,12.85,355191,0
20050322,12.85,12.986,12.479,12.577,290947,0
20050323,12.577,12.596,12.276,12.43,471589,0
20050324,12.529,12.674,12.47,12.509,424801,0
20050328,12.509,12.586,12.401,12.479,314289,0
20050329,12.489,12.664,12.364,12.45,577555,0
20050330,12.46,12.606,12.45,12.529,512077,0
20050331,12.538,12.538,12.315,12.391,459814,0
20050401,12.538,12.558,12.055,12.266,693130,0
20050404,12.266,12.286,12.121,12.237,442154,0
20050405,12.325,12.345,12.209,12.315,534798,0
20050406,12.354,12.489,12.286,12.364,388137,0
20050407,11.619,12.15,11.474,11.997,1596441,0
20050408,12.169,12.296,11.967,11.987,756132,0
20050411,11.967,11.967,11.775,11.851,903514,0
20050412,11.802,12.016,11.532,11.939,592532,0
20050413,11.939,11.939,11.581,11.717,925206,0
20050414,11.678,11.697,11.552,11.648,771830,0
20050415,11.648,11.707,11.337,11.455,958670,0
20050418,11.376,11.619,11.231,11.522,1305285,0
20050419,11.591,11.668,11.474,11.668,834938,0
20050420,11.668,11.697,11.086,11.268,604099,0
20050421,11.366,11.619,11.259,11.619,766978,0
20050422,11.278,11.415,10.912,11.028,757265,0
20050425,11.076,11.278,10.902,10.989,863441,0
20050426,10.979,11.076,10.817,10.846,505880,0
20050427,10.807,10.846,10.651,10.7,509494,0
20050428,10.7,10.738,10.506,10.516,577041,0
20050429,10.516,10.582,10.262,10.437,695815,0
20050502,10.582,10.612,10.369,10.554,395569,0
20050503,10.466,10.768,10.457,10.7,483572,0
20050504,10.748,10.959,10.7,10.959,583651,0
20050505,10.892,10.94,10.67,10.69,549361,0
20050506,10.748,10.931,10.582,10.892,603068,0
20050509,10.846,10.865,10.651,10.768,393609,0
20050510,10.69,10.748,10.612,10.651,399600,0
20050511,10.661,10.777,10.516,10.67,287642,0
20050512,10.661,10.817,10.651,10.69,418603,0
20050513,10.738,10.836,10.67,10.807,418913,0
20050516,10.855,10.989,10.807,10.892,425835,0
20050517,10.797,10.874,10.719,10.787,314393,0
20050518,10.882,11.445,10.882,11.445,529428,0
20050519,11.493,11.572,11.396,11.513,269980,0
20050520,11.552,11.601,11.366,11.503,244780,0
20050523,11.493,11.61,11.406,11.503,366860,0
20050524,11.522,11.61,11.347,11.396,632090,0
20050525,11.376,11.376,11.047,11.249,515586,0
20050526,11.249,11.445,11.086,11.415,391544,0
20050527,11.376,11.552,11.278,11.542,452689,0
20050531,11.483,11.532,11.298,11.317,378636,0
20050601,11.317,11.493,11.231,11.493,351780,0
20050602,11.562,11.591,11.386,11.542,452893,0
20050603,11.601,11.601,11.249,11.327,375331,0
20050606,11.327,11.601,11.288,11.601,479336,0
20050607,11.601,11.792,11.455,11.552,546677,0
20050608,11.591,11.61,11.465,11.601,492245,0
20050609,11.61,11.977,11.552,11.967,519306,0
20050610,11.91,12.036,11.746,11.919,442463,0
20050613,11.802,12.364,11.775,12.227,702424,0
20050614,12.159,12.752,12.15,12.655,860858,0
20050615,12.723,13.015,12.723,13.006,809531,0
20050616,13.015,13.051,12.801,13.051,455372,0
20050617,13.061,13.07,12.929,12.948,941009,0
20050620,12.85,12.966,12.723,12.821,359424,0
20050621,12.792,13.015,12.713,12.976,618766,0
20050622,13.051,13.157,12.929,13.147,460746,0
20050623,14.814,15.055,14.456,15.055,6751794,0
20050624,14.667,14.765,14.262,14.542,2945727,0
20050627,14.542,14.618,14.436,14.592,1315302,0
20050628,14.657,14.765,14.504,14.765,1473432,0
20050629,14.726,14.921,14.667,14.902,1485923,0
20050630,14.862,14.997,14.804,14.941,1372315,0
20050701,14.882,14.988,14.785,14.941,519717,0
20050705,14.814,15.055,14.716,15.055,1066187,0
20050706,14.979,15.094,14.814,15.016,596662,0
20050707,14.824,15.055,14.657,14.95,939148,0
20050708,14.657,15.016,14.446,14.997,1196428,0
20050711,14.911,15.007,14.824,14.997,777305,0
20050712,14.931,14.979,14.765,14.814,502058,0
20050713,14.765,14.95,14.667,14.795,523020,0
20050714,14.96,14.988,14.687,14.736,412922,0
20050715,14.628,14.804,14.599,14.804,352091,0
20050718,14.706,14.853,14.647,14.706,425730,0
20050719,14.804,14.988,14.716,14.882,397743,0
20050720,14.706,14.892,14.427,14.657,1052762,0
20050721,14.609,14.667,14.33,14.476,790214,0
20050722,14.524,14.765,14.484,14.572,908885,0
20050725,14.572,14.687,14.484,14.572,617009,0
20050726,14.628,14.677,14.524,14.562,461779,0
20050727,14.534,14.667,14.524,14.572,607198,0
20050728,14.618,14.667,14.484,14.638,710687,0
20050729,14.638,14.638,14.466,14.514,754892,0
20050801,14.494,14.524,14.427,14.456,435749,0
20050802,14.476,14.476,14.359,14.427,451548,0
20050803,14.369,14.504,14.166,14.427,429243,0
20050804,14.862,15.442,14.862,15.007,2481575,0
20050805,14.892,14.911,14.638,14.755,891121,0
20050808,15.104,15.133,14.667,14.677,666070,0
20050809,14.736,14.902,14.494,14.618,727420,0
20050810,14.638,14.872,14.494,14.599,619488,0
20050811,14.562,14.716,14.494,14.667,346102,0
20050812,14.542,14.687,14.398,14.572,662041,0
20050815,14.542,14.844,14.476,14.716,294769,0
