Date,Open,High,Low,Close,Volume,OpenInt
20151104,24.826,24.826,24.806,24.806,203,0
20151109,23.908,23.908,23.908,23.908,574,0
20151111,23.81,23.81,23.81,23.81,506,0
20151117,23.603,23.603,23.603,23.603,101,0
20151118,23.603,23.603,23.603,23.603,101,0
20151125,23.858,23.858,23.858,23.858,101,0
20151202,23.652,23.652,23.652,23.652,228,0
20151203,23.573,23.573,23.573,23.573,238,0
20151209,22.932,22.932,22.932,22.932,203,0
20151211,22.932,22.932,22.932,22.932,101,0
20151221,23.268,23.338,23.268,23.338,3142,0
20151223,23.505,23.505,23.505,23.505,913,0
20151224,23.426,23.426,23.426,23.426,811,0
20151230,23.318,23.318,23.258,23.258,1041,0
20151231,23.308,23.308,23.308,23.308,810,0
20160104,22.595,22.595,22.595,22.595,446,0
20160105,22.79,22.794,22.79,22.794,811,0
20160106,22.35,22.35,22.35,22.35,965,0
20160107,21.828,21.828,21.828,21.828,894,0
20160108,22.005,22.005,21.838,21.838,1723,0
20160112,21.897,21.897,21.828,21.828,1368,0
20160113,22.005,22.005,22.005,22.005,101,0
20160119,21.63,21.63,21.63,21.63,506,0
20160121,21.4,21.462,21.4,21.462,2023,0
20160122,21.847,21.867,21.798,21.867,12689,0
20160125,21.907,21.927,21.768,21.798,12219,0
20160126,21.936,22.242,21.936,22.114,27001,0
20160127,22.005,22.148,21.877,21.877,20824,0
20160128,22.044,22.104,21.946,22.104,7494,0
20160129,22.38,22.558,22.321,22.558,12301,0
20160201,22.282,22.538,22.282,22.489,25103,0
20160202,22.222,23.061,22.005,22.015,72257,0
20160203,22.123,22.38,21.867,22.38,27984,0
20160204,22.677,23.002,22.677,22.784,40957,0
20160205,22.518,22.518,22.311,22.311,1428,0
20160208,22.084,22.153,21.985,22.044,6425,0
20160209,22.597,22.597,21.798,22.025,7258,0
20160211,21.581,21.591,21.492,21.581,608,0
20160217,22.469,22.469,22.469,22.469,898,0
20160218,22.397,22.397,22.397,22.397,178,0
20160219,22.34,22.34,22.34,22.34,1348,0
20160222,22.799,22.803,22.799,22.803,4414,0
20160223,22.438,22.438,22.438,22.438,299,0
20160224,22.272,22.272,22.272,22.272,806,0
