Date,Open,High,Low,Close,Volume,OpenInt
20140411,16.607,17.934,16.219,17.145,23664361,0
20140414,17.61,17.765,17.187,17.728,1806222,0
20140415,17.958,18.229,17.58,17.733,1117556,0
20140416,17.765,17.765,17.441,17.457,454619,0
20140417,17.471,18.229,17.402,17.563,984171,0
20140421,17.688,17.904,17.688,17.888,385095,0
20140422,17.913,18.437,17.813,18.075,1012824,0
20140423,18.292,18.755,18.267,18.522,948399,0
20140424,18.583,19.495,18.39,18.931,683304,0
20140425,19.04,19.219,18.561,18.985,608837,0
20140428,19.147,19.378,18.747,18.978,418753,0
20140429,19.117,19.302,18.955,19.286,334421,0
20140430,19.365,19.688,18.345,19.109,707321,0
20140501,19.117,19.388,18.792,19.317,951924,0
20140502,19.31,19.339,19.032,19.117,252448,0
20140505,19.279,19.588,19.117,19.31,385790,0
20140506,19.233,19.302,18.931,19.094,240714,0
20140507,19.219,19.256,18.931,18.972,174772,0
20140508,18.909,19.239,18.716,18.763,449229,0
20140509,18.67,18.876,18.075,18.114,359973,0
20140512,18.082,18.81,17.571,18.492,688877,0
20140513,18.531,18.728,17.921,18.376,306965,0
20140514,18.397,18.522,18.176,18.382,238317,0
20140515,18.376,18.614,18.213,18.338,176450,0
20140516,18.537,18.614,18.021,18.345,155729,0
20140519,18.312,18.923,18.283,18.69,371242,0
20140520,19.102,19.147,18.376,18.923,859129,0
20140521,18.768,19.543,18.522,19.372,938382,0
20140522,19.534,19.619,18.923,19.357,473881,0
20140523,19.465,19.501,19.085,19.171,355110,0
20140527,19.99,20.8,19.31,19.395,1295958,0
20140528,19.48,19.611,19.286,19.31,534793,0
20140529,19.295,19.543,19.295,19.501,271434,0
20140530,19.65,20.073,19.465,19.619,603524,0
20140602,19.906,20.083,19.465,19.696,315026,0
20140603,19.759,19.759,19.372,19.458,286120,0
20140604,19.426,19.611,19.076,19.132,324290,0
20140605,18.884,19.588,18.884,19.219,275770,0
20140606,19.378,19.471,18.345,18.728,634471,0
20140609,18.638,19.04,18.624,18.768,305306,0
20140610,18.855,18.931,18.69,18.822,447050,0
20140611,18.747,18.901,18.351,18.553,634697,0
20140612,18.624,18.684,18.013,18.207,644492,0
20140613,18.229,18.653,18.067,18.114,428121,0
20140616,18.197,18.476,18.096,18.176,395697,0
20140617,18.197,18.592,18.188,18.329,307805,0
20140618,18.376,18.607,17.58,17.996,512561,0
20140619,17.996,18.483,17.61,18.259,721581,0
20140620,18.292,18.862,18.221,18.312,515085,0
20140623,18.305,19.102,18.229,18.84,515384,0
20140624,18.847,19.193,18.415,18.483,483824,0
20140625,18.483,19.117,18.397,18.985,415803,0
20140626,19.094,19.388,18.831,19.339,445844,0
20140627,19.458,19.772,19.27,19.501,372039,0
20140630,19.626,20.267,19.518,20.228,848098,0
20140701,20.623,21.211,20.089,20.662,753217,0
20140702,20.623,20.709,20.367,20.459,469190,0
20140703,20.469,20.469,19.79,20.198,282907,0
20140707,20.314,20.459,19.79,19.818,280512,0
20140708,19.703,19.974,19.31,19.827,428699,0
20140709,19.764,20.145,19.426,19.688,354528,0
20140710,19.317,19.874,18.709,19.132,568316,0
20140711,19.008,19.402,18.923,19.279,347302,0
20140714,19.247,19.681,19.04,19.642,379674,0
20140715,19.619,19.703,19.225,19.703,210433,0
20140716,19.681,19.859,19.511,19.619,302327,0
20140717,19.604,19.844,19.471,19.696,237497,0
20140718,19.726,20.452,19.681,19.99,254704,0
20140721,20.027,20.523,19.92,20.406,322826,0
20140722,20.399,20.469,19.912,20.089,410521,0
20140723,20.083,20.469,19.712,19.889,471580,0
20140724,19.881,19.934,19.295,19.619,454906,0
20140725,19.597,19.812,19.372,19.549,213059,0
20140728,19.564,19.906,19.564,19.681,99085,0
20140729,19.934,19.934,19.295,19.348,232383,0
20140730,19.495,19.626,18.84,19.147,440170,0
20140731,18.989,19.043,18.191,18.583,572806,0
20140801,18.303,18.7,18.005,18.553,460106,0
20140804,18.989,19.177,18.691,19.043,178876,0
20140805,18.911,19.652,18.724,19.502,236254,0
20140806,19.339,20.018,19.199,19.995,163801,0
20140807,20.16,20.207,19.813,20.098,142763,0
20140808,20.127,20.175,19.589,20.151,191551,0
20140811,20.322,20.518,19.645,20.12,288840,0
20140812,20.042,20.284,19.738,20.236,135333,0
20140813,20.361,20.481,19.832,20.151,134434,0
20140814,20.198,20.348,19.988,20.308,163329,0
20140815,20.33,20.596,20.189,20.433,195589,0
20140818,20.393,20.676,20.183,20.627,157131,0
20140819,20.573,20.676,20.135,20.284,153597,0
20140820,20.284,20.401,20.051,20.135,189873,0
20140821,20.065,20.135,19.496,19.887,246040,0
20140822,19.84,20.361,19.565,20.12,110925,0
20140825,20.135,20.472,19.887,20.26,130015,0
20140826,20.3,20.454,19.84,20.293,104975,0
20140827,20.236,20.481,19.988,20.105,112169,0
20140828,19.893,20.338,19.776,20.034,91290,0
20140829,19.963,20.245,19.807,19.995,126527,0
20140902,19.917,20.135,19.832,19.84,154048,0
20140903,19.856,20.12,19.667,19.91,334196,0
20140904,19.887,20.322,19.84,20.011,125260,0
20140905,19.917,20.293,19.893,20.198,323085,0
