Date,Open,High,Low,Close,Volume,OpenInt
20121205,19.758,19.811,19.716,19.78,262762,0
20121206,19.78,19.78,19.528,19.669,233821,0
20121207,19.695,19.78,19.695,19.78,47575,0
20121210,19.78,19.787,19.74,19.78,44377,0
20121211,19.787,19.82,19.701,19.716,46344,0
20121212,19.78,19.795,19.732,19.732,25212,0
20121213,19.767,19.78,19.629,19.645,70305,0
20121214,19.74,19.78,19.629,19.707,35876,0
20121217,19.767,19.78,19.645,19.653,26351,0
20121218,19.758,19.758,19.653,19.653,40803,0
20121219,19.725,19.725,19.653,19.678,22370,0
20121220,19.716,19.78,19.701,19.771,30926,0
20121221,19.74,19.78,19.637,19.74,37848,0
20121224,19.74,19.74,19.732,19.74,4306,0
20121226,19.716,19.771,19.616,19.767,13276,0
20121227,19.687,19.771,19.687,19.767,24100,0
20121228,19.716,19.749,19.701,19.749,21308,0
20121231,19.749,19.795,19.716,19.795,20092,0
20130102,19.749,19.873,19.749,19.82,50641,0
20130103,19.873,19.932,19.802,19.932,44899,0
20130104,19.916,19.936,19.901,19.901,23316,0
20130107,19.901,19.932,19.82,19.82,29376,0
20130108,19.891,19.891,19.771,19.78,17168,0
20130109,19.837,19.837,19.732,19.802,29214,0
20130110,19.795,19.866,19.78,19.866,47583,0
20130111,19.882,19.882,19.78,19.82,39340,0
20130114,19.829,19.866,19.795,19.795,11447,0
20130115,19.901,19.901,19.795,19.873,28278,0
20130116,19.901,19.923,19.859,19.901,17343,0
20130117,19.916,19.916,19.844,19.891,5376,0
20130118,19.923,19.987,19.908,19.932,19573,0
20130122,19.98,20.051,19.936,19.971,24079,0
20130123,19.953,19.953,19.901,19.923,20219,0
20130124,19.908,19.98,19.901,19.916,20529,0
20130125,19.916,19.932,19.891,19.932,8636,0
20130128,19.866,19.891,19.852,19.859,12192,0
20130129,19.82,19.882,19.767,19.767,23288,0
20130130,19.837,19.837,19.749,19.787,16300,0
20130131,19.787,19.829,19.787,19.82,4861,0
20130201,19.787,19.837,19.787,19.811,2180,0
20130204,19.837,19.837,19.771,19.82,7260,0
20130205,19.837,19.837,19.78,19.82,14654,0
20130206,19.837,19.852,19.787,19.852,20450,0
20130207,19.758,19.852,19.758,19.844,10170,0
20130208,19.844,19.936,19.844,19.936,76244,0
20130211,19.971,19.971,19.953,19.953,3550,0
20130212,19.936,19.936,19.837,19.837,15533,0
20130213,19.829,19.891,19.829,19.844,17194,0
20130214,19.882,19.901,19.844,19.901,11275,0
20130215,19.908,19.916,19.859,19.916,4106,0
20130219,19.891,19.923,19.891,19.891,8693,0
20130220,19.901,19.923,19.891,19.923,3810,0
20130221,19.908,19.923,19.844,19.882,8460,0
20130222,19.866,19.916,19.844,19.852,6685,0
20130225,19.873,19.916,19.859,19.908,11735,0
20130226,20.038,20.056,19.941,20.056,19616,0
20130227,20.056,20.064,20.022,20.064,5797,0
20130228,20.056,20.056,19.976,19.976,15152,0
20130301,20.022,20.038,20.022,20.03,7558,0
20130304,19.999,20.079,19.999,20.079,9892,0
20130305,20.101,20.158,20.079,20.12,17815,0
20130306,20.158,20.174,20.094,20.094,12898,0
20130307,20.056,20.12,20.038,20.048,18889,0
20130308,20.137,20.137,19.948,20.022,23734,0
20130311,20.022,20.101,19.966,19.976,17906,0
20130312,19.958,20.022,19.927,19.958,6306,0
20130313,20.013,20.064,19.983,20.038,8483,0
20130314,20.094,20.094,19.966,19.983,7485,0
20130315,20.056,20.056,19.992,20.038,5478,0
20130318,20.007,20.151,20.007,20.12,14003,0
20130319,20.064,20.079,19.966,19.983,19585,0
20130320,19.999,19.999,19.935,19.935,6636,0
20130321,19.958,20.064,19.958,20.048,23992,0
20130322,20.048,20.086,20.007,20.03,6392,0
20130325,20.038,20.11,20.038,20.079,6236,0
20130326,20.079,20.137,20.079,20.12,11121,0
20130327,20.094,20.12,20.086,20.11,5479,0
20130328,20.158,20.158,20.11,20.158,18308,0
20130401,20.12,20.182,20.11,20.12,19423,0
20130402,20.142,20.158,20.094,20.094,10567,0
20130403,20.151,20.158,20.101,20.151,10714,0
20130404,20.128,20.191,20.12,20.191,9797,0
20130405,20.23,20.23,20.137,20.158,5116,0
20130408,20.182,20.216,20.137,20.142,8983,0
20130409,20.191,20.2,20.174,20.191,5833,0
20130410,20.216,20.216,20.182,20.216,4647,0
20130411,20.2,20.216,20.174,20.216,1923,0
20130412,20.23,20.23,20.165,20.165,4174,0
20130415,20.223,20.239,20.2,20.23,9010,0
20130416,20.239,20.239,20.23,20.239,2528,0
20130417,20.246,20.28,20.165,20.263,12844,0
20130418,20.271,20.456,20.182,20.374,7513,0
20130419,20.4,20.4,20.319,20.328,5445,0
20130422,20.374,20.4,20.311,20.383,4257,0
20130423,20.374,20.6,20.374,20.6,10343,0
20130424,20.558,20.585,20.446,20.551,7158,0
20130425,20.543,20.568,20.4,20.407,5062,0
20130426,20.424,20.543,20.343,20.424,2951,0
20130429,20.368,20.591,20.302,20.519,18557,0
20130430,20.4,20.585,20.4,20.585,4690,0
20130501,20.585,20.591,20.431,20.456,10979,0
20130502,20.543,20.543,20.431,20.519,5018,0
20130503,20.503,20.519,20.44,20.446,4365,0
20130506,20.503,20.519,20.496,20.496,1479,0
20130507,20.543,20.543,20.407,20.487,13784,0
20130508,20.519,20.543,20.456,20.543,6794,0
20130509,20.519,20.537,20.464,20.472,3868,0
20130510,20.537,20.537,20.464,20.512,5490,0
20130513,20.543,20.543,20.512,20.512,643,0
20130514,20.512,20.568,20.456,20.568,6051,0
20130515,20.424,20.464,20.415,20.464,9992,0
20130516,20.44,20.479,20.44,20.456,3121,0
20130517,20.479,20.496,20.479,20.496,1370,0
20130520,20.472,20.543,20.472,20.537,2308,0
20130521,20.512,20.519,20.512,20.519,2547,0
20130522,20.519,20.543,20.456,20.479,13084,0
20130523,20.528,20.543,20.415,20.496,4745,0
20130524,20.512,20.543,20.472,20.543,4560,0
20130528,20.543,20.617,20.487,20.487,7017,0
20130529,20.494,20.501,20.211,20.388,11357,0
20130530,20.364,20.388,20.291,20.364,4406,0
20130531,20.298,20.364,20.291,20.291,6478,0
20130603,20.364,20.364,19.999,20.039,5327,0
20130604,20.039,20.086,19.948,19.957,1480,0
20130605,19.868,19.875,19.495,19.875,8461,0
20130606,19.786,20.211,19.786,20.16,5156,0
20130607,20.143,20.275,20.112,20.16,5020,0
20130610,19.811,20.112,19.811,20.112,6489,0
20130611,19.966,19.966,19.495,19.495,9877,0
20130612,19.51,19.632,19.139,19.139,2252,0
20130613,19.147,19.966,19.147,19.478,2404,0
20130614,19.495,19.966,19.495,19.966,1849,0
20130618,19.601,19.601,19.31,19.391,3508,0
20130619,19.365,19.375,19.317,19.375,984,0
20130620,18.749,18.959,18.749,18.95,1480,0
20130621,18.749,18.749,16.825,18.147,17870,0
20130624,17.661,17.831,17.394,17.806,3325,0
20130625,17.45,17.733,17.45,17.701,2802,0
20130626,17.733,18.083,17.514,17.588,8360,0
20130627,18.042,18.433,17.945,18.433,3437,0
20130628,18.828,18.828,18.046,18.597,4849,0
20130701,18.513,19.171,18.375,18.458,17408,0
20130702,18.538,19.049,18.513,18.513,5413,0
20130703,18.804,18.804,18.795,18.795,1232,0
20130705,18.775,18.783,18.489,18.489,3486,0
20130708,18.57,19.105,17.774,18.061,5785,0
20130709,18.489,18.643,18.286,18.643,404,0
20130710,17.823,18.619,17.758,18.206,3285,0
20130711,18.245,18.254,17.945,18.254,5851,0
20130712,19.057,19.057,18.481,18.658,13348,0
20130715,18.619,18.619,18.245,18.245,5076,0
20130716,18.424,18.577,17.896,17.896,6258,0
