Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.266,13.773,13.266,13.745,25893,0
20050228,13.745,13.869,13.535,13.841,34141,0
20050301,13.792,13.888,13.745,13.792,26936,0
20050302,13.725,13.966,13.668,13.936,217472,0
20050303,13.985,13.985,13.409,13.456,24641,0
20050304,13.439,13.505,13.361,13.476,46669,0
20050307,13.515,13.535,13.266,13.361,9500,0
20050308,13.361,13.361,13.266,13.285,21611,0
20050309,13.266,13.266,12.901,12.989,19838,0
20050310,12.951,13.266,12.931,13.217,99809,0
20050311,13.141,13.37,12.882,13.361,73395,0
20050314,13.39,13.485,13.315,13.429,38941,0
20050315,13.37,13.439,13.17,13.179,5952,0
20050316,13.151,13.17,13.027,13.045,12215,0
20050317,13.084,13.295,13.008,13.227,16392,0
20050318,13.324,13.456,13.199,13.409,57527,0
20050321,13.217,13.305,12.683,12.702,22136,0
20050322,12.644,12.644,11.543,11.686,71831,0
20050323,11.638,11.686,11.504,11.581,38631,0
20050324,11.628,11.732,11.599,11.638,11379,0
20050328,11.657,11.876,11.628,11.867,15244,0
20050329,11.828,11.828,11.638,11.732,24014,0
20050330,11.828,12.308,11.828,12.299,17644,0
20050331,12.355,12.785,12.289,12.548,60451,0
20050401,12.566,12.673,12.059,12.25,46460,0
20050404,12.232,12.355,12.212,12.327,24536,0
20050405,12.279,12.345,12.097,12.193,25682,0
20050406,12.097,12.163,11.972,12.163,26101,0
20050407,12.117,12.135,11.972,12.031,11589,0
20050408,11.964,12.001,11.638,11.732,38631,0
20050411,11.638,11.772,11.589,11.703,23908,0
20050412,11.686,11.686,11.012,11.348,24536,0
20050413,11.348,11.445,11.16,11.274,243576,0
20050414,11.319,11.397,10.967,11.13,329291,0
20050415,11.14,11.14,10.537,10.546,20776,0
20050418,10.594,10.632,10.297,10.469,265919,0
20050419,10.518,10.565,10.008,10.354,29234,0
20050420,10.344,10.344,9.895,9.895,27979,0
20050421,9.895,10.305,9.895,10.279,16185,0
20050422,10.25,10.25,8.7064,8.8597,230106,0
20050425,8.8597,9.0131,8.7832,8.8695,22968,0
20050426,8.9076,9.645,8.6202,9.608,69429,0
20050427,9.635,9.866,9.579,9.712,27249,0
20050428,9.579,9.579,9.0992,9.0992,550212,0
20050429,9.0514,9.0992,8.8597,9.0324,34350,0
20050502,9.0706,9.2912,8.668,8.6875,14929,0
20050503,8.7162,8.7832,8.7064,8.7353,25057,0
20050504,8.7162,8.7929,8.6298,8.6492,78930,0
20050505,8.6396,8.7448,8.6202,8.7448,401537,0
20050506,8.7832,9.0608,8.7832,8.9557,52722,0
20050509,8.8597,8.9939,8.8118,8.9843,19107,0
20050510,8.9557,8.9651,8.8118,8.8216,15766,0
20050511,8.8597,8.9843,8.7162,8.9843,298805,0
20050512,9.0225,9.205,8.668,8.9174,38733,0
20050513,8.8887,8.9939,8.7353,8.9365,41762,0
20050516,8.9843,9.2441,8.9843,9.1567,19002,0
20050517,9.0608,9.627,8.9651,9.4825,32365,0
