Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.717,9.743,9.658,9.694,1635081,0
20050228,9.759,9.759,9.446,9.608,1627011,0
20050301,9.739,9.739,9.626,9.694,1603931,0
20050302,9.725,9.725,9.61,9.708,1470432,0
20050303,9.729,9.743,9.694,9.717,1857018,0
20050304,9.743,9.765,9.678,9.712,2217746,0
20050307,9.712,9.768,9.654,9.739,963420,0
20050308,9.739,9.759,9.661,9.698,926146,0
20050309,9.691,9.708,9.4913,9.572,1784986,0
20050310,9.567,9.59,9.4598,9.556,1822255,0
20050311,9.556,9.634,9.4766,9.533,990955,0
20050314,9.536,9.582,9.4096,9.505,1175898,0
20050315,9.529,9.529,9.2776,9.4017,1667340,0
20050316,9.3145,9.4017,8.3236,9.1914,2273367,0
20050317,9.1876,9.4204,9.1503,9.3958,1203713,0
20050318,9.3869,9.4391,9.2038,9.3919,1449849,0
20050321,9.4204,9.45,9.1876,9.2544,1576678,0
20050322,9.2912,9.3116,9.1101,9.1436,1372532,0
20050323,9.1436,9.1436,8.5993,8.7439,4298098,0
20050324,8.8052,8.9917,8.8016,8.8855,1843392,0
20050328,8.9917,9.0967,8.9917,9.0463,1955480,0
20050329,9.0463,9.1101,8.866,8.8949,1530779,0
20050330,8.917,9.0435,8.917,8.9793,1157822,0
20050331,9.0095,9.2544,9.0095,9.2408,1333870,0
20050401,9.331,9.3712,9.2124,9.331,1265175,0
20050404,9.3869,9.3869,9.2301,9.2844,1163943,0
20050405,9.2864,9.4017,9.2864,9.3416,1340553,0
20050406,9.3116,9.525,9.2951,9.525,1185354,0
20050407,9.54,9.54,9.3869,9.5,1304395,0
20050408,9.529,9.536,9.3,9.3484,808506,0
20050411,9.3524,9.3869,9.233,9.2408,1010971,0
20050412,9.2776,9.3116,9.1273,9.2194,804336,0
20050413,9.1761,9.3416,9.1302,9.1503,892218,0
20050414,9.1235,9.2124,9.0435,9.0783,879140,0
20050415,9.0783,9.1914,8.9079,8.9755,1206217,0
20050418,8.9917,9.2446,8.9917,9.233,1012638,0
20050419,9.3077,9.4628,9.233,9.4598,849663,0
20050420,9.505,9.525,9.4126,9.4204,885817,0
20050421,9.505,9.63,9.4569,9.54,1272132,0
20050422,9.601,9.661,9.544,9.617,956736,0
20050425,9.671,9.708,9.639,9.688,1047411,0
20050426,9.701,9.708,9.582,9.59,1064094,0
20050427,9.4204,9.4569,9.3484,9.3869,953129,0
20050428,9.3524,9.3978,9.2621,9.2621,984270,0
20050429,9.2864,9.4244,9.1914,9.2864,873864,0
20050502,9.3,9.3116,9.1397,9.233,845495,0
20050503,9.233,9.3416,9.1684,9.2038,1130016,0
20050504,9.3456,9.3456,9.1532,9.1876,970094,0
20050505,9.3378,9.574,9.3077,9.546,1603931,0
20050506,9.546,9.601,9.3869,9.4539,1044068,0
20050509,9.525,9.529,9.3552,9.4421,974261,0
20050510,9.525,9.525,9.3262,9.4313,930595,0
20050511,9.4598,9.529,9.3732,9.383,1001798,0
20050512,9.3732,9.3978,9.1914,9.2476,848270,0
20050513,9.2573,9.3643,9.1503,9.1809,791261,0
20050516,9.2038,9.3116,9.0928,9.2224,968422,0
20050517,9.2544,9.4204,9.1684,9.3958,774847,0
20050518,9.4204,9.4815,9.3194,9.3524,999849,0
20050519,9.3919,9.4165,9.3262,9.3484,903066,0
20050520,9.3484,9.4047,9.2951,9.3958,632451,0
20050523,9.4096,9.553,9.3456,9.3524,1067433,0
20050524,9.3524,9.4204,9.2408,9.3145,1302725,0
20050525,9.3116,9.3712,9.2738,9.3222,994011,0
20050526,9.3339,9.3801,9.265,9.331,833534,0
20050527,9.3416,9.3673,9.265,9.3262,946453,0
20050531,9.2844,9.3262,9.2194,9.2408,1032114,0
20050601,9.2573,9.4539,9.2573,9.3919,1015429,0
20050602,9.529,9.562,9.4126,9.529,1170621,0
20050603,9.578,9.626,9.54,9.595,969536,0
20050606,9.622,9.626,9.562,9.613,827962,0
20050607,9.61,9.637,9.59,9.608,1004577,0
20050608,9.642,9.691,9.605,9.63,711435,0
20050609,9.61,9.691,9.529,9.661,735075,0
20050610,9.654,9.694,9.646,9.691,720334,0
20050613,9.691,9.739,9.654,9.72,998181,0
20050614,9.708,9.729,9.671,9.708,799043,0
20050615,9.708,9.725,9.582,9.617,814342,0
20050616,9.617,9.694,9.536,9.678,898615,0
20050617,9.708,9.708,9.667,9.701,706152,0
20050620,9.708,9.708,9.665,9.701,900839,0
20050621,9.704,9.712,9.533,9.55,786812,0
20050622,9.562,9.613,9.4391,9.51,775124,0
20050623,9.4913,9.708,9.4913,9.646,847998,0
20050624,9.671,9.712,9.637,9.654,876087,0
20050627,9.691,9.732,9.654,9.717,1258498,0
20050628,9.72,9.729,9.582,9.582,812121,0
20050629,9.574,9.65,9.533,9.585,591011,0
20050630,9.667,9.671,9.582,9.634,553740,0
20050701,9.601,9.72,9.601,9.704,622996,0
20050705,9.722,9.763,9.701,9.759,951178,0
20050706,9.763,9.794,9.725,9.765,800717,0
20050707,9.743,9.787,9.642,9.646,1237645,0
20050708,9.712,9.798,9.712,9.763,718671,0
20050711,9.765,9.794,9.725,9.765,785977,0
20050712,9.765,9.869,9.752,9.859,819066,0
20050713,9.873,9.903,9.826,9.869,798486,0
20050714,9.92,9.945,9.743,9.768,760665,0
20050715,9.756,9.834,9.743,9.772,686962,0
20050718,9.743,9.772,9.637,9.654,979547,0
20050719,9.671,9.819,9.65,9.794,588231,0
20050720,9.781,9.869,9.708,9.848,820458,0
20050721,9.888,9.925,9.756,9.768,755100,0
20050722,9.823,9.848,9.712,9.732,979547,0
20050725,9.708,9.884,9.694,9.739,881372,0
20050726,9.739,9.848,9.729,9.834,910017,0
20050727,9.708,9.752,9.598,9.747,1232081,0
20050728,9.781,9.801,9.646,9.785,1292706,0
20050729,9.781,9.781,9.608,9.61,859393,0
20050801,9.617,9.65,9.4047,9.4273,1351951,0
20050802,9.4126,9.605,9.4126,9.521,1344720,0
20050803,9.521,9.585,9.4391,9.4657,1203158,0
20050804,9.5,9.567,9.4539,9.517,909736,0
20050805,9.517,9.533,9.2699,9.331,1220952,0
20050808,9.3484,9.3673,9.1196,9.1302,1861755,0
20050809,9.0624,9.1273,8.9793,8.9917,2288948,0
20050810,9.0068,9.1474,8.9973,9.068,1565824,0
20050811,9.066,9.1684,8.9973,9.066,1370313,0
20050812,9.0783,9.1397,9.0359,9.0858,1064928,0
20050815,9.0858,9.0858,8.9917,9.0237,1229850,0
20050816,9.019,9.0237,8.866,8.9273,1709060,0
20050817,8.9273,8.9301,8.666,8.7586,2490583,0
20050818,8.7265,8.8985,8.7265,8.866,1906803,0
20050819,8.9422,9.0321,8.8855,8.9917,1220400,0
20050822,9.0397,9.1436,9.0237,9.0624,1474603,0
20050823,9.0783,9.0967,9.0321,9.0707,1180907,0
20050824,9.0928,9.1321,9.0624,9.0821,1614502,0
20050825,9.0783,9.0967,8.9273,8.9943,1731589,0
20050826,8.9943,9.0501,8.878,8.9105,1143361,0
20050829,8.8985,8.8985,8.6614,8.7686,2104831,0
20050830,8.7119,8.9449,8.6794,8.9301,1098857,0
20050831,8.9105,8.9273,8.6263,8.7301,3032919,0
20050901,8.629,8.881,8.629,8.8052,2471670,0
20050902,8.8363,8.9514,8.7914,8.891,2442194,0
20050906,8.8985,8.9624,8.8089,8.9134,1576400,0
20050907,8.917,9.0039,8.8134,8.881,1636194,0
20050908,8.9449,8.9869,8.8559,8.8884,1238754,0
20050909,8.9793,8.9831,8.8855,8.9793,1219565,0
20050912,8.9992,9.0237,8.9671,9.0068,1348613,0
20050913,9.1503,9.1684,8.9943,9.1149,1183962,0
20050914,9.1876,9.2194,9.1273,9.1847,1022380,0
20050915,9.2038,9.265,9.1321,9.1761,890823,0
20050916,9.2573,9.3416,9.1761,9.2776,970094,0
20050919,9.3339,9.3484,9.2087,9.2408,1397565,0
20050920,8.8985,9.2951,8.8985,9.1914,1171730,0
20050921,9.1684,9.1684,8.8208,8.917,2338725,0
20050922,8.7375,8.8437,8.4489,8.7586,3210643,0
20050923,8.558,8.8089,8.558,8.8016,1367806,0
20050926,9.0783,9.0995,8.8745,9.0359,1926829,0
20050927,9.068,9.0858,8.9917,9.0068,1204541,0
20050928,9.0707,9.1196,8.9943,9.0538,946728,0
20050929,9.0896,9.1321,8.9943,9.0896,977320,0
20050930,9.0858,9.1684,9.0463,9.0538,1001240,0
20051003,9.2252,9.2573,9.1196,9.1761,1429829,0
20051004,9.2359,9.2359,9.0068,9.0124,1398396,0
20051005,9.068,9.1024,8.9348,8.9394,1391441,0
20051006,9.0435,9.0967,8.881,8.9301,1948803,0
20051007,8.9273,9.0359,8.9209,9.0359,1087461,0
20051010,8.9992,9.0624,8.9079,8.917,845495,0
20051011,9.0624,9.0821,8.9548,9.0435,1201486,0
20051012,8.9917,9.0237,8.903,8.9348,987058,0
20051013,8.9348,8.9348,8.7439,8.8437,1684579,0
20051014,8.8399,8.9831,8.7722,8.9624,1161712,0
20051017,8.9917,9.0463,8.9709,8.9869,1236257,0
20051018,9.0039,9.0151,8.8631,8.903,967861,0
20051019,8.8282,8.9586,8.7375,8.9514,1132510,0
20051020,9.0068,9.0068,8.8363,8.8745,920027,0
20051021,8.8884,9.0068,8.8474,8.9869,750651,0
20051024,8.9917,9.0783,8.9449,9.0783,1311903,0
