Date,Open,High,Low,Close,Volume,OpenInt
20160527,23.701,23.701,23.586,23.607,2872,0
20160531,23.718,23.718,23.583,23.623,2710,0
20160601,23.691,23.691,23.663,23.672,2311,0
20160602,23.682,23.682,23.623,23.672,3938,0
20160603,23.718,23.802,23.718,23.802,3715,0
20160606,23.831,23.831,23.783,23.812,2984,0
20160607,24,24,23.768,23.774,2131,0
20160608,23.774,23.774,23.774,23.774,1015,0
20160609,23.756,23.756,23.737,23.749,25869,0
20160610,23.783,23.783,23.745,23.746,5607,0
20160613,23.747,23.747,23.737,23.737,7027,0
20160614,23.763,23.763,23.701,23.701,3407,0
20160615,23.747,23.747,23.718,23.718,5481,0
20160616,23.718,23.718,23.679,23.701,18736,0
20160617,23.765,23.765,23.765,23.765,1756,0
20160620,23.765,23.765,23.765,23.765,0,0
20160621,23.859,23.86,23.851,23.851,3992,0
20160622,24.552,26.303,23.823,23.831,5078,0
20160623,23.952,23.952,23.849,23.887,12306,0
20160624,23.812,23.851,23.792,23.812,6646,0
20160627,23.952,24.016,23.711,23.756,24915,0
20160628,24.827,24.986,23.738,23.906,9688,0
20160629,23.938,23.952,23.888,23.952,11585,0
20160630,25.099,26.105,23.967,24.039,34467,0
20160701,24.188,24.243,23.961,24.019,13987,0
20160705,24.113,24.113,23.878,23.915,18467,0
20160706,23.924,23.924,23.894,23.894,8460,0
20160707,23.934,23.985,23.903,23.952,16980,0
20160708,23.952,24.019,23.952,24.019,6423,0
20160711,24.047,24.047,24.01,24.012,15153,0
20160712,24.038,24.038,24.011,24.019,1748,0
20160713,24.105,24.105,23.981,24.01,9992,0
20160714,23.991,24.01,23.924,23.991,8376,0
20160715,24.047,24.047,23.989,23.989,6297,0
20160718,24.057,24.095,24.024,24.095,2729,0
20160719,24.036,24.038,24.018,24.019,7403,0
20160720,24.047,24.047,24.028,24.028,1252,0
20160721,24.038,24.038,24.01,24.019,4635,0
20160722,24.095,24.095,24.047,24.047,5772,0
20160725,24.032,24.061,24.013,24.061,6252,0
20160726,24.116,24.116,24.061,24.099,19881,0
20160727,24.099,24.125,24.085,24.116,26139,0
20160728,24.203,24.203,24.108,24.108,12163,0
20160729,24.125,24.173,24.116,24.116,11773,0
20160801,24.116,24.171,24.116,24.155,7055,0
20160802,24.353,24.353,24.114,24.125,6244,0
20160803,24.103,24.145,24.103,24.135,11888,0
20160804,24.353,24.684,24.116,24.173,38235,0
20160805,24.165,24.228,24.165,24.228,6074,0
20160808,24.212,24.315,24.212,24.315,8898,0
20160809,24.43,24.43,24.301,24.315,8910,0
20160810,24.353,24.353,24.238,24.238,8153,0
20160811,24.218,24.218,24.188,24.203,7373,0
20160812,24.193,24.193,24.155,24.155,4574,0
20160815,24.167,24.173,24.098,24.099,6505,0
20160816,24.296,24.296,24.051,24.061,10005,0
20160817,24.027,24.155,24.027,24.099,1173,0
20160818,24.258,24.258,24.125,24.135,5192,0
20160819,24.125,24.125,24.079,24.079,3894,0
20160822,24.138,24.138,24.049,24.089,5077,0
20160823,24.145,24.145,24.108,24.123,7640,0
20160824,24.212,24.296,24.108,24.108,10381,0
20160825,24.254,24.311,24.098,24.13,21487,0
20160826,24.15,24.15,24.13,24.14,12420,0
20160829,24.615,24.615,24.13,24.16,18446,0
20160830,24.16,24.189,24.13,24.13,7869,0
20160831,24.615,24.615,24.13,24.217,2313,0
20160901,24.16,24.189,24.16,24.16,7724,0
20160902,24.15,24.189,24.14,24.189,13735,0
20160906,24.208,24.208,24.14,24.199,13572,0
20160907,24.171,24.217,24.17,24.199,5005,0
20160908,24.244,24.244,24.169,24.17,12774,0
20160909,24.14,24.14,23.934,23.942,25773,0
20160912,24.037,24.084,23.9,23.96,8661,0
20160913,23.962,23.962,23.858,23.858,2531,0
20160914,23.896,23.917,23.886,23.886,4717,0
20160915,23.904,23.922,23.895,23.912,4850,0
20160916,23.97,23.97,23.828,23.838,7563,0
20160919,23.858,23.896,23.858,23.858,5281,0
20160920,23.917,23.97,23.886,23.904,8901,0
20160921,23.97,23.99,23.915,23.99,5284,0
20160922,24.076,24.131,24.076,24.113,7203,0
20160923,24.131,24.131,24.048,24.131,4418,0
20160926,24.141,24.141,24.095,24.141,14707,0
20160927,24.276,24.276,24.113,24.141,10360,0
20160928,24.1,24.1,24.085,24.085,944,0
20160929,24.106,24.106,23.98,23.99,5313,0
20160930,24.026,24.026,23.99,23.99,10334,0
20161003,24.122,24.209,23.944,24,9828,0
20161004,23.99,23.99,23.913,23.913,798,0
20161005,24.809,24.809,23.858,23.885,12350,0
20161006,23.951,23.951,23.809,23.818,3214,0
20161007,23.818,23.818,23.808,23.808,3741,0
20161010,23.768,23.775,23.722,23.75,3067,0
20161011,23.827,23.828,23.579,23.676,18699,0
20161012,23.657,23.657,23.618,23.637,6864,0
20161013,23.513,23.601,23.513,23.565,1354,0
20161014,23.73,23.73,23.667,23.686,2472,0
20161017,23.619,23.732,23.619,23.652,3148,0
20161018,23.867,23.903,23.859,23.895,4995,0
20161019,23.942,23.96,23.895,23.903,7928,0
20161020,23.922,23.922,23.875,23.875,1088,0
20161021,23.894,23.894,23.894,23.894,212,0
20161024,24.066,24.066,24.066,24.066,1604,0
20161025,23.984,24.026,23.984,24.026,741,0
20161026,24.056,24.056,23.972,24.001,3877,0
20161027,23.896,23.914,23.833,23.914,4189,0
20161028,23.942,23.942,23.761,23.789,2956,0
20161031,23.762,23.762,23.762,23.762,102,0
20161101,23.712,23.712,23.57,23.63,6134,0
20161102,23.607,23.607,23.54,23.54,766,0
20161103,23.512,23.512,23.378,23.378,4905,0
20161104,23.408,23.408,23.408,23.408,102,0
20161107,23.436,23.589,23.436,23.503,2270,0
20161108,23.359,23.483,23.349,23.351,3621,0
20161109,23.178,23.284,23.091,23.126,5228,0
20161110,23.206,23.206,22.636,22.717,7869,0
20161111,22.479,22.569,22.412,22.569,7637,0
20161114,22.385,22.418,22.022,22.096,10992,0
20161115,21.801,22.552,21.801,22.527,8643,0
20161116,22.793,22.874,22.793,22.874,700,0
20161117,22.643,22.766,22.643,22.669,5221,0
20161118,22.093,22.389,22.093,22.194,2148,0
20161121,22.385,22.674,22.385,22.674,10933,0
20161122,22.638,22.706,22.579,22.706,20721,0
20161123,22.664,22.664,22.625,22.664,876,0
20161125,22.664,22.664,22.664,22.664,0,0
20161128,22.664,22.664,22.664,22.664,0,0
20161129,22.788,22.788,22.655,22.655,810,0
20161130,22.658,22.658,22.472,22.472,2449,0
20161201,22.471,22.471,22.268,22.302,4268,0
20161202,22.423,22.423,22.375,22.375,1016,0
20161205,22.294,22.404,22.294,22.317,8689,0
20161206,22.528,22.528,22.471,22.499,3341,0
20161207,22.499,22.499,22.499,22.499,0,0
20161208,22.596,22.596,22.414,22.537,7461,0
20161209,22.405,22.462,22.395,22.408,4809,0
20161212,22.203,22.25,22.202,22.25,4837,0
20161213,22.164,22.983,22.164,22.306,2483,0
20161214,22.385,22.385,22.16,22.203,4535,0
20161215,22.336,22.336,22.03,22.25,8958,0
20161216,22.241,22.25,22.145,22.154,6486,0
20161219,22.241,22.293,22.241,22.26,9145,0
20161220,22.268,22.341,22.268,22.306,1478,0
20161221,22.316,22.414,22.316,22.404,1053,0
20161222,22.473,22.473,22.473,22.473,102,0
20161223,22.501,22.547,22.501,22.547,549,0
20161227,22.501,22.501,22.425,22.435,1736,0
20161228,22.723,22.723,22.367,22.397,774,0
20161229,22.377,22.434,22.358,22.358,8033,0
20161230,22.406,22.426,22.387,22.397,5804,0
20170103,22.415,22.575,22.415,22.575,1693,0
20170104,22.686,22.908,22.686,22.908,2902,0
20170105,22.879,22.985,22.744,22.776,5978,0
20170106,22.676,22.772,22.676,22.772,1264,0
20170109,22.95,22.95,22.92,22.935,960,0
20170110,22.925,22.925,22.908,22.925,1967,0
20170111,22.945,23.045,22.945,23.045,1359,0
20170112,23.043,23.108,23.043,23.103,2869,0
20170113,23.103,23.103,23.103,23.103,0,0
20170117,23.09,23.09,23.09,23.09,217,0
20170118,23.139,23.148,23.026,23.026,3778,0
20170119,23.025,23.188,22.762,22.762,2277,0
20170120,22.725,22.841,22.725,22.841,2027,0
20170123,22.756,22.756,22.756,22.756,161,0
20170124,22.756,22.756,22.756,22.756,0,0
20170125,22.861,22.861,22.861,22.861,221,0
20170126,22.745,22.804,22.735,22.764,2240,0
20170127,22.852,22.853,22.852,22.853,208,0
20170130,23.076,23.076,22.919,23.002,670,0
20170131,22.92,22.92,22.92,22.92,1117,0
20170201,23.004,23.004,22.988,22.988,237,0
20170202,23.046,23.046,22.966,23.002,1475,0
20170203,23.046,23.178,23.018,23.018,3854,0
20170206,23.13,23.13,22.998,23.046,3519,0
20170207,23.046,23.046,23.046,23.046,0,0
20170208,23.255,23.257,23.255,23.257,637,0
20170209,23.278,23.289,23.152,23.289,8376,0
20170210,23.251,23.26,23.251,23.257,1240,0
20170213,23.202,23.202,23.202,23.202,3643,0
20170214,23.215,23.215,23.215,23.215,1035,0
20170215,23.26,23.289,23.26,23.289,1845,0
20170216,23.328,23.328,23.328,23.328,299,0
20170217,23.375,23.375,23.319,23.319,392,0
20170221,23.958,23.958,23.182,23.26,2591,0
20170222,23.182,23.192,23.182,23.192,1132,0
20170223,23.886,23.886,23.203,23.282,7970,0
20170224,23.283,23.35,23.281,23.341,11384,0
20170227,23.377,23.377,23.377,23.377,102,0
