Date,Open,High,Low,Close,Volume,OpenInt
20120627,19.455,20.3,19.099,20.09,7562958,0
20120628,19.877,20.672,19.717,20.47,944927,0
20120629,20.47,20.826,20.022,20.36,224136,0
20120702,20.225,20.757,20.046,20.554,236093,0
20120703,20.41,21.044,20.3,20.36,116421,0
20120705,20.3,20.495,20.09,20.437,151983,0
20120706,20.554,20.595,20.235,20.3,419046,0
20120709,20.3,20.875,20.216,20.595,213721,0
20120710,20.604,20.857,20.562,20.595,161121,0
20120711,20.512,20.724,20.3,20.595,96687,0
20120712,20.512,20.741,20.495,20.741,174648,0
20120713,20.681,21.062,20.681,20.782,113201,0
20120716,20.847,20.847,20.562,20.715,57102,0
20120717,20.715,21.495,20.578,21.409,182308,0
20120718,21.358,21.561,21.265,21.44,48723,0
20120719,21.527,21.687,21.401,21.646,55662,0
20120720,21.485,21.696,21.435,21.696,22652,0
20120723,21.654,22.416,21.63,22.212,430670,0
20120724,22.331,22.908,22.331,22.527,147490,0
20120725,22.628,22.628,22.331,22.425,1235332,0
20120726,22.745,22.754,22.22,22.5,134383,0
20120727,22.668,22.668,21.975,22.188,666058,0
20120730,22.593,22.593,22.195,22.442,106225,0
20120731,22.593,22.593,22.237,22.331,62391,0
20120801,22.331,22.466,22.331,22.466,48032,0
20120802,22.246,22.449,22.171,22.331,107505,0
20120803,22.593,22.628,22.323,22.593,77508,0
20120806,22.628,22.736,22.171,22.583,76286,0
20120807,22.583,22.651,22.372,22.388,36335,0
20120808,22.272,22.331,22.144,22.246,83252,0
20120809,22.18,22.372,22.18,22.304,85264,0
20120810,22.263,22.349,22.088,22.195,67247,0
20120813,22.109,22.358,22.088,22.204,123946,0
20120814,22.331,22.612,22.118,22.482,137029,0
20120815,22.542,22.728,22.449,22.542,137667,0
20120816,22.517,23.075,22.372,22.583,197707,0
20120817,22.358,23.091,22.304,23.083,175873,0
20120820,23.118,23.135,22.583,22.923,73845,0
20120821,23.007,23.05,22.565,22.78,39759,0
20120822,22.693,22.813,22.51,22.71,36962,0
20120823,22.66,22.956,22.593,22.685,18683,0
20120824,22.685,22.804,22.542,22.703,38376,0
20120827,22.772,22.804,22.678,22.745,222289,0
20120828,22.66,22.908,22.542,22.668,55645,0
20120829,22.668,22.794,22.668,22.754,24367,0
20120830,22.66,22.762,22.66,22.685,60080,0
20120831,22.804,23.235,22.678,23.227,33739,0
20120904,23.564,24.335,23.396,23.657,279171,0
