Date,Open,High,Low,Close,Volume,OpenInt
20150921,38.424,38.715,38.424,38.715,1247,0
20150922,37.587,37.647,37.587,37.647,624,0
20150923,37.424,37.424,37.271,37.271,311,0
20150924,37.271,37.271,37.271,37.271,67,0
20150928,36.992,36.992,36.992,36.992,1052,0
20150929,36.663,36.663,36.663,36.663,207,0
20151001,37.751,37.751,37.405,37.405,311,0
20151007,37.405,37.405,37.405,37.405,104,0
20151008,37.405,37.405,37.405,37.405,104,0
20151009,39.984,40.014,39.984,40.014,311,0
20151013,39.224,39.224,39.224,39.224,104,0
20151016,39.965,39.965,39.965,39.965,207,0
20151019,39.822,39.822,39.822,39.822,311,0
20151020,39.763,39.763,39.753,39.763,3367,0
20151026,39.802,39.802,39.802,39.802,207,0
20151027,39.437,39.437,39.417,39.417,832,0
20151102,39.743,39.743,39.743,39.743,228,0
20151104,39.86,39.86,39.822,39.822,779,0
20151109,38.164,38.164,38.164,38.164,520,0
20151117,38.164,38.164,38.164,38.164,104,0
20151118,38.368,38.368,38.368,38.368,104,0
20151119,38.945,38.945,38.945,38.945,104,0
20151201,41.399,42.632,34.103,39.282,24812,0
20151207,38.628,38.628,38.628,38.628,728,0
20151211,37.8,37.8,37.8,37.8,104,0
20151215,38.021,38.021,37.637,37.674,1350,0
20151216,37.722,37.722,37.722,37.722,207,0
20151218,37.299,37.299,37.299,37.299,728,0
20151228,37.931,37.931,37.931,37.931,269,0
20151230,38.306,38.309,38.28,38.28,3415,0
20160106,36.503,36.618,36.503,36.553,1717,0
20160107,36.087,36.087,36.087,36.087,542,0
20160115,34.744,34.744,34.328,34.328,231,0
20160119,34.329,34.329,34.329,34.329,104,0
20160120,33.566,33.59,33.566,33.59,310,0
20160121,34.145,34.165,34.059,34.106,117486,0
20160125,34.822,34.861,34.822,34.861,206,0
20160126,35.353,35.42,35.353,35.42,206,0
20160127,35.362,36.29,35.344,35.42,15868,0
20160128,35.604,35.604,34.706,35.194,121763,0
20160129,35.44,35.527,35.44,35.517,622,0
20160201,35.353,35.653,35.275,35.498,12761,0
20160202,35.496,35.496,35.162,35.266,5054,0
20160203,35.266,35.932,35.266,35.932,4615,0
20160204,35.653,35.653,35.604,35.649,877,0
20160205,35.585,35.585,35.062,35.062,524,0
20160208,33.798,33.798,33.798,33.798,395,0
20160209,33.808,34.339,33.808,34.17,4030,0
20160210,34.556,34.561,34.244,34.244,339,0
20160211,33.943,34.049,33.373,33.508,1427,0
20160212,33.897,33.897,33.897,33.897,311,0
20160216,34.789,34.789,34.789,34.789,104,0
20160218,35.449,35.45,35.418,35.43,2277,0
20160225,35.131,35.131,34.996,34.996,337,0
20160229,35.064,35.064,35.055,35.055,3335,0
20160304,36.583,36.583,36.583,36.583,150,0
20160307,36.646,36.646,36.261,36.261,206,0
20160310,36.077,36.077,36.077,36.077,280,0
20160311,36.886,36.886,36.885,36.885,310,0
