Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.102,13.283,13.082,13.283,243905,0
20050228,13.303,13.367,13.273,13.326,268088,0
20050301,13.326,13.437,13.322,13.425,245205,0
20050302,13.431,13.564,13.411,13.507,297622,0
20050303,13.503,13.521,13.416,13.503,291462,0
20050304,13.534,13.619,13.489,13.546,270851,0
20050307,13.586,13.649,13.462,13.489,341441,0
20050308,13.481,13.496,13.367,13.405,316284,0
20050309,13.322,13.354,13.139,13.162,384610,0
20050310,13.162,13.162,12.996,13.042,407650,0
20050311,12.902,13.009,12.854,12.916,361238,0
20050314,12.947,12.978,12.902,12.952,288048,0
20050315,12.922,12.996,12.854,12.879,357018,0
20050316,12.86,12.874,12.552,12.636,353121,0
20050317,12.662,12.755,12.609,12.755,411701,0
20050318,12.739,12.798,12.727,12.778,250075,0
20050321,12.784,12.805,12.63,12.648,256246,0
20050322,12.579,12.62,12.23,12.325,369028,0
20050323,12.262,12.269,11.978,12.146,585995,0
20050324,12.191,12.415,12.191,12.306,360433,0
20050328,12.301,12.38,12.072,12.191,427119,0
20050329,12.23,12.269,12.131,12.206,244235,0
20050330,12.243,12.415,12.237,12.372,277017,0
20050331,12.455,12.495,12.399,12.415,197009,0
20050401,12.519,12.798,12.405,12.546,364484,0
20050404,12.519,12.72,12.468,12.72,172833,0
20050405,12.683,12.72,12.579,12.62,217456,0
20050406,12.636,12.662,12.593,12.648,156759,0
20050407,12.609,12.694,12.585,12.668,180134,0
20050408,12.668,12.668,12.515,12.515,213725,0
20050411,12.487,12.515,12.312,12.36,299563,0
20050412,12.372,12.461,12.289,12.443,266953,0
20050413,12.443,12.515,12.337,12.341,344847,0
20050414,12.347,12.423,12.289,12.325,244558,0
20050415,12.237,12.385,12.237,12.297,255108,0
20050418,12.255,12.41,12.243,12.41,222812,0
20050419,12.473,12.483,12.347,12.399,311419,0
20050420,12.319,12.366,12.185,12.237,263220,0
20050421,12.301,12.392,12.165,12.312,254298,0
20050422,12.289,12.385,12.25,12.337,235472,0
20050425,12.337,12.478,12.306,12.385,346957,0
20050426,12.43,12.43,12.301,12.319,345818,0
20050427,12.306,12.385,12.274,12.38,191657,0
20050428,12.366,12.372,12.301,12.331,267599,0
20050429,12.455,12.455,12.36,12.41,253158,0
20050502,12.41,12.552,12.405,12.509,378605,0
20050503,12.495,12.532,12.443,12.519,229951,0
20050504,12.559,12.625,12.487,12.598,266463,0
20050505,12.585,12.636,12.559,12.609,230276,0
20050506,12.614,12.708,12.614,12.641,246676,0
20050509,12.625,12.676,12.559,12.654,194582,0
20050510,12.625,12.641,12.539,12.593,197659,0
20050511,12.526,12.585,12.443,12.585,241639,0
20050512,12.585,12.609,12.461,12.502,310609,0
20050513,12.468,12.559,12.43,12.487,225247,0
20050516,12.461,12.593,12.443,12.585,209659,0
20050517,12.546,12.701,12.532,12.701,259810,0
20050518,12.694,12.922,12.694,12.818,367566,0
20050519,12.867,12.867,12.708,12.784,309794,0
20050520,12.755,12.818,12.687,12.778,244558,0
20050523,12.79,12.922,12.744,12.832,229466,0
20050524,12.832,12.832,12.614,12.63,262733,0
20050525,12.648,12.716,12.598,12.625,412843,0
20050526,12.668,12.76,12.641,12.732,251370,0
20050527,12.774,12.879,12.748,12.879,193118,0
20050531,12.978,13.002,12.867,12.952,216000,0
20050601,12.934,13.088,12.895,12.967,446598,0
20050602,12.922,12.971,12.832,12.934,247320,0
20050603,12.961,12.961,12.843,12.89,203990,0
20050606,12.89,12.916,12.847,12.874,154163,0
20050607,12.886,12.947,12.86,12.909,271172,0
20050608,12.909,13.064,12.909,12.971,262895,0
20050609,12.952,12.983,12.895,12.952,255432,0
20050610,12.928,12.967,12.867,12.947,257863,0
20050613,12.886,13.002,12.867,12.971,276367,0
20050614,12.909,12.978,12.89,12.967,365625,0
20050615,12.947,13.016,12.902,12.952,325540,0
20050616,12.934,12.961,12.832,12.952,272797,0
20050617,12.934,12.996,12.934,12.971,211130,0
20050620,12.934,12.971,12.89,12.971,261597,0
20050621,12.854,12.94,12.784,12.784,367398,0
20050622,12.79,12.805,12.732,12.767,297298,0
20050623,12.727,12.767,12.72,12.76,288375,0
20050624,12.755,12.755,12.539,12.614,446598,0
20050627,12.625,12.625,12.423,12.461,485386,0
20050628,12.502,12.767,12.502,12.767,393855,0
20050629,12.805,12.874,12.767,12.854,217946,0
20050630,12.94,12.978,12.909,12.922,221998,0
20050701,12.922,13.102,12.86,12.983,265810,0
20050705,12.952,13.114,12.94,13.102,244558,0
20050706,13.102,13.144,13.075,13.094,262414,0
20050707,13.064,13.121,12.983,13.114,266953,0
20050708,13.114,13.231,13.027,13.192,229790,0
20050711,13.192,13.258,13.162,13.238,261434,0
20050712,13.258,13.316,13.212,13.273,198146,0
20050713,13.296,13.296,13.192,13.28,225731,0
20050714,13.283,13.425,13.264,13.367,283502,0
20050715,13.387,13.496,13.347,13.489,285945,0
20050718,13.47,13.496,13.387,13.476,234659,0
20050719,13.451,13.496,13.437,13.47,260624,0
20050720,13.397,13.431,13.238,13.391,255754,0
20050721,13.405,13.437,13.347,13.405,273605,0
20050722,13.431,13.481,13.367,13.431,233034,0
20050725,13.387,13.496,13.367,13.462,250888,0
20050726,13.489,13.489,13.38,13.462,339170,0
20050727,13.489,13.539,13.451,13.521,283995,0
20050728,13.527,13.586,13.476,13.586,244069,0
20050729,13.656,13.7,13.568,13.687,240502,0
20050801,13.681,13.811,13.623,13.754,321965,0
20050802,13.791,13.791,13.568,13.612,326995,0
20050803,13.553,13.605,13.411,13.489,323100,0
20050804,13.458,13.481,13.347,13.38,250888,0
20050805,13.354,13.391,13.154,13.225,243746,0
20050808,13.225,13.289,13.15,13.225,229951,0
20050809,13.245,13.397,13.198,13.397,234174,0
20050810,13.367,13.47,13.326,13.326,228822,0
20050811,13.391,13.444,13.333,13.405,202204,0
20050812,13.397,13.437,13.264,13.367,176401,0
20050815,13.411,13.564,13.347,13.564,273116,0
20050816,13.586,13.637,13.534,13.534,270360,0
20050817,13.527,13.553,13.451,13.514,212911,0
20050818,13.521,13.564,13.411,13.496,261919,0
20050819,13.507,13.63,13.476,13.63,279611,0
20050822,13.339,13.503,13.339,13.421,286430,0
20050823,13.431,13.431,13.238,13.245,292757,0
20050824,13.225,13.264,13.133,13.179,303621,0
20050825,13.128,13.192,13.075,13.114,297783,0
20050826,13.114,13.139,13.032,13.094,244069,0
20050829,13.088,13.114,12.971,13.094,196523,0
20050830,13.114,13.162,13.042,13.162,209659,0
20050831,13.225,13.309,13.174,13.309,224593,0
20050901,13.322,13.623,13.316,13.444,335115,0
20050902,13.47,13.539,13.444,13.503,177693,0
20050906,13.503,13.573,13.503,13.527,172502,0
20050907,13.546,13.623,13.514,13.578,235308,0
20050908,13.612,13.619,13.503,13.573,252351,0
20050909,13.553,13.649,13.546,13.605,239198,0
20050912,13.619,13.674,13.619,13.656,194092,0
20050913,13.573,13.619,13.507,13.539,265978,0
20050914,13.507,13.568,13.47,13.521,250075,0
20050915,13.527,13.534,13.326,13.425,324563,0
