Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.064,11.466,11.064,11.265,139191,0
20050228,11.265,11.265,11.025,11.182,127386,0
20050301,11.347,11.425,11.153,11.265,123035,0
20050302,11.387,11.457,11.182,11.295,75435,0
20050303,11.347,11.38,11.182,11.182,64253,0
20050304,11.347,11.38,11.234,11.33,129995,0
20050307,11.33,11.371,11.2,11.305,166779,0
20050308,11.387,11.508,11.28,11.347,45111,0
20050309,11.305,11.416,11.025,11.305,113340,0
20050310,11.347,11.387,11.072,11.249,51326,0
20050311,11.105,11.216,10.863,11.064,87618,0
20050314,11.112,11.112,10.903,11.025,30572,0
20050315,11.064,11.2,10.807,10.868,38526,0
20050316,10.868,10.868,10.638,10.766,61764,0
20050317,10.824,10.895,10.661,10.863,67613,0
20050318,10.945,11.057,10.703,10.952,334058,0
20050321,10.983,11.025,10.766,10.815,170258,0
20050322,10.781,10.895,10.654,10.686,75314,0
20050323,10.661,10.661,10.324,10.508,229044,0
20050324,10.46,10.54,10.373,10.436,67111,0
20050328,10.46,10.493,10.155,10.276,41135,0
20050329,10.195,10.299,10.098,10.299,109987,0
20050330,10.381,10.773,10.373,10.749,92710,0
20050331,10.703,10.863,10.387,10.863,197353,0
20050401,10.91,10.974,10.387,10.452,131735,0
20050404,10.5,10.54,10.34,10.452,74814,0
20050405,10.452,10.654,10.444,10.589,37035,0
20050406,10.589,10.839,10.54,10.613,58040,0
20050407,10.58,10.91,10.557,10.703,376560,0
20050408,10.703,10.781,10.261,10.508,63879,0
20050411,10.54,10.622,10.381,10.468,34301,0
20050412,10.477,10.613,10.307,10.54,60520,0
20050413,10.58,10.742,10.477,10.711,633443,0
20050414,10.711,10.749,10.557,10.686,224443,0
20050415,10.686,10.766,10.526,10.526,44240,0
20050418,10.5,10.622,10.46,10.564,65867,0
20050419,10.58,10.967,10.46,10.58,87991,0
20050420,10.564,10.67,10.5,10.557,221960,0
20050421,10.622,10.661,10.46,10.54,55676,0
20050422,10.508,10.517,10.261,10.316,150251,0
20050425,10.316,10.606,10.299,10.598,147147,0
