Date,Open,High,Low,Close,Volume,OpenInt
20151105,14.91,15.22,13.69,13.91,1404400,0
20151106,13.91,14.81,13.9,14.71,1047600,0
20151109,14.86,16.89,14.6,16.56,1069819,0
20151110,16.45,17.82,16.38,16.88,889800,0
20151111,16.81,18.73,16.8,18.14,648700,0
20151112,17.78,18.27,17.65,18.21,255500,0
20151113,17.82,18.9,16.58,17.16,446000,0
20151116,17.1,17.53,16.97,17.4,204000,0
20151117,17.31,17.65,16.42,16.57,268500,0
20151118,16.76,16.85,15.84,16.67,301000,0
20151119,16.35,16.99,15.06,16.27,264900,0
20151120,16.48,16.68,15.52,16.25,492800,0
20151123,16.15,16.55,15.96,16.31,154000,0
20151124,16.29,16.57,15.99,16.32,187800,0
20151125,16.35,16.42,15.84,16.01,222500,0
20151127,15.75,16.32,15.75,16.04,95000,0
20151130,16.42,16.63,15.99,16.37,341600,0
20151201,16.48,16.89,16.1,16.44,258148,0
20151202,16.66,16.96,15.77,15.92,163563,0
20151203,16.1,16.52,15.96,16.39,93529,0
20151204,16.16,16.59,16.13,16.51,110900,0
20151207,16.35,16.77,15.18,15.29,155200,0
20151208,15.51,15.72,15,15.12,131560,0
20151209,15.47,15.86,14.99,15.25,131400,0
20151210,15.17,15.41,14.75,15.18,140000,0
20151211,14.56,14.94,13.86,13.93,228300,0
20151214,13.98,14.76,13.29,13.48,297738,0
20151215,13.6,14.17,13.6,13.82,312500,0
20151216,13.9,14.82,13.76,14.53,170300,0
20151217,14.52,14.52,13.66,13.97,383600,0
20151218,13.95,14.49,13.42,14.13,856400,0
20151221,14.24,14.8,13.92,14.55,279500,0
20151222,14.5,15.57,14.35,15.54,147921,0
20151223,15.7,16.1,15.49,16.04,117200,0
20151224,15.96,16,15.56,15.79,34112,0
20151228,15.77,16.06,15.35,15.64,319755,0
20151229,15.76,16.08,15.66,15.99,572971,0
20151230,16.05,16.2499,15.83,16.02,199718,0
20151231,15.98,16.145,15.58,16.05,192882,0
20160104,15.94,16.48,15.14,16.41,222351,0
20160105,16.46,16.465,15.7,16.37,283759,0
20160106,16.16,16.39,15.85,16.22,335139,0
20160107,15.97,16.99,15.9,16.33,260556,0
20160108,16.51,16.77,16.13,16.37,589159,0
20160111,16.54,16.79,15.22,15.25,168122,0
20160112,15.5,15.87,14.42,14.75,337019,0
20160113,14.88,15.115,14,14.07,271547,0
20160114,14.14,15.54,13.9,15.1,312606,0
20160115,14.66,15.01,14.08,14.16,318101,0
20160119,14.27,14.27,13.1,13.86,226300,0
20160120,13.6,13.7499,12.61,13.5,250805,0
20160121,13.38,14.29,13.36,14.17,200297,0
20160122,14.47,16.1,14.46,15.16,332755,0
20160125,14.97,15.54,14.63,14.8,270460,0
20160126,14.94,15.19,14.71,15.13,200924,0
20160127,14.94,15.6975,14.93,15.05,188128,0
20160128,15.44,15.87,14.94,15.14,99644,0
20160129,15.08,16.59,15.08,16.52,261297,0
20160201,16.15,16.45,15.38,15.49,176439,0
20160202,15.07,15.27,14.43,14.53,164639,0
20160203,14.92,15.18,14.13,14.49,341283,0
20160204,14.57,15.25,14.49,14.88,174730,0
20160205,14.66,15.44,14.66,14.78,155674,0
20160208,14.52,15.2,14.4,14.91,129398,0
20160209,14.56,14.77,13.02,13.96,185219,0
20160210,13.83,14.0775,13.71,13.87,88474,0
20160211,13.73,13.73,13.19,13.37,131064,0
20160212,13.38,13.88,13.38,13.59,96495,0
20160216,13.82,14.1,13.21,14.03,149364,0
20160217,14.22,14.85,14.19,14.68,115819,0
20160218,14.8,14.8,14.19,14.58,73249,0
20160219,14.39,14.63,14.14,14.47,102016,0
20160222,14.72,15.655,14.01,14.98,307949,0
20160223,14.85,15.47,14.23,14.45,370790,0
20160224,14.1,14.7,13.62,14.48,178334,0
20160225,14.37,14.37,12.07,13,509130,0
20160226,12.9,13.52,12.871,13.21,157757,0
20160229,13.27,13.8,12.7,13.64,411492,0
20160301,13.83,14.82,13.62,14.26,599164,0
20160302,14.2,14.96,14.11,14.94,284017,0
20160303,14.87,16.14,14.7,15.6,512751,0
20160304,15.65,16.45,14.85,15.46,379059,0
20160307,15.52,15.72,14.51,15.5,813851,0
20160308,15.34,15.64,15.07,15.25,278291,0
20160309,15.33,16.47,15,16,273475,0
20160310,15.97,16.34,15.32,16.01,299220,0
