Date,Open,High,Low,Close,Volume,OpenInt
20050225,354,356.02,352.5,355.5,22106,0
20050228,353.62,356.25,351.3,352.95,28133,0
20050301,354.38,372.38,353.48,370.73,54373,0
20050302,370.12,372.52,366.9,368.02,29093,0
20050303,369.38,370.43,365.48,366.82,20466,0
20050304,366.9,372.82,364.57,370.8,21013,0
20050307,371.25,372,364.2,365.93,19786,0
20050308,366.75,367.88,361.65,363.9,17106,0
20050309,360.75,364.5,357.9,359.77,23773,0
20050310,358.88,360.45,352.5,356.02,22626,0
20050311,356.25,359.32,354.6,356.32,13840,0
20050314,355.5,359.7,354.45,358.8,16346,0
20050315,359.62,361.43,354.45,355.43,12506,0
20050316,354,355.05,334.12,338.48,99866,0
20050317,339.38,343.5,334.65,341.32,38480,0
20050318,342.3,345.52,337.57,341.62,67880,0
20050321,341.62,342.98,332.93,335.93,20866,0
20050322,334.88,338.48,331.5,331.88,30760,0
20050323,329.32,330.38,315.52,324.75,38573,0
20050324,325.5,327.75,321.3,321.38,19493,0
20050328,320.62,325.95,319.95,323.55,21413,0
20050329,323.85,324.15,309.23,311.7,48720,0
20050330,313.57,319.5,313.5,318.15,20146,0
20050331,318.68,319.8,311.62,316.88,43280,0
20050401,318.75,321.3,315.15,319.65,42013,0
20050404,318.38,318.38,309.52,314.32,41600,0
20050405,314.85,317.77,308.93,311.7,19546,0
20050406,313.12,315.75,310.2,310.2,22693,0
20050407,311.02,311.4,306.68,309.15,18253,0
20050408,311.02,311.4,300.15,301.88,34053,0
20050411,302.25,302.25,299.62,299.62,24760,0
20050412,297.75,302.4,294.38,302.25,37293,0
20050413,302.32,302.32,292.5,293.25,14186,0
20050414,294.38,294.45,288.98,288.98,27026,0
20050415,289.35,292.12,279.75,279.75,27853,0
20050418,269.25,293.32,269.25,288.07,55960,0
20050419,289.57,295.88,287.48,289.57,57493,0
20050420,289.5,289.5,274.05,278.93,33133,0
20050421,280.8,285.68,276.15,283.27,36693,0
20050422,283.05,283.12,276.75,279.38,32506,0
20050425,280.12,285,280.12,283.88,19573,0
20050426,282.75,285.98,279.23,282,67120,0
20050427,282,288,281.25,286.5,59306,0
20050428,286.57,286.57,243.97,259.65,166040,0
20050429,266.25,274.65,262.5,271.95,76480,0
20050502,273,290.25,273,290.25,79040,0
20050503,290.25,294.38,288.52,291.07,74960,0
20050504,292.5,313.12,292.5,310.65,83920,0
20050505,310.65,312.75,298.5,302.77,56786,0
20050506,302.77,305.18,294.82,305.1,49653,0
20050509,303.75,303.75,296.25,301.88,33866,0
20050510,303.75,304.27,299.62,299.62,33586,0
20050511,300,301.8,297.38,300.23,27413,0
20050512,299.62,302.55,295.43,296.55,40866,0
20050513,295.5,297.07,291.98,294.38,27306,0
20050516,294,307.88,294,307.88,34960,0
20050517,306.75,307.27,298.57,304.8,26586,0
20050518,305.25,313.43,305.25,309.23,44186,0
20050519,308.32,311.32,304.88,306.07,20266,0
20050520,306.07,306.07,299.18,303.38,32133,0
20050523,303,306.75,300.3,303.45,42906,0
20050524,303.45,308.62,300.23,306.75,35866,0
20050525,307.73,307.88,293.25,293.4,95946,0
20050526,295.27,295.27,285.07,286.65,121960,0
20050527,285,285,267.75,278.85,149933,0
