Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.931,21.077,20.931,21.077,9799,0
20050228,21.009,21.047,20.718,20.931,29011,0
20050301,20.968,21.423,20.968,21.374,26261,0
20050302,21.314,21.374,20.901,20.901,11497,0
20050303,20.968,21.329,20.968,21.237,18162,0
20050304,21.237,21.351,21.097,21.106,23653,0
20050307,21.161,21.284,21.077,21.13,10063,0
20050308,21.047,21.047,20.562,20.625,26785,0
20050309,20.664,20.787,20.511,20.586,21427,0
20050310,20.586,20.808,20.586,20.642,27835,0
20050311,20.625,20.74,20.625,20.685,17511,0
20050314,20.625,21.237,20.625,21.221,23913,0
20050315,21.277,21.675,21.138,21.237,59194,0
20050316,21.237,21.323,21.047,21.237,40113,0
20050317,21.237,21.666,21.237,21.529,25481,0
20050318,21.581,21.581,21.237,21.521,89116,0
20050321,21.529,21.596,21.468,21.596,37368,0
20050322,21.59,21.711,21.544,21.559,31489,0
20050323,21.551,21.551,21.161,21.192,42075,0
20050324,21.214,21.544,21.214,21.359,25741,0
20050328,21.43,21.62,21.43,21.568,29530,0
20050329,21.568,21.62,21.468,21.613,44164,0
20050330,21.62,21.75,21.559,21.711,33189,0
20050331,21.581,21.581,21.161,21.43,35148,0
20050401,21.43,21.437,20.473,20.473,35409,0
20050404,20.433,21.199,20.412,21.083,29011,0
20050405,21.237,21.43,21.237,21.43,31882,0
20050406,21.43,21.811,21.43,21.657,37503,0
20050407,21.581,21.581,21.177,21.185,31622,0
20050408,21.122,21.398,21.047,21.047,23653,0
20050411,21.047,21.055,20.6,20.6,28091,0
20050412,20.6,21.351,20.433,21.351,25481,0
20050413,21.351,21.351,20.923,20.931,19730,0
20050414,20.893,21.161,20.893,20.939,19861,0
20050415,20.901,21.032,20.043,20.065,27313,0
20050418,20.09,20.282,19.745,20.243,17376,0
20050419,20.273,20.487,20.273,20.473,19468,0
20050420,20.473,20.562,19.936,20.205,39072,0
20050421,20.282,20.679,20.138,20.679,21823,0
20050422,20.679,20.679,20.006,20.145,49652,0
20050425,20.205,20.74,20.205,20.723,34755,0
20050426,20.731,20.855,20.138,20.18,30839,0
20050427,20.145,20.657,19.943,20.548,22084,0
20050428,20.548,20.548,20.187,20.205,19730,0
20050429,20.164,20.243,19.798,20.049,33319,0
20050502,20.129,20.365,19.981,20.356,20517,0
20050503,20.356,20.473,20.138,20.145,18162,0
20050504,20.145,20.838,20.145,20.723,20907,0
20050505,20.74,20.855,20.511,20.693,35021,0
20050506,20.78,20.78,20.164,20.473,17376,0
20050509,20.473,20.968,20.473,20.968,20772,0
20050510,21.047,21.047,19.683,19.821,46388,0
20050511,19.975,20.205,19.629,20.196,25217,0
20050512,20.282,20.562,19.959,19.959,10584,0
20050513,19.899,19.913,19.248,19.248,19601,0
20050516,19.324,20.433,19.324,20.433,22606,0
20050517,20.454,20.556,20.164,20.487,18294,0
