Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.578,9.618,9.57,9.578,37380,0
20050228,9.618,9.618,9.554,9.563,56900,0
20050301,9.554,9.605,9.554,9.578,47621,0
20050302,9.57,9.612,9.554,9.563,47903,0
20050303,9.563,9.649,9.563,9.618,33505,0
20050304,9.599,9.672,9.599,9.642,15921,0
20050307,9.657,9.71,9.657,9.703,31842,0
20050308,9.688,9.751,9.68,9.751,33916,0
20050309,9.695,9.718,9.68,9.718,22292,0
20050310,9.718,9.718,9.68,9.695,25055,0
20050311,9.68,9.71,9.591,9.591,16617,0
20050314,9.547,9.563,9.515,9.515,9138,0
20050315,9.524,9.539,9.503,9.519,24091,0
20050316,9.515,9.554,9.503,9.503,23952,0
20050317,9.503,9.532,9.503,9.503,38900,0
20050318,9.51,9.547,9.4313,9.4624,21178,0
20050321,9.4083,9.554,9.4083,9.4484,44573,0
20050322,9.4234,9.532,9.4234,9.515,15782,0
20050323,9.519,9.519,9.3755,9.3866,30596,0
20050324,9.3318,9.3866,9.2302,9.2696,32119,0
20050328,9.2696,9.3625,9.2696,9.346,15782,0
20050329,9.346,9.4624,9.326,9.3685,28664,0
20050330,9.3755,9.4856,9.3318,9.4856,9978,0
20050331,9.4856,9.515,9.4574,9.4624,21178,0
20050401,9.4856,9.57,9.4856,9.547,4022,0
20050404,9.563,9.57,9.4624,9.57,26169,0
20050405,9.563,9.563,9.3685,9.4083,17725,0
20050406,9.4155,9.4234,9.3685,9.4234,13295,0
20050407,9.4403,9.4403,9.3866,9.3866,6371,0
20050408,9.3934,9.4574,9.3866,9.4574,4704,0
20050411,9.4313,9.4313,9.4023,9.4023,4022,0
20050412,9.3934,9.4703,9.3934,9.4703,8026,0
20050413,9.4703,9.519,9.4703,9.4786,4977,0
20050414,9.4786,9.532,9.4786,9.532,7335,0
20050415,9.524,9.563,9.524,9.554,23812,0
20050418,9.599,9.599,9.547,9.584,4152,0
20050419,9.539,9.618,9.503,9.532,17725,0
20050420,9.554,9.554,9.547,9.554,5953,0
20050421,9.554,9.563,9.515,9.563,15782,0
20050422,9.515,9.515,9.4155,9.4155,19103,0
20050425,9.4313,9.4313,9.4155,9.4234,4431,0
20050426,9.4403,9.4786,9.3866,9.4624,39593,0
20050427,9.4155,9.4624,9.4023,9.4484,31568,0
20050428,9.4786,9.4856,9.4786,9.4856,1660,0
20050429,9.4936,9.532,9.4786,9.4786,26722,0
20050502,9.515,9.532,9.4703,9.519,10386,0
20050503,9.524,9.578,9.4624,9.4856,13574,0
20050504,9.547,9.57,9.4856,9.554,72405,0
20050505,9.547,9.57,9.515,9.532,26997,0
20050506,9.532,9.532,9.51,9.532,15369,0
20050509,9.532,9.563,9.519,9.563,15921,0
20050510,9.524,9.554,9.51,9.554,20908,0
20050511,9.563,9.578,9.563,9.578,3738,0
20050512,9.57,9.57,9.51,9.539,28105,0
20050513,9.519,9.57,9.519,9.57,14403,0
20050516,9.57,9.591,9.57,9.591,7753,0
20050517,9.599,9.634,9.591,9.634,38349,0
20050518,9.634,9.634,9.618,9.634,15506,0
20050519,9.612,9.642,9.599,9.642,16064,0
20050520,9.642,9.642,9.591,9.591,13295,0
20050523,9.605,9.634,9.57,9.57,22292,0
20050524,9.612,9.642,9.599,9.642,39179,0
20050525,9.605,9.634,9.591,9.618,8998,0
20050526,9.618,9.657,9.618,9.649,42498,0
20050527,9.642,9.665,9.642,9.665,2768,0
20050531,9.665,9.68,9.634,9.634,14259,0
20050601,9.68,9.739,9.649,9.68,16617,0
20050602,9.703,9.725,9.657,9.725,13849,0
20050603,9.725,9.739,9.695,9.695,28516,0
20050606,9.71,9.785,9.71,9.763,32262,0
20050607,9.77,9.793,9.744,9.763,11904,0
20050608,9.695,9.817,9.695,9.809,30044,0
20050609,9.809,9.933,9.809,9.817,21319,0
20050610,9.793,9.809,9.754,9.809,22012,0
20050613,9.809,9.83,9.809,9.83,26997,0
20050614,9.83,9.83,9.785,9.785,14538,0
20050615,9.778,9.83,9.778,9.83,7204,0
20050616,9.854,9.854,9.801,9.854,11770,0
20050617,9.861,9.903,9.861,9.882,7615,0
20050620,9.888,10.001,9.868,9.958,36134,0
20050621,9.918,9.951,9.896,9.939,13150,0
20050622,9.945,10.087,9.939,9.958,24923,0
20050623,9.985,10.217,9.966,9.978,34337,0
20050624,10.009,10.032,9.966,10.009,29346,0
20050627,9.993,10.04,9.933,9.958,32670,0
20050628,9.966,10.04,9.958,9.958,8445,0
20050629,9.971,10.009,9.933,9.933,20908,0
20050630,9.933,9.933,9.868,9.882,27965,0
20050701,9.896,9.933,9.861,9.882,25333,0
20050705,9.903,9.939,9.876,9.896,16893,0
20050706,9.896,9.945,9.896,9.896,26443,0
20050707,9.918,9.966,9.876,9.939,28105,0
20050708,9.966,9.978,9.911,9.918,36828,0
20050711,9.945,10.001,9.822,9.882,57598,0
20050712,9.888,10.018,9.888,9.978,25055,0
20050713,9.971,10.018,9.958,9.985,14948,0
20050714,9.985,10.116,9.985,10.109,19245,0
20050715,10.103,10.103,9.966,10.087,20355,0
20050718,10.095,10.195,9.985,9.993,34062,0
20050719,9.993,10.078,9.971,10.04,24643,0
20050720,9.993,10.026,9.911,10.009,21178,0
20050721,10.087,10.203,9.951,10.095,75727,0
20050722,10.103,10.225,10.103,10.135,23121,0
20050725,10.143,10.156,10.103,10.156,28383,0
20050726,10.156,10.156,10.009,10.103,28935,0
20050727,10.095,10.122,10.04,10.087,26864,0
20050728,10.087,10.143,9.945,10.071,40704,0
20050729,10.078,10.078,10.001,10.001,10521,0
20050801,10.04,10.04,9.896,9.918,30737,0
20050802,9.926,9.993,9.888,9.966,22980,0
20050803,10.026,10.095,9.951,10.087,32539,0
20050804,10.087,10.087,9.939,9.966,27965,0
20050805,9.966,9.966,9.837,9.868,8305,0
20050808,9.868,9.933,9.868,9.933,16340,0
20050809,9.926,9.926,9.903,9.903,2910,0
20050810,9.903,9.958,9.903,9.958,16749,0
20050811,9.951,10.026,9.951,10.001,8724,0
20050812,10.001,10.056,9.971,10.056,10941,0
20050815,10.129,10.129,9.985,10.026,12325,0
20050816,10.001,10.001,9.978,9.978,59807,0
20050817,9.978,10.018,9.945,9.945,23400,0
20050818,9.951,9.966,9.933,9.966,26029,0
20050819,9.926,10.009,9.918,9.951,53024,0
20050822,9.958,10.032,9.945,9.985,16200,0
20050823,9.939,10.063,9.933,10.063,44999,0
20050824,10.026,10.143,10.026,10.143,21877,0
20050825,10.122,10.149,10.095,10.116,12737,0
20050826,10.149,10.161,10.116,10.161,14403,0
20050829,10.161,10.161,10.129,10.129,20211,0
20050830,10.129,10.129,10.04,10.04,46379,0
20050831,10.071,10.087,9.993,10.018,37380,0
20050901,9.993,10.032,9.966,9.978,19661,0
20050902,9.966,10.047,9.958,10.04,34751,0
20050906,9.993,10.04,9.993,10.04,16617,0
20050907,10.018,10.095,10.018,10.087,24643,0
20050908,10.056,10.122,10.056,10.095,17307,0
20050909,10.116,10.143,10.087,10.122,10104,0
20050912,10.122,10.122,10.103,10.122,4566,0
20050913,10.122,10.143,10.078,10.122,20355,0
20050914,10.116,10.161,10.103,10.161,52331,0
20050915,10.174,10.181,9.978,9.978,33640,0
20050916,10.047,10.087,10.009,10.026,15226,0
20050919,10.026,10.109,10.026,10.095,20211,0
20050920,10.095,10.103,10.001,10.103,17854,0
20050921,9.993,10.071,9.933,9.966,46243,0
20050922,9.958,9.958,9.933,9.945,8998,0
20050923,9.926,9.926,9.778,9.793,16749,0
20050926,9.785,9.868,9.744,9.868,20489,0
20050927,9.822,9.822,9.71,9.725,25894,0
20050928,9.822,9.822,9.68,9.763,13574,0
20050929,9.739,9.763,9.703,9.739,18000,0
20050930,9.739,9.744,9.695,9.744,23536,0
20051003,9.751,9.751,9.68,9.68,7480,0
20051004,9.744,9.817,9.657,9.71,22980,0
20051005,9.68,9.725,9.642,9.642,20489,0
20051006,9.612,9.68,9.563,9.57,27139,0
20051007,9.547,9.57,9.503,9.539,11073,0
20051010,9.612,9.618,9.4856,9.4856,22431,0
20051011,9.4936,9.563,9.4936,9.563,22705,0
20051012,9.524,9.524,9.4403,9.4484,16749,0
20051013,9.4234,9.4313,9.3755,9.4313,26722,0
20051014,9.4484,9.4574,9.4023,9.4023,5403,0
20051017,9.3934,9.4083,9.2835,9.3172,10941,0
20051018,9.2381,9.2696,9.2157,9.2626,15093,0
20051019,9.1856,9.2302,9.1522,9.1779,23676,0
20051020,9.2539,9.2835,9.1779,9.2078,25200,0
20051021,9.2078,9.2626,9.1856,9.2448,29627,0
20051024,9.2696,9.305,9.2626,9.305,27688,0
20051025,9.305,9.305,9.2381,9.2773,24778,0
20051026,9.2773,9.2773,9.1646,9.1856,18826,0
20051027,9.2302,9.2448,8.9992,9.172,99958,0
20051028,9.1779,9.2302,9.1578,9.1932,23536,0
20051031,9.1856,9.3539,9.1856,9.2972,36967,0
20051101,9.3376,9.3539,9.3118,9.346,32393,0
20051102,9.326,9.3685,9.2835,9.3172,36134,0
20051103,9.326,9.3625,9.326,9.3625,3738,0
20051104,9.3172,9.3685,9.2835,9.2903,10248,0
20051107,9.2972,9.3172,9.2972,9.3172,2492,0
20051108,9.3172,9.4484,9.3172,9.4023,18000,0
20051109,9.3934,9.4023,9.2696,9.2835,24504,0
20051110,9.2773,9.2773,9.1932,9.2234,45547,0
20051111,9.2234,9.2234,9.1932,9.2157,22156,0
20051114,9.2078,9.2302,9.2078,9.2078,13020,0
20051115,9.172,9.2,9.1227,9.1227,32816,0
20051116,9.1522,9.1932,9.1295,9.1932,6097,0
20051117,9.1367,9.2078,9.1295,9.172,21734,0
20051118,9.172,9.2448,9.1578,9.1646,38214,0
20051121,9.1295,9.1779,9.1295,9.172,15506,0
20051122,9.2,9.2381,9.1227,9.1367,41398,0
20051123,9.1779,9.2,9.1444,9.2,13699,0
20051125,9.172,9.2302,9.172,9.1932,5953,0
20051128,9.1578,9.1779,9.0651,9.1779,45547,0
20051129,9.172,9.2078,9.1227,9.1578,42498,0
20051130,9.1578,9.1856,9.1295,9.1578,41535,0
20051201,9.1932,9.2302,9.1367,9.2302,29071,0
20051202,9.2,9.2,9.1295,9.172,41535,0
20051205,9.1856,9.1932,9.1522,9.1779,14403,0
20051206,9.1856,9.2448,9.1856,9.2448,21459,0
20051207,9.2539,9.326,9.2078,9.2696,38622,0
