Date,Open,High,Low,Close,Volume,OpenInt
20101213,26.086,26.294,25.61,25.99,498849,0
20101214,26.275,26.53,25.63,25.905,377563,0
20101215,25.963,26.275,25.789,26.036,255255,0
20101216,26.18,26.227,25.808,26.227,274069,0
20101217,26.131,26.615,26.086,26.615,132062,0
20101220,26.655,26.955,26.408,26.693,69448,0
20101221,26.722,27.545,26.566,27.421,221511,0
20101222,27.507,28.95,27.468,27.935,108581,0
20101223,28.152,28.152,27.402,27.603,69625,0
20101227,27.764,27.85,27.383,27.487,31359,0
20101228,27.497,27.631,27.326,27.555,95093,0
20101229,27.745,27.745,27.356,27.583,89916,0
20101230,27.727,28.411,27.139,27.468,157896,0
20101231,27.593,27.621,27.346,27.621,41338,0
20110103,27.972,27.992,27.262,27.487,243341,0
20110104,27.727,27.727,27.032,27.061,59549,0
20110105,27.206,27.411,26.843,26.946,188347,0
20110106,27.139,27.708,27.061,27.507,224582,0
20110107,29.444,29.595,28.597,28.969,1963328,0
20110110,29.299,29.718,29.232,29.338,655367,0
20110111,29.595,29.634,28.845,29.008,348866,0
20110112,29.195,29.309,28.654,28.741,228195,0
20110113,28.817,29.176,28.741,28.94,140066,0
20110114,29.213,29.736,29.017,29.736,278873,0
20110118,29.736,29.849,28.741,29.299,290567,0
20110119,29.092,29.242,28.845,28.95,316470,0
20110120,28.741,29.49,28.438,29.026,163683,0
20110121,28.989,29.008,28.447,28.664,149076,0
20110124,28.54,28.872,28.266,28.741,89702,0
20110125,28.654,28.761,28.456,28.761,56973,0
20110126,28.713,28.872,28.521,28.787,65912,0
20110127,29.129,29.405,28.731,28.751,177537,0
20110128,28.644,28.644,27.791,28.19,322521,0
20110131,28.246,28.246,28.039,28.198,60413,0
20110201,28.218,28.323,27.717,27.771,208524,0
20110202,27.631,27.972,27.555,27.621,105917,0
20110203,27.593,27.791,27.393,27.411,178748,0
20110204,27.497,27.717,27.129,27.698,148857,0
20110207,28.208,28.208,27.935,27.982,156318,0
20110208,28.143,28.352,27.698,28.304,113057,0
20110209,28.095,28.218,27.887,27.944,37840,0
20110210,27.754,27.906,27.109,27.745,208084,0
20110211,27.593,27.86,27.356,27.631,93661,0
20110214,27.507,27.603,27.188,27.346,79918,0
20110215,27.317,27.651,27.317,27.545,62981,0
20110216,27.536,27.641,27.317,27.641,79908,0
20110218,27.603,28.228,27.603,28.228,60174,0
20110222,27.84,28.181,27.507,27.708,154235,0
20110223,27.507,28.076,27.507,27.564,167089,0
20110224,27.583,27.906,27.526,27.603,107851,0
20110225,27.727,28.343,27.621,27.791,104929,0
20110228,27.906,28.343,27.698,27.745,192729,0
20110301,27.887,27.944,27.458,27.564,140225,0
20110302,27.517,27.583,27.032,27.262,187181,0
20110303,27.178,27.603,27.109,27.583,107009,0
20110304,27.603,27.717,27.224,27.317,125874,0
20110307,27.429,27.429,26.52,26.558,193679,0
