Date,Open,High,Low,Close,Volume,OpenInt
20170405,26.285,26.341,26.285,26.341,201,0
20170406,25.947,25.947,25.947,25.947,101,0
20170410,25.947,25.947,25.947,25.947,101,0
20170412,25.798,25.798,25.798,25.798,101,0
20170413,25.719,25.719,25.629,25.629,704,0
20170417,25.898,25.898,25.898,25.898,604,0
20170418,25.719,25.719,25.719,25.719,604,0
20170419,25.729,25.729,25.729,25.729,604,0
20170420,25.808,25.808,25.808,25.808,0,0
20170421,25.798,25.798,25.798,25.798,604,0
20170424,26.156,26.156,26.156,26.156,604,0
20170425,26.424,26.424,26.424,26.424,201,0
20170426,26.325,26.325,26.325,26.325,403,0
20170427,26.365,26.365,26.365,26.365,302,0
20170428,26.365,26.365,26.365,26.365,201,0
20170501,26.444,26.444,26.444,26.444,252,0
20170502,26.573,26.573,26.573,26.573,201,0
20170503,26.573,26.573,26.573,26.573,0,0
20170517,27.09,27.09,27.09,27.09,302,0
20170518,27.577,27.577,27.577,27.577,403,0
20170519,27.448,27.577,27.448,27.517,2520,0
20170522,27.338,27.338,27.309,27.329,2752,0
20170523,27.547,27.815,27.547,27.65,855,0
20170524,27.588,27.588,27.588,27.588,352,0
20170613,28.193,28.223,28.193,28.223,503,0
20170620,28.7216,28.7216,28.7216,28.7216,100,0
20170621,28.27,28.27,28.27,28.27,100,0
20170627,28.58,28.62,28.46,28.46,4949,0
20170628,28.46,28.46,28.46,28.46,0,0
20170630,27.99,27.99,27.95,27.95,459,0
20170731,28.255,28.53,28.255,28.3344,890,0
