Date,Open,High,Low,Close,Volume,OpenInt
20050225,4.4176,4.4385,4.4018,4.4385,244863,0
20050228,4.4385,4.4385,4.4018,4.4385,196441,0
20050301,4.4332,4.4593,4.4279,4.4436,202346,0
20050302,4.4279,4.449,4.3753,4.4119,352334,0
20050303,4.4176,4.4279,4.4018,4.4279,223599,0
20050304,4.4332,4.475,4.4225,4.4436,260022,0
20050307,4.4385,4.475,4.4332,4.4697,272618,0
20050308,4.4855,4.4855,4.4385,4.4697,262183,0
20050309,4.4697,4.4855,4.449,4.449,240726,0
20050310,4.4436,4.475,4.4279,4.475,231281,0
20050311,4.4855,4.4855,4.4069,4.4436,327533,0
20050314,4.3649,4.3649,4.3124,4.3439,251552,0
20050315,4.3543,4.3596,4.3281,4.3596,244667,0
20050316,4.3439,4.3439,4.2966,4.3072,281078,0
20050317,4.323,4.3281,4.2966,4.3124,223212,0
20050318,4.323,4.3281,4.2966,4.3072,189554,0
20050321,4.3335,4.3439,4.2863,4.2915,337965,0
20050322,4.302,4.3124,4.2966,4.2966,232853,0
20050323,4.2966,4.3439,4.2758,4.323,361976,0
20050324,4.4069,4.4069,4.323,4.3649,457051,0
20050328,4.3543,4.4332,4.3439,4.3649,519054,0
20050329,4.3649,4.3649,4.3124,4.3386,258639,0
20050330,4.3281,4.3439,4.3176,4.3386,257651,0
20050331,4.3335,4.3439,4.3176,4.3439,222423,0
20050401,4.3335,4.3439,4.302,4.3072,250174,0
20050404,4.302,4.3072,4.2495,4.2758,314343,0
20050405,4.2653,4.3072,4.2546,4.302,227538,0
20050406,4.3176,4.3335,4.2863,4.2915,224194,0
20050407,4.2966,4.302,4.2704,4.2809,194468,0
20050408,4.2704,4.302,4.2704,4.2809,227932,0
20050411,4.2758,4.2809,4.2495,4.2704,198409,0
20050412,4.2704,4.302,4.2442,4.302,213169,0
20050413,4.302,4.3176,4.2704,4.302,250373,0
20050414,4.2966,4.302,4.2442,4.2546,195457,0
20050415,4.2863,4.2863,4.1604,4.1604,284424,0
20050418,4.1604,4.2076,4.1604,4.1814,220654,0
20050419,4.1814,4.2442,4.1814,4.2284,253325,0
20050420,4.2339,4.2546,4.2232,4.2284,212783,0
20050421,4.2339,4.2863,4.2232,4.2704,196044,0
20050422,4.2758,4.2915,4.2546,4.2863,202736,0
20050425,4.2915,4.2966,4.2442,4.2863,321233,0
20050426,4.26,4.2809,4.2442,4.26,227345,0
20050427,4.2442,4.26,4.2127,4.2339,201360,0
20050428,4.2181,4.2339,4.1917,4.2021,175772,0
