Date,Open,High,Low,Close,Volume,OpenInt
20160912,99.65,99.67,99.65,99.67,35635,0
20160914,99.64,99.64,99.64,99.64,1143,0
20160915,99.63,99.63,99.63,99.63,10033,0
20160916,99.65,99.65,99.65,99.65,10038,0
20160926,99.7,99.7,99.7,99.7,100,0
20160928,99.68,99.68,99.68,99.68,10038,0
20160930,99.7,99.7,99.68,99.68,10648,0
20161003,99.69,99.71,99.69,99.71,52016,0
20161005,99.67,99.67,99.67,99.67,120,0
20161006,99.66,99.67,99.65,99.65,20711,0
20161007,99.66,99.68,99.66,99.68,3112,0
20161011,99.68,99.68,99.68,99.68,445,0
20161012,99.66,99.66,99.66,99.66,1606,0
20161018,99.7,99.71,99.69,99.69,30568,0
20161019,99.69,99.69,99.69,99.69,30107,0
20161021,99.7,99.7,99.7,99.7,330,0
20161031,99.68,99.69,99.68,99.69,19108,0
20161103,99.73,99.73,99.71,99.73,10673,0
20161104,99.7,99.71,99.7,99.71,295,0
20161108,99.7,99.71,99.7,99.71,222,0
20161109,99.72,99.72,99.72,99.72,3011,0
20161110,99.7,99.7,99.7,99.7,200,0
20161114,99.67,99.67,99.64,99.64,11,0
20161121,99.68,99.68,99.68,99.68,19130,0
20161122,99.7,99.71,99.7,99.71,11618,0
20161129,99.71,99.71,99.71,99.71,700,0
20161130,99.7,99.72,99.7,99.72,10225,0
20161201,99.72,99.72,99.72,99.72,50681,0
20161205,99.71,99.72,99.71,99.72,2053,0
20161207,99.71,99.73,99.71,99.71,1678,0
20161208,99.73,99.75,99.72,99.72,88836,0
20161209,99.72,99.73,99.72,99.72,1779,0
20161212,99.72,99.73,99.71,99.73,2483,0
20161215,99.71,99.72,99.71,99.71,141163,0
20161216,99.73,99.73,99.73,99.73,212,0
20161219,99.77,99.77,99.77,99.77,556,0
20161221,99.75,99.75,99.75,99.75,400,0
20161222,99.76,99.76,99.75,99.75,2402,0
20161227,99.75,99.75,99.75,99.75,906,0
20161228,99.75,99.75,99.75,99.75,871,0
20161229,99.76,99.76,99.76,99.76,1002,0
20161230,99.77,99.77,99.77,99.77,397,0
20170103,99.76,99.78,99.76,99.78,103084,0
20170104,99.77,99.78,99.77,99.78,10408,0
20170105,99.78,99.78,99.78,99.78,1067,0
20170106,99.75,99.75,99.75,99.75,334,0
20170109,99.79,99.79,99.79,99.79,708,0
20170110,99.79,99.8,99.79,99.79,113963,0
20170111,99.8,99.8,99.8,99.8,1250,0
20170112,99.8,99.8,99.8,99.8,1184,0
20170113,99.77,99.77,99.77,99.77,1498,0
20170117,99.77,99.77,99.77,99.77,300,0
20170118,99.8,99.8,99.8,99.8,237,0
20170119,99.8,99.8,99.8,99.8,1206,0
20170120,99.81,99.81,99.81,99.81,1370,0
20170123,99.82,99.82,99.82,99.82,1864,0
20170124,99.81,99.82,99.8,99.81,104911,0
20170125,99.87,99.87,99.81,99.82,3516,0
20170126,99.81,99.81,99.81,99.81,1520,0
20170127,99.82,99.82,99.82,99.82,499,0
20170130,99.81,99.81,99.81,99.81,395,0
20170131,99.82,99.82,99.81,99.81,703,0
20170201,99.81,99.83,99.81,99.81,7984,0
20170202,99.83,99.83,99.83,99.83,5576,0
20170203,99.84,99.84,99.84,99.84,1438,0
20170206,99.84,99.84,99.83,99.84,4642,0
20170207,99.84,99.88,99.84,99.87,477,0
20170208,99.84,99.88,99.83,99.84,2060,0
20170209,99.84,99.84,99.84,99.84,100,0
20170210,99.84,99.87,99.84,99.85,1974,0
20170213,99.83,99.84,99.83,99.84,2203,0
20170214,99.83,99.83,99.82,99.83,25047,0
20170215,99.8,99.83,99.8,99.83,10741,0
20170217,99.83,99.83,99.83,99.83,484,0
20170221,99.86,99.86,99.86,99.86,3984,0
20170222,99.86,99.86,99.85,99.86,5166,0
20170223,99.86,99.87,99.86,99.87,31918,0
20170224,99.84,99.87,99.84,99.87,5758,0
20170227,99.87,99.87,99.85,99.87,2343,0
20170228,99.85,99.86,99.84,99.84,970,0
20170301,99.82,99.84,99.82,99.84,2753,0
20170302,99.82,99.83,99.82,99.83,1424,0
20170303,99.82,99.82,99.82,99.82,4732,0
20170306,99.83,99.83,99.79,99.82,11149,0
20170307,99.82,99.82,99.8,99.8,2591,0
20170308,99.78,99.81,99.78,99.81,5519,0
20170309,99.8,99.81,99.79,99.79,1184,0
20170310,99.8,99.81,99.8,99.81,16510,0
20170313,99.81,99.81,99.81,99.81,231,0
20170314,99.78,99.8,99.78,99.8,1986,0
20170315,99.79,99.88,99.79,99.79,3305,0
20170316,99.81,99.81,99.81,99.81,1048,0
20170317,99.83,99.83,99.82,99.82,5196,0
20170320,99.83,99.84,99.82,99.84,979,0
20170321,99.82,99.82,99.82,99.82,859,0
20170323,99.85,99.85,99.83,99.83,791,0
20170324,99.84,99.84,99.82,99.84,53479,0
20170327,99.83,99.84,99.82,99.82,1274,0
20170330,99.82,99.86,99.82,99.84,4220,0
20170403,99.83,99.87,99.83,99.87,47439,0
20170405,99.86,99.86,99.85,99.86,539,0
20170406,99.87,99.87,99.84,99.87,7387,0
20170407,99.86,99.86,99.84,99.86,1498,0
20170410,99.86,99.86,99.83,99.86,1480,0
20170411,99.84,99.86,99.84,99.86,684,0
20170412,99.86,99.86,99.86,99.86,970,0
20170413,99.87,99.87,99.86,99.87,15151,0
20170417,99.87,99.88,99.87,99.88,20847,0
20170418,99.87,99.87,99.86,99.86,4046,0
20170419,99.87,99.87,99.87,99.87,628,0
20170420,99.86,99.88,99.86,99.88,10967,0
20170421,99.88,99.88,99.88,99.88,107,0
20170424,99.89,99.89,99.87,99.88,2002,0
20170425,99.86,99.89,99.86,99.88,2526,0
20170426,99.89,99.89,99.87,99.89,7333,0
20170427,99.89,99.89,99.87,99.88,1022,0
20170428,99.86,99.87,99.86,99.87,4566,0
20170501,99.86,99.87,99.85,99.85,2042,0
20170502,99.88,99.89,99.88,99.89,2305,0
20170503,99.89,99.89,99.87,99.87,566,0
20170504,99.89,99.9,99.87,99.88,2334,0
20170505,99.9,99.9,99.89,99.89,719,0
20170508,99.89,99.89,99.88,99.89,1274,0
20170509,99.87,99.89,99.87,99.89,997,0
20170510,99.89,99.89,99.89,99.89,1186,0
20170511,99.9,99.91,99.89,99.9,25069,0
20170512,99.91,99.91,99.91,99.91,400,0
20170515,99.91,99.93,99.9,99.93,12536,0
20170516,99.92,99.92,99.9,99.9,2754,0
20170517,99.93,99.93,99.93,99.93,944,0
20170518,99.91,99.93,99.91,99.93,380,0
20170519,99.91,99.94,99.91,99.93,3074,0
20170522,99.94,99.94,99.93,99.93,2605,0
20170523,99.93,99.94,99.92,99.93,22681,0
20170524,99.93,99.94,99.93,99.93,20124,0
20170525,99.92,99.94,99.92,99.93,1223,0
20170526,99.93,99.94,99.93,99.94,403,0
20170530,99.94,99.96,99.94,99.94,1351,0
