Date,Open,High,Low,Close,Volume,OpenInt
20130521,20.473,20.473,20.352,20.465,931323,0
20130522,20.473,20.515,20.399,20.432,1002834,0
20130523,20.432,20.457,20.352,20.441,428758,0
20130524,20.425,20.473,20.416,20.473,321133,0
20130528,20.473,20.473,20.358,20.39,344975,0
20130529,20.384,20.384,20.086,20.226,524279,0
20130530,20.217,20.251,20.143,20.186,315546,0
20130531,20.243,20.432,20.104,20.432,588389,0
20130603,20.318,20.318,19.899,20.086,444659,0
20130604,20.062,20.137,19.981,20.069,321320,0
20130605,19.938,19.997,19.569,19.61,451422,0
20130606,19.75,19.774,19.494,19.593,210668,0
20130607,19.65,19.71,19.274,19.363,384495,0
20130610,19.308,19.323,18.788,18.97,447773,0
20130611,18.952,18.952,18.416,18.626,504092,0
20130612,18.69,18.854,18.223,18.498,311453,0
20130613,18.498,19.027,18.195,18.952,269869,0
20130614,19.035,19.232,18.992,19.232,189238,0
20130617,19.323,19.354,19.1,19.2,227226,0
20130618,19.24,19.24,19.001,19.043,216665,0
20130619,19.043,19.043,18.534,18.69,257103,0
20130620,18.334,18.49,18.13,18.334,399283,0
20130621,18.498,18.498,18.112,18.112,232654,0
20130624,17.999,18.006,16.996,17.225,355295,0
20130625,17.669,17.669,17.095,17.53,260639,0
20130626,18.171,18.334,17.819,18.041,394965,0
20130627,18.213,18.708,18.13,18.459,197817,0
20130628,18.806,19.164,18.514,19.132,154109,0
20130701,18.828,19.061,18.828,18.992,188674,0
20130702,18.928,19.1,18.871,18.985,282437,0
20130703,18.911,19.11,18.764,18.992,117771,0
20130705,18.745,18.745,18.543,18.662,138891,0
20130708,18.662,18.662,18.213,18.369,207795,0
20130709,18.543,18.543,18.171,18.252,275399,0
20130710,18.252,18.36,18.064,18.105,159492,0
20130711,18.252,18.402,18.122,18.171,263831,0
20130712,18.268,18.278,18.105,18.13,184557,0
20130715,18.13,18.213,17.902,17.902,235955,0
20130716,17.924,18.015,17.876,17.924,145399,0
20130717,18.032,18.223,17.958,18.14,155411,0
20130718,18.213,18.409,18.179,18.334,175706,0
20130719,18.378,18.485,18.296,18.313,173398,0
