Date,Open,High,Low,Close,Volume,OpenInt
20120530,45.806,45.806,45.806,45.806,322,0
20120604,46.056,46.056,44.949,45.031,1839,0
20120605,46.76,46.76,44.696,44.828,9919,0
20120606,45.012,45.012,45.012,45.012,220,0
20120607,46.195,46.195,45.021,45.031,121790,0
20120611,45.395,45.395,45.347,45.347,5004,0
20120612,46.222,46.222,45.395,45.395,2431,0
20120613,45.395,45.405,45.29,45.405,12312,0
20120615,45.579,45.579,45.579,45.579,523,0
20120618,45.971,45.971,45.721,45.721,1921,0
20120619,46.075,46.121,46.075,46.094,3685,0
20120620,46.185,46.185,46.147,46.147,5019,0
20120621,47.955,47.955,45.943,45.999,6527,0
20120625,46.444,46.444,45.906,45.906,10681,0
20120626,46.288,46.288,45.971,45.971,515,0
20120627,46.501,46.501,46.009,46.009,742,0
20120628,46.047,46.047,45.943,45.943,1591,0
20120629,46.69,46.69,46.511,46.511,20865,0
20120702,46.893,46.893,46.185,46.185,4260,0
20120703,46.195,46.401,46.166,46.382,4197,0
20120705,46.382,46.556,46.382,46.556,876,0
20120706,46.463,46.473,46.463,46.473,795,0
20120709,46.556,46.68,46.417,46.605,5438,0
20120710,46.566,46.652,46.391,46.417,3111,0
20120711,46.53,46.53,46.473,46.473,3595,0
20120712,46.401,46.401,46.317,46.327,2806,0
20120713,46.511,46.521,46.492,46.521,1383,0
20120716,46.521,46.521,45.823,46.195,13973,0
20120717,46.205,46.556,46.205,46.401,15735,0
20120718,47.989,47.989,46.147,46.463,805,0
20120719,46.643,46.652,46.482,46.623,9175,0
20120723,46.68,46.68,46.213,46.249,11017,0
20120725,46.586,46.662,46.363,46.417,9027,0
20120726,46.259,46.259,46.259,46.259,1185,0
20120727,46.444,46.652,46.444,46.652,882,0
20120730,46.521,46.521,46.453,46.511,10908,0
20120731,46.521,46.69,46.521,46.69,4437,0
20120801,46.623,46.623,46.623,46.623,3447,0
20120802,47.452,47.452,45.961,46.401,6985,0
20120803,46.77,46.77,46.566,46.566,1185,0
20120806,48.78,48.78,46.473,46.633,17000,0
20120807,47.059,47.059,46.623,47.021,7212,0
20120808,46.995,47.059,46.78,46.995,2038,0
20120810,47.2,47.33,47.116,47.33,13077,0
