Date,Open,High,Low,Close,Volume,OpenInt
20160519,23.48,23.48,23.171,23.396,352041,0
20160520,23.396,23.396,22.924,23.302,65860,0
20160523,23.312,23.312,23.019,23.198,148330,0
20160524,23.226,23.226,23.076,23.113,253273,0
20160525,23.113,23.113,22.906,23.104,243379,0
20160526,23.208,23.208,23.07,23.208,89070,0
20160527,23.208,23.444,23.113,23.434,94194,0
20160531,23.396,23.396,23.208,23.344,168409,0
20160601,23.348,23.348,22.947,23.142,100139,0
20160602,23.208,23.282,23.019,23.208,111555,0
20160603,23.208,23.348,23.142,23.339,78378,0
20160606,23.348,23.358,23.113,23.302,86628,0
20160607,23.264,23.302,23.216,23.249,92783,0
20160608,23.387,23.387,23.132,23.151,99542,0
20160609,23.189,23.216,23.113,23.216,54573,0
20160610,23.255,23.339,23.142,23.236,76340,0
20160613,23.444,23.444,23.132,23.17,91518,0
20160614,23.179,23.246,23.113,23.244,98581,0
20160615,23.348,23.348,23.16,23.226,102326,0
20160616,23.302,23.33,23.189,23.282,74842,0
20160617,23.302,23.348,23.282,23.348,77675,0
20160620,23.387,23.444,23.255,23.444,123695,0
20160621,23.444,23.49,23.348,23.49,150907,0
20160622,23.538,23.538,23.409,23.49,71188,0
20160623,23.51,23.538,23.348,23.538,140503,0
20160624,23.538,23.538,23.264,23.462,111259,0
20160627,23.538,23.538,23.358,23.396,79351,0
20160628,23.49,23.585,23.396,23.585,121222,0
20160629,23.585,23.585,23.48,23.585,135391,0
20160630,23.585,23.717,23.585,23.717,171421,0
20160701,23.717,23.727,23.639,23.707,98071,0
20160705,23.746,23.82,23.538,23.566,162620,0
20160706,23.641,23.67,23.5,23.519,139344,0
20160707,23.594,23.651,23.556,23.585,89097,0
20160708,23.594,23.773,23.594,23.67,124596,0
20160711,23.773,23.773,23.585,23.614,127933,0
20160712,23.631,23.641,23.547,23.614,122744,0
20160713,23.631,23.746,23.614,23.641,92632,0
20160714,23.68,23.768,23.585,23.594,114830,0
20160715,23.622,23.697,23.585,23.585,72882,0
20160718,23.773,23.773,23.604,23.604,109261,0
20160719,23.651,23.736,23.622,23.697,71789,0
20160720,23.746,23.773,23.707,23.727,78760,0
20160721,23.754,23.82,23.707,23.727,109373,0
20160722,23.773,23.82,23.754,23.82,65243,0
