Date,Open,High,Low,Close,Volume,OpenInt
19870723,1.9682,1.9682,1.8841,1.8926,3248583,0
19870724,1.8926,1.8926,1.8589,1.8674,3046348,0
19870727,1.8756,1.8926,1.8674,1.8756,1113888,0
19870728,1.8926,1.926,1.8926,1.9094,1938875,0
19870729,1.9178,1.9766,1.9094,1.96,1733429,0
19870730,1.96,1.96,1.9428,1.96,821774,0
19870731,1.96,1.9849,1.9515,1.9849,1727013,0
19870803,1.9766,1.9849,1.96,1.96,1990239,0
19870804,1.9515,1.96,1.926,1.9428,991909,0
19870805,1.9428,1.9766,1.9428,1.9515,985489,0
19870806,1.9428,2.0187,1.9428,2.0104,2288771,0
19870807,2.0353,2.0944,2.0271,2.0859,2850535,0
19870810,2.0775,2.0859,2.069,2.0775,2356185,0
19870811,2.0775,2.0775,2.0607,2.0775,2288771,0
19870812,2.0775,2.0944,2.069,2.0775,2269510,0
19870813,2.069,2.0775,2.0104,2.0353,5181039,0
19870814,2.0271,2.044,2.0187,2.0187,2308034,0
19870817,2.0353,2.044,2.0187,2.0271,2134690,0
19870818,2.0271,2.0353,1.9428,2.0017,2815221,0
19870819,1.9936,2.0104,1.9849,1.9849,1142781,0
19870820,1.9849,2.044,1.9849,2.0353,2301612,0
19870821,2.044,2.0775,2.044,2.069,2417178,0
19870824,2.0775,2.0775,2.0104,2.0187,1637129,0
19870825,2.0187,2.0271,1.9936,2.0017,4603231,0
19870826,1.9936,1.9936,1.9682,1.9766,885977,0
19870827,1.9766,1.9766,1.8841,1.9094,3630579,0
19870828,1.9094,1.9094,1.8589,1.8756,2076907,0
19870831,1.8841,1.9094,1.8756,1.8841,1913192,0
19870901,1.8841,1.8841,1.7999,1.8083,8272327,0
19870902,1.7999,1.842,1.7999,1.842,8070089,0
19870903,1.8505,1.8505,1.8083,1.8254,9065207,0
19870904,1.8168,1.8254,1.7579,1.7579,4192341,0
19870908,1.7579,1.7579,1.6572,1.6737,8965696,0
19870909,1.6823,1.6992,1.6317,1.6906,11813022,0
19870910,1.6992,1.7074,1.5981,1.6235,8737782,0
19870911,1.6151,1.6572,1.6151,1.6399,5704276,0
19870914,1.6487,1.6572,1.6235,1.6399,4211599,0
19870915,1.6317,1.6317,1.5731,1.5731,8663952,0
19870916,1.5477,1.5477,1.4888,1.497,16008573,0
19870917,1.514,1.514,1.4888,1.5057,7964159,0
19870918,1.497,1.497,1.2531,1.2784,66127235,0
19870921,1.0262,1.0429,0.9507,1.0007,115883167,0
19870922,1.0093,1.0262,0.9675,1.0179,62596167,0
19870923,1.0179,1.0262,0.9756,0.9927,35150157,0
19870924,0.9842,1.0093,0.9675,0.9927,29725156,0
19870925,0.9927,1.0007,0.9927,0.9927,10650978,0
19870928,1.0093,1.0093,0.9927,1.0007,16252534,0
19870929,1.0007,1.0262,0.9842,1.0262,14913940,0
19870930,1.0262,1.0514,1.0179,1.0347,17542979,0
19871001,1.0347,1.0597,1.0262,1.0597,21000211,0
19871002,1.0514,1.0514,1.0262,1.0514,8792355,0
19871005,1.0514,1.0514,1.0179,1.0262,6192207,0
19871006,1.0262,1.0262,0.9675,0.9756,8705687,0
19871007,0.9675,0.9675,0.9336,0.9336,17199504,0
19871008,0.9168,0.9168,0.841,0.8665,50397943,0
19871009,0.8747,0.8913,0.8665,0.8665,15835224,0
19871012,0.8747,0.8835,0.8579,0.8747,17225179,0
19871013,0.8913,0.8913,0.8665,0.8747,6355918,0
19871014,0.8665,0.8747,0.8579,0.8579,11639675,0
19871015,0.8496,0.8496,0.8075,0.8075,14551202,0
19871016,0.7992,0.7992,0.7571,0.7571,21905451,0
19871019,0.715,0.74,0.614,0.614,21391838,0
19871020,0.6225,0.6647,0.47108,0.6058,21436781,0
19871021,0.5637,0.6647,0.5637,0.6311,19786810,0
19871022,0.614,0.614,0.5299,0.5467,12528865,0
19871023,0.5299,0.5719,0.5216,0.5383,7360664,0
19871026,0.49641,0.5044,0.4288,0.44584,10596407,0
19871027,0.46267,0.5044,0.46267,0.47943,10461588,0
19871028,0.4288,0.5216,0.4288,0.5044,8882235,0
19871029,0.49641,0.5383,0.4877,0.5299,7838965,0
19871030,0.5551,0.5637,0.5299,0.5299,11973524,0
19871102,0.5216,0.5216,0.5044,0.513,5582292,0
19871103,0.513,0.513,0.47943,0.4877,5633654,0
19871104,0.47108,0.5299,0.47108,0.513,6763596,0
19871105,0.513,0.513,0.49641,0.5044,10615670,0
19871106,0.5044,0.5467,0.49641,0.513,12458245,0
19871109,0.5216,0.5637,0.513,0.5551,11171006,0
19871110,0.5383,0.6058,0.5299,0.5383,20528335,0
19871111,0.5467,0.5637,0.5383,0.5467,6519632,0
19871112,0.5803,0.5971,0.5383,0.5971,16348834,0
19871113,0.5637,0.5719,0.5299,0.5467,19687299,0
19871116,0.5637,0.5637,0.5299,0.5299,5813418,0
19871117,0.5299,0.5299,0.4877,0.513,10962357,0
19871118,0.5044,0.5299,0.5044,0.5216,5980341,0
19871119,0.5216,0.5299,0.5044,0.5044,3486126,0
19871120,0.49641,0.5216,0.49641,0.5216,5989973,0
19871123,0.5383,0.5467,0.5299,0.5299,8901496,0
19871124,0.5383,0.5383,0.5216,0.5216,5030165,0
19871125,0.513,0.5299,0.513,0.5299,5225977,0
19871127,0.5299,0.5383,0.5216,0.5299,2314453,0
19871130,0.4877,0.513,0.47943,0.5044,7977000,0
19871201,0.513,0.5216,0.49641,0.49641,4140979,0
19871202,0.49641,0.513,0.49641,0.49641,3749350,0
19871203,0.5044,0.513,0.47108,0.47943,9084468,0
19871204,0.47943,0.47943,0.44584,0.45426,6249988,0
19871207,0.45426,0.46267,0.45426,0.46267,3052767,0
19871208,0.46267,0.46267,0.45426,0.46267,3656258,0
19871209,0.46267,0.47943,0.45426,0.47943,4911393,0
19871210,0.46267,0.47108,0.45426,0.45426,4651379,0
19871211,0.44584,0.46267,0.44584,0.45426,9405477,0
19871214,0.45426,0.47943,0.45426,0.47943,10766541,0
19871215,0.47943,0.513,0.47943,0.4877,12477502,0
19871216,0.4877,0.49641,0.47943,0.49641,3643421,0
19871217,0.5044,0.5044,0.4877,0.49641,5460312,0
19871218,0.49641,0.513,0.49641,0.49641,8108611,0
19871221,0.513,0.5383,0.5044,0.5383,8140710,0
19871222,0.5383,0.5719,0.513,0.5551,8468138,0
19871223,0.5719,0.5889,0.5637,0.5889,10105268,0
19871224,0.5719,0.5803,0.5637,0.5719,3643421,0
19871228,0.5551,0.5551,0.5383,0.5467,4982012,0
19871229,0.5383,0.5551,0.5383,0.5467,2153952,0
19871230,0.5467,0.5637,0.5467,0.5637,7501909,0
19871231,0.5551,0.5637,0.5467,0.5467,4279010,0
19880104,0.5637,0.5803,0.5467,0.5551,5071896,0
19880105,0.5719,0.5719,0.5637,0.5637,7700935,0
19880106,0.5803,0.6225,0.5719,0.6225,10416645,0
19880107,0.614,0.6311,0.5971,0.6225,12718258,0
19880108,0.6225,0.6225,0.513,0.5299,10962357,0
19880111,0.5383,0.5637,0.513,0.5551,10079586,0
19880112,0.5551,0.5551,0.5216,0.5299,4073566,0
19880113,0.5299,0.5467,0.5216,0.5467,2491008,0
19880114,0.5383,0.5551,0.5383,0.5467,2449278,0
19880115,0.5719,0.5803,0.5637,0.5637,3752561,0
19880118,0.5637,0.5803,0.5551,0.5719,3216479,0
19880119,0.5719,0.5803,0.5467,0.5551,2693241,0
19880120,0.5551,0.5551,0.5044,0.5299,5993184,0
19880121,0.5299,0.5299,0.5044,0.5216,5203506,0
19880122,0.5299,0.5383,0.5299,0.5299,2465327,0
19880125,0.5551,0.5551,0.5467,0.5467,2905106,0
19880126,0.5467,0.5467,0.5299,0.5383,1229451,0
19880127,0.5467,0.5637,0.5299,0.5467,2741393,0
19880128,0.5467,0.5467,0.5299,0.5383,1489468,0
19880129,0.5383,0.5383,0.5216,0.5299,2834483,0
19880201,0.5299,0.5383,0.513,0.5216,3033507,0
19880202,0.5216,0.5299,0.5216,0.5299,5614396,0
19880203,0.5299,0.5383,0.5299,0.5383,4988429,0
19880204,0.5299,0.5383,0.5299,0.5299,2365816,0
19880205,0.5299,0.5299,0.5216,0.5299,1489468,0
19880208,0.513,0.5216,0.5044,0.513,2134690,0
19880209,0.513,0.5299,0.513,0.5299,1646763,0
19880210,0.5299,0.5551,0.5299,0.5467,3200428,0
19880211,0.5467,0.5551,0.5467,0.5467,2792754,0
19880212,0.5467,0.5719,0.5467,0.5637,3791081,0
19880216,0.5637,0.5637,0.5467,0.5637,3322411,0
19880217,0.5637,0.5803,0.5551,0.5719,4625697,0
19880218,0.5637,0.5803,0.5637,0.5803,3322411,0
19880219,0.5719,0.614,0.5719,0.6058,4365683,0
19880222,0.5971,0.6225,0.5889,0.6225,7171276,0
19880223,0.6058,0.6475,0.6058,0.6311,7020402,0
19880224,0.6311,0.6815,0.6311,0.6647,12252799,0
19880225,0.6729,0.715,0.6561,0.6895,25577758,0
19880226,0.7064,0.7232,0.6981,0.7232,15318404,0
19880229,0.7232,0.7487,0.7232,0.74,12268849,0
19880301,0.74,0.7487,0.6981,0.7064,6176158,0
19880302,0.7064,0.7064,0.7064,0.7064,2795962,0
